address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số toilet,Mặt tiền,Đường vào,Số tầng
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Phạm Hùng', 'Dự án Vinhomes Skylake']","
Full danh sách 3PN - 4PN view hồ của 3 tòa từ tầng 4 - 39 cam kết nhiều nhất thị trường.Cung cấp đầy đủ full danh sách 3 phòng ngủ view hồ không thiếu tầng nào trong 1800 căn hộ ở Vinhomes Skylake cập nhật giá chính xác không đăng ảo.Quý khách xem nhà trực tiếp xin liên hệ: 0983 786 ***Tòa S1.Căn 01 - 111m² - giá: 7,5 tỷ.Căn 10 - 110m² - giá: 6.2 tỷ. Lô góc.Căn 03 - 105m² - giá: 73 tỷ. Lô góc mát.Căn 11 - 120m² - giá: 8 tỷ. Lô góc.Tòa S2.Căn 02 - 105m² - giá 7 tỷ.Căn 03 - 109m² - giá 7.9 tỷ.Căn 05A - 109m² - giá 8 tỷ.Căn 20 - 95m² - giá 5.9x tỷ.Căn 08A - 133m² - giá 11.2 tỷ. (có thương lượng căn góc rộng siêu đẹp).Tòa S3.Căn 02 - 105m² - giá 7.4 tỷ.Căn 03 - 108m² - giá 6.9x tỷ view tuyệt đẹp.Căn 20 - 105m² - giá 6,x tỷ.Căn 19 - 109m² - giá 7,x tỷ.Căn 06 - 108m² - giá 7,x tỷ. - lô góc.Căn 17 - 109m² - giá 7 tỷ. - lô góc.Cung cấp đầy đủ full danh sách 3 phòng ngủ view hồ không thiếu tầng nào trong 1800 căn hộ ở Vinhomes Skylake cập nhật giá chính xác không đăng ảo.Ngoài ra còn có toàn bộ 3 ngủ view hướng khác (5,2 tỷ - 5,5 tỷ cần bán lại) quý khách liên hệ để biết thêm chi tiết.- Căn 4Pn diện tích 150m² - 170m² giá từ 9 tỷ.- Penthouse 175m² đang hoàn thiện; penthouse hoàn thiện full 11 tỷ - 12,6tỷ.- Sky villa: 380m² - 400m² - giá 27 tỷ - 45 tỷ.- Shophouse: 14,5 tỷ (cắt lỗ 1 tỷ).Qúy khách xem nhà trực tiếp và đàm phán giá trực tiếp chủ nhà xin liên hệ:0983 786 ***- VP ở tại Vinhomes Skylake, B5 18 Vinhomes Gardenia nên có thể hỗ trợ anh chị 24/7.* Cam kết full toàn bộ quỹ 1800 căn hộ Vinhomes Skylake, Khách hàng check bất kỳ căn nào đều có.* Mọi giá cả khách hàng có thể trao đổi trực tiếp với chủ nhà rõ ràng minh bạch, thủ tục hỗ trợ đến khi ra sổ đỏ chủ mới.* Hỗ trợ thủ tục pháp lý sang tên sổ đỏ cho quý khách đến khi ra tên khách hàng.LH: 0983 786 ***đầy đủ trên thị trường quỹ căn hộ ở Skylake).Xem chi tiết website: https://vinhomesland.info/vinhomes-skylake-pham-hung.htmlOffice kinh doanh Vinhomes B5 18 Gardenia.            ",74 m²,3.25 tỷ,2 phòng,Nhà đã có sổ hồng.,Đầy đủ nội thất.,18/11/2022,28/11/2022,Tin Vip đặc biệt,35870981,batdongsan_com_vn_35870981,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Chính chủ bán gấp sổ đỏ căn hộ Vinhomes Gardenia Mỹ Đình căn hộ 2PN giá 3,2 tỷ, 3PN giá 4,8 tỷ, hỗ trợ ngân hàng.Mình cần bán gấp căn hộ ở Vinhoms Gardenia ngay trong tết.+ Căn thiết kế 54m² 1PN 1WC giá 2,2 tỷ.+ Căn thiết kế 75m² 2PN 2WC gía 3,2 tỷ.+ Căn thiết kế 102m² 3PN 2WC gía 4,8 tỷ.- Căn hộ đều có sổ đỏ ngay khi sang tay, Mua có hỗ trợ ngân hàng.- Vin Gardenia có các tiện ích shophouse, Gym, bể bơi, khu vui chơi trẻ em.- Vị trí nằm gần sân vận động mỹ đình, thông thoáng, tiện trường. Mỹ Đình được ví là nơi đáng sống nhất thành phố.- LH Thọ 0983 814 *** xem nhà ngay chốt.            ",78 m²,3.2 tỷ,2 phòng,Sổ đỏ/ Sổ hồng,Full nội thất ,17/11/2022,27/11/2022,Tin Vip đặc biệt,35868407,batdongsan_com_vn_35868407,Tây - Bắc,Đông - Nam,2 phòng,,,
"['Hà Nội', 'Long Biên', 'Phường Giang Biên', 'Phố Kẻ Tạnh', 'Ngõ 106']","
Thửa đất đẹp xây shophouse ngay đường đôi 48m Mai Chí Thọ, Long Biên - kinh doanh đa dạng - công viên 500m² sau nhà.- Vị trí: Ngõ 106 Phố Kẻ Tạnh, P. Giang Biên; Long Biên (Đối diện Shophouse the Vistas đang quây xây).- Diện tích 85m², MT 4.75m, hướng Tây Tứ Mệnh. Khu phân lô, đường ô bàn cờ, không lo vấn đề quy hoạch.- Đường rộng, ô tô tránh, khỏi lo chỗ đỗ ô tô; vỉa hè lát gạch sạch sẽ.- Vị trí cực đẹp, kết nối với trục đường chính đường Mai Chí Thọ 48m nối ra Vinhomes (1km) và Ngô Gia Tự.- 2 phút đi bộ tới trường THCS Chất lượng cao Chu Văn An (top 1 trường công lập cấp 2 của Quận), xung quanh là hệ thống trường công lập, tư thục từ MN đến Cấp 3 mới xây hiện đại, sạch đẹp, hệ thống trường tiểu học và Liên cấp Vinschool ngay gần.- Mảnh đất sát cạnh KĐT Việt Hưng; khu đấu giá đất Giang Biên, khu đô thị Vinhomes Riverside nên hưởng trọn mọi tiện ích: Chợ dân sinh, siêu thị và cửa hàng tiện ích Vinmart, trung tâm thương mại Vincom Plaza, quán ăn; khu vui chơi trẻ em, công viên.- Sổ đỏ chính chủ, sẵn sàng giao dịch, chủ nhà thiện chí. Giá 128 tr/1m² thương lượng nhẹ,Liên hệ 0867 960 ***hải yến).            ",85 m²,128 triệu/m²,,Sổ đỏ chính chủ.,,17/11/2022,27/11/2022,Tin Vip đặc biệt,35636046,batdongsan_com_vn_35636046,,,,4.75 m,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Đường Châu Văn Liêm', 'Dự án Mỹ Đình Pearl']","
Gia đình không có nhu cầu sử dụng cần bán lại căn hộ chung cư cao cấp Mỹ Đình Pearl, tòa P1, Nam Từ Liêm, Hà Nội.+ Căn hộ trên tầng cao căn góc 94m² tim tường sổ 83m² thiết kế 3 phòng ngủ 2 vệ sinh phòng khách và bếp rộng rãi 2 ban công thoáng mát.+ Ban công hướng Tây Bắc view Sân vận động quốc gia Mỹ Đình.+ Căn hộ hoàn thiện full nội thất, điều hòa hai chiều, nóng lạnh, tủ bếp, rèm, cửa chống muỗi, hiện đang cho khách Hàn Quốc thuê.+ Khu chung cư cao cấp đầy đủ tiện ích như bể bơi, siêu thị, gym, khu vui chơi, cạnh công viên hồ điều hòa, cạnh bệnh viện Hồng Ngọc.+ Giao thông thuận tiện thoáng đãng môi trường sống lý tưởng.+ Giá bán: Thỏa thuận.Liên hệ chính chủ: 0988 522 *** anh Điệp.            ",83 m²,Thỏa thuận,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,02/11/2022,02/12/2022,Tin Vip đặc biệt,35690472,batdongsan_com_vn_35690472,Đông - Nam,Tây - Bắc,2 phòng,,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh']","
Chính chủ cần bán lô đất 50m². vị trí đất vô cùng đẹp. xây dựng tự do 7 tầng. Đất đẹp mặt tiền lớn. Vuông vắn ko lỗi phong thủyĐường trước nhà rộng 11mLô đất nằm sau lưng tuyến đường đôi rộng 30mHướng : Đông NamSổ đỏ chính chủGiá công khai 79tr/m2Lh : 0911 435 ***Xin cảm ơn !            ",50 m²,79 triệu/m²,,Sổ đỏ/ Sổ hồng,,27/11/2022,07/12/2022,Tin Vip 1,35964077,batdongsan_com_vn_35964077,Đông - Nam,,,4.18 m,11 m,
"['Hà Nội', 'Ba Đình', 'Phường Kim Mã', 'Đường Núi Trúc', 'Dự án Núi Trúc Square']","
Chủ Đầu tư bán đợt cuối căn hộ chung cư chính chủ Núi Trúc Square.Địa chỉ: Số 17, ngõ Núi Trúc - Quận Ba Đình Hà Nội.Nằm trong ngõ Núi Trúc, cạnh Trung Tâm Tiếng Nhật, cách hồ Giảng Võ 200m.Với chiều cao 12 tầng nổi, và 1 tầng hầm để ô tô:- Vị trí đặc biệt thuận lợi nằm trong nội đô thuộc bốn quận nội thành của thành phố Hà Nội cách quảng trường Ba Đình 1km.- Khu vực này với hệ thống hạ tầng xã hội đã xây dựng hoàn thành, dân trí cao, giao thông thuận tiện gần các trục đường chính, gần các Cơ quan hành chính.- Gần bệnh viện và các nhà trẻ, tường học lớn và có uy tín, nằm cạnh trung tâm Ga tàu điện ngầm của thành phố Hà Nội.- Theo quy hoạch thì tòa nhà sẽ nằm trên mặt đường chính rộng 22m, phía dưới là tuyến tàu điện ngầm của thành phố.* Thông tin dự án:Chủ đầu tư: Hợp tác xã thương mại dịch vụ Hợp Thành.Chung cư Núi Trúc có vị trí đẹp, trung tâm quận Ba Đình, cách phố Kim Mã 30m cách hồ Giảng Võ 150m.Tâng 1 làm Shophouse với các cửa hàng tiện ích, Sân vườn thiết kế với phong cách sinh thái đẹp mắt, thoáng mát.Tầng 10 - 11 - 12 được sử dụng với mục đích caphe rooftop, thư giãn, có thư viện hàng nghìn đầu sách, ngắm view thành phố.* Thông tin căn hộ.Dự án còn duy nhất 05 căn hộ đẹp nhất ký hợp đồng trực tiếp với chủ đầu tư, sổ đỏ chính chủ từng căn.+ Loại 2PN: 1 căn 69,5 m², 1 căn 55,8 m², 1 căn 59,8 m² giá từ 2.678 tỷ/căn (chưa gồm VAT và KPBT).+ Loại 3PN: 1 căn 120,7m², 1 căn 109,3 m² giá từ 5.247 tỷ (chưa gồm VAT và KPBT).LH: 0982 396 *** ",55.8 m²,2.678 tỷ,,,,27/11/2022,07/12/2022,Tin Vip 1,35864420,batdongsan_com_vn_35864420,,,,,,
"['Hà Nội', 'Long Biên', 'Khai Sơn City']","
Bán căn hộ 75m² trực tiếp chủ đầu tư (CĐT) giá chỉ 1.6 tỷ. - Chung cư Bình Minh Garden 93 Đức Giang. Nhận nhà ở ngay đón Tết năm 2023. Giả tiền sau- Thiết kế hiện đại. Chiết khấu tới 11% GTCH. Có hỗ trợ vay.- Đóng 20% ký HĐMB, chìa khóa trao tay tháng 12/2022.- Ưu đãi lãi suất 0%/18th.- Ân hạn nợ gốc.- Tiến độ thanh toán linh hoạt.+ Căn hộ 75m²(2pn, 2vs)thiết kế hiện đại, tối ưu được nguồn ánh sáng vào các phòng. View nội khu mát mẻ. Phù hợp với gia đình trẻ, thích không gian sinh hoạt rộng...+ Căn hộ 93m²(3pn, 2vs) thiết kế hiện đại, tối ưu được nguồn ánh sáng vào các phòng. View nội khu mát mẻ. Phù hợp với gia đình ở 3 thế hệ hoặc thích không gian sinh hoạt rộng...- Tòa nhà Bình Minh Garden có 25 tầng nổi, 3 hầm thông nhau giữa 2 tòa. Tầng mái có bể bơi thác tràn view trọn nội đô, có hướng view đắt giá khi nhìn dòng sông Đuống thơ mộng, có vườn dạo bộ Ánh Dương 6000m... Là khu vực đáng sống, là tổ ấm mỗi khi trở về nhà.- Thiết kế căn 3pn, 2vs: 92m - 95m - 100m - 105m². Bàn giao nội thất gắn tường hoàn thiện có hệ thống tủ bếp, bếp, hút mùi, nóng lạnh, điều hòa, tủ quần áo...* Ưu đãi trong tháng 11:- Chiết khấu 9% khi thanh toán sớm.- Chiết khấu thêm 1% gói ban công xanh.- Chiết khấu 1% mừng sinh nhật CenGroup.- Tri ân quà tặng 20trđ.- Miễn phí 2 năm quản lý vận hành.- Miễn phí 2 năm tập Gym...Liên hệ PKD Mr Mạnh:Hỗ trợ xem thực tế, tư vấn giá và chính sách.            ",75 m²,1.6 tỷ,2 phòng,Hợp đồng mua bán,"Bàn giao đầy đủ nội thất, ở luôn",26/11/2022,06/12/2022,Tin Vip 1,35882197,batdongsan_com_vn_35882197,,,2 phòng,,,
"['Hà Nội', 'Long Biên', 'Phường Phúc Lợi', 'Đường Hoa Phượng', 'Dự án Vinhomes Riverside']","
Bán nhanh lô Hoa Phượng Vinhomes Riverside.- Diện tích: 260m².- Xây dựng: 110m²/sàn.- View sông cực thoáng.- Để lại toàn bộ theo hiện tại.- Giá bán nhanh 48.5 tỷ, đã có sổ đỏ.- Khách thực sự thiện chí liên hệ: 0932 533 *** cảm ơn.            ",259 m²,48.5 tỷ,,Có sổ.,Để lại toàn bộ nội thất hiện tại.,27/11/2022,07/12/2022,Tin Vip 1,20850108,batdongsan_com_vn_20850108,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Phúc Lợi', 'Dự án Vinhomes Riverside']","
Bán siêu biệt thự đắc địa view sông đẹp nhất, tôn vinh chất lượng sống thượng lưu, vị trí trung tâm Vinhomes Riverside.- Diện tích 1688m².- Có thể chia 850m²/lô.- Xây dựng được cơi nới 300 - 600m²/sàn.- Trước mặt là khuôn viên vườn hoa.- View sông cực mát, lãng mạn nhất dự án.- View hàng xóm lân cận đồng bộ cực đẹp.- Tương lai rất khó có thể gom được vị trí to đẹp như này.* Khách hàng nhu cầu sở hữu có duyên call: 0932 533 ***Cảm ơn!            ",1688 m²,Thỏa thuận,,,Thô,27/11/2022,08/12/2022,Tin Vip 1,23515600,batdongsan_com_vn_23515600,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nghiêm Xuân Yêm', 'Dự án The Manor Central Park']","
Thông tin căn góc shophouse.1: Căn shophouse góc DT: 130m².Xây: 5 tầng.Nội thất: Đã lắp đặt thang máy nhập khẩu.Giá: 3x tỷ.2: Căn biệt thự 200m²: 5x tỷ full nội thất.3: 75m Mặt đường 53m siêu đẹp: 2x tỷ.LH 0846 859 *** ",130 m²,40 tỷ,5 phòng,Hợp đồng mua bán.,,27/11/2022,07/12/2022,Tin Vip 1,34890098,batdongsan_com_vn_34890098,Đông - Nam,Đông - Nam,5 phòng,,12 m,5 tầng
