address,gen_descrip,Diện tích,Mức giá,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Nội thất
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Nguyễn Xiển', 'Dự án Legacy Garden']","
Dự án thấp tầng hấp dẫn nhất thị trường vào thời điểm hiện tại.Sản phẩm ra luôn không phải chờ đợi.Vị trí: Ngay ngã tư Nguyễn Xiển - Nguyễn Trãi là trung tâm quận Thanh Xuân - Hạ tầng nội ngoại khu đã hoàn thiện.Sản phẩm hiếm có trên thị trường chỉ 118 căn liền kề shophouse.+ Pháp lý đã xong.+ Hình thức sổ đỏ: Lâu dài.Tiến độ thi công tốt chuẩn bị xong móng và một số phân khu xây lên tầng 2.Một sản phẩm tốt để ACE giới thiệu KH có thể sử dụng luôn vừa ở, vừa đầu tư.Thông tin dự án.+ Quy mô dự án: 74.975m.+ Sản phầm: Loại hình phát triển: Liền kề, shophouse.+ Quy mô dự án: 118 lô gồm: 48 lô liền kề nội khu và 70 lô shophouse mặt tiền đường.Diện tích liền kề shophouse Legacy Garden Hạ Đình.+ Diện tích liền kề nội khu: Gồm các loại diện tích: 85m² - 93m² - 131m².+ Diện tích shophouse 1 mặt tiền đường: 93m² - 104m² - 124m² - 139m² - 147m².+ Diện tích shophouse 2 mặt tiền đường: 115m - 163m.- Thiết kế xây dựng: Số tầng: 5 tầng, 2 mặt tiền, 5 nhà vệ sinh, 1 gara ô tô, 2 phòng bếp, 5 phòng tắm, 1 phòng sinh hoạt chung, 1 phòng thờ.- Hỗ trợ vay vốn 70% giá trị căn hộ với lãi suất ưu đãi. (AC liên hệ để được tư vấn chi tiết).* Tại sao nên đầu tư liền kề, biệt thự, shophouse 214 Nguyễn Xiển.- Phong thủy đắc địa trên mặt đường quy hoạch Đại Lộ Hoàng Mai rộng 30m, đường ngõ Nguyễn Xiển mở rộng 30m, trong nội khu đô thị đồng bộ hạ tầng, Kết nối các trục đường lớn Nguyễn Xiển Vành Đai 3, đường Nguyễn Trãi đường sắt trên cao Cát Linh Hà Đông.Liên hệ: Em Phương: 0988 159 *** để nhận thông tin chi tiết căn suất đẹp nhất, giá tốt nhất.            ",93 m²,Thỏa thuận,30 m,Đông - Nam,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,15/12/2022,Tin thường,35522968,batdongsan_com_vn_35522968,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Cần bán căn Liền kề Ngọc trai 6 Đảo nhỏ view vườn hoa tại Vinhomes Ocean Park - Gia Lâm.- Diện tích: 70,8m² xây dựng 66,6m/sàn.- Hướng Đông nam.- View công viên, vườn hoa, bể bơi, sân chơi thể thao.- An ninh khép kin 24/7.- Đã có sỏ đỏ.Giá bán 17 tỷ.Liên hệ ngay: 0828 288 *** ",70.8 m²,17 tỷ,,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,01/12/2022,08/12/2022,Tin thường,36001378,batdongsan_com_vn_36001378,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'đường Mỹ Đình']","
Chính chủ bán gấp nhà 50m, đường Mỹ Đình, 6 tầng thang máy, ô tô, kinh doanh giảm sốc 900 triệu,  giá chỉ còn 6.5 tỷ.Nhà xây chắc chắn, thiết kế thông sàn kinh doanh, nội thất thang máy nhập khẩu, công năng đầy đủ tiện nghi.Vị trí nhà đẹp, trung tâm thuận tiện đi lại các đường Phạm Hùng, Lê Đức Thọ, Mễ Trì, gần phố Dương Khuê, Nguyễn Hoàng, Trần Bình...Xung quanh tiện ích vô vàn gần Trường Đại học Quốc Gia, Đại học Thương Mại, Đại học Ngoại Ngữ... Khu vực tập trung nhiều tòa nhà văn phòng, các công ty lớn nhỏ kinh doanh tấp nập ngày đêm.Sổ đỏ đẹp, chính chủ, sẵn sàng giao dịch.Liên hệ tôi Hậu để xem nhà.            ",50 m²,6.5 tỷ,,,,,,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36039616,batdongsan_com_vn_36039616,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City']","
Bán căn 2 ngủ 87m² Times City, Minh Khai đầy đủ đồ 4.3 tỷ bao phí.- Diện tích 87m².- 2 ngủ 2 vệ sinh, có ban công, lô gia.- Tầng trung, ban công Nam.- Đầy đủ đồ đẹp, có phí dịch vụ, slot ô tô vĩnh viễn.Liên hệ zalo hoặc SĐT 0334 741 *** ",87 m²,4.3 tỷ,,Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36043798,batdongsan_com_vn_36043798,Nam,Đầy đủ
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', 'Dự án Royal City']","
Chuyển trường cho con tôi bán nhanh căn hộ tại Royal City, 72A đường Nguyễn Trãi, HN.Diện tích 109m², thiết kế 2 phòng ngủ, 2vs.Căn hộ vuông vắn, không cột giữa nhà.Phòng khách rộng rãi, view thành phố thoáng đãng.Sổ hồng chính chủ, còn phí dịch vụ.Giá bán: 4.85 tỷ (có bớt).Liên hệ chính chủ Ms. Phương 0343 951 ***sđt/zalo).            ",109 m²,4.85 tỷ,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36029522,batdongsan_com_vn_36029522,,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án Gamuda Gardens']","
Tôi bán chung cư Gamuda.DT 96m², 3 phòng ngủ nội thất đủ.Giá bán: 4,25 tỷ.LH 0989 604 *** ",96 m²,4.25 tỷ,,,,3 phòng,,,06/12/2022,13/12/2022,Tin thường,36043061,batdongsan_com_vn_36043061,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', '234', 'Thành Phố Giao Lưu']","
- Tôi có căn hộ cần bán tại tòa nhà tái định cư, Thành Phố Giao Lưu, 234 Phạm Văn Đồng với nhiều tiện ích xung quanh, siêu gần siêu thị Metro, hồ điều hòa... Nối trục đường lớn Phạm Văn Đồng..- Thiết kế căn hộ: 2N, 1VS, 1PK, 1 bếp. Nhà mới, sạch sẽ, không thấm.- Tòa: CT 1A.- Gia đình tôi để lại toàn bộ nội thất (trường hợp anh, chị không cần đến gia đình sẽ mang đi).- Anh, chị xem nhà liên hệ sđt: 0369 123 *** ",57 m²,1.8 tỷ,,,,2 phòng,1 phòng,,05/12/2022,15/12/2022,Tin thường,35947736,batdongsan_com_vn_35947736,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Trung Văn', 'Đường Tố Hữu', 'Dự án C37 Bộ Công An - Bắc Hà Tower']","
Chính chủ bán căn hộ chung cư C37 Bộ Công An - Bắc Hà Tower, Đường Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội.Diện tich thông thuỷ 74m² thiết kế 2 phòng ngủ, 1 phòng khách rộng rãi thoáng mát, đón ánh sáng, 2 nhà vệ sinh.Hướng ban công Tây Bắc nhìn ra đường Tố Hữu.Nội thất tôi để lại toàn bộ cho chủ sau.Gọi cho tôi 0972 509 *** ",74 m²,2.6 tỷ,,Đông - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,03/12/2022,10/12/2022,Tin thường,36020235,batdongsan_com_vn_36020235,Tây - Bắc,Đầy đủ
"['Hà Nội', 'Hoài Đức', 'Xã An Thượng', 'Đường Lê Trọng Tấn', 'Dự án Nam An Khánh']","
Cần bán lô 210m² KĐT Mới Nam An Khánh - Hoài Đức - HN. Sổ đỏ chính chủ.- Diện tích: 210m².- Diện tích xây dựng 120m²/sàn/tầng.- Xây 4 tầng DT sàn 425m² sàn.- Đường trước mặt 13.5m gần hồ lớn 7 ha.Hiện trạng xây thô 3 tầng 1 tum và hoàn thiện mặt ngoài.Pháp lý: Sổ đỏ.Không gian xanh giữa lòng thủ đô. Với mật độ xây dựng chỉ 30% trên tổng thể 14ha nằm trọn vẹn trong quần thể ven hồ 7ha và công viên 4ha trong khu đô thị Nam An Khánh. KĐT khép kín với tên Vista Lago, đơn vị vận hành quản lý uy tín thế giới Savills, chủ đầu tư Sudico.- Tiện ích:+ Cách Vinhomes Thăng Long 300m.+ Cách đại siêu thị lớn nhất miền Bắc Aeon Mall 2km.+ Gần trường học, chợ, siêu thị, bệnh viện, giao thông thuận tiện, an ninh tốt.+ Cạnh khu vui chơi Thiên Đường Bảo Sơn.+ Cách 500m Vinhomes Smart City, Vincom Mega Mall 800m.- Liên hệ: 0936 130 ***- Địa chỉ: Khu đô thị Nam An Khánh, Hoài Đức, Hà Nội.            ",210 m²,23 tỷ,13.5 m,,4 tầng,,,Sổ đỏ.,02/12/2022,09/12/2022,Tin thường,30550852,batdongsan_com_vn_30550852,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Phố Mạc Thị Bưởi', 'Dự án Hòa Bình Green City']","
Cần tiền bán gấp căn 3PN 116m² chung cư cao cấp Hoà Bình green city - phố Minh Khai.- Sổ đỏ chính chủ, giao dịch ngay- Diện tích 116m² thiết kế vuông vắn, ban công Đông Bắc phòng ngủ+ ban công view trực diện sông- Chính chủ ở siêu giữ gìn, để lại nội thất cao cấpKhách thiện chí mua LH tôi để đàm phán giá 0916 976 *** - e Loan.            ",116 m²,Thỏa thuận,,Tây - Bắc,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36043753,batdongsan_com_vn_36043753,Đông - Nam,Đầy đủ
