address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Mặt tiền,Số phòng ngủ,Số toilet,Nội thất,Đường vào,Hướng nhà,Hướng ban công
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Hoàng Quốc Việt']","
Phân lô quân đội - 7 chỗ vào nhà - view đẹp, 2 mặt thoáng.- Nhà nằm trong khu phân lô vip yên tĩnh, view thoáng đẹp vĩnh viễn.- Ngõ rộng, thoáng, thẳng, ô tô qua nhà quay đầu vô tư.- Khu vực an ninh, dân trí cao, ở đẳng cấp hoặc làm văn phòng.- Xây dựng khung cột bê tông chắc chắn, thang máy, thiết bị nội thất cao cấp nhập khẩu.- Sổ phân lô, vuông đẹp, sẵn giao dịch.            ",110 m²,17.5 tỷ,Sổ phân lô,09/11/2022,09/12/2022,Tin thường,35769347,batdongsan_com_vn_35769347,,,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Nam Đồng', 'Phố Xã Đàn']","
Trung tâm quận Đống Đa - mặt phố hot, vip bậc nhất quận - kinh doanh sầm uất ngày đêm.- Mặt phố Xã Đàn, 1 mặt phố 1 mặt ngõ.- Sổ diện tích 186m², mặt tiền gần 5m.- Thiết kế 5 tầng phù hợp cho thuê văn phòng, showroom,..- Sổ đỏ nở hậu, pháp lý rõ ràng.- Giá 63 tỷ có thương lượng.* Liên hệ: Cương Đỗ 0974 660 ***Miễn TG - MG).            ",186 m²,63 tỷ,Sổ đỏ/ Sổ hồng.,06/12/2022,13/12/2022,Tin thường,35531088,batdongsan_com_vn_35531088,5 tầng,,,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường 420']","
Chính chủ cần bán gấp lô đất 75m², hai mặt tiền tại xã Bình Yên xung quanh tiện ích đầy đủ. LH 0963 967 *** Hoàng.Liên hệ E Hoàng 0963 967 *** & add zalo em để nhận thông tin và hình ảnh lô đất ạ.* Vị trí:- Thuộc thôn Cánh Chủ, xã Bình Yên.- Ngay sát khu Công nghệ cao, cách khu công nghệ cao hòa lạc 5p đi xe.- Giá đầu tư, dễ dàng thanh khoản.* Giao thông.- Cách trường mầm non, trường cấp 1, cấp 2 Bình Yên chỉ 2 phút đi xe.- Gần UBND xã Bình Yên.- Cách đường 420 chỉ 200m.- Đường hai ô tô tránh nhau.- Giao thông kết nối hoàn hảo.- Vị trí đắc địa.* Diện tích:- Diện tích 75m², hai mặt tiền trước và sau.- Sẵn sổ, công chứng sang tên trong ngày.* Hạ tầng:- Đường trải nhựa, lòng đường vào rộng rãi.- Đường điện cao áp, cống thoát nước, kỹ thuật, cảnh quan sẵn.Liên hệ E Hoàng 0963 967 *** & add zalo em để nhận thông tin và hình ảnh lô đất ạ.            ",75 m²,19 triệu/m²,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,35661002,batdongsan_com_vn_35661002,,,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Dương Đình Nghệ']","
Toà building hạng A - mặt phố Dương Đình Nghệ - Cầu Giấy.- Mặt phố Dương Đình Nghệ, ngã 4, lô góc 2 mặt đường.- Diện tích 4500m², mặt tiền 200m.- Thiết kế hiện đại 25 tầng trong đó 3 hầm.- Sổ đỏ vuông vắn, pháp lý rõ ràng.- Hình thức chuyển nhượng: Mua bán tài sản trên đất.- Giá 1.950 tỷ.* Liên hệ: Cương Đỗ 0974 660 ***miễn TG - MG).            ",4500 m²,1950 tỷ,Sổ đỏ,06/12/2022,13/12/2022,Tin thường,34975904,batdongsan_com_vn_34975904,22 tầng,200 m,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Phố Chùa Láng', 'Ngõ 157']","
Chính chủ bán nhà trong ngõ 157 Chùa Láng, trung tâm Đống Đa.- Diện tích 45m² x 5 tầng.- Vị trí đẹp, đường trước nhà rộng, ba gác phóng vèo vèo, 50m ra phố.- Nhà hiếm, dân xây dựng, nở hậu, có ô chờ thang máy.- Thiết kế:+ Tầng 1: Để xe, bếp, WC.+ Tầng 2: Khách, 1 ngủ khép kín.+ Tầng 3: 1 ngủ master khép kín.+ Tầng 4: 1 ngủ khép kín, Phòng thờ.+ Tầng 5: Tum chống nóng.- Giá 4,9 tỷ. Sổ đỏ chính chủ.Liên hệ xem nhà: 0362 442 ***zalo Vũ Long).            ",45 m²,4.9 tỷ,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36041670,batdongsan_com_vn_36041670,5 tầng,,3 phòng,4 phòng,Đầy đủ,,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Vũ Xuân Thiều']","
* Nhà xây 5.5 tầng, diện tích: 45m², ngõ rộng 5m, thiết kế hiện đại, thoáng mát.- Hướng Đông Nam.- Sổ đỏ chính chủ.Tầng 1: Gara để xe.Tầng 2: Phòng khách + bếp.Tầng 3,4,5: Mỗi tầng 1 phòng ngủ + 1 WC rộng rãi.- Liên hệ: Mr Thắng: 0979 622 *** ",45 m²,6 tỷ,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36043661,batdongsan_com_vn_36043661,6 tầng,,3 phòng,4 phòng,Cơ bản,5 m,Đông - Nam,Đông - Nam
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Dự án Sunshine City']","
Bán căn 3PN tại Sunshine City.- Diện tích 89m² (đủ đồ).- Ban công hướng tây nam.- View nội khu.- Giá siêu mềm 4.1 tỷ (có sổ) + (bao phí).- LH xem nhà: 0926 331 *** hỗ trợ 24/7.            ",89 m²,4.1 tỷ,Sổ đỏ/ Sổ hồng,02/12/2022,09/12/2022,Tin thường,36014461,batdongsan_com_vn_36014461,,,3 phòng,2 phòng,"Đầy đủ đồ liền tường (bàn ăn, tủ, giường... ).",,Đông - Bắc,Tây - Nam
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng', ""Dự án Vinhomes D'Capitale""]","
Gia đình chuyển xuống nhà đất, cần bán lại cănhộ chung cư cao cấp Vinhomes D'Capitale 72m².Nhà làm nội thất để ở, nên sang, xịn và đẹp (mới80%).Cả phòng khách & 2PN đều thoáng sáng, ban công rộng.Cửa hướng Bắc, ban công hướng Nam view nội khucực đẹp.Giá bán 5.9 tỷ.LH: Em Hương 0911 126 *** ",72 m²,5.9 tỷ,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36044001,batdongsan_com_vn_36044001,,,2 phòng,2 phòng,Đầy đủ,,Bắc,Nam
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Lê Trọng Tấn', 'Dự án ParkCity Hà Nội']","
- Diện tích 154m², xây 3 tầng, mặt tiền 7m, phòng ngủ hướng Đông Nam.- Tầng 1: Phòng khách, phòng ăn và bếp.- Tầng 2&3: 5PN, 1 phòng thờ, 1 phòng làm việc, khu giặt phơi.- 4 toilet.- Không thang máy.- Bán full nội thất.- Vị trí nằm trục đường chính của KĐT đối diện vườn hoa, khu shophouse, Le Jardin, Trung tâm thương mại, sau nhà là vườn hoa, tiện ích nội khu đẳng cấp không thua kém resort 5 sao.- Sổ đỏ chính chủ. Giá bán 34 tỷ có thương lượng.Liên hệ 0983 983 *** xem nhà.            ",154 m²,34 tỷ,Sổ đỏ,06/12/2022,13/12/2022,Tin thường,35891690,batdongsan_com_vn_35891690,3 tầng,7 m,5 phòng,5 phòng,,12 m,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu', '36', 'Hoàng Cầu Skyline']","
BQL tòa Hoàng Cầu Skyline được dân cư tin tưởng gửi bán một số căn hộ tại toà Hoàng Cầu Skyline, 36 Hoàng Cầu, Đống Đa, Hà Nội.LH: 0971 216 *** - Ms Chinh phụ trách bán.* Thông tin căn hộ bán:- Căn 02, diện tích 69m², cửa TN, ban công ĐB. Giá 4.15 tỷ full đồ- Căn 04, 130m², sàn thô. Giá 5.7 tỷ bao phí.- Căn 04, 130m², đủ đồ. Giá 6 tỷ* Tiện ích của tòa nhà: Gym, bể bơi tầng M, siêu thị Minh Hoa, vườn hoa sinh thái, 3 tầng thương mại.Quý khách có nhu cầu liên hệ: 0971 216 *** - Ms Chinh để được tư vấn và xem nhà.Miễn phí hoàn toàn cho khách.Cảm ơn đã đọc tin và MTG.            ",69 m²,4.15 tỷ,,06/12/2022,13/12/2022,Tin thường,25312637,batdongsan_com_vn_25312637,,,2 phòng,2 phòng,,,Tây - Nam,Đông - Bắc
