address,gen_descrip,Diện tích,Mức giá,Đường vào,Số tầng,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số toilet,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Yên Xá', 'Dự án Tổng cục 5 Tân Triều']","
Nhà thuộc khu phân lô liền kề Tổng Cục 5 Trước nhà rộng rãi thoáng vĩnh viễn, để vài xe ô tô, văn phòng, ở hợp lý.Mô tả:- Vị trí: Phân lô liền kề - dãy đẹp nhất dự án, Đường rộng 10m, hè 2 bên,- Nhà chủ đầu tư trang thiết bị rất đẹp, nội thất cao cấp.- Thiết kế:+ Tầng 1: Nhà bếp + để xe.+ Tầng 2: Phòng khách + ngủ + vs.+ Tầng 3: 2 ngủ + vs.+ Tầng 4: 2 ngủ + vs.+ Tầng 5: Tum + sân phơi.- Sổ phân lô vuông vắn sẵn sàng giao dịch.            ",60 m²,10 tỷ,10 m,5 tầng,5 phòng,Có sổ.,06/12/2022,13/12/2022,Tin thường,34507747,batdongsan_com_vn_34507747,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Phố Liễu Giai']","
- Nhà nằm trong khu phân lô dân trí cao, quan chức, người nước ngoài.- Đường vào nhà oto tránh, cách 60m ra phố.- Nhà xây kiểu biệt thự, thoáng trước sau, sau nhà có lối đi cũng là đường oto.- Thiết kế phù hợp cho 1 gia đình sinh hoạt.- Bán kính 500m là Lotte, Vincom, trường học các cấp, vài phút ra hồ tây. Tiện ích bạt ngàn.- Giao thông thuận tiện Kim Mã, Đào Tấn, Nguyễn Chí Thanh.- Sổ đỏ chính chủ, nhà ở có lộc.            ",100 m²,24.5 tỷ,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36043802,batdongsan_com_vn_36043802,7 m,3 phòng,Đầy đủ,,
"['Hà Nội', 'Gia Lâm', 'Xã Đông Dư', 'Đường Đông Dư']","
Bán đất xóm 4 Đông Dư, 46m² mặt tiền 4.5m, nở hậu, cách 20m ra trục chính xóm 4 Đông Dư.+ Diện tích 46m², mặt tiền 4.5m, nở hậu.+ Đường trước nhà 2.5m.+ Mảnh đất có khổ siêu đẹp, mặt tiền rộng, cách 20m ra trục đường chính xóm 4 Đông Dư.+ Giá bán: 52tr/m². Tổng 2.39 tỷ, có thương lượng, gia lộc.+ Pháp lý: Sổ đỏ chính chủ, không cầm cố, sẵn sàng công chứng, hỗ trợ vay bank.+ Liên hệ: Trần Kiều Trinh 0933 916 *** Để đi xem đất và tư vấn miễn phí.+ Cam kết bán đúng giá không thu phí người mua Chuyên đất đấu giá, đất TĐC, đất thổ cư.            ",46 m²,2.39 tỷ,2.5 m,,,Sổ đỏ/ Sổ hồng.,06/12/2022,13/12/2022,Tin thường,35746400,batdongsan_com_vn_35746400,4.5 m,,,Tây - Bắc,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Phố Trần Cung', 'Dự án Nghĩa Đô']","
Bán chung cư KĐT mới Nghĩa Đô, Bắc Từ Liêm, Hà Nội.Vị trí trung tâm, gần nhiều dự án lớn như Indochina Plaza, Sky Park View, An Bình City, Golden Field, Iris Garden, Home City, Tràng An Complex, MD Complex, Dolphin Plaza, Hà Nội Pragon, Discovery Complex, Center Point, Discovery Skyline, Vimeco Nguyễn Chánh, Tổng cục 5 Bộ Công An, Mỹ Đình Plaza I, The Nine, Tràng An ComplexThe Park Home, Luxury Park View, AZ Lâm Viên, Golden Palace, Vinhome West Point, Vinhomes D'Capitale, Vinhomes Skylake, Scitech Tower, The Zei, Mỹ Đình Plaza 2, Mỹ Đình Pearl, Vinaconex 7 - K2, Bắc Hà Lucky Building, Yên Hòa Condominium, The Garden Hill...Tầng thấp. Diện tích 52m², gồm 1 phòng ngủ. Full nội thất.Giá: 2,4 tỷ có bao phí. Hướng Tây. Ban công hướng Đông.Liên hệ: 0906 212 *** - 0969 636 ***.            ",52 m²,2.4 tỷ,,,1 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,34987183,batdongsan_com_vn_34987183,,,Nội thất đầy đủ ,Tây,Đông
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Chấp nhận bán rẻ hơn thị trường khoảng 5 tỷ đồng.+ Chủ nhà cần bán căn biệt thự liền kề phân khu Sao Biển - Vinhomes Ocean Park Gia Lâm.+ Diện tích: 90m² xây dựng 4 tầng, mặt tiền 7,5m, Hướng: Tây bắc vói 2 mặt sân vườn trước sau.+ Chủ nhà đã hoàn thiện full nội thất, đồ điện tử cao cấp nhập khẩu... Tổng có 3 phòng ngủ rộng rãi (Nguyên tiền hoàn thiện đã hết khoảng 3 tỷ đồng).+ Ngôi nhà tọa lạc tại vị trí đẹp, đắc địa (quỹ căn đẹp mà hiếm tại dự án), View nhìn công viên rất thoáng mát... Bên cạnh nhà là cộng đồng cư dân tinh hoa đã về ở, yên tĩnh, an ninh đảm bảo tuyệt đối, đường thông thoáng, gần ngay TTTM Vincom, biển hồ, quảng trường biển.+ Sổ đỏ vĩnh viễn, sổ ở nhà, sẵn sàng giao dịch. Giá bán nhanh chỉ 16,5 tỷ (có thể bao phí sang tên/ thương lượng cho khách hàng nhiệt tình mua nhà).+ Quý khách hàng quan tâm xem nhà, xin liên hệ trực tiếp: 0392 688 *** ",90 m²,16.5 tỷ,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,03/12/2022,10/12/2022,Tin thường,35921575,batdongsan_com_vn_35921575,7.5 m,3 phòng,Đầy đủ.,Tây - Bắc,
"['Hà Nội', 'Hà Đông', 'Phường Yết Kiêu', 'Đường Chu Văn An', 'Dự án Samsora Premier']","
Ang ở căn hộ 2 phòng ngủ ở chung cư Samsora do nhu cầu chuyển chỗ ở nên cần nhượng lại căn hộ này cho người có nhu cầu.- Căn hộ là căn ban công TB, cửa hướng ĐN có diện tích 70 m² gồm 2 phòng ngủ, 2 vệ sinh các phòng đều đầy đủ ánh sáng, view thoáng và rất mát.- Tầng trung không bị nắng chiếu, ồn, muỗi, bụi.- Nội thất liền tường.- Sổ đỏ chính chủ tên vợ chồng tôi.- Tôi bán giá 2,7 tỷ (bao phí có gia lộc thêm).Ai thực sự có nhu cầu tìm mua căn hộ ở đây, vui lòng liên hệ cho tôi SĐT 0363 388 ***Miễn trung gian).            ",70 m²,2.7 tỷ,,,2 phòng,Sổ đỏ/ Sổ hồng,03/12/2022,10/12/2022,Tin thường,36022256,batdongsan_com_vn_36022256,,2 phòng,Full nội thất (ảnh thật).,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Hà Đông', 'Phường Yết Kiêu', 'Đường Chu Văn An', 'Dự án Samsora Premier']","
Gia đình tôi đang ở căn hộ 3 phòng ngủ ở chung cư Samsora Prime Hà Nội Do nhu cầu chuyển chỗ ở nên cần nhượng lại căn hộ này cho người có nhu cầu.Căn hộ view Vườn hoa Hà Đông.- Căn hộ là căn ban công ĐN, cửa hướng TB có diện tích 88 m² gồm 2 phòng ngủ, 2 vệ sinh các phòng đều đầy đủ ánh sáng, view thoáng và rất mát.- Tầng trung k bị nắng chiếu, ồn, muỗi, bụi.- Nội thất liền tường.- Sổ đỏ chính chủ tên vợ chồng tôi.- Tôi bán giá tỷ (bao phí có gia lộc thêm).Ai thực sự có nhu cầu tìm mua căn hộ ở đây, vui lòng liên hệ cho tôi SĐT 0363 388 ***Miễn trung gian).            ",88 m²,3.1 tỷ,,,2 phòng,Sổ đỏ,02/12/2022,09/12/2022,Tin thường,36017600,batdongsan_com_vn_36017600,,2 phòng,Ảnh thật,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Tây Hồ', 'Dự án Chung cư CT36 Xuân La']","
Chính chủ bán căn nhà tầng trung tại dự án CT36 Xuân La - Tây Hồ.Căn hộ diện tích: 72m² thiết kế 2PN, 2WC, 1 ban công và 1 logia.Căn nhà đã sắm đầy đủ nội thất đặc biệt view Hồ Tây siêu đỉnh. Nhà pháp lý chuẩn sổ hồng chính chủ.Giá bán: 3.4 tỷ (có thỏa thuận).Liên hệ: 0964 570 ***A. Giang).            ",72 m²,3.4 tỷ,,,2 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35969552,batdongsan_com_vn_35969552,,2 phòng,Đầy đủ nội thất,Tây,Đông
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Mễ Trì']","
Bán nhà Mỹ Đình Mễ Trì ô tô tránh kinh doanh thang máy chờ 36m² x 7t 5,2 tỷ.- Ngõ thông, ô tô tránh, gara ô tô gần kề; kinh doanh sầm uất đặc biệt là ăn uống.- Kết nối Mỹ Đình, Mễ Trì, Lê Đức Thọ, ĐL Thăng Long; đối diện BigC Garden, gần BV Hồng Ngọc, SVĐ Mỹ Đình.- Thiết kế hiện đại, trẻ trung; thông sàn T1; 4PN master siêu đẹp, sẵn ô chờ thang máy.- Sổ đỏ chính chủ sẵn sàng trao tay.- Khách hàng mua nhà Mỹ Đình, Mễ Trì vui lòng liên hệ em Lãm thổ cư gặp chủ xem nhà 24/7, miễn trung gian môi giới.            ",36 m²,5.2 tỷ,,,,,06/12/2022,13/12/2022,Tin thường,36043919,batdongsan_com_vn_36043919,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Phố Nguyễn Đổng Chi', '126']","
Chính chủ bán chung cư mini Nguyễn Đổng Chi - Nam Từ Liêm, vào ở ngay.- Mức giá 680tr.- Sổ đỏ chung.- Liên hệ: 0904 156 ***Mô tả:- Nhà đẹp, Căn góc, 3 mặt thoáng, tầng 4.- Diện tích: 40,3 m², 1 phòng ngủ lớn, 1 phòng khách, 1 phòng ăn, 1WC, phòng bếp và ban công, cửa ra vào hướng Tây Bắc, ban công hướng Tây Nam.- Nội thất: Đã làm sàn gỗ, đầy đủ tiện nghi: Nóng lạnh, điều hòa, tủ lạnh, tủ bếp, hút mùi, tủ tường, bàn học.. Có chỗ để xe máy, sân rộng.- Nằm ngay trung tâm Quận Nam Từ Liêm cách Quận ủy Nam Từ Liêm 1km, cách bên tàu điện ngầm trên cao 200m, cách 2 chợ/ Vinmart ngay đầu ngõ, cách trường tiểu học, trường cấp 2/3 Lê Quý Đôn, Đoàn Thị Điểm 500m, cách ĐH Thương Mại 1km và cách trạm xá 800m, gần công viên, hồ điều hòa. Vào ở ngay, chìa khóa trao tay.            ",40.3 m²,680 triệu,,,1 phòng,Sổ đỏ/ Sổ hồng,30/11/2022,30/12/2022,Tin thường,35990869,batdongsan_com_vn_35990869,,1 phòng,Cơ bản,Tây - Bắc,Tây - Nam
