address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Số tầng
"['Hà Nội', 'Gia Lâm', 'Xã Đông Dư', 'Đường 379', 'Xóm 2']","
+ Bán mảnh đất Xóm 2 Đông dư - Gia Lâm - Hà nội.+ Diện tích: 60m² MT 4m.+ Hướng: Đông Nam.* Đường: 4m phía ngoài ô tô quay đầu được.* Tiện ích: Trung tâm, gần chợ trường học các cấp, gần trung tâm hành chính, cách VinOceanPark chỉ 1.5 km,...- Hàng xóm thân thiện, không khí mát mẻ thích hợp anh chị có thể mua ở hoặc đầu tư thời điểm này cực hợp lý.* Giao thông: Thuận tiện ra QL 379, Cầu Thanh Trì,...* Pháp lí: Sổ đỏ chính chủ, cam kết không tranh chấp, quy hoạch.* Giá: 3.3 tỷ (có thương lượng gia lộc cho khách mua).* Anh chị có nhu cầu vui lòng liên hệ Em Hưng.* Số điện thoại: 0855 488 **** Zalo: 0978 453 ***Hưng Gia Lâm) - cam kết rẻ nhất thị trường bán đúng giá miễn phí tư vấn.* BĐS Đông Dương - - - 21 Nguyễn Mậu Tài - TT Trâu Quỳ - Gia Lâm - Hà Nội.            ",60 m²,3.3 tỷ,4 m,4 m,Đông - Nam,06/12/2022,13/12/2022,Tin thường,35178289,batdongsan_com_vn_35178289,,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Nguyễn Xiển', 'Dự án Eco Green City']","
Gia đình tôi đang ở căn hộ 2 phòng ngủ ở chung cư Eco Green Hà Nội. Do nhu cầu chuyển chỗ ở nên cần nhượng lại căn hộ này cho người có nhu cầu.- Căn hộ là căn ban công ĐB, cửa hướng TN có diện tích 85m² gồm 3 phòng ngủ, 2 vệ sinh các phòng đều đầy đủ ánh sáng, view thoáng và rất mát.- Tầng trung không bị chắn view, không bị ồn, muỗi, nắng chiếu.- Chúng tôi để lại toàn bộ nội thất gồm full thiết bị vệ sinh cao cấp, giường, tủ, bếp, điều hòa, nóng lạnh, ghế sofa, kệ tivi...- Sổ đỏ chính chủ tên vợ chồng tôi.- Tôi bán giá 3,2 tỷ (bao phí có gia lộc thêm).Ai thực sự có nhu cầu tìm mua căn hộ ở đây, vui lòng liên hệ cho tôi.SĐT 0363 388 *** Miễn MG - Quảng Cáo.            ",85 m²,3.2 tỷ,,,Tây - Nam,01/12/2022,08/12/2022,Tin thường,35365986,batdongsan_com_vn_35365986,Đông - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Nội thất như ảnh.,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính']","
TT Cầu Giấy - phân lô - kinh doanh, gara ô tô - vỉa hè ô tô tránh - 10m ra phố.- Ngõ rộng ô tô tránh, thông tứ tung. Gần phố nhà thuộc khu liền kề, ô tô vỉa hè rộng, 2 thoáng trước sau, kinh doanh tốt nhiều loại hình. Lòng đường trước nhà rộng 8m.- Thiết kế: Nhà xây 4 tầng 1 tum.+ Tầng 1: Cửa hàng + wc.+ Tầng 2: Phòng khách + Bếp, wc.+ Tầng 3,4: Mỗi tầng 2 phòng ngủ, wc.+ Tầng 5: Phòng thờ + sân phơi.- Sổ đỏ chính chủ.- Liên hệ anh Đoàn 0987 595 *** để được hỗ trợ và tư vấn (miễn trung gian và môi giới).            ",85 m²,16.9 tỷ,4.5 m,,,06/12/2022,13/12/2022,Tin thường,35971865,batdongsan_com_vn_35971865,,,,Sổ đỏ/ Sổ hồng,,5 tầng
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Phố Cầu Am', '430', 'GoldSilk Complex']","
Do nhu cầu chuyển đổi, chính chủ muốn nhượng lại căn hộ chung cư sau.Căn hộ Jasmine, CC Goldsilk 430 Cầu Am, Vạn Phúc, Hà Đông.Diện tích 122m², 1 phòng khách, 1 bếp, 3 ngủ, 3 WC. Phòng khách và bếp thông nhau nên rộng rãi, tụ tập ăn uống vài mâm thoải mái.Nhà 3 ban công, phòng nào cũng tràn ngập ánh sáng tự nhiên, view ngã tư Vạn Phúc thoáng rộng không bị khuất tầm nhìn. Chiều tà ngồi trong nhà hay ban công uống trà ngắm hoàng hôn chill cực.Có 1 slot ô tô, hàng xóm vui vẻ, đoàn kết, lịch sự. Xung quanh là chợ, siêu thị, trường học, bệnh viện... Rất tiện ích.Giá mong muốn 3.85 tỷ, full nội thất, bao toàn bộ thuế phí sang tên sổ đỏ.Sổ đỏ chính chủ, sẵn sàng giao dịch ngay và luôn.LH 0363 388 *** để xem nhà trực tiếp (Miễn MG, quảng cáo).            ",122 m²,3.85 tỷ,,,Đông - Nam,01/12/2022,08/12/2022,Tin thường,35617458,batdongsan_com_vn_35617458,Tây - Bắc,3 phòng,3 phòng,Sổ đỏ,Full nội thất,
"['Hà Nội', 'Ba Đình', 'Phường Cống Vị', 'Đường Đội Cấn']","
Nhà đẹp ở ngay - tặng full nội thất - khu víp Ba Đình.Nhà đẹp lõi Ba Đình thiết kế chắc chắn, công năng đầy đủ, phân khúc nhiều khách cần mua.- Diện tích 33m² mặt tiền 4m; 5 tầng.+ Nhà thiết kế xây 5 tầng đẹp, chắc chắn, hiện đại.+ Tầng 1: Để xe, bếp, WC.+ Tầng 2: Phòng khách. Phòng ngủ, wc.+ Tầng 3, 4: Mỗi tầng 2 phòng + WC.+ Tầng 5: Phòng thờ, sân phơi.- Vị trí cực đẹp, trung tâm, tiện ích ngập tràn.- Sổ đỏ chính chủ; có thương lượng mạnh cho khách thiện trí.A/c quan tâm vui lòng liên hệ với Anh Tín: 0912 385 ***Xin Phép miễn trung gian).            ",33 m²,4.3 tỷ,,,,28/11/2022,08/12/2022,Tin thường,35958901,batdongsan_com_vn_35958901,,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Tố Hữu', 'Dự án Roman Plaza']","
Tôi có căn 4PN, 3WC tòa B1 hiện đang hoàn thiện Full nội thất đẹp chỉ việc xách vali về ở.Căn hộ cửa vào TN ban công ĐB, ĐN.Giá bán 5 tỷ.Liên hệ: 0924 952 *** ",136 m²,5 tỷ,,,Tây - Nam,03/12/2022,10/12/2022,Tin thường,35794121,batdongsan_com_vn_35794121,Đông - Nam,4 phòng,3 phòng,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Vinhomes Gardenia nằm ở vị trí trung tâm khu vực Mỹ Đình, tiếp giáp với các tuyến đường Hàm Nghi và Nguyễn Văn Giáp sầm uất. Khu vực tập trung nhiều công ty văn phòng, là nơi tập trung nhiều người nước ngoài sinh sống làm việc Hàn Quốc, Nhật Bản... Dễ dàng kết nối với các tiện ích khu vực trung tâm, cơ quan ban ngành, trường đại học, bệnh viện...- 3 phút đến Bến xe Mỹ Đình.- 5 phút đến Khu liên hợp thể thao.- 6 phút đến Đại học Thương Mại.- 10 phút đến Đại học Quốc gia Hà Nội, Học viện Báo chí.- 13 phút tới Bộ Công An.Thông tin căn hộ:- Diện tích sử dụng 122m².- Thiết kế 4 Phòng ngủ, 2 WC, 3 logia.- Khoảng tầng thấp, từ tầng 10 trở xuống.- Ban công phòng khách Đông Bắc, hướng cửa chính Tây Nam.- Phòng ngủ Master thiết kế rộng rãi, có ban công hướng Tây Bắc.- Vị trí căn góc, 2 mặt thoáng, tầm view không bị che chắn. Với thiết kế thông minh, khu vực các phòng ngủ, phòng khách, bếp đều đón được ánh sáng và gió tự nhiên. Giúp cho căn hộ thông thoáng và vượng khí.- Chủ nhà mua bàn giao thô từ Chủ đầu tư, về tự hoàn thiện nội thất như hệ thống tủ bếp, thiết bị vệ sinh hàng nhập khẩu cao cấp, điều hoà âm trần Nhật.- Hiện tại đang cho người Hàn Quốc thuê lại 23,93 triệu/tháng.- Pháp lý rõ ràng, sổ đỏ chính chủ, sẵn sàng giao dịch ngay*.- Bao phí chuyển nhượng, khách hàng thiện chí chủ nhà ra lộc thêm*.- Khách thiện chí đi xem nhà ngay 24/7*.- Liên hệ 039926123.            ",122 m²,56 triệu/m²,,,,05/12/2022,12/12/2022,Tin thường,36028145,batdongsan_com_vn_36028145,Đông - Bắc,4 phòng,2 phòng,Sổ đỏ sẵn sàng giao dịch.,"Đọc kỹ trong phần mô tả hoặc liên hệ trực tiếp để trao đổi, đi xem nhà.",
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Lê Trọng Tấn', 'Dự án KĐT Văn Phú']","
Bán căn TT liền kề Văn Phú đường trục chính 6 làn ô tô.- DT 70m² xây 5T đã hoàn thiện chủ đang ở.- Kinh doanh bậc nhất - sát dãy biệt thự.Giá rẻ nhất khu vực, làm việc trực tiếp CC - 11.2 tỷ.Xem nhà lh e Dương.            ",70 m²,11.2 tỷ,5 m,21 m,,06/12/2022,16/12/2022,Tin thường,35945601,batdongsan_com_vn_35945601,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', '677', 'Heritage West Lake']","
CĐT CapitaLand - CĐT uy tín hàng đầu Singapore bán căn hộ Soho dự án Heritage Westlake ở số 677 Lạc Long Quân, vị trí vàng quận Tây Hồ. Tất cả các căn hộ đều có view Hồ Tây, Lotte cực đẹp.Là dự án Soho (officetel) đầu tiên tại Hà Nội được vận hành đúng tiêu chuẩn căn hộ đa năng (vừa ở - vừa kinh doanh).Chỉ cần 20% (khoảng 600 triệu - 1 tỷ), nhận nhà mới vào 80% còn lại (tháng 12/2024).Liên hệ E. Loan nhận thông tin và booking chọn căn đẹp nhất: 0396 082 ***.1. Thông tin cơ bản dự án:- Chủ đầu tư uy tín: Công ty cổ phần Capital Land - Hiền Đức.- Vị trí: 677 đường Lạc Long Quân, Tây Hồ, Hà Nội.- Tổng diện tích đất: 8.971m².- Tổng số căn: 202 căn officetel.- Thiết kế 25 tầng, 6 tầng TMDV, 4 tầng hầm thông với hầm tháp văn phòng hạng A.- Tầng 1 - 6: TMDV & văn phòng.- Tầng 7 - 24: Căn hộ vừa ở vừa kinh doanh.- Tầng 25: Dịch vụ tiện ích gồm bể bơi 4 mùa, phòng gym.- Số thang máy: 5 thang (khu shop - officetel thang riêng).- Vị trí vàng: 677 Lạc Long Quân - Tây Hồ, đi bộ 5p ra Hồ Tây.2. Diện tích đa dạng cho khách hàng lựa chọn:- Căn studio: 45m².- Căn 1PN: 54m² - 59m² - 71m².- Căn 2PN: 82m²; 88m².* Tiến độ thanh toán linh hoạt.+ Tháng 12/2022 đóng 10%.+ Tháng 3/2023 đóng 10%.+ Khi bàn giao tháng 12/2024 đóng 80%.3. Điểm nổi bật và khác biệt so với các dự án khác:- Dự án sở hữu vị trí độc tôn, với tầm view Hồ Tây và Lotte.- Dự án hội tụ hàng loạt những thương hiệu nội thất cao cấp nổi tiếng thế giới như: Gaggenau, Gessi, Poggenpohl, Smeg và Villeroy & Boch.- Hơn 40 tiện ích nội khu tích hợp tính năng hiện đại.- Tiện ích đặc quyền: Bể bơi 4 mùa, bể sục Jacuzzi, gym, yoga.- Tiêu chuẩn bàn giao cao cấp gồm: Trần thạch cao, sàn gỗ, cửa gỗ, khóa điện tử Yale, thiết bị vệ sinh Hansgrohe/ Toto, bình nóng lạnh Ferroli, chuông cửa hình ảnh.- Giao thông kết nối đa điểm: Hồ Tây, phố cổ, sân bay, trung tâm phía Tây Hà Nội, kết nối 6 cầu mới nối sang Long Biên (20p đến sân bay, 10p đến Hồ Gươm).Liên hệ trực tiếp PKD của CĐT nhận thông tin và xem căn hộ mẫu: 0396 082 ***Ms. Loan).            ",45 m²,2.7 tỷ,,,,05/12/2022,12/12/2022,Tin thường,36032541,batdongsan_com_vn_36032541,,,,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp hạng sang ,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Phạm Hùng', 'Dự án Vinhomes Skylake']","
Chính chủ cần bán nhanh căn hộ 2PN, tầng trung, view thoáng, sổ lâu dài:- Diện tích: 73m², thiết kế 2 phòng ngủ, 2 vệ sinh. Phòng khách rộng.- Hoàn thiện nội thất chủ đầu tư: Thiết bị vệ sinh, thiết bị bếp, điều hòa âm trần...- Ban công thoáng view hồ giá bán: 3,4 tỷ. (có thương lượng).Liên hệ xem nhà: 0945 468 *** ",73 m²,3.4 tỷ,,,,05/12/2022,12/12/2022,Tin thường,29382660,batdongsan_com_vn_29382660,,2 phòng,2 phòng,Có sổ.,"- Hoàn thiện nội thất chủ đầu tư: Thiết bị vệ sinh, thiết bị bếp, điều hòa âm trần...",
