address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Hướng nhà
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Tô Hiệu']","
Tô Hiệu - Cầu Giấy - gần phố - ô tô - mặt tiền rộng - kinh doanh sầm uất - trước nhà sân thể thao tiện đủ đường.- Nhà cách MP gần 20m, ô tô tránh, trước nhà có khuôn viên, sân tập thể thao thoải mái. Ba bước ra công viên Nghĩa Đô, sát trường học Nghĩa Tân, tiện ích vô vàn cái gì cũng có.- Diện tích 32m², thực tế sử dụng 90m², phần đất lưu không chủ xây hết thông sàn làm kinh doanh.- Hiện trạng là có 1 sàn rộng, 1 bếp, 1 toalet, 1 phòng nhỏ giữa bếp và toalet, có thể làm thành nhà tắm hoặc phòng chứa đồ.- Có 2 cửa ra vào, 1 chính đằng trước sân chơi và 1 phụ từ chỗ bếp ra ngoài.+ Với diện tích rộng vừa ở kết hợp làm văn phòng hay kinh doanh đều rất tuyệt vời.+ Hiện tại chủ đang cho thuê.+ SĐCC.            ",90 m²,4.2 tỷ,7.5 m,5 m,1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,06/12/2022,16/12/2022,Tin thường,35945286,batdongsan_com_vn_35945286,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Phố Liễu Giai', 'Dự án Vinhomes Metropolis - Liễu Giai']","
Tôi cần bán nhanh căn hộ chung cư 4 phòng ngủ tại dự án Vinhomes Metropolis.- Thiết kế 4 phòng ngủ, 3 phòng vệ sinh, phòng khách rộng.- Ban công hướng Nam, view Hồ Tây cực đẹp.- Nhà nguyên bản bàn giao CDT nhà mới.- Tầng trung view thoáng.Liên hệ xem nhà: 0945 468 *** ",146 m²,17.5 tỷ,,,,4 phòng,,,,05/12/2022,12/12/2022,Tin thường,29383349,batdongsan_com_vn_29383349,Nam,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Mai Anh Tuấn']","
Nhà hai mặt tiền phố Mai Anh Tuấn - Đống đa, vỉa hè kinh doanh - Dân trí cao an sinh đỉnh.Phù hợp với khách hàng mua để ở hoặc giữ tiền.Diện tích 65m² 6 tầng mặt tiền 4m.Thang máy chạy êm ru - mỗi tầng 2 phòng rộng.Sổ đỏ vuông vắn chính chủ.Giá 18.5 tỷ có thương lượng.Liên hệ 0705 318 *** để xem nhà.            ",65 m²,18.5 tỷ,4 m,4 m,6 tầng,6 phòng,6 phòng,,,02/12/2022,09/12/2022,Tin thường,35769772,batdongsan_com_vn_35769772,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án The Pride']","
Gia đình tôi đang ở căn hộ 2 phòng ngủ ở chung cư The Pride Hà Nội Do nhu cầu chuyển chỗ ở nên cần nhượng lại căn hộ này cho người có nhu cầu.- Căn hộ là căn ban công TB, cửa hướng ĐN có diện tích 75m² gồm 2 phòng ngủ, 2 vệ sinh các phòng đều đầy đủ ánh sáng, view thoáng và rất mát.- Tầng trung không bị nắng chiếu, ồn, muỗi, bụi.- Nội thất đầy đủ.- Sổ đỏ chính chủ tên vợ chồng tôi.- Tôi bán giá 2 tỷ (bao phí có gia lộc thêm).Ai thực sự có nhu cầu tìm mua căn hộ ở đây, vui lòng liên hệ cho tôi SĐT 0363 388 ***Miễn trung gian).            ",75 m²,2 tỷ,,,,2 phòng,2 phòng,Sổ đỏ,Ảnh thật,01/12/2022,08/12/2022,Tin thường,35553850,batdongsan_com_vn_35553850,Đông - Nam,Tây - Bắc
"['Hà Nội', 'Thạch Thất', 'Xã Yên Bình', 'Đường Tỉnh Lộ 446']","
Bán lô đất đẹp đầu tư 442m² tại Yên Bình, Thạch Thất.Sổ hồng, pháp lý rõ ràng.Cách TL446 chỉ hơn 100m.Đường trước mặt rộng 5m. Ngõ thông.Mặt tiền = mặt hậu = 15m.Khổ đất đẹp phù hợp đầu tư hoặc xây nhà vườn.Xung quanh thoáng, view núi Vua Bà.Giá bán 7tr/m².Lh 0973 378 *** ",442 m²,7 triệu/m²,15 m,5 m,,,,Đã có sổ hồng,,06/12/2022,05/01/2023,Tin thường,32297406,batdongsan_com_vn_32297406,,Đông - Bắc
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng']","
Bán đất mặt phố Trần Duy Hưng, Cầu Giấy.1464m² thổ cư, được phép xây dựng toàn bộ.Chính chủ bán giá 315 tỷ.Sổ đỏ 1 chủ. Pháp lý chuẩn chỉ.Liên hệ Mr. Đức 0889 293 *** để được tư vấn thêm.            ",1464 m²,315 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,06/12/2022,13/12/2022,Tin thường,35832458,batdongsan_com_vn_35832458,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Phố Sài Đồng']","
Siêu đẳng cấp, đẹp lung linh, sống là hưởng thụ. Khu đô thị lớn Sài Đồng, dãy biệt thự nằm ngoài đường lớn, kinh doanh, tiện ích lớn nhất, nhà trẻ, trường học, siêu thị, đô thị lớn. Cây xanh vườn hoa nơi đáng sống, trung tâm nhất. Nhà chủ xây cực đẹp tâm huyết lớn, vườn cây cảnh, bể cá koi, tiểu sảnh. Chủ rất muốn bán đi định cư bạn ơi cơ hội cho bạn hãy gọi nhé, 0327 017 *** A Thịnh.            ",240 m²,34 tỷ,,,4 tầng,5 phòng,5 phòng,,,06/12/2022,16/12/2022,Tin thường,36042944,batdongsan_com_vn_36042944,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Nguyễn Văn Huyên']","
+ Chính chủ gửi bán căn mặt Phố Nguyễn Văn Huyên, Phường Nghĩa Đô, Quận Cầu Giấy.+ Diện tích 65 mét vuông, 5 tầng lộng lẫy, thiết kế tầng 2 phòng ốp toàn gỗ Lim Lào.+ Vỉa hè lớn, nhà 2 mặt phố, phù hợp vừa ở vừa kinh doanh. Xung quanh toàn bộ là các ngân hàng, tòa nhà lớn. Bên cạnh là công viên Nghĩa Đô, công an quận Cầu Giấy, nhiều cây xanh, an ninh tốt, môi trường sống cực kỳ lý tưởng.+ Giao thông thuận lợi các tuyến đường lớn: Nguyễn Khánh Toàn, Hoàng Quốc Việt, Cầu Giấy.+ Sổ đỏ chính chủ, vuông vắn, pháp lý rõ ràng.* Giá 21 tỷ (Có gia lộc).+ Liên hệ Phạm Công 0986 701 *** ",65 m²,21 tỷ,4.5 m,18 m,5 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,"Gỗ Lim, nội thất hiện đại.",06/12/2022,13/12/2022,Tin thường,35610659,batdongsan_com_vn_35610659,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Nguyễn Trãi', 'Ngõ 190']","
Vị trí.- Nhà nằm khu vực ngõ 190 Nguyễn Trãi, Thanh Xuân, nhà gần ga tàu điện, trường học các cấp, các trường ĐH lớn, cách Ngã Tư Sở mấy trăm mét, giao thông thuận tiện, tiện ích nhiều, nhà 2 thoáng, lên phòng nào cũng có cửa sổ, trước nhà rộng hơn 3m, không bị 2 nhà đối nhau.- Chủ cần bán gấp trong tháng này lên giá linh động, chỉ cần khách ưng là chốt.- Nhà thiết kế 4 tầng 1 tum, tổng 4 ngủ 3 wc, 1 phòng thờ, sân phơi.- Sổ đỏ đẹp, sẵn sàng giao dịch.- Giá 6.2 tỷ. Có thương lượng.- LH: Quang Duẩn. Hân hạnh được hỗ trợ anh chị.            ",65 m²,6.2 tỷ,4.5 m,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,06/12/2022,16/12/2022,Tin thường,36043869,batdongsan_com_vn_36043869,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Xã Đàn']","
Bán mặt phố Xã Đàn, DT 147m², MT 7m, xây 9T, thang máy hiện đại, nở hậu, thiết kế hiện đại, nội thất xịn, xây mới, vị trí đắc địa, vỉa hè rộng, tiện kinh doanh, SĐCC, giá 125 tỷ: LH 0916 448 ***Bán nhà MP Ô Chợ Dừa, DT 179m², MT 10,4m, xây 2t, 2 mặt phố, vuông vắn, vị trí đắc địa, vỉa hè rộng, tiện xây dựng cao tầng, giá 120 tỷ: LH 0916 448 *** ",147 m²,125 tỷ,7 m,,9 tầng,,,,,06/12/2022,13/12/2022,Tin thường,35367290,batdongsan_com_vn_35367290,,
