address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Nội thất,Hướng nhà,Hướng ban công,Số tầng
"['Hà Nội', 'Gia Lâm', 'Xã Phú Thị', 'Đường Tô Khê']","
- Chính chủ cần bán nhanh mảnh đất 68m² đất 2 thoáng vĩnh viễn, MT= Hậu = 4m, cạnh nhà văn hoá Tô Khê, Phú Thị, Gia Lâm, giá chỉ nhỉnh 2 tỷ.- Vị trí cách trường cấp 1, cấp 2, chợ Sủi 500m, tiện ích ngập tràn, không gian đáng sống nhất huyện Gia Lâm.- Sổ đỏ cầm tay, sang tên ngay sau khi cọc.- Liên hệ em Hợi để xem đất và giao dịch trực tiếp với chủ.            ",68 m²,2.75 tỷ,4 m,3 m,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,36042355,batdongsan_com_vn_36042355,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', 'Dự án Goldmark City']","
Bán chung cư Goldmark City, Bắc Từ Liêm, Hà Nội.Vị trí trung tâm, gần nhiều dự án lớn như Indochina Plaza, Sky Park View, KDT Nam Cường, An Bình City, Sky Park Residence, Golden Field, Iris Garden, Home City, Tràng An Complex, Mỹ Sơn Tower 62 Nguyễn Huy Tưởng, MD Complex, Dolphin Plaza, Mipec Rubik 360, Học viện Quốc phòng, Hà Nội Pragon, Discovery Complex, Center Point, Discovery Skyline, Vimeco Nguyễn Chánh, Tổng cục 5 Bộ Công An, Mỹ Đình Plaza I, The Nine, Tràng An ComplexThe Park Home, Luxury Park View, FLC Landmark, AZ Lâm Viên, Central Field, Golden Palace, Vinhome West Point, Vinhomes D'Capitale, Vinhomes Skylake, Scitech Tower, The Zei, Mỹ Đình Plaza 2, Mỹ Đình Pearl, Vinaconex 7 - K2, Bắc Hà Lucky Building, Yên Hòa Condominium, The Garden Hill, Dreamland Bonanza,...Tòa R2, tầng thấp. Diện tích 78m², gồm 2 phòng ngủ, 2 wc. Full nội thất.Giá bán: 3,1 tỷ. Có sổ, giao dịch nhanh chóng, dễ dàng.Liên hệ: 0906 212 *** - 0969 636 ***.            ",78 m²,3.1 tỷ,,,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35669998,batdongsan_com_vn_35669998,2 phòng,2 phòng,Nội thất đầy đủ,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Dự án An Bình City']","
Chuyển về biệt thự ở nên gia đình em nhượng lại căn hộ 112m², tầng 12 chung cư An Bình City, bao nhiêu tâm huyết hoàn thiện.- Sổ đỏ lâu dài cất két giao dịch ngay.- Nhà làm ăn có lộc, trộm vía em chuyển mua nhà to hơn nên để không lãng phí, em bán lại cho bác nào đang có nhu cầu thực sự.- Nhà thiết kế 3 phòng ngủ 2 vệ sinh, phòng khách, phòng bếp, phòng ăn riêng.- Cửa hướng Bắc, ban công Nam, hai mặt thoáng, view hồ tuyệt đẹp.- Nội thất em đã làm full đầy đủ, em để lại hết luôn.- Giá bán nhỉnh 5 tỷ chút.Anh chị nào thiện chí mua, muốn qua xem nhà liên hệ em Ms Huế: 0988 072 *** ",112 m²,5 tỷ,,,Sổ đỏ/ Sổ hồng,03/12/2022,10/12/2022,Tin thường,35223497,batdongsan_com_vn_35223497,3 phòng,2 phòng,"Điều hòa, tủ bếp, giường tủ, bàn ghế, sofa, tủ giầy, tu vi, tủ lạnh, máy giặt ....nói chung là đủ cả.",Bắc,Nam,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Lương', 'Đường Trần Khát Chân']","
Bán nhà mặt phố Trần Khát Chân, DT 212m², mt 11m, nhà cấp 1,5 T, đang cho thuê 200 triệu / m², vị trí đắc địa, vỉa hè rộng, tiện xây dựng cao tầng, 1 sổ đỏ, giá 129 tỷ.LH 0916 448 *** ",212 m²,129 tỷ,,,,06/12/2022,13/12/2022,Tin thường,35445925,batdongsan_com_vn_35445925,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường La Dương']","
LH 0365 010 *** e Phương đưa anh chị đi xem nhà và gửi ảnh sổ.Ảnh thật em chụp.- Nhà cách đại siêu thị Aeon Mall chỉ 5p đi xe.- Ô tô đỗ ngày đêm cách nhà 30m. 100m ra đường đôi Lê Trọng Tấn.- Đối diện Thiên Đường Bảo Sơn.Tiện ích xung quanh đầy đủ hàng quán, chợ dân sinh, trường học các cấp và trường quốc tế.- Diện tích sổ đỏ: 33m².- Diện tích xây dựng 35m². Xây dựng 5 tầng (4 tầng, 1 tum).- Mặt tiền: 4m, có ban công và cửa sổ 3 cánh cực sáng thoáng.- Đường trước cửa nhà rộng 3m, cực thoáng đãng.* Thiết kế chi tiết:+ Tầng 1: Phòng khách, phòng bếp, WC.+ Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ master, 1WC.+ Tầng 5: 1 phòng thờ riêng biệt và sân phơi.* Nội thất nhà: Hoàn thiện, cầu thang gỗ lim, tbvs cao cấp, điện chiếu sáng, hồ sơ điện nước, trang trí phòng khách vách ngăn và ốp tường...* Giá chào bán: 2,85 tỷ có thương lượng, bao thuế phí sang tên.Ngân hàng hỗ trợ cho vay đến 75% lãi suất ưu đãi năm đầu, vay đến 20 năm.Lh em Phương 0365 010 ***.            ",35 m²,2.85 tỷ,4 m,3 m,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36043786,batdongsan_com_vn_36043786,3 phòng,4 phòng,Đầy đủ ,Đông - Bắc,Đông - Bắc,5 tầng
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Dự án Ecolife Tây Hồ']","
Bán chung cư Ecolife Tây Hồ, phường Xuân La, quận Tây Hồ, Hà Nội.Vị trí đẹp, gần các chung cư cao cấp khác như: Ngoại Giao Đoàn, 6th Element, Udic Westlake, Sun Grand City, Tây Hồ Residence, MHDI, chung cư Học Viện Quốc Phòng, PentStudio, Kosmo Tây Hồ, D'. Le Roi Soleil, D'. El Dorado Tân Hoàng Minh, Vườn Đào, Starlake Tây Hồ, Tây Hồ River View...Tầng trung. Diện tích: 113m², gồm 3 phòng ngủ, 2 WC. Nội thất nguyên bản.Ban công Đông Nam.Giá bán: 45 triệu/m².Liên hệ: 0906 212 *** - 0969 636 ***.            ",113 m²,45 triệu/m²,,,,06/12/2022,13/12/2022,Tin thường,35263669,batdongsan_com_vn_35263669,3 phòng,2 phòng,Nội thất nguyên bản ,,Đông - Nam,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Bông', 'Phố Hàng Quạt']","
Bán nhà mặt phố Hàng Quạt, dt 70m², mt 4m, nhà cấp 4, vuông vắn, vị đắc địa, khu trung tâm quận Hoàn Kiếm, tiện xây dựng, sddcc, giá 37 tỷ: LH 0916 448 ***Bán nhà mặt phố Hàng Mành, dt 58m², mt 3,6m, xây 7 t, thang máy, 12p khách sạn, vị trí đắc địa, phố tây, sđcc, giá 50 tỷ: Lh 0916 448 *** ",70 m²,37 tỷ,,,,06/12/2022,13/12/2022,Tin thường,35367048,batdongsan_com_vn_35367048,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án Usilk City']","
Gia đình cần bán gấp CHCC cao cấp Usilk, Hà Cầu, Hà Đông: Diện tích 116m², gồm 3PN, 2WC, thiết kế hiện đại các phòng vuông vắn, có đầy đủ ánh sáng tự nhiên, đầy đủ các dịch vụ tiện ích. SĐCC.LH xem nhà: 0961 207 *** ",116 m²,2.7 tỷ,,,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35528113,batdongsan_com_vn_35528113,3 phòng,2 phòng,,Đông,Tây,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', 'Dự án Green Stars']","
- Thông Tin căn hộ bán ở tại chung cư Green Stars - Khu đô thị Thành Phố Giao Lưu - Phạm Văn Đồng:- Diện tích: 102m² tim tường - 96m² thông thủy (3 phòng ngủ, 1 phòng khách rộng, 2 vệ sinh, khu bếp, ban công).- Nội thất: Nhà full nội thất chỉ sẵn vào ở.- Nhà ở có lộc con cái, làm ăn rất tốt.- Giá bán: 3.6 tỷ - sổ đỏ sở hữu lâu dài (bao sang tên) - giao dịch ngay.- Ngoài ra em còn rất nhiều căn hộ 3 Phòng ngủ chủ nhà rất thiện chí bán.- Liên hệ: E Huế 0988 072 *** ",102 m²,3.6 tỷ,,,Sổ đỏ/ Sổ hồng,28/11/2022,08/12/2022,Tin thường,35862624,batdongsan_com_vn_35862624,3 phòng,2 phòng,Đầy đủ,Tây - Nam,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Nguyễn Du', 'Đường Nguyễn Quyền']","
Bán nhà mặt phố Nguyễn Quyền Q HBT, DT 192.7m², MT 7m, nhà cũ, 1sd, nở hậu, có GPXD, 6T nổi, 1 hầm, 1 lửng, 1tum, vị trí đắc địa, gần hồ Thuyền Quang, SĐCC, giá 80 tỷ: LH 0916 448 *** ",192.7 m²,80 tỷ,7 m,,,06/12/2022,13/12/2022,Tin thường,35074420,batdongsan_com_vn_35074420,,,,,,
