address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Số tầng,Pháp lý,Hướng nhà,Hướng ban công,Mặt tiền,Nội thất
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Tố Hữu', 'Dự án Roman Plaza']","
Vợ chồng mình chuyển xuống liền kề cần bán căn hộ Roman Plaza.- Diện tích rộng 77m²,2 ngủ, 2 vệ sinh.- Mình để lại toàn bộ nội thất.- Giá bán 3,2 tỷ, thuế phí bên nào bên đấy chịu.- Liên hệ trực tiếp xem nhà 0971 712 *** ",77 m²,3.2 tỷ,2 phòng,2 phòng,02/12/2022,09/12/2022,Tin thường,35938897,batdongsan_com_vn_35938897,,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai']","
Chính chủ bán gấp nhà Phố Minh Khai, quận Hai Bà Trưng, diện tích 68m² x 5 tầng vỉa hè rộng kinh doanh sầm uất giá nhỉnh 12 tỷ.Nhà xây thiết kế theo phong cách hiện đại, nội thất nhập khẩu.Đường trước nhà rộng vỉa hè rộng.Vị trí nhà gần nhiều tuyến đường Phố lớn: Đường Bạch Mai, Đại La, Trương Định...Vị trí nhà phù hợp kinh doanh: Kinh doanh nhà hàng, cửa hàng trưng bày giới thiệu sản phẩm, shop thời trang, quầy thuốc, phòng khám...Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Chung 0977 435 *** để xem nhà.            ",68 m²,13 tỷ,4 phòng,4 phòng,06/12/2022,13/12/2022,Tin thường,35821937,batdongsan_com_vn_35821937,15 m,5 tầng,Sổ đỏ/ Sổ hồng,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Đường Xuân La', 'Dự án Kosmo Tây Hồ']","
Căn hộ 2 phòng ngủ tòa Kosmo Tây Hồ.Căn hộ ban công Đông nam view hồ.Tòa nhà có sổ đỏ sẵn sàng giao dịch.Liên hệ 0905 618 *** ",84 m²,Thỏa thuận,2 phòng,,06/12/2022,13/12/2022,Tin thường,35751279,batdongsan_com_vn_35751279,,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Nguyễn Hoàng', 'Dự án Mỹ Đình Plaza 2']","
Chính chủ bán căn hộ tại CT1 Mỹ Đình Plaza 2, số 2 nguyễn hoàng.- Thông tin căn hộ như sau:- Diện tích 81,16m², thiết kế 2 phòng ngủ, 2 nhà vệ sinh, 1 phòng khách, 1 bếp, ban công thoáng mát, view đẹp, các phòng được bố trí hợp lý, tất cả đều có ánh sáng và gió đối lưu tự nhiên.- Nhà đã trang bị đủ đồ: Sàn gỗ, trần thạch cao, sofa, bàn ăn, tivi, tủ lạnh, máy giặt, điều hòa, nóng lạnh, giường, tủ,.. Vv. Khách vào ở ngay.- Hướng cửa Tây Bắc, ban công Đông Nam mát rượi.- Căn góc, nhà vuông vắn rất đẹp.Chung cư tiện ích đầy đủ. Giao thông thuận lợi giữa 2 quận Nam Từ Liêm và Cầu Giấy, gần trường học, chợ, bệnh viện, các trường học, đại học, cơ quan văn phòng...Giá tôi muốn bán 3 tỷ nội thất cơ bản, 3,2 tỷ full nội thất nhập khẩu.Liên hệ: 0858 601 *** Em Nguyệt.            ",82 m²,3 tỷ,2 phòng,2 phòng,01/12/2022,08/12/2022,Tin thường,34216752,batdongsan_com_vn_34216752,,,Sổ đỏ/ Sổ hồng,Tây - Bắc,Đông - Nam,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Nguyễn Văn Huyên', 'Dự án KĐT Tây Hồ Tây - Starlake Hà Nội']","
Bán shophouse Tây Hồ Tây khu K5 Starlake.Diện tích 180m² xây dựng 5 tầng.Bàn giao 2023 tiến độ vào tiền 50%.Nằm mặt đường Nguyễn Văn Huyên.Giá 510 triệu/m². Liên hệ 0905 618 *** ",180 m²,510 triệu/m²,,,06/12/2022,13/12/2022,Tin thường,35807508,batdongsan_com_vn_35807508,,5 tầng,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Nguyễn Tuân']","
Cần tiền nên bán gấp nhà mặt phố Nguyễn Tuân - Đoạn đẹp nhất từ Ngụy như kon Tum đến Lê Văn Lương, Thanh xuân, HN.- Diện tích 95m², mặt tiền siêu vip: 6m.- Nhà 6 tầng mới, đang cho thương hiệu lớn thuê.- Giá: 53,9 tỷ (có thương lượng).- Hãy là người xem nhà & thương lượng nhanh nhất.(*) Liên hệ: Mr. Hoàng 0918 606 ***/ 0985 802 *** (24/7).""Uy tín - chuyên nghiệp - hết mình vì khách hàng"".Chuyên nhà mặt phố: 15 - 25 - 35 - 50 - 100 - 300 - 500 - 1000 tỷ.Ngoài ra, kho nhà của chúng tôi có hơn 40.000 căn nhà phố vip, siêu vip. Tuy nhiên để đi mua được căn nhà tốt nhất, giá hợp lý nhất, phù hợp với Anh Chị nhất... Anh/chị hãy liên hệ trực tiếp cho chúng tôi nêu rõ nhu cầu:1. Tài chính tối đa là bao nhiêu?2. Mục đích sử dụng là gì? Để giữ tài sản và cho thuê lại / để ở kết hợp cho thuê / để tự kinh doanh / để làm văn phòng / để...?3. Tuyến phố, khu vực Anh Chị muốn mua?4. Các mong muốn khác về ngôi nhà? Nhà xây mới / Nhà đã qua sử dụng / nhà cũ /...?Chúng tôi sẽ lọc ra những căn tốt nhất, phù hợp với nhu cầu nhất giới thiệu cho Anh/ Chị đi xem để đỡ mất thời gian cho cả 2 bên.            ",95 m²,53.9 tỷ,,,05/12/2022,12/12/2022,Tin thường,36040484,batdongsan_com_vn_36040484,,6 tầng,,,,6 m,
"['Hà Nội.', 'Hoài Đức', 'Xã Vân Canh', 'Đường 422B']","
Đất thổ cư vuông vắn, cách 1 nhà ra đường ô tô, sát KĐT Hud Vân Canh, hướng Đông Nam, giá nhỉnh 2 tỷ.Thông tin:- Diện tích: 40m².- Mặt tiền + Hậu: 5m.- Hướng: Đông Nam.* Mảnh đất cực kì vuông vắn, ngõ thông, ngay KĐT Hud Vân Canh, cách đường ô tô chỉ 1 nhà.- Cách CĐ FPT 1km.- Cách ĐH Công Nghiệp: 1.5km.- Cách Mỹ Đình: 2.5km.* Pháp lý: Sổ đỏ chính chủ, không tranh chấp, quy hoạch.- Giá bán: 63tr/m².Liên hệ: Mr Minh qua sđt/zalo 0977 560 *** để biết thêm chi tiết.            ",40 m²,63 triệu/m²,,,01/12/2022,08/12/2022,Tin thường,35814019,batdongsan_com_vn_35814019,3.5 m,,Sổ đỏ/ Sổ hồng,Đông - Nam,,5 m,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Dự án KĐT Tây Hồ Tây - Starlake Hà Nội']","
Bán căn hộ 154m² thuộc tòa 902 Starlake Tây Hồ.Căn hộ thiết kế 4 phòng ngủ, đồ cơ bản chủ đầu tư.Căn hộ có 2 phòng ngủ master, ban công hướng Nam mát mẻ.Đang cho khách thuê giá 3000$ tháng.Sổ đỏ chính chủ liên hệ 0905 618 *** ",154 m²,Thỏa thuận,4 phòng,,06/12/2022,13/12/2022,Tin thường,35826094,batdongsan_com_vn_35826094,,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Dự án N01-T8 Ngoại Giao Đoàn']","
Bán căn hộ 93,3m² tòa N01T8 Ngoại Giao Đoàn.Căn hộ thiết kế 2 phòng ngủ, ban công rộng, view hồ điều hòa hướng mát.Toàn nhà có hầm để xe, sổ đỏ chính chủ liên hệ 0905 618 *** ",93.3 m²,Thỏa thuận,2 phòng,,06/12/2022,13/12/2022,Tin thường,35293390,batdongsan_com_vn_35293390,,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Đường Xuân La', 'Dự án Kosmo Tây Hồ']","
Căn hộ Sky tòa Novo Kosmo Tây Hồ Hà Nội.Diện tích 154m² thiết kế 2 phòng ngủ, đủ đồ.Ban công Đông Nam view Hồ Tây.Giá 8.5 tỷ lh 0905 618 *** ",154 m²,8.5 tỷ,2 phòng,,06/12/2022,13/12/2022,Tin thường,35826725,batdongsan_com_vn_35826725,,,,,Đông - Nam,,
