address,gen_descrip,Diện tích,Mức giá,Hướng ban công,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Số toilet,Nội thất,Mặt tiền,Đường vào,Số tầng
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai', 'Dự án Hinode City']","
Cần bán gấp căn hộ chung cư 3PN diện tích 105m² Hinode Minh Khai giá chỉ 7 tỷ.- Căn 3 ngủ siêu rộng.- Có sổ đỏ.- Hướng BC Tây Nam.Liên hệ: 0925 529 *** ",105 m²,7 tỷ,Tây - Nam,3 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35949323,batdongsan_com_vn_35949323,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Phạm Hùng', '36', 'FLC Complex Phạm Hùng']","
Gia đình mình cần bán nhanh căn hộ chung cư cao cấp Flc Complex 36 Phạm Hùng, Mỹ Đình 2, Nam Từ Liêm, Hà Nội.- Căn góc 100m², thiết kế 3pn 2wc, 1 phòng khách rộng, 1 bếp riêng biệt, 02 ban công thoáng mát, view đẹp trọn hồ Starlake, các phòng được bố trí thiết kế hợp lý, tất cả các phòng đều có ánh sáng và gió đối lưu tự nhiên.- Nhà đã trang bị đầy đủ đồ, khách mua vào ở ngay.Sàn gỗ, trần thạch cao, hệ thống tủ bếp, bếp từ, hút mùi, điều hoà, nóng lạnh, rèm cửa, giường, tủ quần áo, bàn ghế sôfa, bàn ăn vv.- Cửa Bắc, ban công hướng Nam.Bán gấp 3,95 tỷ. Có thương lượng chút. Sổ đỏ chính chủ.Liên hệ: 0988 296 ***. Mình tên chuyên.            ",100 m²,3.95 tỷ,Nam,3 phòng,Sổ đỏ/ Sổ hồng.,06/12/2022,13/12/2022,Tin thường,36043467,batdongsan_com_vn_36043467,Bắc,2 phòng,Đầy đủ.,,,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Hyundai Hillstate']","
+ Tiện ích ngập tràn - 3 thoáng - ở và làm văn phòng cực đẹp - giá siêu đẹp.+ Biệt thự nằm trong khu đô thị Hyundai HillState, khu vực trung tâm hành chính quận Hà Đông, Trong khu có Trung tâm mua sắm Huyndai Mall, bể bơi bốn mùa dành cho cư dân.Xung quanh ngập tràn tiện ích: Melinh Plaza, Siêu thị MM Mega, Rạp chiếu phim GCV, vài phút là đến UBND Quận Hà Đông, và các cơ quan ban ngành quận.+ Giao thông thuận tiện gần đường Quang Trung, Trần Phú, Nhuệ Giang, Phùng Hưng.- Cách Melinh Plaza, rạp chiếu phim GCV 450m.- Cách UBND Quận Hà Đông 850m.- Cách sân bóng gần nhất 400m.- Cách trường mầm non Hà Cầu 450m, cách trường tiêu học Lê Hồng Phong 700m, cách trường THCS Lê Hồng Phong 550m, cách trường THCS Lê Lợi 700m.- Cách bệnh viện đa khoa Hà Đông 1km, cách bệnh viện phụ sản Hà Nội 3 là 1,2 km.- Thiết kế:+ Tầng 1 gara ô tô riêng, wc, phòng khách bếp.Sân sau thoáng mát.+ Tầng 2.3: 2 phòng siêu rộng khép kín có ban công riêng từng phòng.+ Tầng 4: Tum.+ Nhà đang cho thuê 23,87 triệu/tháng.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Hướng Tây Nam.+ Liên hệ e Xung ngay để được tư vấn pháp lý ngân hàng quy hoạch và xem nhà miễn phí.+ Miễn ace môi giới ạ.+ Zalo 0981 715 *** ",186.5 m²,23 tỷ,Tây - Nam,4 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36043464,batdongsan_com_vn_36043464,Tây - Nam,4 phòng,,10 m,6 m,4 tầng
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City']","
Bán gấp căn 2 phòng ngủ, 2wc tại Park Premium, Times City.Giá 3tỷ9 bao phí duy nhất trên thị trường Park Hill, Park Premium, Times City.Căn hộ 2 phòng ngủ, 2 wc, ban công phòng khách.Thiết kế hợp lý với phòng khách rộng, vuông vắn.Diện tích 65m².Nhà đang để trống, hiện trạng mới, có thể vào ở luôn.Sổ đỏ sẵn sàng giao dịch.Liên hệ xem nhà 0867 646 *** ",65 m²,3.9 tỷ,Nam,2 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35657487,batdongsan_com_vn_35657487,Tây - Nam,2 phòng,Full nội thất,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Đình Thôn']","
Bán nhà 4 tầng khu Mỹ Đình.DT 56m² MT 5m lô góc 2MT có sổ đỏ cc, ngõ thông ô tô qua nhà, vị trí kinh doanh tốt.Giá 7,9 tỷ: LH 0398 197 *** ",56 m²,7.9 tỷ,,,Sổ đỏ/ Sổ hồng.,06/12/2022,16/12/2022,Tin thường,33532119,batdongsan_com_vn_33532119,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Đường Hoàng Đạo Thành']","
Chính chủ nhờ bán nhà Hoàng Đạo Thành - Thanh Xuân - nhà mới.50m² - 6 tầng thang máy. Gara ô tô 9c.Nhà được thiết kế.- Tầng 1: Gara, phòng VS.- Tầng 2: Phòng khách.- Tầng 3,4,5: Mỗi tầng 2 phòng.- Tầng 6 là bếp và sân phơi, trồng cây nướng BBQ.Sổ đỏ chính chủ vuông đẹp sang tên nhanh chóng.LH: 0936 219 *** xem nhà miễn phí.            ",50 m²,9.9 tỷ,,5 phòng,Sổ đỏ chính chủ.,06/12/2022,13/12/2022,Tin thường,36042844,batdongsan_com_vn_36042844,,5 phòng,,4 m,6 m,6 tầng
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Hoàng Văn Thái']","
Bán nhà Hoàng Văn Thái - Quận Thanh Xuân giá 17,9 tỷ, diện tích 65m², 7 tầng mặt tiền 4m, nhà phân lô, tòa nhà văn phòng, trung tâm Thanh Xuân, ô tô tránh.Mô tả:- Tòa nhà 7 tầng thang máy nhập khẩu.- Thiết kế:Tầng 1: Để xe + bếp.Tầng 2,3,4,5,6: Mỗi tầng 2 phòng + 1 vệ sinh.Tầng 7: Phòng thờ + sân phơi.- Sổ đỏ vuông văn, nở hậu 1cm, sẵn sàng giao dịch.Vui lòng liên hệ trực tiếp: Ms Giang 0902 219 *** ",65 m²,17.9 tỷ,,10 phòng,Sổ đỏ/ Sổ hồng,02/12/2022,12/12/2022,Tin thường,36010952,batdongsan_com_vn_36010952,,5 phòng,Đầy đủ,4 m,,7 tầng
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Mỹ Đình']","
Bán căn nhà xây để ở gần đường Mỹ Đình.DT 34m² sổ đỏ CC, căn góc 2MT.Giá 3,3 tỷ.LH 0398 197 *** ",34 m²,3.3 tỷ,,,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,33723400,batdongsan_com_vn_33723400,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City']","
Bán căn hoa hậu 87m² 2PN tại Times City, tầng trung, hướng Nam đẹp, giá tốt nhất chỉ giá 4.35 tỷ.- Ban công hướng Nam, cửa vào hướng Bắc.- Diện tích 87m², để lại toàn bộ nội thất đẹp như ảnh!- Căn hộ 2 phòng ngủ sáng, 2 WC, ban công phòng khách.- Thiết kế hợp lý với phòng khách rộng, vuông vắn. 2 phòng ngủ rộng.- Nhà đang để trống, chủ nhà mới thay toàn bộ nội thất đẹp và mới!- Giá 4,35 tỷ.Liên hệ xem nhà 0867 646 *** Hằng Nga (zalo, fb, imess, viber).            ",87 m²,4.35 tỷ,Nam,2 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35932048,batdongsan_com_vn_35932048,Nam,2 phòng,Đầy đủ,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Khuất Duy Tiến', 'Dự án Việt Đức Complex']","
Chính chủ cần bán căn hộ tại Việt Đức Complex, Đường Khuất Duy Tiến, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội.Thông tin căn hộ như sau:- Căn hộ diện tích thông thuỷ 100m².- Thiết kế gồm 3 PN, 2 WC.- Hướng cửa ĐN, ban công TB - view đẹp nhìn ra hồ.- Bàn giao cơ bản.- Giá bán 3,3 tỷ.Khách mua thiện chí.Liên hệ 0977 881 *** ",100 m²,3.3 tỷ,,3 phòng,,02/12/2022,09/12/2022,Tin thường,34356778,batdongsan_com_vn_34356778,Đông - Nam,2 phòng,,,,
