address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'đường Đông Ngạc']","
Bán nhà làng cổ Đông Ngạc vị trí trung tâm phường đông Ngạc thông ra chợ Vẽ! Ngõ siêu thoáng Gần nhà Văn Hóa!Nhà 35m² x 5 tầng vị trí 10m ra đường ô tô tránh!Nhà thiết kế hiện đại Không lỗi Phong thủy! Tầng 1 phòng khách bếp + wc.Tầng 2 3 4 mỗi tầng 1 phòng khép kín!Tầng 5 bán mái! Phòng thờ sân phơi!Gần trường học, UBND phường, chợ...Nhà nội thất nhập cửa gỗ lim nóng lạnh...Giá 3.0 tỷ Bao Phí Sang tên 0989 089 ***.1. Bán nhà ngõ 323 Thụy Phương, Bắc Từ Liêm.- Diện tích 35m², xây 5 tầng.- Nội thất cơ bản, 3 phòng ngủ, 4 nhà vệ sinh.- Giá 2.5 tỷ có thương lượng.2. Bán nhà ngõ 323 Thụy Phương, Bắc Từ Liêm.- Diện tích 35m², xây 5 tầng.- Nội thất cơ bản, 3 phòng ngủ, 4 nhà vệ sinh.- Giá 2.85 tỷ có thương lượng.3. Bán nhà ngõ 163 Đông Ngạc, Bắc Từ Liêm.- Diện tích 35m², xây 5 tầng.- Nội thất cơ bản, 3 phòng ngủ, 4 nhà vệ sinh.- Giá 2.85 tỷ có thương lượng.4. Bán nhà ngõ 121 Đông Ngạc, Bắc Từ Liêm.- Diện tích 35m², xây 5 tầng.- Nội thất cơ bản, 3 phòng ngủ, 4 nhà vệ sinh.- Giá 3.05 tỷ có thương lượng.5. Bán nhà ngõ 81 Đông Ngạc, Bắc Từ Liêm.- Diện tích 35m², xây 5 tầng.- Nội thất cơ bản, 3 phòng ngủ, 4 nhà vệ sinh.- Giá 3.2 tỷ có thương lượng.6. Bán nhà ngõ 123 Thụy Phương, Bắc Từ Liêm.- Diện tích 50m², xây 5 tầng.- Nội thất cơ bản, 6 phòng ngủ, 4 nhà vệ sinh.- Giá 3.55 tỷ có thương lượng.7. Bán nhà ngõ 145 Cổ Nhuế, Bắc Từ Liêm.- Diện tích 35m², xây 5 tầng.- Nội thất cơ bản, 3 phòng ngủ, 4 nhà vệ sinh.- Giá 2.9 tỷ có thương lượng.            ",35 m²,3 tỷ,4 m,2 m,Đông - Nam,Đông - Nam,5 tầng,3 phòng,4 phòng,Full.,02/12/2022,09/12/2022,Tin thường,32357679,batdongsan_com_vn_32357679,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Tố Hữu', 'Dự án Roman Plaza']","
Chính chủ chuyển sang Vinhomes Riverside sinh sống, cần bán gấp lại căn góc 3PN dự án Roman PlazaDiện tích 105m².Căn góc, tầng đẹp, ban công Đông Nam cực thoáng mát Dự án mới về ở được 2 năm nên còn rất mới, tiện ích đầy đủ không thiếu thứ gì: trường học, bệnh viện, siêu thị, cafe, gym, bể bơi bốn mùa... ngay dưới chân tòaNội khu rộng rãi, tầng cao có sân vườn chung Slot oto thoải máiGia đình tôi thuê thiết kế rất đẹp, tôi để lại nội thất cho khách thực sự thiện chí mua Gía 3.5 tỷ có thương lượng.Liên hệ 0833 380 *** ",105 m²,3.5 tỷ,,,,Đông - Nam,,3 phòng,2 phòng,Nội thất cơ bản ,05/12/2022,12/12/2022,Tin thường,35514861,batdongsan_com_vn_35514861,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Thạch Thất', 'Xã Tân Xã', 'Đường Đại lộ Thăng Long']","
Siêu phẩm khu Tân Xã - đại học FPT. Sổ Hà Nội, full thổ cư.- Gần trục chính liên huyện, liên xã, liên thôn. Giao thông kết nối, thuận tiện, mấy bước chân ra hồ Tân Xã.- Diện tích vừa phải, giá cả dễ mua dễ thanh khoản.- Đặc biệt rất gần khu CNC Hoà Lạc (ĐH FPT, Viettel, FPT Software,... ).- Vị trí đắc địa, giao thông thuận lợi phù hợp với đa dạng nhu cầu: Xây nhà ở, nhà trọ sv, đầu tư,...0977045300.            ",273 m²,10.5 triệu/m²,,,,,,,,,02/12/2022,09/12/2022,Tin thường,35945629,batdongsan_com_vn_35945629,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Đường 422B']","
Nhà lô góc 4 tầng Vân Canh, đầy đủ nội thất, chỉ việc về ở giá 2.55 tỷ. LH 0977 560 ***- Diện tích: 42m².- Hướng: Tây Nam.- Mặt tiền: 4.2 m.- Đường vào: 2.5m.- Tầng 1: Phòng khách + bếp + WC + Sân.- Tầng 2 + 3: Ngủ + WC.- Tầng 4: Phòng ngủ/ thờ + sân phơi.* Nhà được xây dựng kiên cố theo lối hiện đại, ngõ thông thoáng, gần vành đai 3.5 m, cách đường ô tô 50m.- Cách Đại học Công Nghiệp: 2km.- Cách CĐ FPT: 1.5 km.- Cách Mỹ Đình: 2km.- Cách Vành Đai 3.5: 200m.* Pháp lý: Sổ đỏ chính chủ, cam kết không tranh chấp, quy hoạch.Liên hệ Mr Minh: 0977 560 *** để biết thêm chi tiết.            ",42 m²,2.55 tỷ,4.2 m,2.5 m,Tây - Nam,Tây - Nam,4 tầng,3 phòng,3 phòng,"Sàn gỗ, trần thạch cao, ti vi, điều hòa, tủ lạnh. giường, tủ,...",05/12/2022,12/12/2022,Tin thường,35541580,batdongsan_com_vn_35541580,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Hà', 'Đường Ngọc Hà']","
Gia đình cần bán gấp nhà MP Ngọc Hà, Đội Cấn. Dt: 70m², vị trí ở đoạn đẹp nhất, ngay gần lăng bác. Đây là trục giao thông chính, phương tiện đi lại tấp nập nên kinh doanh cho thuê sầm uất.Sổ đỏ chính chủ, vuông vắn. Gia đình đang rất thiện chí bán để chuyển sang MP to hơn.Giá: 22 tỷ (CTL).Ai có nhu cầu liên hệ ngay cho tôi.Tel: 0989 259 *** / 0914 966 *** ",70 m²,22 tỷ,,,,,,,,,06/12/2022,13/12/2022,Tin thường,33419936,batdongsan_com_vn_33419936,Sổ đỏ
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'số 8', 'The Zei Mỹ Đình']","
Thuộc dự án chung cư cao cấp The Zei - số 8 Lê Đức Thọ, cách sân vận động Mỹ Đình 500m.- Căn hộ sở hữu tầm view triệu đô sang sân vận động Mỹ Đình (ngắm trọn đêm bắn pháo hoa tại nhà mà chẳng cần đi đâu) và dải lụa vành đai 3.- Diện tích thông thủy 185.8m².- Thiết kế thông tầng kết hợp hệ kính 2 lớp Eurowindow Low - E chạm sàn, giúp lấy trọn ánh sáng tự nhiên và giữ trọn tầm view triệu đô cho Gia chủ.- Mật độ xây dựng thấp, vị trí trung tâm Mỹ Đình.- Chỉ chưa đầy 5 phút lái xe có thể đến: Trường tiểu học Đoàn Thị Điểm, Trường học quốc tế Nhật Bản, Bệnh viện đa khoa quốc tế Hồng Ngọc, Trung tâm thể thao Mỹ Đình, Khách sạn Crowne Plaza, bến xe Mỹ Đình...- Chuỗi tiện ích đẳng cấp 5 sao:+ Bể bơi nước mặn 4 mùa công nghệ muối điện phân.+ Chuỗi trung tâm thương mại hàng hiệu, 11 phòng chiếu phim CGV, phòng gym, spa, phòng trị liệu, phòng sinh hoạt cộng đồng và phòng thư viện Co - working Space... Tất cả đều có tại 4 tầng khối đế.+ Tổ hợp vườn dạo bộ, vườn tiệc, khu thiên văn học và khu vực thiền trên tầng mái đã hoàn thiện.- Hệ thống an ninh đa lớp, vận hành theo tiêu chuẩn Nhật Bản.- Hệ thống PCCC đạt tiêu chuẩn cùng 2 phòng lánh nạn tại 2 tầng 13 và 30.- Nhận nhà ở ngay - sổ hồng trao tay.Chi tiết vui lòng liên hệ 0898 789 ***Zalo: Nguyễn Ngọc Thành) để xem căn hộ thực tế và tham quan tiện ích dự án.            ",185.8 m²,Thỏa thuận,,,Đông - Bắc,Tây - Nam,,4 phòng,3 phòng,,06/12/2022,16/12/2022,Tin thường,33003157,batdongsan_com_vn_33003157,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Trích Sài']","
Gia đình cần bán gấp nhà 5 tầng mặt phố Tây Hồ view thẳng Hồ Tây. DT: 125m², MT: 6.5m. Nhà xây khung bê tông chắc chắn, còn mới, nội thất xịn xò.Vị trí nhà ở đoạn đẹp nhất phố. Nhà 1 mặt phố, 1 mặt ngõ sau rộng 3m có lối đi. Phố có vỉa hè nên KD, cho thuê rất tốt.Sổ đỏ vuông vắn, chính chủ, giao dịch ngay. Gia đình đang rất thiện chí bán.Giá: 34,5 tỷ(CTL).Ai có nhu cầu liên hệ ngay cho tôi.Tel: 0989 259 *** / 0914 966 *** ",125 m²,34.5 tỷ,,,,,,,,,06/12/2022,13/12/2022,Tin thường,33511546,batdongsan_com_vn_33511546,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ']","
Siêu phẩm Đống Đa - nhà đẹp ở ngay - gần ô tô - công năng hoàn hảo.* Nhà gần bệnh viện Nội Tiết Trung Ương, ngõ to sạch đẹp thông các phố Láng Hạ - Yên Lãng - Thái Thịn. Khu vực dân trí cao, hàng xóm cực kì thân thiện...* Thiết kế.Tầng1: Khách, bếp.Tầng 2,3: 2 phòng khép kín.Tầng 4: Phòng thờ, sân phơi.* Tặng toàn bộ nội thất tiền tỷ xịn sò cho khách hàng thiện chí mua.- Liên hệ chính chủ Mr Thưởng SĐT: 0852 993 ***miễn trung gian, môi giới làm phiền).            ",22 m²,Thỏa thuận,,,,,,3 phòng,,Đầy đủ,06/12/2022,13/12/2022,Tin thường,36043232,batdongsan_com_vn_36043232,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy']","
Bán tòa chung cư mini Xuân Thủy, Hà Nội.+ Diện tích 60m², 7 tầng, 10 phòng khép kín, full đồ.+ Khu vực: Gần trường Đại Học Quốc Gia, xung quanh có rất nhiều Văn Phòng, nhu cầu nhà ở luôn khan hiếm.+ Vị trí: Ngõ thông, cách oto tránh 20m, gần phố Xuân Thủy, phố Phạm Văn Đồng, Hồ Tùng Mậu, Hoàng Quốc Việt... Giao thông vô cùng thuận tiện.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Giá: 12.5 tỷ (thương lượng).+ LH: 0941 635 ***, xem nhà và tư vấn tận tình. Miễn phí.            ",60 m²,12.5 tỷ,,,,,7 tầng,10 phòng,10 phòng,Full đồ.,06/12/2022,13/12/2022,Tin thường,35201511,batdongsan_com_vn_35201511,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Long Biên', 'Phường Phúc Lợi', 'Dự án Ecohome Phúc Lợi']","
Chính chủ cần bán căn hộ chung cư Ecohome Phúc Lợi 79m², 3PN, 2VS, full nội thất giá 2,2 tỷ.Tôi đang có căn hộ thông tin như sau:+ Diện tích: 79m².Có 3 phòng ngủ, 2 vệ sinh, 2 ban công tại dự án chung cư Ecohome Phúc Lợi, Long Biên, Hà Nội.+ Hướng cửa: Đông Bắc, ban công Tây Nam. Thuộc tầng trung của tòa nhà 22 tầng.Tôi đã làm đầy đủ nội thất (như trong ảnh) để lại toàn bộ, chủ mới chỉ việc mang quần áo tới ở ngay được.+ Căn hộ đã được cấp sổ đỏ không thời hạn từ 2018, bản vẽ sơ đồ điện nước, mặt bằng đầy đủ.+ Giá bán: 2 tỷ 200 triệu (CTL).Ai có nhu cầu mua chung cư Ecohome Phúc Lợi thì.Liên hệ: 0979 349 *** để đi xem nhà miễn phí nhé.            ",79 m²,2.2 tỷ,,,Đông - Bắc,Tây - Nam,,3 phòng,2 phòng,Đã bao gồm toàn bộ nội thất.,06/12/2022,13/12/2022,Tin thường,19450672,batdongsan_com_vn_19450672,Sổ đỏ/ Sổ hồng.
