address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Nội thất
"['Hà Nội', 'Tây Hồ', 'Phường Tứ Liên', 'Đường Tứ Liên', 'Ngõ 89']","
Bán đất chia lô TT Bộ công an ngõ 89 Tứ Liên - Phường Tứ Liên - Tây Hồ - Hà Nội, diện tích sổ đỏ 32.5m², mặt tiền 3.27m, hậu 3.27m, hướng Tây Bắc, đường trước nhà 2m, cách mặt ngõ 89 Tứ Liên (2 ô tô tránh nhau) 20m. Hiện đang có nhà cấp 4, coi như bán đất, phía sau có khe thoáng 1m giữa 2 nhà. Vị trí đắc địa, quy hoạch ổn định, dân trí cao, cách khu trung tâm hành chính của phường Tứ Liên 500m(gồm UBNDP, trường mầm non, trường cấp 1 - 2, chợ của phường Tứ Liên). Giá bán 3.2 tỷ có thương lượng.            ",33 m²,3.2 tỷ,3.27 m,2 m,Tây - Bắc,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,35050899,batdongsan_com_vn_35050899,,,,,
"['Hà Nội', 'Sóc Sơn', 'Xã Minh Trí', 'Đường Tỉnh Lộ 35']","
Chính chủ đang cần bán lô đất nghỉ dưỡng tại trục chính Lâm Trường Minh Phú Sóc Sơn Hà Nội.DT 3200m². MT 45m. Đường rộng 7m.Có 600m² thổ cư còn lại đất vườn (giấy tờ cấp xã) đã bao tường bao kiên cố xung quanh.Thuộc trung tâm khu nghỉ dưỡng vui chơi thôn lâm trường.Sổ đỏ sang tên sẵn sàng giao dịch.Giá 6.5tr/m².            ",3200 m²,6.5 triệu/m²,45 m,7 m,,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,35318311,batdongsan_com_vn_35318311,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Nam', 'Đường Triều Khúc']","
Hot! CCMN Triều Khúc 46m² * 7 tầng 12 phòng khép kín, thang máy, doanh thu 600tr/n chỉ nhỉnh 6 tỷ, quá rẻ.Đang vận hành đã kín phòng (doanh thu 600tr/n).- Diện tích: 43m² XD 46m² x 7 tầng 12 phòng khép kín.Thiết kế: Chủ nhà là kỹ sư nên thiết kế rất hợp lý, đủ công năng sử dụng cho người thuê.Tầng 1: Để xe rộng đủ chứa 30xe 3 máy giặt, một WC phụ.Tầng 2,3,4,5,6,7 mỗi tầng 2 phòng khép kín (có giếng trời nên phòng nào cũng rất thoáng).* Vị trí: Cực đẹp, bán kính 100m là trường học cấp 1,2,3 và chợ.200m - 300m là ĐH GTVT, NHạc Họa, Mật Mã, Bưu Chính Viễn Thông...Khu vực đang phát triển, nhu cầu thuê lớn.Full nội thất giường, tủ, nóng lạnh, điều hoà, máy giặt, tủ lạnh, tủ kệ bếp.Phòng thiết kế có gác xép, cực tiện ích.Sổ đỏ chính chủ, vuông vắn.* Lh: Hoàng Phát chuyên phân khúc nhà trọ, các khu vực gần nhiều trường đại học lớn.Cảm ơn quý khách đã đọc tin.            ",43 m²,6.1 tỷ,4 m,3 m,Đông - Nam,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,36042124,batdongsan_com_vn_36042124,Đông - Nam,7 tầng,12 phòng,12 phòng,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ']","
Do chuyển sang chung cư, gia đình tôi bán nhà 5 tầng, 2 mặt thoáng tại số 22B, ngõ 63/5/36 đường Lê Đức Thọ, phường Mỹ Đình 2, quận Nam Từ Liêm. Nhà do gia đình xây năm 2016, diện tích 35m², mỗi tầng 1 phòng, cực kỳ thoáng, khu dân cư dân trí cao, thuận tiện đi lại, giá bán 4,5 tỷ, miễn trung gian. Ai có nhu cầu, xin liên hệ Giang, sdt: 0929 559 *** ",35 m²,4.5 tỷ,3.3 m,3 m,Nam,Sổ đỏ/ Sổ hồng,02/12/2022,12/12/2022,Tin thường,36015773,batdongsan_com_vn_36015773,Nam,5 tầng,3 phòng,4 phòng,Đầy đủ.
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Dự án Việt Hưng']","
Chính chủ cần bán căn biệt thự 4 tầng diện tích 200M, mặt tiền 10m khu vực vip nhất có an ninh trực 24/24, diện tích xây dựng lớn, sân vườn cây xanh, vườn hoa trung tâm trước nhà.Tiện ích đầy đủ KĐT Việt Hưng có nhiều nhà hàng sang trọng, gần TTTM Big C, và Vimcom, đường rộng vỉa hè, hàng xóm Vinhomes tiện ích học trường quốc tế và gần nhiều bệnh viện và sân golf Long Biên cách 2km.Thông tin chi tiết ngôi nhà:Tầng 1: Gara, sân vườn, phòng khách.Tầng 2 - 3: Mỗi tầng 2 phòng ngủ master khép kín siêu rộng.Tầng 4: Bếp, phòng ăn, phòng thờ, sân phơi.Sổ đỏ chính chủ vuông đẹp, pháp lý rõ ràng, sẵn sàng giao dịch. Chủ nhà rất thiện chí bán với giá 32 tỷ, có thương lượng và gia lộc, thông tin nhà hoàn toàn đầy đủ và chính xác.Anh/Chị có nhu cầu mua nhà liên hệ em Thái chuyên nhà đất thổ cư để được tư vấn và xem nhà hoàn toàn miễn phí.Vui lòng Liên hệ: Mr. Thái, Điện thoại/ Zalo: 0838 522 *** ",200 m²,32 tỷ,,,,Sổ đỏ/ Sổ hồng.,06/12/2022,16/12/2022,Tin thường,35941228,batdongsan_com_vn_35941228,,4 tầng,4 phòng,5 phòng,Nội thất đầy đủ.
"['Hà Nội', 'Đông Anh', 'Xã Nam Hồng']","
Bán đất thôn Đoài Nam Hồng Đông Anh HN.Diện tích: 51.1m², full thổ cư.Mặt tiền 5m.Đường thông rộng 3.5m, ô tô vào đất.Cách hồ điều hòa, trường mầm non, nhà văn hóa chỉ 100m, cách cao tốc Võ văn Kiệt 400m, đi kcn Quang minh, BTL đều thuận lợi.Sổ sách, pháp lý chuẩn. Cam kết đất không quy hoạch, không tranh chấp.Giá chỉ 2.1tỷ.LH em Hòa thổ cư để được xem đất và chốt cọc ngay trong tuần.            ",51 m²,2.1 tỷ,,,,,06/12/2022,16/12/2022,Tin thường,35765506,batdongsan_com_vn_35765506,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Đường Xuân Diệu', '59', 'D’. Le Roi Soleil']","
Chủ nhà đi nước ngoài, cần bán nhanh căn hộ chung cư D'. Le Roi Soleil 59 Xuân Diệu, diện tích 81.8m² gồm 02PN - 02WC - phòng khách - bếp. Chủ nhà là người có điều kiện nên đầu tư toàn nội thất cao cấp, rất tỉ mỉ trong việc thiết kế, cũng như mua sắm đồ. Khách đến chỉ việc xách vali đến ở.Căn hộ thuộc tầng đẹp (12 - 16), cửa vào hướng Tây Nam, ban công hướng Đông Bắc nhìn ra sông Hồng, thuộc tháp B mặt đường Xuân Diệu.Chung cư D'. Le Roi Soleil tọa lạc ngay ngã ba Xuân Diệu - Đặng Thai Mai với 25 tầng nổi, 5 tầng hầm, mỗi sàn 24 căn hộ(mỗi tháp 12 căn), có bể bơi tràn tại tầng 8, do Tân Hoàng Minh làm chủ đầu tư, sở hữu lâu dài, hoàn thiện và bàn giao quý IV - 2018.Vị trí đắc địa cách hồ Tây 200m, gần trường cấp 1 - 2 Quảng An, cách trường cấp 1 - 2 - 3 Chu Văn An 2 - 3km, tiện di chuyển ra sân bay quốc tế Nội Bài, chủ nhà để lại toàn bộ nội thất cao cấp.Hãy gọi nhanh cho Mr Chiều SMS/Zalo (24/7): 0915 916 *** để sở hữu căn hộ đẳng với giá bán không thể hợp lý hơn 6.35 tỷ. Sổ đỏ chính chủ, sang tên trong nốt nhạc!            ",81.8 m²,6.35 tỷ,,,Tây - Nam,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,35071999,batdongsan_com_vn_35071999,Đông - Bắc,,2 phòng,2 phòng,Đầy đủ nội thất cao cấp
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh', 'Ngõ 333']","
Bán nhà riêng ngõ 333 phố Xuân Đỉnh, Bắc Từ Liêm, Hà Nội.Diện tích 35m², xây 5 tầng, nhà gần trường cấp 1,2,3 Xuân Đỉnh, Gần Chung Cư C1, C2.* Nhà xây mới, thiết kế hiện đại, khung cột bê tông cốt thép cực kì chắc chắn:- Tầng 1: Phòng khách, bếp ăn + WC.- Tầng 2, 3, 4: Phòng ngủ khép kín cực rộng và vệ sinh rộng.- Tầng 5: Phòng thờ, sân phơi rộng view cực thoáng.- Nội thất: Nhà được đầu tư rất kỹ về nội thất, tủ bếp bằng gỗ cao cấp. Tay vịn cầu thang, bậc cầu thang, khuôn cửa và cửa thông phòng bằng gỗ Lim. Sàn nhà các tầng đều được lát gỗ nhập khẩu. Thiết bị vệ sinh inax, cửa sổ kính cách âm, bình nóng lạnh các tầng đầy đủ.- Vị trí: Nhà nằm trong khu dân trí cao, an ninh tốt. Giao thông thuận lợi, Gần Công Viên Hòa Bình, đường lớn Xuân Đỉnh, khu Đô Thị Ngoại Giao đoàn, đường Nguyễn Văn Huyên kéo dài, gần chợ Xuân Đỉnh, các trường cấp 1, 2, 3 Xuân Đỉnh...- Sổ đỏ chính chủ, pháp lý rõ ràng, mua bán nhanh gọn.Giá bán: 3.8 tỷ (có thương lượng và bao sang tên sổ đỏ).+ Liên hệ xem nhà miễn phí: Em Thực: 0979 875 *** ",35 m²,3.8 tỷ,,,,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,33718321,batdongsan_com_vn_33718321,,5 tầng,4 phòng,4 phòng,
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Lê Trọng Tấn', 'Dự án Thủy Lợi Tower']","
Bán ngay chung cư toà Thuỷ Lợi Tower Lê Trọng Tấn, Hà Đông. Tầng thấp, lô góc siêu rộng, giá bán quá tốt.Thiết kế lô góc 88m², có 2 ban công, 2 Pn, 2 Vs đầy đủ tiện ích trong nhà và xung quanh. Hướng nhà đón tài Lộc, ánh sáng tự nhiên các phòng ngủ. Giá bán cho mọi gia đình, giá quá tốt chỉ 1,85 tỷ.- Ban công Tây Nam, Đông Nam, cửa chính Tây Bắc, phòng bếp siêu rộng.- Gần Quang Trung, Xa La, Văn Phú, Lê trọng tấn, Yên Nghĩa. Sổ đỏ lâu dài.Liên hệ trực tiếp xem nhà nhận thông tin tư vấn. Em Bổ chuyên BĐS thổ cư, chung cư.            ",88 m²,1.85 tỷ,,,Tây - Bắc,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36043012,batdongsan_com_vn_36043012,Đông - Nam,,2 phòng,2 phòng,Đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính', 'Dự án Chelsea Park']","
Bán CHCC Chelsea Park, Yên Hòa, Cầu Giấy, Hà Nội. DT: 128m². Giá: 5,1 tỷ có thương lượng cho khách thật sự thiện chí.Căn hộ thiết kế đẹp full nội thất với 3PN 2WC, Ban công thoáng mát. Xung quanh nhiều tiện ích.Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên hệ xem nhà: 0988 606 *** ",128 m²,5.1 tỷ,,,,Sổ đỏ,06/12/2022,13/12/2022,Tin thường,35860706,batdongsan_com_vn_35860706,,,3 phòng,2 phòng,Full nội thất.
