address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Pháp lý,Nội thất,Số phòng ngủ,Số toilet,Hướng nhà,Hướng ban công
"['Hà Nội', 'Sóc Sơn', 'Xã Minh Trí', 'Đường Lập Trí']","
Do cần tiền cuối năm xây nhà nên muốn bán gấp mảnh đất full thổ cư tại Sóc Sơn.Vị trí là tại thôn Lập Trí, xã Minh Trí, Huyện Sóc Sơn, Hà Nội.Diện tích là 71m² - Mặt tiền 4.56m, Hậu là 4.77m, nở hậu.Đường rộng 4m, ô tô 7 chỗ đi thoải mái, cách đường nhựa, trục chính kinh doanh chỉ 30m.Đất rất đẹp, pháp lý sạch sẽ nên mua bán rất yên tâm.Đất rất tiềm năng vì vị trí đất ở gần ngay cổng KCN Sạch tại Sóc Sơn. Hiện tại dự án đang được triển khải.Gọi cho e ngay để đi xem ngay lô đất.Lhcc: 0969 922 *** ",71 m²,Thỏa thuận,4.56 m,4 m,06/12/2022,13/12/2022,Tin thường,35736191,batdongsan_com_vn_35736191,,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Tứ Liên', 'Đường Âu Cơ']","
Cần bán gấp nhà riêng chính chủ phố Âu Cơ, quận Tây Hồ - Sổ đỏ chính chủ.DTSD 25m², mặt tiền: 4.1m.+ Nhà sở hữu vị trí cực đẹp, đường trước nhà ô tô tránh, giao thông thuận tiện, cạnh bãi gửi xe ô tô.+ Kinh doanh tấp nập hàng ngày, ba bước chân ra chợ Tứ Liên. Dân trí cao, an sinh xã hội cực tốt.+ Nhà xây dựng 4 tầng, khung cột chắc chắn, lên thêm tầng thoải mái. Đầy đủ công năng sử dụng.+ Giá cực tốt: 3.3 tỷ.+ Sổ đỏ chính chủ, vuông đẹp, sẵn sàng giao dịch ngay.+ Liên hệ: Mr. Khánh (SĐT + Zalo) - Cam kết tư vấn pháp lý rõ ràng và hỗ trợ giao dịch thành công.            ",25 m²,3.3 tỷ,4.1 m,4.5 m,06/12/2022,13/12/2022,Tin thường,36042905,batdongsan_com_vn_36042905,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Đằng', 'Đường Lương Yên', '3', 'Sun Grand City Ancora Residence']","
Chuyển xuống ở biệt thự, gia đình cần bán căn hộ 2PN 2VS tại chung cư cao cấp Sun Grand City Ancora, 3 Lương Yên, HN.* Liên hệ: 0975 997 **** Giá chỉ: 5.68 tỉ.* Thiết kế: 2PN 2VS, phòng khách + bếp + logia thoáng sáng. Ban công ngắm view sông Hồng.* Khoảng tầng đẹp, view thoáng không bị che chắn tầm nhìn.* Vị trí đắc địa trung tâm thủ đô, tiện ích ngập tràn: TTTM, bể bơi bốn mùa, rạp chiếu phim CGV..., 10 phút lên Hồ Gươm, thông ra các tuyến phố lớn nên rất thuận tiện, không lo tắc đường.* Vui lòng liên hệ trực tiếp: 0975 997 *** ",78 m²,5.68 tỷ,,,05/12/2022,12/12/2022,Tin thường,36025601,batdongsan_com_vn_36025601,,Sổ đỏ/ Sổ hồng,Đầy đủ,2 phòng,2 phòng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Phố Lê Văn Thiêm', 'số 10', 'Chung cư The Legacy']","
Gia Đình tôi chuyển công tác vào SG tôi cần chuyển nhượng căn chung cư The Legacy, số 10 lê Văn Thiêm, Q thanh Xuân, Hà NỘI.Diện tích 118m², 3PN, 2wc.Full nội thất: Giường tủ, bàn ă (Full hết bao gồm cả đồ điện tử).Rèm cửa,Giá bán 5x tỷ (bao phí sang tên).Liên hệ: C Hương 0918 264 *** ",118 m²,5 tỷ,,,06/12/2022,13/12/2022,Tin thường,35879458,batdongsan_com_vn_35879458,,,,3 phòng,2 phòng,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai']","
- Diện tích: 32m².- Mặt tiền: 3,2m.- Thiết kế gồm 4,5 tầng gồm 3 phòng ngủ - 4 vs - phòng khách - bếp, phòng thờ, sân phơi.- Giá: 3,85 tỷ.- Sổ đỏ chính chủ, nở hậu.- Liên hệ: Lê Hà 0773 361 ***miễn trung gian môi giới).            ",32 m²,3.85 tỷ,3.2 m,3 m,06/12/2022,13/12/2022,Tin thường,35763754,batdongsan_com_vn_35763754,5 tầng,,,3 phòng,4 phòng,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Nguyễn Cơ Thạch']","
+ Ngõ trước nhà 3m rộng thoáng. Giao thông kết nối các tuyến đường Lê Đức Thọ, Hàm Nghi, Hồ Tùng Mậu, Nguyễn Đổng Chi, Cầu Diễn, Trần Hữu Dực, Phạm Hùng, Mỹ Đình,...Nhà mới xây mấy năm nên còn rất mới, đẹp. Khung cột chắc chắn.+ Trước nhà có không gian thoáng sáng. Tiện ích xung quanh không thiếu gì: Gần nhiều Trường Đại học: ĐH Thương Mại, Sân Khấu Điện Ảnh, ĐH Quốc Gia, Sư Phạm, Học Viện Múa, Học viện Báo Chí Và Tuyên Truyền,.. Chợ, bệnh viện, trung tâm thương mại,...+ Sổ đỏ vuông văn đẹp sẵn sàng giao dịch.+ Chủ nhà anh Long ăn nên làm ra bán mua biệt thự liền kề.+ Liên hệ em Yến (nhà Thổ cư Đẹp, Hiếm Từ Liêm, Cầu Giấy, MIỄN TG).            ",33 m²,4.5 tỷ,,,06/12/2022,16/12/2022,Tin thường,36042881,batdongsan_com_vn_36042881,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Mai Động', 'Đường Minh Khai']","
- Diện tích: 32m².- Mặt tiền: 3,2m.- Thiết kế gồm 4,5 tầng gồm 3 phòng ngủ - 4 vs - phòng khách - bếp, phòng thờ, sân phơi.- Giá: 3,85 tỷ.- Sổ đỏ chính chủ, nở hậu.- Liên hệ: Lê Hà 0773 361 ***miễn trung gian môi giới).            ",32 m²,3.85 tỷ,3.2 m,3 m,06/12/2022,13/12/2022,Tin thường,35763790,batdongsan_com_vn_35763790,5 tầng,Sổ đỏ.,,3 phòng,4 phòng,,
"['Hà Nội', 'Chương Mỹ', 'Xã Thuỷ Xuân Tiên', 'Đường Liên Xã']","
Thôn Xuân Linh - xã Thuỷ Xuân Tiên - Chương Mỹ - Hà Nội.- DT 1601m², 170m² đất ở còn lại là đất LNK.- Giá 9tr/1m² có thương lượng dành cho nhà đầu tư.- Đường to rộng, ô tô tránh, QL6 chuẩn bị được mở rộng chỉ 20p đến nội thành.Dân cư đông đúc sầm uất.Giáp thị trấn Xuân Mai (chuẩn bị lên thành phố vệ tinh của thủ đô).CC Mr Dũng 0564 834 *** ",1601 m²,9 triệu/m²,25 m,6 m,06/12/2022,13/12/2022,Tin thường,35406102,batdongsan_com_vn_35406102,,Sổ đỏ/ Sổ hồng,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Nguyễn Khang']","
+ Mặt tiền tỉ lệ vàng 4m.+ Vị trí nhà mình thông sang Phố Nguyễn Bá Khoản, Trung Yên 9, vài bước ra khu đô thị Trung Yên, kinh doanh Văn Phòng, giao thông thuận tiện.+ Nhà thiết kế 4 tầng đã lâu, Chủ mới về sơn sửa có thể ở tốt hoặc đập đi xây 1 toà nhà thì tuyệt vời.+ Sổ phân lô vuông vắn.            ",65 m²,12.73 tỷ,4 m,5 m,06/12/2022,16/12/2022,Tin thường,36040890,batdongsan_com_vn_36040890,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Phố Khương Hạ']","
Chính chủ muốn bán căn nhà phố Khương Hạ, mặt ngõ to ô tô tránh, đẹp hơn mặt phố, trung tâm Thanh Xuân:+ Nhà 4 tầng, thiết kế cơ bản, diện tích 40m² phân lô, ô tô vào nhà.+ Thích hợp để ở và kinh doanh tấp nập.Do cần tiền làm ăn, chủ thiện chí bán, chào giá 6 tỷ có thương lượng.Sổ đỏ giao dịch ngay.Liên hệ xem nhà: Mr Quyến 0364 901 *** ",40 m²,6 tỷ,4 m,12 m,06/12/2022,13/12/2022,Tin thường,36042624,batdongsan_com_vn_36042624,4 tầng,Sổ đỏ/ Sổ hồng,,4 phòng,4 phòng,,
