address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Pháp lý,Mặt tiền
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'số 1 Phố Phùng Chí Kiên', 'Dự án Tràng An GP - Complex']","
Tôi cần bán căn hộ tại chung cư cao cấp Tràng An Complex - số 1 Phùng Chí Kiên.DT: 80,5m² thiết kế 2 phòng ngủ và 2 vệ sinh, ban công Nam mát mẻ, view sân khuôn viên.Giá bán: 3ty950  ( phí sang tên thương lượng) đã có sổ hồng.Nội thất đầy đủ, đã sửa lại rất đẹp và hiện đại.Liên hệ chi tiết 0983 726 *** ",78 m²,3.95 tỷ,Bắc,Nam,2 phòng,2 phòng,Full thiết kế rất đẹp,06/12/2022,13/12/2022,Tin thường,16792120,batdongsan_com_vn_16792120,,,
"['Hà Nội', 'Thanh Trì', 'Xã Ngọc Hồi', 'Đường Ngọc Hồi']","
- Nhà dân xây được vài năm thiết kế xây dựng khung cột chắc chắn.- Diện tích nhà 56m² thiết kế 4 tầng cầu thang và WC giữa mỗi tầng 2 PN.- Nhà xây dựng thiết kế rất thoáng phòng nào cũng có cửa sổ ánh sáng tự nhiên.- Nhà gần khu X130 vài bước lối đi tắt sang BV Đa khoa Nông nghiệp, chợ 15m.- Từ nhà di chuyển lên phố hoặc đi các tỉnh phía nam rất tiện 150m ra đường Ngọc hồi (QL1A), Cao tốc Pháp Vân cách nhà 300m.- Chủ nhà hiền lành phúc hậu, công tác trong Quân đội giờ chuyển về quê cùng các cụ, nhà ở có lộc con cái học hành.- Sổ đẹp pháp lý chuẩn, giao dịch ngay.- Giá bán 3.32 tỷ LH Em Lực để xem nhà và gặp Chính chủ.            ",56 m²,3.32 tỷ,,,4 phòng,3 phòng,,06/12/2022,13/12/2022,Tin thường,35938761,batdongsan_com_vn_35938761,4 tầng,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Phùng Chí Kiên', 'số 1', 'Tràng An Complex']","
Tôi cần bán căn hộ diện tích 101m², diện tích sử dụng 93m², thiết kế 03 phòng ngủ và 2 vệ sinh. Căn hộ đã sắm full nội thất chỉ xách vali vào ở, nay cần chuyển đi xa nên để lại toàn bộ nội thất. Giá thỏa thuận (bao phí sang tên).Địa chỉ: Chung cư cao cấp Tràng An Complex - số 1 Phùng Chí Kiên.Liên hệ: 0983 726 *** ",101 m²,Thỏa thuận,,,3 phòng,2 phòng,Full nội thất.,06/12/2022,13/12/2022,Tin thường,16897066,batdongsan_com_vn_16897066,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'đường Tứ Hiệp']","
- Chính chủ đang cần bán căn nhà ở Tứ Hiệp Thanh Trì diện tích 55m² x4T giá 3.25 tỷ.- Nhà đi từ lối chung cư IEC đi vào giáp khu TĐC Tứ Hiệp.- Nhà dân xây chắc chắn cẩn thận không đẹp như nhà thương mại nhưng chất lượng sẽ vượt thời gian.- Tứ hiệp sẽ là trung tâm của Quận Thanh Trì trong một hai năm tới lên Quận.- Thiết kế hợp lý: Mỗi tầng 2 PN, phòng thờ sân phơi riêng tổng có 4Pn.- Ngõ vào nhà tuy không bằng đường Khu phân lô nhưng rất thoáng, sạch sẽ.- Sổ đỏ sẵn sàng giao dịch.- Giá bán 3.25 tỷ Liên hệ gọi ngay em Lực để xem nhà và làm việc chính chủ bán.            ",55 m²,3.25 tỷ,,,4 phòng,4 phòng,,06/12/2022,13/12/2022,Tin thường,35938715,batdongsan_com_vn_35938715,4 tầng,,
"['Hà Nội', 'Thanh Trì', 'Xã Tả Thanh Oai', 'Đường Phan Trọng Tuệ', 'Dự án Chung cư Đại Thanh']","
Do gia đình chuyển công tác nên cần bán nhanh căn hộ 47m² ở chung cư Đại Thanh.- Nhà đã có sổ sẵn ở nhà, các bác đến xem có thể xem sổ luôn.- Diện tích 47m² vuông, có thể thiết kế lại thành 2 phòng ngủ nếu muốn. Đã có nhiều nhà sửa thành 2 phòng ngủ rất đẹp.- Giá thỏa thuận có thương lượng và gia lộc nếu bác nào thiện chí mua thật.Ai có nhu cầu xem nhà xin liên hệ sđt 0973 330 *** hoặc 0949 089 ***Miễn TG & QC. Xin cảm ơn cả nhà.            ",47 m²,Thỏa thuận,,,1 phòng,1 phòng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36034831,batdongsan_com_vn_36034831,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án The Zei Mỹ Đình']","
Dự án The Zei Mỹ Đình nằm tại vị trí trái tim của Mỹ Đình - Có thể nói The Zei là sự tổng hòa của thiết kế nội thất đầy cảm hứng, tiện nghi hiện đại và không gian sống xanh rực rỡ điểm đến lý tưởng cho phong cách sống đương đại đầy say mê.Quỹ căn hộ:Căn 2PN (2WC): 92m².Căn 3PN (2WC): 103m² - 107m².Tiện ích:Vị trí cực kỳ lý tưởng, kết nối dễ dàng với các khu mua sắm, ẩm thực, trường học và hệ thống giao thông.Mua sắm đầy đủ các thương hiệu quốc tế được phân bổ hợp lý trên 4 tầng thương mại.Ẩm thực chuỗi nhà hàng và cà phê cao cấp phục vụ các món ăn Việt Nam và quốc tế.Giải trí Các hoạt động giải trí đa dạng và rạp chiếu phim hiện đại.Bể bơi và trung tâm thể thao Thiết kế hiện đại, phục vụ các mùa trong năm.Coworking Space không gian đầy cảm hứng cho sáng tạo và làm việc.Zen Space khu vườn thanh bình trên tầng thượng để bạn tìm cho mình sự cân bằng và yên tĩnh.Sân chơi trẻ em Khu sinh hoạt chung ấm cúng, phù hợp để thư giãn và đón khách.Công viên tầng thượng Một không gian xanh mát sở hữu tầm nhìn ôm trọn Mỹ Đình và Hà Nội.Kết nối vùng chung cư The Zei:Tiếp giáp 4 mặt đường lớn là Lê Đức Thọ, Nguyễn Cơ Thạch, Hàm Nghi. Đây là khu vực có hạ tầng đồng bộ và hiện đại, dễ dàng kết nối tới các khu vực quan trọng trong thành phố thông qua các trục đường lớn Vành đai 3, Xuân Thủy, Cầu Giấy, Hoàng Quốc Việt, Láng Hòa Lạc, đường 32.- Cạnh công viên hồ điều hòa 15 ha.- 5 phút tới đại học Thương Mại, đại học Quốc Gia, ĐH Ngoại Ngữ.- 5 phút tới bệnh viện 198.- 5 phút tới bến xe Mỹ Đình.- 5 phút tới sân vận động Quốc Gia Mỹ Đình.- Và cạnh nhiều trung tâm lớn, trường học.            ",92 m²,Thỏa thuận,,,2 phòng,2 phòng,Đầy đủ,01/12/2022,08/12/2022,Tin thường,36000078,batdongsan_com_vn_36000078,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'số 1 Phố Phùng Chí Kiên', 'Dự án Tràng An GP - Complex']","
Bán căn hộ Tràng An Complex (số 1 Phùng Chí Kiên). Tổng diện tích 86m², diện tích sử dụng 80,5m², Thiết kế 2 phòng ngủ và 2 vệ sinh, Đây là căn góc ban công Nam, tầng cao nên rất thoáng. Sân chơi chung rộng và có có trường học trong khu, cực kỳ thuận lợi.full nội thất giá thỏa thuận (bao phí sang tên, đã có sổ hồng). LH 0983 726 *** ",85 m²,Thỏa thuận,,,2 phòng,2 phòng,Full nội thất.,06/12/2022,13/12/2022,Tin thường,16864042,batdongsan_com_vn_16864042,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'Đường Nguyễn Bặc']","
- Nhà tọa lạc ngay trung tâm của Thanh trì, từ Chi cục Thuế Thanh Trì đi vào nhà hơn 100m.- Diện tích sổ đỏ 58.6m² xây dựng hết đất thiết kế 4 tầng khang trang bề thế.- Khu vực nhà bán xung quanh tiện ích rất nhiều từ chợ Thị trấn Văn điển, Siêu thị, Trung tâm Thương mại không thiếu gì.- Đặc biệt đường nguyễn Bặc trước chi cục thuế cứ 1 tháng lại diễn ra hội chợ đặc sản B miền một lần.- Ngõ trước nhà thoáng rộng thông các hướng.- Nhà tổng có 4 Pn đầy đủ công năng sử dụng cho gia đình nhiều thành viên.- Sổ đỏ chính chủ giao dịch nhanh trong ngày.- Giá bán 3.35 tỷ Liên hệ em Lực để gặp chính chủ.            ",58.6 m²,3.35 tỷ,,,4 phòng,,,06/12/2022,13/12/2022,Tin thường,35938663,batdongsan_com_vn_35938663,4 tầng,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City']","
Chủ nhà thiện chí bán căn hộ 02 phòng ngủ.Diện tích: 76m².Đồ nguyên bản.Tầng trung hướng Nam đẹp.Giá 3,6 tỷ.Liên hệ: 0862 228 *** ",76 m²,3.6 tỷ,Nam,Nam,2 phòng,2 phòng,Đồ chủ nhà tặng lại,28/11/2022,08/12/2022,Tin thường,35730895,batdongsan_com_vn_35730895,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Duy Tân', '19', 'Epic Tower']","
Thông tin tổng quan.Vị trí dự án: 19 Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội.- Diện tích đất: 5.527m.- Diện tích xây dựng: 2.200m.- Mật độ xây dựng: 40%.- Với quy mô 2 tòa tháp: Block A căn hộ, Block B văn phòng.- Khu vực lánh nạn tại tầng 20.- Tầng 1: Sảnh căn hộ, phòng quản lý kỹ thuật, phòng chờ, khu vực vệ sinh công cộng.- Tầng 2: Khu vực sinh hoạt cộng đồng. Nhà hàng Âu - Á, phòng hội thảo, vệ sinh công cộng.- Tầng mái: Là khu vực Rooftop với bể bơi vô cực.Tiện ích.- Hồ bơi Vô cực tại tầng cao nhất.- Gym, phòng sinh hoạt cộng đồng, phòng đọc sách báo, hệ thống nhà hàng cao cấp tại tầng 2.- Khu vui chơi trẻ em, vườn nướng BBQ ngoài trời tại tầng mái.- Khu vực Lễ tân, phòng chờ và SIP Lounge sang trọng.- Khu vực tổ hợp ăn uống dịch vụ tại tầng B1 tới tầng 2 (Nhà hàng cao cấp, siêu thị, coffee,... ).Chính sách bán hàng.- CK 5% khi không vay ngân hàng.- Thanh toán đợt 1 30% và giải bank giải ngân 70% đối với vay ngân hàng.- Hỗ trợ lãi suất 0% và ân hạn nợ gốc 12 tháng.            ",106 m²,Thỏa thuận,,,3 phòng,2 phòng,Đầy đủ,01/12/2022,08/12/2022,Tin thường,36000599,batdongsan_com_vn_36000599,,Sổ đỏ/ Sổ hồng,
