address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Số phòng ngủ,Số toilet,Số tầng,Nội thất
"['Hà Nội', 'Sóc Sơn', 'Xã Minh Phú']","
Chính chủ tôi bán nhanh lô đất siêu phẩm 321m² Thanh Trí Minh Phú, Sóc Sơn, giá chỉ 1x tr/m² có thương lượng gia lộc cho khách thiện chí.- Thổ cư 240m².- 2 mặt tiền đường ô tô đỗ cửa.- Chia 4 lô cực đẹp mặt tiền 7m cực VIP.- Đi 50m ra đường QH 40m.- Đối diện là khu đất quy hoạch đất tái định cư sân bay.- Trung tâm xã Thanh Trí, giáp chợ.- Gần Vinmart, gần chợ trung tâm.- Gần sân golf.- Giá cực tiềm năng, không mua đây thì mua đâu nữa.LH ngay 0962 035 *** gặp chính chủ thỏa thuận giá.            ",321 m²,17.9 triệu/m²,14 m,7 m,Đông - Nam,Sổ đỏ/ Sổ hồng.,01/12/2022,08/12/2022,Tin thường,36000900,batdongsan_com_vn_36000900,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Đống Mác']","
Mặt phố kinh doanh ô tô tránh.Trung tâm quận tiếp giáp Hoàn Kiếm.Khu vực giao thông dân trí cực cao.Sát Lò Đúc, Phố Huế, Hòa Mã, Lê Văn Hưu, nhà hát lớn, Tràng Tiền, hồ Hoàn Kiếm...Hiện ở và kinh doanh cực tốt thu nhập cao.Liên hệ trực tiếp miễn trung gian.0973244285 Mr Thảo.            ",40 m²,10.5 tỷ,,,,,02/12/2022,09/12/2022,Tin thường,34310491,batdongsan_com_vn_34310491,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Đường Xuân La', 'Dự án Kosmo Tây Hồ']","
Chủ cần bán căn hộ tại chung cư cao cấp Kosmo Tây Hồ 154m², 3 ngủ, 2WC, 1 ban công và 1 logia. Căn hộ thiết kế phòng nào cũng có ánh sáng, không gian thoáng đãng, tầng cao lên không khí trong lành.Tầm view cực thoáng, vĩnh viễn không bị chắn.Dân trí cao, nếp sống văn minh, không khí trong lành, dịch vụ cao cấp, bể bơi, siêu thị, 3 tầng hầm gửi xe, giao thông thuận tiện.Giá bán: 8 tỷ (làm việc trực tiếp với chủ nhà).            ",154 m²,8 tỷ,,,Đông - Nam,,28/11/2022,08/12/2022,Tin thường,35973185,batdongsan_com_vn_35973185,Tây - Bắc,3 phòng,2 phòng,,
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Định Công']","
Đầu tư giữ tiền dòng tiền ổn định.Full nội thất sẵn khai thác thang máy.+ Nằm vị trí phố Định Công Hoàng Mai thông các ngả.+ Nhà cách ô tô chỉ 30m cực thuận lợi cho giao thông đi lại.+ Nhà hiện tại là kinh doanh đang rất ổn định với 11 Phòng lúc nào cũng full phòng.+ Pháp lý sổ đỏ giao dịch luôn.Nhà mới sử dụng được 2 năm nay bán bớt để giải quyết tài chính nên bán. Khách mua chỉ sẵn khai thác.Liên hệ trực tiếp: 0973 244 *** Mr Thảo.            ",54 m²,6.5 tỷ,,,,Sổ đỏ.,02/12/2022,09/12/2022,Tin thường,35506819,batdongsan_com_vn_35506819,,11 phòng,,6 tầng,
"['Hà Nội', 'Đông Anh', 'Xã']","
Cần tiền bán nhanh mảnh đất 100m² tại thôn Đồng Nhân - Xã Hải Bối Đông Anh HN.- Diện tích 100m².- MT=MH 5m6 dài 17m khổ đất vuông nhưng tờ A4.- Đường trước đất rộng hơn 5m ô tô tránh nhau.- Ngõ thông.- Sát với khu thành phố Thông Minh đang xây dựng.- 20m là khu chung tâm dậy tiếng Nhật Hoa Anh Đào.- Cách 200m là Cầu Nhật Tân và KCN Bắc Thăng Long.- 700 m là cầu Nhật Tân.- 3 km là sân bay Nội Bài.- Mảnh đất quá đẹp để sinh lời ngay.- Anh chị quan tâm.            ",100 m²,53 triệu/m²,5.6 m,5 m,,,06/12/2022,13/12/2022,Tin thường,36042550,batdongsan_com_vn_36042550,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa', 'Dự án Đô Nghĩa']","
Cần bán cắt lỗ gấp căn biệt thự nằm trong dự án Sol Lake Villa của Nam Cường ở Đô Nghĩa - cạnh công viên Cây Đàn, đường Vành Đai 4. Đã nhận nhà.- Diện tích đất 200m², mặt tiền 10m.- Hướng Tây Bắc.- Xây dựng 100m² đất.- Tổng diện tích sàn 370m².- Bên trong thô.- Giá 18 tỷ có thương lượng.- Ngoài ra còn các căn khác diện tích 164 - 250m², giá 16 - 32 tỷ.------------Liên hệ 0898 010 ***Chat Zalo https://zalo.me/ngocanhvillas92            ",200 m²,18 tỷ,10 m,12 m,Tây - Bắc,Hợp đồng mua bán,06/12/2022,16/12/2022,Tin thường,32200603,batdongsan_com_vn_32200603,Tây - Bắc,4 phòng,,3 tầng,Hoàn thiện mặt ngoài - thô bên trong
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Trịnh Văn Bô']","
Chính chủ cần tiền bán gấp lô đất 56m² trước nhà là công viên vườn hoa.- Đường trước nhà 11m vỉa hè 3m siêu đẹp.- Xung quanh đầy đủ tiện ích như trường học, công viên, bệnh viện...- Xung quanh toàn tuyến đường lớn đi lại thuận tiện.- Sổ đỏ chính chủ sẵn sàng giao dịch.- Liên hệ Hải 0933 638 *** ",56 m²,Thỏa thuận,,11 m,,Sổ đỏ/ Sổ hồng.,06/12/2022,13/12/2022,Tin thường,35784098,batdongsan_com_vn_35784098,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Đội Cấn', 'Đường Đội Cấn']","
- Nhà cách mặt phố 30m, cách ô tô 3m, tổng 5 PN, 1 phòng gym, 1 khách, 1 bếp 4WC, 1 sân để xe 1 sân chơi và 1 sân phơi riêng.- Nhà mới xây, full nội thất chỉ việc xách vali đến ở.- Xung quanh nhiều tiện ích: TTTM Lotte, Vincom, Lăng Bác, CV Bách Thảo.Giá bán: 6,2 tỷ có TL.LH: 0988 669 *** ",50 m²,6.2 tỷ,3 m,,,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36041910,batdongsan_com_vn_36041910,,5 phòng,4 phòng,4 tầng,Đầy đủ
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Lê Văn Lương', '48', 'Diamond Flower Tower']","
Bán chung cư Diamon Flower - 48 Lê Văn Lương, Nhân Chính, quận Thanh Xuân, thành phố Hà Nội.- DT: 120m² sổ đỏ. Căn trục 02.- Hiện trạng thiết kế 3 ngủ 2WC, tầng cao view thoáng.- Nhà mới sửa chữa lại toàn bộ, full nội thất.- Cửa vào hướng TB, ban công ĐN.- Sổ đỏ chính chủ sẵn giao dịch.- Giá bán 5.5 tỷ.- Liên hệ xem nhà: 0919 636 *** ",120 m²,5.5 tỷ,,,Tây - Bắc,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35742710,batdongsan_com_vn_35742710,Đông - Nam,3 phòng,2 phòng,,
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa']","
Nhà Yên Nghĩa - Hà Đông 4 tầng 30m² ô tô cách 10m giá 1.8 tỷ.- Diện tích: 30m².- Hướng: Tây Bắc.- Sđcc pháp lý chuẩn sang tên ngay, hỗ trợ vay vốn ngân hàng.- Vị trí: Nhà thuộc tổ 14 Yên Nghĩa, ngay sát chợ, nhà văn hóa. Xung quanh dân cư đông đúc, dân trí cao, đầy đủ tiện ích. NHà cách KĐT Đô Nghĩa 1.5km, cách bến xe Yên Nghĩa 2km, cách Đh Phenikaa 2km.Nhà xây 4 tầng đầy đủ công năng:+ Tầng 1: Phòng khách + bếp + wc.+ Tầng 2,3: Mỗi tầng 1 ngủ 1 wc rộng.+ Tầng 4: Phòng thờ + sân phơi.Giá bán: 1.8 tỷ(bao sang tên và có thương lượng).Liên hệ để được tư vấn và xem nhà miễn phí.            ",30 m²,1.8 tỷ,,,Tây - Bắc,,06/12/2022,13/12/2022,Tin thường,35851015,batdongsan_com_vn_35851015,,3 phòng,3 phòng,4 tầng,
