address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Số phòng ngủ,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Hướng nhà,Hướng ban công,Số toilet
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Dịch Vọng', 'Số 6 ngách 23 ngõ 37']","
Chính chủ bán nhà số 6 ngách 23 ngõ 37 Dịch Vọng, phía sau tòa nhà Bamboo 265 Cầu Giấy, ô tô đỗ 50m, cách công viên Cầu giấy 300m, gần chợ, các trường đại học và bệnh viện, trung tâm thương mại. Nhà 4 mặt thoáng (rất hiếm), mặt tiền rộng, ngõ rộng, xe bác gác ra vào thoải mái.            ",57 m²,5.35 tỷ,12 m,3 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,06/12/2022,16/12/2022,Tin thường,36041789,batdongsan_com_vn_36041789,,,,
"['Hà Nội', 'Gia Lâm', 'Thị trấn Trâu Quỳ', 'Dự án Thuận An']","
Anh chị tôi cần bán nhanh lô Shophouse Sông Hồng, tại TT Trâu Quỳ:+ Diện tích: 84m².+ Mặt tiền: 6m, hậu 6m.+ Hướng: Tây Bắc.+ Pháp lý: Sổ đỏ chính chủ, không tranh chấp.+ Căn shophouse nằm ở vị trí đẹp, ở khu vực trung tâm của TT Trâu Quỳ, ngay cạnh là trung tâm Quận Ủy mới, cơ quan hành chính nằm hết ở cạnh, tiềm năng sau này lên Quận còn đắt giá hơn rất nhiều lần.+ Bao quanh thì đầy đủ các tiện ích, vị trí lại cực kỳ thuận tiện, đi 5 phút là ra tới Vinhomes Ocean Park, có rất nhiều dự án lớn của Eurowindow, Thiên Minh Đức ở bên cạnh.+ Giá bán: 11,5 tỷ. Mua bán có thương lượng với khách hàng thiện chí.+ Hỗ trợ vay ngân hàng, thủ tục sang tên sổ đỏ.Liên hệ ngay em Hoàng 0983 405 *** trước 30 phút để xem đất (hỗ trợ tư vấn 24/7 miễn phí).Cam kết bán đúng giá - Không thu phí người mua - Hỗ trợ thủ tục sang tên.Chuyên mua bán, ký gửi nhà đất Gia Lâm Long Biên.            ",84 m²,11.5 tỷ,6 m,,,Sổ đỏ/ Sổ hồng,,06/12/2022,13/12/2022,Tin thường,34558267,batdongsan_com_vn_34558267,10 m,Tây - Bắc,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', 'Dự án An Bình City']","
Chuyển nhượng gấp 9 căn thuộc chung cư An Bình City, giá tốt nhất thị trường, liên hệ: 0971 335 ***Bán chung cư An Bình City giá bán tốt nhất!Hỗ trợ 24/7 em Linh: 0971 335 ***Tháp A8:- Căn 5 tháp A8, loại căn hộ A1, diện tích 74,7m², căn 2 phòng ngủ đều có ánh sáng và gió tự nhiên, cửa hướng Nam, ban công hướng Bắc view khu biệt thự và hồ điều hòa.- Căn 11 tháp A8, loại căn hộ B5, diện tích 86,5m², cửa chính Đông ban công chính Tây và chính Nam view công viên và hồ điều hòa 16ha, thiết kế thông minh tất cả các phòng đều có ánh sáng và gió tự nhiên.Giá bán: Thỏa thuận.- Căn 01 tháp A8, loại căn hộ C1, diện tích 114,5m², cửa vào chính Nam, ban công chính Bắc và chính Tây, view hồ điều hòa và khu biệt thự tuyệt đẹp.- Căn 03 tháp A8, loại căn hộ B1, diện tích 90,6m², cửa vào chính Nam, ban công chính Bắc, view hồ, khu biệt thự và chung cư Green Stars.- Căn 10 tháp A8, loại căn hộ B4, diện tích 83,7m², ban công chính Đông và Nam, cửa vào chính Bắc, view quảng trường và bể bơi rất đẹp.- Căn 02 tháp A2, loại căn hộ C2, diện tích 114,5m², căn góc, cửa vào chính Bắc, ban công Đông Nam view công viên cây xanh đẹp.- Căn 09 tháp A7, loại căn hộ B4, diện tích 83,7m², căn góc, ban công chính Đông và Nam, cửa vào chính Bắc, view 2 phía quảng trường và bể bơi.- Căn 04 tháp A7, loại căn hộ B2, diện tích 90,6m², ban công chính Bắc, cửa vào chính Nam, vị trí view vườn hoa và hồ điều hòa.- Căn 12 tháp A7, loại căn hộ B6, diện tích 86,5m², ban công chính Đông và Bắc, cửa vào chính Tây, view bể bơi và quảng trường.Ngoài ra tôi còn nhiều căn khác với giá bán hợp lý.2. Tiến độ thanh toán:Sổ đỏ sang tên ngay.3. Điểm nổi bật dự án:- Thiết kế căn hộ thông minh, diện tích hợp lý tất cả các phòng đều có ánh sáng và đón gió tự nhiên.- Cư dân sống nơi đây sẽ được sử dụng một quần thể rộng với kiến trúc hiện đại theo đó là không gian sống trong lành.- Dịch vụ hoàn hảo có bể bơi bốn mùa, khu tập gym, spa... Và trung tâm thương mại đảm bảo cho cư dân nơi đây có một cuộc sống hiện đại.Hỗ trợ 24/7 em Linh: 0971 335 *** ",74.7 m²,Thỏa thuận,,,3 phòng,Sổ đỏ/ Sổ hồng,,06/12/2022,13/12/2022,Tin thường,20610958,batdongsan_com_vn_20610958,,Nam,Bắc,2 phòng
"['Hà Nội', 'Đan Phượng', 'Xã Tân Hội']","
Chính chủ cần bán đất phân lô sát dự án Vin Đan Phượng.Diện tích 50m².Hướng Đông Nam.Mặt tiền 5m vuông vắn.Thuận lợi phát triển lâu dài.Đường rộng ô tô đỗ tận cửa.Sổ đỏ chính chủ.Liên hệ chính chủ 0904 413 *** ",50 m²,Thỏa thuận,5 m,,,Sổ đỏ/ Sổ hồng,,28/11/2022,08/12/2022,Tin thường,34431011,batdongsan_com_vn_34431011,,Đông - Nam,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Phố Chùa Láng']","
Chính chủ - bán chung cư N1 Chùa Láng - Học viện Ngoại Giao - Đống Đa. Full nội thất, ở ngay.Nhận bàn giao căn hộ luôn - căn hộ rất thoáng sáng.Ô tô đỗ trước cửa chung cư.Giá bán: 599tr - 755tr - 860tr - 900tr - 1 tỷ.Diện tích: 46m - 47m - 48m - 49m - 55m - 58m².Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn Led.Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Liên hệ trực tiếp chủ đầu tư để mua nhà giá gốc - add Zalo để nhận video căn hộ.Nhấn để hiện số:            ",50 m²,930 triệu,,,2 phòng,,,06/12/2022,13/12/2022,Tin thường,36042487,batdongsan_com_vn_36042487,,,,1 phòng
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh']","
Nhà ngõ cực nông, tiện chỗ gửi xe ô tô, nhà thiết kế đẹp, khổ đất vuông vức thiết kế hợp lý, hoàn thiện xuất sắc. LH: 0986 472 ***- Nhà 4 tầng.- Diện tích: 40m², mặt tiền rộng, nở hậu.- Hướng: Tây tứ trạch.- Pháp lý: Sổ hồng sẵn sàng giao dịch.- Giá bán: Nhỉnh 3 tỷ- Hỗ trợ vay vốn 70%.- Miễn phí: Chuyển nhượng, phí lắp đặt điện nước, phí môi giới.- LH: 0986 472 *** xem nhà, tư vấn 24/7.            ",40 m²,3.4 tỷ,,4 tầng,,Sổ hồng,,06/12/2022,13/12/2022,Tin thường,35892528,batdongsan_com_vn_35892528,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Dương Đình Nghệ', 'Dự án Green Park Tower']","
Bán căn hộ Green Park Dương Đình Nghệ, Yên Hoà, Cầu Giấy, Hà Nội.- Diện tích: 104.5m².- Thiết kế: 3PN, 2VS. View đẹp.- Cửa hướng Tây Bắc, ban công: Đông Nam, rất thoáng mát.- Nhà đã có đầy đủ nội thất đẹp, vuông vắn, nhiều ánh sáng tự nhiên.- Xung quanh nhiều tiện ích: Trường tiểu học, thcs, bệnh viện, chợ, công viên ngay bên cạnh.- Sổ đỏ giao dịch ngay.Giá bán: 3.980 tỷ.Liên hệ xem nhà: 0919 636 *** ",104.5 m²,3.98 tỷ,,,3 phòng,Sổ đỏ/ Sổ hồng,,06/12/2022,13/12/2022,Tin thường,35971650,batdongsan_com_vn_35971650,,Tây - Bắc,Đông - Nam,2 phòng
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Hoàng Đạo Thúy', 'Dự án Trung Hòa Nhân Chính']","
Bán chung cư 17T8 - Trung Hòa Nhân Chính, 117m², 3pn, giá: 3.9 tỷ. LH: 0379 455 ***- Diện tích: 117m², 3 phòng ngủ, 2wc, cửa chính Đông Bắc, ban công Tây Nam, nhà đầy đủ nội thất, khách mua chỉ việc vào ở. Sổ đỏ chinh chủ.- Giá: 3.89 tỷ.- Liên hệ xem nhà: 0379 455 *** ",117 m²,3.89 tỷ,,,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,06/12/2022,13/12/2022,Tin thường,36042540,batdongsan_com_vn_36042540,,Đông - Bắc,Tây - Nam,2 phòng
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án The Miami']","
Căn 3PN giá rẻ duy nhất còn lại tại Vinhomes Smart City với đầy đủ phương án thanh toán.Tầng 15 - tầng trung hướng Đông Bắc + Đông Nam siêu mát.Thanh toán tiến độ chiết khấu 9,5%.Ân hạn 0đ lên đến 24 tháng.Tặng quà lên đến 150tr và trừ trực tiếp vào giá bán căn hộ.Tặng voucher xe Vinfast trị giá 200tr vnđ.Liên hệ tư vấn: 0383 993 *** - Em Bảo Vinhomes.Website: https://vinhomesland.org/vinhomes-smart-city/            ",82 m²,3.2 tỷ,,,3 phòng,Sổ hồng.,Hoàn thiện cơ bản.,06/12/2022,13/12/2022,Tin thường,35458561,batdongsan_com_vn_35458561,,Tây - Nam,Đông - Bắc,2 phòng
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Phố Kẻ Vẽ']","
Chính chủ cần bán đất phân lô khu tái định cư ngay phường Đông Ngạc - quận Bắc Từ Liêm - TP Hà Nội.Khu đất gia đình tôi gồm 5 ô với tổng diện tích hơn 500m² đất ở + gần 500m² diện tích lưu không.Sổ đỏ chính chủ.Gần đường cao tốc Thăng Long Nội Bài, gần trường đại học Y Tế Công Cộng, học viện Tài Chính, khu chung cư chân cầu Thăng Long.Liên hệ chính chủ 0904 413 *** ",273 m²,Thỏa thuận,,,,,,02/12/2022,10/12/2022,Tin thường,29784852,batdongsan_com_vn_29784852,,,,
