address,gen_descrip,Diện tích,Mức giá,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Mặt tiền,Số tầng,Đường vào
"['Hà Nội', 'Hoàn Kiếm', 'Phường Cửa Nam', 'Đường Trần Hưng Đạo']","
Nhà mặt ngõ ô tô tránh, vài bước ra mặt đường Trần Hưng Đạo, có vỉa hè thoáng rộng, khu vực sầm uất nhất Hà Nội.Nhà cách hồ Hoàn Kiếm 1km, rất thích hợp để xây tòa Văn phòng nhiều tầng với giá thuê cao, khách sạn hoặc căn hộ cho người có thu nhập cao thuê.Đất vuông vắn, hiện có nhà 3 tầng, sổ đỏ chính chủ.Diện tích sổ đỏ: 160m².Giá chào: 43 tỷ (có thương lượng).Khách hàng quan tâm liên hệ Mrs. Hòa 0914 929 ***miễn TG, MG, ).            ",160 m²,43 tỷ,06/12/2022,13/12/2022,Tin thường,35976438,batdongsan_com_vn_35976438,,,,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án The Sakura - Vinhomes Smart City']","
- Vinhomes smart city. Tây Mỗ - Nam Từ Liêm - HN.- Cđt bán mới căn hộ thuộc tòa SA3 Vinhomes Smart City.- Căn 1pn + 1, diện tích 51m² không gian + 1 thiết kế thêm 1 phòng ngủ, sử dụng như căn 2pn 1vs.- Căn hộ cao cấp ban công Đông Nam, tầng 10 view thoáng. Trường học cấp 1 - 2 bể bơi nội khu.- Giá và chính sách từ cđt ký và ck trực tiếp cđt Vinhomes.- Căn mới bàn giao nhà tháng 1/2023 dịp tết âm lịch năm nay.- Ký và chuyển khoản trực tiếp cho cđt giá tận gốc.- A/c quan tâm Lh Em Văn Anh - TPKD để xem trực tiếp căn hộ.Hotline 0988 148 *** ",51 m²,Thỏa thuận,05/12/2022,15/12/2022,Tin thường,36033563,batdongsan_com_vn_36033563,2 phòng,1 phòng,,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Tân Mai', 'Dự án Louis City Hoàng Mai']","
Giá chỉ từ 115 triệu/m anh chị có thể mua được căn nhà khu vực nào có thể kinh doanh buôn bán được, mà lại được nằm trong quần thể hạ tầng tiện ích siêu đẹp của 1 khu đô thị mới văn minh?- Hiện tại, tôi đang bán 01 lô liền kề DT 95m, mặt đường 17,5m, thuộc đường Louis 1, được xây nhà xây 5 tầng, lại được phép kinh doanh tại dự án Louis City Hoàng Mai trên trục đường Tân Mai 40m - đường Vành Đai 2.5 tiềm năng tăng giá cao.Một vài thông tin dự án:- Diện tích: 22.3ha.- Địa chỉ: Phường Hoàng Văn Thụ, Thịnh Liệt, Yên Sở, quận Hoàng Mai, Hà Nội.- Chủ đầu tư: Công ty cổ phần Đầu tư phát triển đô thị Hoàng Mai.- Nhà thầu: Hòa Bình Corporation.- Quy mô:+ 681 căn nhà liền kề và biệt thự. (609 căn liền kề; 72 căn biệt thự).+ Liền kề: Mật độ xây dựng từ 74% đến 77%; xây 5 tầng không có hầm. (Cao 19.05m).+ Biệt thự: Mật độ xây dựng từ 44% đến 50%; xây 4 tầng có hầm (Cao 16.3m).- Mật độ xây dựng: 33%.* Pháp lý rõ ràng.- Dự kiến bàn giao: Quý 4/2022.- Liên hệ xem nhà và hợp đồng: 0977 620 ***em Thanh) hoặc 0869 608 ***em Bảo) tư vấn miễn phí 24/7.Thông tin pháp lý: Sổ đỏ vĩnh viễn.            ",95 m²,115 triệu/m²,06/12/2022,13/12/2022,Tin thường,35970313,batdongsan_com_vn_35970313,,,,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Nhân Mỹ', 'Dự án 789 Bộ Tổng Tham Mưu - BQP']","
Gia đình chuyển sang căn liền kề nên cần bán căn hộ tại tòa 789 Mỹ Đình, Nam Từ Liêm.+ Diện tích giá 2,2 tỷ có thỏa thuận.+ Thiết kế 2 phòng ngủ, 2 vệ sinh.+ Đây là tòa được xây dành cho cán bộ quân đội nên khá chắc chắn, phí dịch vụ rẻ, dân cư thân thiện, tình cảm và dân trí cao.+ Vị trí đi lại thuận tiện, có đầy đủ dịch vụ và tiện ích xung quanh khu vực. Đối diện là trường liên cấp Trần Quốc Tuấn, gần trường cấp 1 + 2 Mỹ Đình 2, mầm non Mỹ Đình...+ Cách sân vận động Mỹ Đình 500m, bến xe, các trường đại học: Sư Phạm, Ngoại Ngữ, Thương Mại, Báo Chí. Bệnh viện 198, y học cổ truyền Bộ Công An...Gia đình thiện chí bán để chuyển nhà trước tết, khách mua có nhu cầu liên hệ tôi chính chủ căn hộ 789, Mỹ Đình.Hãy gọi cho tôi: 0966 979 *** Lan để xem nhà và biết thêm thông tin.Miễn tiếp quảng cáo, trung gian và môi giới.            ",70 m²,Thỏa thuận,06/12/2022,16/12/2022,Tin thường,34619414,batdongsan_com_vn_34619414,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,"+ Nhà tôi sẽ để lại toàn bộ nội thất cho khách mua nhà: Giường, tủ, tủ bếp, điều hòa, nóng lạnh..",,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Nguyễn Duy Trinh', 'Dự án VP5 Linh Đàm']","
Nhà mình trước kia mua chọn rất kỹ từ tầng đến số nhà, hướng nhà. Căn hộ VP5 cực mát, đồ đạc cẩn thận chỉ việc ở.Diện tích 59m².Thiết kế 2 phòng ngủ.Hướng cửa Tây ban công Đông.Nội thất: Sàn gỗ, trần thạch cao, tủ bếp, nóng lạnh, điều hòa, giường, tủ tường,... Nói chung là đầy đủ gần như chỉ việc ở ạ.Pháp lý sổ hồng.Giá: 1.899 tỷ - chưa bao tên.Liên hệ 098475592.            ",59 m²,1.899 tỷ,06/12/2022,13/12/2022,Tin thường,36040166,batdongsan_com_vn_36040166,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây,Đông,,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Đường 442B']","
- Nhà riêng cuối đường Trịnh Văn Bô, ô tô đỗ gần, vị trí dễ dàng kết nối giao thông vào nội đô.- Nhà bán gần ủy ban vân canh, chợ, trường trung học Vân Canh, bến xe bus và các siêu thị, cách đường tỉnh lộ 422B rất gần.- Diện tích: 39m².- Mặt tiền: 3.5m.- Đường trước nhà 2.2m cách đường ô tô chỉ hơn 50m.- Nhà xây chắc chắn, thiết kế hiện đại với những mẫu nội thất sang trọng, mẫu mã mới nhất hiện nay.- Nhà thiết kế như sau:+ Tầng 1: Phòng khách, bếp, wc.+ Tầng 2,3: Mỗi tầng 2 ngủ + wc.+ Tầng 4: Gian thờ, sân phơi, đặc biệt có sân thượng dùng để thư giãn, tiểu cảnh...- Nhà lô góc 2 mặt thoáng, có nhiều cửa sổ, không khí lưu thông rất tốt cho sức khỏe.- Giá bán chỉ: 2.9 tỷ, bao sổ sách.- Sổ đỏ chính chủ, hỗ trợ vay ngân hàng nếu khách hàng có nhu cầu vay ngân hàng đến 70%.- Liên hệ chính chủ: Nguyễn Quân, 0977 507 *** để xem nhà.            ",39 m²,2.9 tỷ,06/12/2022,13/12/2022,Tin thường,35416593,batdongsan_com_vn_35416593,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Bắc,Bắc,3.5 m,4 tầng,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án CT3 C’Land Lê Đức Thọ']","
Bán chung cư tòa C'Land 81 Lê Đức Thọ, Nam Từ Liêm.Chung cư C'Land 81 Lê Đức Thọ.Đẹp, thoáng sáng, không có căn thứ 2.3 phòng ngủ - khách - bếp - ban công trồng rau nuôi cá.Diện tích 80m², chia 3PN và 2 nhà vệ sinh.+ Chung cư nằm ở vị trí thuận tiện kết nối các tuyến trục chính.+ Thang máy vận hành nhanh.+ Dưới chân tòa nhà đầy đủ tiện ích, gần UBND phường, bãi để xe thoải mái, chợ, trường học, bệnh viện, khu vui chơi...Phòng khách, bếp, phòng học.Liên hệ xem nhà: 0985 797 *** ",80 m²,2.55 tỷ,06/12/2022,13/12/2022,Tin thường,35916537,batdongsan_com_vn_35916537,3 phòng,2 phòng,,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Quan Nhân']","
Khu vực Quan Nhân và Vũ Trọng Phụng giao thông rất thuận tiện, gần đường Nguyễn Trãi, hệ thống đường sắt trên cao, vài bước tới chợ thuốc Hapulico, gần các trường Đại học: Đại học Đại Nam, Khoa học tự nhiên. Nhà mặt phố Quan Nhân, hiện đang cho thuê một phần tầng 1 để kinh doanh, thu nhập hàng tháng 12tr/tháng, diện tích còn lại chủ nhà dùng làm phòng khách, để xe, nhà vệ sinh. Tầng 2, tầng 3: hiện có 04 phòng ngủ, đầy đủ công năng để gia đình sử dụng.Khách mua có thể kinh doanh + ở hoặc có thể xây mới tòa 7 tầng, thang máy làm VP công ty hoặc nhà hàng ăn uống rất hợp.Sổ đẹp, vuông vắn, sổ chính chủ.Giá chào: 11.4 tỷ (có thương lượng).Khách hàng quan tâm liên hệ Mrs. Hòa 0914 929 ***miễn TG, MG, ).            ",90 m²,11.4 tỷ,06/12/2022,16/12/2022,Tin thường,35913627,batdongsan_com_vn_35913627,,,,,,,,4 tầng,
"['Hà Nội', 'Đông Anh', 'Thị trấn Đông Anh', 'Dự án Happy Land Đông Anh']","
- Cần bán gấp căn nhà 70m² đã có nhà xây thô 5 tầng.- Đường rộng 13m vỉa hè mỗi bên 3m.- Đã có nhà xây thô 5 tầng khách mua chỉ cần về hoàn thiện là ở.- Tiện ích gần trung tâm thương mại vườn hoa, đường rộng trục chính của dự án.- Giá bán chỉ hơn 5tỷ chút (có gia lộc cho khách thiện chí mua).- Anh chị quan tâm liên hệ em để xem nhà: 0987 827 *** ",70 m²,Thỏa thuận,06/12/2022,13/12/2022,Tin thường,35894780,batdongsan_com_vn_35894780,,,,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Trương Định']","
- Nhà dân tự xây ngõ rộng thông thoáng, vài bước ra phố.- Gần chợ, trường học các cấp, hàng xóm thân thiện, ngõ yên tĩnh, an sinh đỉnh.- Nhà rất chắc chắn, đầy đủ công năng 3 ngủ + 3 Wc.- Nhà 2 mặt thoáng + giếng trời nên phòng nào cũng ngập tràn ánh sáng tự nhiên.- Tương lai ngõ quy hoạch trải nhựa.- Diện tích 30m².- Giá 2.8 tỷ (chủ thiện chí bán).- Sổ đỏ vuông vắn, sẵn sàng giao dịch.- Xem là chốt.Gọi ngay cho tôi (24/24h) Mr. Thịnh 0932 320 *** ",30 m²,2.8 tỷ,06/12/2022,13/12/2022,Tin thường,35973663,batdongsan_com_vn_35973663,3 phòng,3 phòng,Sổ đỏ.,,,,3 m,3 tầng,3 m
