address,gen_descrip,Diện tích,Mức giá,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Hướng nhà
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Dự án Sunshine Riverside']","
Chính chủ gửi bán nhanh căn hộ chung cư Sunshine Riverside Tây Hồ.+ Diện tích: 100m² thông thủy, nhà mới đồ cơ bản.+ Thiết kế: 3 ngủ + 2WC + 2 ban công thoáng hướng mát.Thiện chí bán nhanh: 4.2 tỷ (đã có sổ).Liên hệ xem nhà: 0966 286 *** em Lý.            ",100 m²,4.2 tỷ,Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ nội thất.,02/12/2022,09/12/2022,Tin thường,35757435,batdongsan_com_vn_35757435,,,,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Dương Lâm']","
Vị trí nhà cực đẹp nằm trong làng Văn Quán, 100m ra hồ văn Quán, tiện ích không thiếu gì, 15m ra ô tô tránh.Nhà thiết kế 5 tầng, 6 phòng ngủ, chủ tự xây tâm huyết.Sổ đỏ chính chủ, vuông vắn, sẵn sàng GD.            ",35 m²,3.9 tỷ,,6 phòng,5 phòng,Sổ đỏ,Đầy đủ,04/12/2022,11/12/2022,Tin thường,36026045,batdongsan_com_vn_36026045,3.5 m,2.5 m,5 tầng,
"['Hà Nội', 'Đống Đa', 'Phường Phương Liên', 'Đường Đặng Văn Ngữ']","
Bác Trung Cán bộ Viện Kiểm Soát nhân dân tối cao, đã nghỉ hưu, nhờ bán nhà phố Đặng Văn Ngữ, diện tích 51m², 4 tầng, giá 5,4 tỷ.- Nhà nằm trong khu trung tâm quận Đống Đa ngập tràn tiện ích, khu dân trí tuyệt vời, hàng xóm toàn cán bộ công chức, thân thiện có học thức.- Rất gần Bệnh Viện Bạch Mai, vài bước chân ra Đại Học Công Đoàn, Thủy Lợi, Học Viện Ngân Hàng.- Nhà nằm mặt ngõ thẳng, thoáng, rộng xe ba gác, xe máy tránh nhau vèo vèo, đi bộ ra phố chính ô tô tránh vài bước chân.- Nhà khung bê tông chắc chắn, rộng rãi, đầy đủ công năng, nhiều phòng ngủ. Khách mới mang quần áo là đến ở luôn.- Giá nhà cực hiếm chỉ chưa đến 90 triệu/m² (Đã trừ giá trị nhà còn tốt).- Chủ nhà là cán bộ viên chức, tính tình hiền hòa, hiểu biết ở rất giữ gìn, có lộc, nhờ bán nhà để về quê Hải Dương trông giữ từ đường, an dưỡng tuổi già.- Sổ đỏ sẵn sàng giao dịch.- Liên hệ: Mr Ngọc 24h/7 để nhận được hỗ trợ mọi vấn đề về BĐS hoàn toàn miễn phí.            ",51 m²,5.4 tỷ,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,05/12/2022,12/12/2022,Tin thường,36030937,batdongsan_com_vn_36030937,4 m,3 m,4 tầng,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Dự án Golden Field Mỹ Đình']","
+ Căn hộ gồm 2 phòng ngủ, 2 nhà vệ sinh, 1 khách, 1 phòng bếp, các phòng đều có ánh sáng tự nhiên, rất thoáng.+ Căn hộ đã trang bị nội thất cơ bản liền tường gồm: Sàn gỗ, trần thạch cao, 4 điều hòa Daikin, nóng lạnh, tủ bếp.+ Các tầng thương mại chân toà nhà đầy đủ dịch vụ, đi lại thuận tiện gần trường học, bệnh viện.Dự án có đầy đủ tiện ích, trường học, siêu thị, chợ truyền thống, bể bơi bốn mùa, phòng tập gym, nhà hàng...Liên hệ xem nhà: 0985 797 *** ",66 m²,2.93 tỷ,,2 phòng,2 phòng,,,06/12/2022,13/12/2022,Tin thường,35941686,batdongsan_com_vn_35941686,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy', 'số 122 - 124', 'Mipec Rubik 360']","
Gia đình chúng tôi cực kỳ thiện chí mong muốn bán căn hộ mới nhận bàn giao trong tháng 11 này, nhà mới tinh, sạch sẽ, chưa ở ngày nào do gia đình chuyển vào Nam sinh sống.Là căn hộ chọn từ những ngày đầu khởi công dự án, theo dõi, chờ đợi đến ngày nhận bàn giao. Trãi qua 2 năm dịch giã nên gia đình có hướng công việc an cư ở phương Nam, không đủ khả năng giữ lại nên bán. Thật lòng tiếc nuối vì chúng tôi đã dồn quá nhiều thời gian, tâm sức và mong chờ căn hộ ở đây. Hy vọng, chủ mới của căn hộ hữu duyên mua nhà mới có lộc, lựa chọn căn hộ nhà chúng tôi, sẽ thật vui mừng khi trao lại tổ ấm cho người mới và sẽ gia lộc cho sự thịnh vượng của người sử dụng căn hộ lâu dài.Chúng tôi cực kỳ trân trọng!Tôi xin mô tả chi tiết căn hộ của gia đình!Căn hộ thuộc Tòa nhà nằm tại số 122 - 124 đường Xuân Thủy.* Bàn giao căn hộ tháng 11/2022 (chúng tôi vừa nhận bàn giao xong).Tôi sẽ cập nhật luôn bản thiết kế dự án, để anh/chị cũng như Tôi ngày đầu lựa chọn dự án có đầy đủ thông tin.Tôi cũng liệt kê luôn các loại diện tích để Anh Chị xem căn nào phù hợp với sinh hoạt gia đình mình:1. Căn hộ 53,3m² thiết kế 2 ngủ + 1 vệ sinh vuông vắn. Hướng Nam mát mẻ. Có hai căn cho diện tích này trên một mặt sàn.2. Căn hộ 68,8m² thiết kế 2 ngủ + 2 vệ sinh cực hợp lý. Gía tổng tiền vừa phải cho loại căn 2 ngủ. Mỗi mặt sàn chỉ có 1 căn này. 2 Pn + khách đều có ánh sáng. (Đây là căn gia đình chị gái Tôi lựa chọn khi mua).3. Căn hộ 83,5m thiết kế 2 ngủ + 2 vệ sinh. Có ba căn trên một sàn căn hộ (chọn view nội khu và bên ngoài cho loại căn này).Kinh nghiệm gia đình tôi là: Căn hộ này công năng sử dụng như các căn dạng hai phòng ngủ khác, tuy thế rộng và thoáng hơn rất nhiều. Căn cứ vào tầm tài chính của gia đình mình nữa, rộng đẹp thì ai cũng muốn nhưng với gia đình Tôi thì chỉ đủ lực mua căn 70m nên không với được căn này mặc dù rất thích.Anh/Chị chọn căn này thì nên chọn căn tầng cao nếu nhìn ra bên ngoài và căn tầng thấp thấp thôi nếu view vào trong (ngắm nội khu cũng đẹp lắm nên chọn thấp cho dễ ngắm).4. Căn hộ 93,6m² - thiết kế 3 ngủ + 2 vệ sinh. Đây là căn góc loại 3 ngủ các phòng đều thoáng, hiếm nên một sàn chỉ có 1 căn loại này. (Căn này Bố Mẹ Tôi chọn vì rất thích có các cháu về ở chơi vào cuối mỗi tuần).5. Căn hộ 123.8m² thiết kế 4 ngủ + 3 vệ sinh. Đây là căn góc to nhất, duy nhất trên 1 tầng. View Đông Nam nội khu mát mẻ. (Căn này to đẹp quá nên nhà Tôi không mua nổi).* Hai căn hộ gia đình Tôi có thì khách xem nhà lúc nào cũng được. Giá thì nhất định tốt nhất vì chúng tôi cần bán ngay (tầm trên dưới 4 tỷ), Tôi có người quen ở đây nên các bạn cứ xem nhà trực tiếp.À! Tôi quên chưa nhắc về nội thất chủ đầu tư bàn giao (tôi liệt kê ở dưới), các trang thiết bị gắn tường thôi nhưng tinh tế, sang trọng và vừa mắt lắm ạ!Phí dịch vụ thì miễn phí 02 năm.Được cái chủ đầu tư đã chuẩn lại cầu thị nên dân cư rất vừa lòng.* Gọi cho tôi 0971 335 ***. Tôi tên Linh (cực nhiệt tình).Trân trọng cám ơn nhiều!            ",70 m²,3.5 tỷ,Nam,2 phòng,2 phòng,Đang chờ sổ,"Điều hoà 3 chiều âm tường (loại muti chia lạnh các phòng đấy ạ) cực kỳ gọn luôn, nên chỉ tốn tí diện tích để đặt một cục nóng tổng cho điều hòa tất cả các phòng thôi, thiết bị phòng tắm vệ sinh, nón.",06/12/2022,13/12/2022,Tin thường,35523485,batdongsan_com_vn_35523485,,,,Bắc
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai']","
Chính chủ bán nhà, phố Minh Khai 65m², 5T, ô tô tránh, 2 thoáng, ô tô tránh, quận Hai Bà Trưng.Vị trí đắc địa, đường thông khắp ngả, thông phố Chùa Quỳnh, phố 8/3, Kim Ngưu, Đại La, vỉa hè rộng, ô tô tránh, kinh doanh sầm uất, tiện ích xung quanh ngập tràn.Nhà 2 mặt thoáng trước sau, xây 5 tầng chắc chắn, cầu thang gỗ Lim, tổng 4 ngủ đầy đủ công năng sử dụng, chủ mới về chỉ việc ở ngay.Sổ đỏ vuông đẹp, sẵn sàng giao dịch, giá 12,6 tỷ.Liên hệ tôi Lương, để xem nhà.            ",65 m²,12.6 tỷ,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,06/12/2022,13/12/2022,Tin thường,36041426,batdongsan_com_vn_36041426,5 m,12 m,5 tầng,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Dương Quảng Hàm']","
Chính chủ cần bán gấp nhà Dương Quảng Hàm 69m², ô tô đỗ cửa giá 11.9 tỷ.Nhà được thiết kế theo phong cách hiện đại, nội thất sang trọng, phù hợp vừa ở vừa kinh doanh.Nhà ở khu vực giao thông đi lại thuận tiện, gần nhiều Trường Đại Học lớn như Trường Đại Học Thủ Đô, Trường Học Viện Báo Chí, Trường Đại Học Sư Phạm!Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hậu để xem nhà.            ",69 m²,11.9 tỷ,,,,,,06/12/2022,13/12/2022,Tin thường,35872396,batdongsan_com_vn_35872396,,,,
"['Hà Nội', 'Huyện Gia Lâm', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Gia đình cần tiền bán cắt lỗ biệt thự song lập thuộc KĐT Vinhomes OCean Park Gia Lâm.DT đất: 150m².DTXD: 61m²/sàn.Hướng: ĐN.Giá bán: 21 tỷ.Khách quan tâm LH: 0985 731 *** ",150 m²,21 tỷ,,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,36035343,batdongsan_com_vn_36035343,,,,Đông - Nam
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', 'Dự án Goldmark City']","
Chủ nhà chuyển xuống mặt đất, cần bán chuyển nhượng căn hộ tầng trung, tại tòa Sapphire 1 Goldmark City.- Căn hộ dualkey, 2 cửa đi riêng biệt. Thích hợp vừa ở vừa cho thuê.- Gía bán: 4.79 tỷ. Bao phí thuế, có gia lộc thêm.- Diện tích: 140m².- Thiết kế căn hộ:+ 3 ngủ, 3 vệ sinh.+ Hướng cửa: Tây Nam.+ Ban công: Đông Bắc.+ Nội thất đầy đủ.- Sổ đỏ chính chủ.Liên hệ: 0962 636 *** ",140 m²,4.79 tỷ,Đông - Bắc,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,06/12/2022,13/12/2022,Tin thường,36042461,batdongsan_com_vn_36042461,,,,Tây - Nam
"['Hà Nội', 'Tây Hồ', 'Phường Yên Phụ', 'Đường An Dương']","
Bán nhà trong ngõ An Dương, ngõ 2,5m, xây 4 tầng + tum rất kiên cố, diện tích 22 m², sổ đỏ chính chủ. Gồm:* Tầng 1: Phòng Khách, bếp, vệ sinh.* Tầng 2,3,4: 1 phòng ngủ + WC.* Tầng 5: Sân phơi.Giá bán: 2.65 tỷ.            ",22 m²,2.65 tỷ,,3 phòng,4 phòng,Có sổ.,Full nội thất,06/12/2022,13/12/2022,Tin thường,34486067,batdongsan_com_vn_34486067,4 m,2.5 m,5 tầng,
