address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Nội thất,Hướng ban công,Số toilet
"['Hà Nội', 'Đống Đa', 'Phường Phương Liên', 'Đường Lê Duẩn']","
Bán nhà 3 tầng cũ trong ngõ phố Lê Duẩn, Phương Liên, Đống Đa. DT 88m², mặt tiền 10m. Hướng ĐN. Cách đường ô tô 50m, gần Hồ 3 mẫu, ngõ thông sang phố Kim Hoa, xe 3 gác vào được.- Nhà nằm trong khu vực trung tâm quận Đống Đa với đầy đủ các tiện ích trong sinh hoạt.- Phù hợp xây căn hộ dịch vụ cho thuê hoặc chia đôi xây ở.- Sổ đỏ sẵn sàng giao dịch.- LH: Anh Lộc 0833 594 *** ",88 m²,9.6 tỷ,10 m,2 m,Đông - Nam,3 tầng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35800194,batdongsan_com_vn_35800194,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Hữu Hòa']","
Nhà mặt đường Hữu Hoà Thanh Trì buôn bán kinh doanh sầm uất LH 0987 953 *** ",35 m²,Thỏa thuận,,,,,Có sổ.,06/12/2022,16/12/2022,Tin thường,32883717,batdongsan_com_vn_32883717,,,,
"['Hà Nội', 'Ba Đình', 'Phường Cống Vị']","
+ Diện tích 45m² - mặt tiền 5m 5 tầng - ngõ thông.+ Vị trí đẹp cách đường lớn 50m.+ Nhà xây chắc chắn, đầy đủ tiện ích.+ Không lỗi phong thủy.+ 3 phòng ngủ, Phòng Thờ, Sân Phơi.+ Thoáng mát, nội thất đầy đủ.+ Nhà thiết kế đủ công năng, chỉ việc ở ngay.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên hệ em Hào.SĐT: 0834 556 ***zalo).            ",45 m²,5 tỷ,,,,,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36040559,batdongsan_com_vn_36040559,3 phòng,Đầy đủ,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Sơn', 'Dự án PHC Complex 158 Nguyễn Sơn']","
Chính chủ bán căn hộ VIP 130m² căn góc đập thông, Chung cư PHC 158 Nguyễn Sơn.- Diện tích: 130m².- Thiết kế: 3PN + 1 Phòng thờ + 2WC.- Tầng cao, Ban Công Tây Nam, 2 ban công + 1 logia.- Nội thất: Full cao cấp như ảnh.- Sổ đỏ chính chủ.- Giá: 7.5 tỷ.- Liên hệ xem nhà: 0971 508 *** ",130 m²,7.5 tỷ,,,,,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,34930193,batdongsan_com_vn_34930193,,Full nội thất cao cấp,Tây - Nam,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu']","
Hiếm hót - ngõ thông - ô tô đỗ cửa.Nhà thiết kế - đẹp đẳng cấp - nội thất xịn.Nhà đẹp chuẩn công năng - có chỗ để ôtô cách chỉ 30m.Chủ nhà đang rất cần tiền bán gấp.Giá rẻ nhất khu vực - chỉ việc ở ngay.Dien tích 50m² x5tầng mặt tiền 4m.Giá chỉ 5.2tỷ tỷ Hà Đông.Sổ đỏ chính chủ + bao sang tên.            ",50 m²,5.2 tỷ,,,,5 tầng,,06/12/2022,13/12/2022,Tin thường,35970611,batdongsan_com_vn_35970611,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Huỳnh Thúc Kháng', 'Dự án Hateco Laroma']","
0947 190 *** cần bán gấp căn hộ Hateco Laroma, Phường Láng Thượng, Q Đống Đa, Hà Nội.+ Tầng 18 căn 05 (căn góc 1805) DT: 111,5m², thiết kế 3pn + 1 đa năng, 2 vệ sinh, cửa hướng Tây, ban công Đông, view Nguyễn Chí Thanh cực đẹp.+ Tầng 20 căn 02 (căn 1002) DT: 86,7m, thiết kế 2PN + 1 đa năng, 2 vệ sinh, cửa hướng Tây, ban công Đông, view Nguyễn Chí Thanh cực đẹp.+ Tầng 22 căn 10 (căn góc 1110) DT: 136,8m, thiết kế 3pn + 1 đa năng, 2 vệ sinh, cửa hướng Đông, ban công Tây - Bắc, view đường Láng cực đẹp.+ Nhà mình cần bán gấp với giá từ 68 triệu/m² (có thương lượng).Liên hệ chính chủ: 0947 190 *** ",111.5 m²,68 triệu/m²,,,Tây,,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36042028,batdongsan_com_vn_36042028,3 phòng,,Đông,2 phòng
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Tân Triều']","
CCMN xây mới - thang máy - 22PKK full đồ.Mô tả:Hướng: Bắc.Thiết kế mỗi tầng 3 phòng khép kín. Tổng 22PKK, đầy đủ đồ: Giường, tủ, tủ bếp, nóng lạnh, điều hoà...Ngõ ô tô vào nhà.Sổ đỏ đẹp, giao dịch ngay.            ",70 m²,12 tỷ,,3 m,Bắc,8 tầng,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,36040593,batdongsan_com_vn_36040593,22 phòng,,,22 phòng
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng']","
Biệt thự liền kề - sân vườn - nhà đẹp - 3 thoáng - gara - vỉa hè - ô tô tránh - kinh doanh - Cầu Giấy.- Khu hiếm nhà bán, trung tâm Cầu Giấy, tiện ích vô vàn.- Nhà xây dạng biệt thự Liền kề, 3 mặt thoáng, có sân làm vườn, để xe.- Trước nhà đường rộng, ô tô tránh, dừng đoõ thoải mái, vỉa hè rộng kinh doanh sầm uất nhiều loại hình như cafe, văn phòng, nhà hàng,- Xây dựng 4 tầng:+ Tầng 1: Thông sàn làm phòng khách rộng, bếp cuối nhà, phòng ăn, VS.+ Tầng 2,3: Tầng 2 phòng ngủ rộng khép kín.+ Tầng 4: Phòng thờ, 1 ngủ, sân.- Phòng nào cũng có cửa sổ, phòng rất sáng, thoáng.- Sổ đỏ chính chủ, đẹp, giao dịch trong ngày.- Liên hệ trực tiếp gặp chủ nhà: 0903 784 *** ",200 m²,Thỏa thuận,,,,4 tầng,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,36042365,batdongsan_com_vn_36042365,5 phòng,,,
"['Hà Nội', 'Sóc Sơn', 'Xã Mai Đình', 'Đông Bài']","
Khách hàng của chúng tôi đang có nhu cầu bán nhanh lô đất tuyệt đẹp trục chính kinh doanh cực tiềm năng.Ngay đường đôi KCN đang rải nhựa, sắp thông đường, cách chỉ vài bước chân.Diện tích 120m² full thổ cư.Mặt tiền rất rộng = hậu = 6.9m, khổ đất đẹp, vuông vắn.View hướng Nam cực thoáng mát.Đường trục chính rộng thênh thang 2 ô tô tránh, mới rải asphalt phẳng lỳ.Vị trí cực kỳ đắc địa khi nằm giữa các KCN lớn của Sóc Sơn (Nội Bài, CN2, CN3).Đất đẹp, tiềm năng tăng giá mạnh.Mua đầu tư ngay bây giờ và đợi hạ tầng hoàn thiện là auto thắng.Liên hệ em Long - Đại Tín Phát để có giá đẹp cho tuyệt phẩm này: 0967 131 ***daitinphatbds.comXin chân thành cảm ơn!            ",120 m²,Thỏa thuận,6.9 m,6 m,Nam,,Sổ đỏ/ Sổ hồng,30/11/2022,10/12/2022,Tin thường,35382610,batdongsan_com_vn_35382610,,,,
"['Hà Nội', 'Hoài Đức', 'Thị trấn Trạm Trôi', 'Dự án Westpoint - Nam đường 32']","
Cần bán căn LK Nam 32.Chính chủ bán căn LK Nam 32 đã hoàn thiện - Chỉ cần xách vali Về ở.- Giá 5x tỷ.- Hướng Tây Nam.- Pháp lý hợp đồng mua bán.- Đường 8,5m.- Mặt tiền 6m.- Hiện căn đã hoàn thiện rất đẹp chỉ cần về ở giá không ở đâu tốt hơn, rẻ hơn đất thổ cư.- Hiện KĐT Nam 32 gần mặt QL 32, nằm gần trung tâm hành chính huyện Hoài Đức.            ",78 m²,5.6 tỷ,6 m,8.5 m,Tây - Nam,4 tầng,,04/12/2022,14/12/2022,Tin thường,35702380,batdongsan_com_vn_35702380,5 phòng,,Tây - Nam,3 phòng
