address,gen_descrip,Diện tích,Mức giá,Hướng ban công,Số phòng ngủ,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Pháp lý,Nội thất,Mặt tiền,Số tầng,Hướng nhà,Đường vào
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Nguyễn Văn Huyên', 'Dự án 6th Element']","
Do nhu cầu chuyển đổi, gia đình cần bán căn hộ chung cư cao cấp 6th Element, đường Nguyễn Văn Huyên, quận Tây Hồ, Hà Nội.Nội thất: Căn hộ có diện tích 83m², thiết kế 2n, 2wc. Phòng khách rộng rãi, vuông vắn được bố trí nằm giữa căn hộ. Khu vực bếp nối liền logia đảm bảo độ thông thoáng tránh mùi khi nấu nướng. Các phòng ngủ đều có cửa sổ lấy sáng tự nhiên 100%, hệ thống tủ âm tiện lợi và thẩm mỹ. Căn hộ đã hoàn thiện nội thất: Sofa, bàn ăn, giường, tủ, tv, tủ lạnh...Chi tiết xin vui lòng liên hệ:0934 339 *** - Anh Tùng.Xin chân thành cảm ơn.            ",83 m²,Thỏa thuận,Đông,2 phòng,01/12/2022,08/12/2022,Tin thường,34541431,batdongsan_com_vn_34541431,,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Hoàng Minh Giám']","
Do có nhu cầu chuyển đổi gia đình cần bán nhanh căn hộ, diện tích 60m² thiết kế 2 phòng ngủ, vệ sinh, bếp, khách riêng. Có ban công, các phòng đều có ánh sáng tự nhiên.Nhà đã có nội thất cơ bản: Sàn gỗ, thạch cao, tủ bếp.Vị trí trung tâm, thuận tiện đi lại.Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá bán: 2.05 tỷ.Lh xem nhà: Dung 0383 906 *** ",60 m²,2.05 tỷ,,2 phòng,05/12/2022,12/12/2022,Tin thường,35937306,batdongsan_com_vn_35937306,1 phòng,Sổ đỏ/ Sổ hồng,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Nguyễn Văn Huyên', 'Dự án 6th Element']","
Do nhu cầu chuyển đổi, gia đình cần bán căn hộ chung cư cao cấp 6th Element. Công ty CP xây dựng & Thương mại Bắc Hà làm chủ đầu tư.Vị trí: Căn hộ tầng trung, ban công hướng đông, đón ngày mới cùng ánh mặt trời.Căn hộ có diện tích 83m², thiết kế 2PN, 2WC. Phòng khách nằm giữa nhà, vuông vắn rộng rãi và được ngăn cách với bếp. Khu vực bếp liền với logia đảm bảo độ thông thoáng, hạn chế mùi khi nấu nướng. Các phòng ngủ đều có cửa sổ lấy ánh sáng tự nhiên và khí tươi giúp căn hộ luôn luôn thoáng mát.Căn hộ đã có sofa, bàn ăn, giường, tủ, TV, tủ lạnh.Giá bán: Thỏa thuận.Chi tiết xin vui lòng liên hệ: 0934 339 *** - Anh Tùng.            ",83 m²,Thỏa thuận,,2 phòng,06/12/2022,13/12/2022,Tin thường,35976385,batdongsan_com_vn_35976385,2 phòng,,"Sofa, bàn ăn, giường, tủ, TV, tủ lạnh.",,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City']","
Chính chủ bán căn ngoại giao 2PN tại tòa T10 dự án Times City.Thông tin căn hộ.- Căn số 15, tầng 16 tòa T10.- Diện tích sử dụng: 90.1 m². Giá: 3.5 tỷ.- Nội thất bàn giao: Sàn trần tường thạch cao, thiết bị vệ sinh.Liên hệ: 0968 201 *** ",90.1 m²,3.5 tỷ,Nam,2 phòng,06/12/2022,13/12/2022,Tin thường,32740811,batdongsan_com_vn_32740811,2 phòng,Sổ hồng vĩnh viễn,"Nội thất bàn giao: Sàn trần tường thạch cao, thiết bị vệ sinh.",,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Linh Đàm', 'Dự án KĐT Linh Đàm']","
- Vị trí nhà cực đẹp nằm ngay ngã ba, vài phút đi bộ là ra hồ Linh Đàm, vỉa hè rộng 5m, tiện ích tràn ngập, kinh doanh đỉnh.- Nhà dân xây KCBT cực kỳ chắc chắn tâm huyết, phù hợp với mọi nhu cầu của người mua: Để ở, cho thuê kinh doanh, văn phòng, nhà hàng, khách sạn...- Thiết kế 4 tầng KCBT:+ Tầng 1: Gara, khách bếp, wc.+ Tầng 2, 3: Mỗi tầng 3 ngủ, wc khép kín.+ Tầng 4: Phòng thờ, sân phơi.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- Liên hệ xem nhà miễn phí: 0779 796 *** ",88 m²,14.7 tỷ,,6 phòng,06/12/2022,13/12/2022,Tin thường,35803249,batdongsan_com_vn_35803249,,Sổ đỏ/ Sổ hồng.,Đầy đủ.,9.5 m,4 tầng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Chánh', 'Dự án CT4 Vimeco II']","
Tôi chủ nhà cần bán căn hộ CT4 Vimeco II tòa mới nội thất đồ liền tường tầng cao ban công ĐB, gia đình thiện chí bán nhanh trong tuần.- Diện tích căn hộ 123m² thông thủy.- Thiết kế căn hộ 3 ngủ, 2 vệ sinh.- CT4 Vimeco tọa lạc tại khu đô thị Trung Hòa, đường Nguyễn Chánh, đường Trần Duy Hưng, đường Phạm Hùng, qua các tuyến phố đẹp và rộng rãi nhất quận Cầu Giấy, ngay sát cổng siêu thị Big C...- Đặc biệt là nằm gần công viên, chung cư CT4 Vimeco có ưu thế đặc biệt về cảnh quan, môi trường sống và khí hậu trong lành ngay giữa trung tâm thủ đô Hà Nội.Giá bán 46tr/m².Liên hệ Mr Khánh 0326 101 *** ",123 m²,46 triệu/m²,Đông - Bắc,3 phòng,06/12/2022,13/12/2022,Tin thường,35922872,batdongsan_com_vn_35922872,2 phòng,Sổ đỏ/ Sổ hồng,,,,Tây - Nam,
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', '72A', 'Royal City']","
Anh trai gửi bán gấp căn hộ 130m² Royal City - 72A Nguyễn Trãi.Diện tích: 130m² tim tường.Nội thất cơ bản chủ mới về setup nội thất tùy ý.View cực kỳ thoáng.Giá: 5.9 tỷ sổ đỏ cầm tay.Liên hộ chính chủ: 0346 533 *** ",130 m²,5.9 tỷ,Đông - Nam,2 phòng,06/12/2022,13/12/2022,Tin thường,36042330,batdongsan_com_vn_36042330,2 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,,,Tây - Bắc,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Phố Trần Bình']","
Chính chủ bán nhà ccmn Trần Bình mới siêu đẹp 67m², 5 tầng mt 6m 7,8 tỷ.Tổng 8 phòng đang cho thuê. Dòng tiền 45tr/tháng.- Ngõ thông các ngả, đi vào từ ngõ 75 Hồ Tùng Mậu cũng rất gần ACE.- T1: Để xe, 1 phòng khép kín.- T2,3,4,5: Tổng 8 phòng khép kín.- Sổ đỏ chính chủ.- Đất nở hậu, vuông đẹp.Xem nhà chắc chắn ưng.Cần bán gấp.Ai có nhu cầu vui lòng liên hệ trực tiếp: Ms Giang 0902 219 *** ",67 m²,7.8 tỷ,,8 phòng,28/11/2022,08/12/2022,Tin thường,35969220,batdongsan_com_vn_35969220,9 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,5 tầng,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Mễ Trì Hạ', 'Dự án KĐT Mễ Trì Hạ']","
Gia đình chuyển công tác cần bán chuyển nhượng căn hộ tại CT5A đường Mễ Trì Hạ.- Giá bán: 2,35 tỷ.- Diện tích: 74m².- Thiết kế căn hộ gồm:+ 2 phòng ngủ, 2 vệ sinh.+ Hướng cửa: Đông Nam.+ Nội thất đầy đủ.- Sổ đỏ chính chủ.Liên hệ: 0962 636 *** ",74 m²,2.35 tỷ,Tây - Bắc,2 phòng,06/12/2022,13/12/2022,Tin thường,36042327,batdongsan_com_vn_36042327,2 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,,Đông - Nam,
"['Hà Nội', 'Ba Đình', 'Phường Đội Cấn', 'Đường Trần Huy Liệu']","
Chúng tôi đang tìm kiếm khách mua phù hợp để bán toàn bộ Office Building ở trung tâm quận Ba Đình sát ngã tư Liễu Giai 20 tầng x 1.000m² đang sử dụng luôn để cho thuê thì mời liên lạc ngay nhé!* Net 800m²/floor.* Đất sở hữu lâu dài 1.500m².* Đã có đầy đủ thiết bị văn phòng hạng A. Các sàn đều để thông suốt.Mời liên hệ: Công ty BĐS Sơn Nguyễn 0903 234 ***! Xin cảm ơn.            ",1000 m²,Thỏa thuận,,,05/12/2022,12/12/2022,Tin thường,35056310,batdongsan_com_vn_35056310,,Sổ đỏ/ Sổ hồng,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Đường Xuân La', 'Dự án Kosmo Tây Hồ']","
Gia đình cần chuyển nhượng căn hộ chung cư cao cấp Kosmo Tây Hồ, Q Bắc Từ Liêm, TP Hà Nội.Căn hộ có thiết kế 3pn, 2wc, diện tích 117.9m². Phòng khách rộng rãi liền với ban công chính vô cùng thoáng đãng. Khu vực bếp liền với logia, nơi đặt bàn ăn được tách biệt với phòng khách tạo cảm giác riêng tư, lịch sự. Các phòng ngủ đều có cửa sổ lấy ánh sáng tự nhiên và không khí, đặc biệt phòng ngủ master có ban công nhỏ rất thuận tiện, là không gian decor trồng cây lý tưởng cho gia chủ.Căn hộ đã có tủ bếp, bếp từ, điều hoà, thiết bị wc.Chi tiết xin vui lòng liên hệ:0934 339 *** - Anh Tùng.Xin chân thành cảm ơn.            ",117.9 m²,Thỏa thuận,,3 phòng,06/12/2022,13/12/2022,Tin thường,35890693,batdongsan_com_vn_35890693,2 phòng,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Láng']","
Chúng tôi đang tìm kiếm bên mua cả bộ tòa nhà văn phòng, dịch vụ thương mại xây trên đất sổ đỏ lâu dài, đang sử dụng cho thuê ở đường Láng - quận Đống Đa, 600m² x 10 tầng và 2 hầm xe - Diện tích sử dụng net mỗi tầng 500m².- Đất trong sổ: 710m².- Đã lắp đặt đầy đủ trang thiết bị và vận hành trơn tru!- Tòa nhà đang cho thuê đơn giá 260.000đ/m/tháng.- Giá bán: Xin Mời liên hệ!Mời bạn cần mua trực tiếp liên hệ Công ty BĐS Sơn Nguyễn: Số nóng 0903 234 *** Call/ Zalo/ Inbox! Xin cảm ơn.            ",710 m²,350 tỷ,,,05/12/2022,12/12/2022,Tin thường,35561598,batdongsan_com_vn_35561598,,Sổ đỏ/ Sổ hồng,,25 m,10 tầng,,4 m
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Thụy Khuê', 'Dự án Sun Grand City']","
Tôi đang có nhu cầu bán gấp căn 2 pn dự án Sun Grand City Thụy Khuê.Diện tích căn hộ: 96m² gồm 2 PN, 2 VS 1 khách và 1 bếp.Nhà đủ đồ chỉ xách vali vào ở.Giá bán: 7,1 tỷ có thương lượng cho khách thật thiện chí.Quý khách có nhu cầu mua liên hệ: 0964 105 *** ",96 m²,7 tỷ,,2 phòng,01/12/2022,08/12/2022,Tin thường,36002982,batdongsan_com_vn_36002982,2 phòng,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Phú Thượng']","
Đất đẹp như mơ vuông vắn. Từ nhà ra MP chỉ vài chục mét. Xây căn hộ cho thuê hay ở đều đẹp. Ngõ xe ba gác thông thoáng. Khu vực phát triển tiềm năng cao. Mặt tiền 5m. Khu vực quỹ đất ít hiếm nhà bán. Nhanh tay điện em để đi xem đất.            ",80 m²,6 tỷ,,,06/12/2022,13/12/2022,Tin thường,35381418,batdongsan_com_vn_35381418,,,,5 m,,,3 m
