address,gen_descrip,Diện tích,Mức giá,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Hướng nhà,Hướng ban công,Pháp lý,Nội thất,Mặt tiền,Số tầng,Đường vào
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1']","
Cần bán 2350m² sàn thương mại dịch vụ quận Nam Từ Liêm, vị trí đắc địa, giá cạnh tranh lh 0906 011 ***Quý khách quan tâm đến diện tích thương mại trên vui lòng liên hệ với chúng tôi qua số máy 0906 011 ***MTG - MG).Trân trọng cảm ơn!            ",2350 m²,Thỏa thuận,06/12/2022,13/12/2022,Tin thường,35069069,batdongsan_com_vn_35069069,,,,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh', 'Dự án Khu Ngoại Giao Đoàn']","
Hot bán sàn văn phòng hoặc cho thuê sàn thương mại văn phòng Khu Ngoại Giao Đoàn phù hợp các công ty, cá nhân mua làm văn phòng hoặc mua và cho thuê lại.+ Sàn văn phòng: Call theo nhu cầu của quý khách (N01T1, N01T2, N01T3, N01T4, N01T5, N01T6, N01T7, N01T8, N02T1, N02T2, N02T3, N03T1 - N03T2, N03T3, N03T4, N03T5, N03T6, N03T7, N03T8, N04A, N04B).Nhận đặt hàng theo yêu cầu của quý khách hàng call: 0906 011 ***Tuấn Hải).+ Diện tích mỗi lô/ sàn: 200 - 300 - 500 - 1500m².+ Các loại diện tích khác. Khách hàng có thể mua gộp các lô, mua nửa sàn hoặc cả sàn.+ Thời gian sở hữu: Theo quy định của Pháp Luật.+ Tình trạng hoàn thiện: Đã và đang đi vào sử dụng.+ Giá bán cực kỳ ưu đãi cho khách hàng mua cả sàn hoặc cả tòa.+ Nội thất hoàn thiện bao gồm: Thô, Có sàn, có trần, có Điều hòa tùy tòa và tùy thời điểm.* Giá bán: Tùy từng lô và vị trí, ưu tiên khách hàng mua cả sàn.* Giá thuê: Liên hệ Kí HĐ trực tiếp CĐT.Tổng quan dự án chung cư Ngoại Giao Đoàn.Khu chung cư cao tầng gồm 23 tòa được chia ra 4 tổ hợp chính N01, N02, N03, N04 với quy mô từ 21 đến 45 tầng trong đó:Tổ hợp N01 gồm 8 tòa: Từ T1 đến T8. (N01T1, N01T2, N01T3, N01T4, N01T5, N01T6, N01T7, N01T8).Tổ hợp N02 gồm 3 tòa: Từ T1 đến T3. (N02T1, N02T2, N02T3).Tổ hợp N03 gồm 8 tòa: Horizon Tower (N03T3, N03T4), Lạc Hồng Lotus, Phú Mỹ Complex. (N03T1 - N03T2, N03T3, N03T4, N03T5, N03T6, N03T7, N03T8).Tổ hợp NO4 gồm 4 tòa, 2 tòa công vụ NO4A và 2 tòa thương mại NO4B.Hệ thống phòng cháy chữa cháy, kiểm soát an ninh, âm thanh, vệ sinh môi trường đều được thiết kế, lắp đặt đồng bộ trong tòa nhà từ tầng hầm, các tầng thương mại, văn phòng, các khu tiện ích phục vụ cộng đồng và từng căn hộ ở đạt tiêu chuẩn quốc tế.Quý khách có nhu cầu mua sàn hoặc thuê sàn văn phòng tại dự án Ngoại giao đoàn, Hà Nội, xin vui lòng liên hệ PKD: 0906 011 ***Mr Tuấn Hải).            ",500 m²,Thỏa thuận,06/12/2022,13/12/2022,Tin thường,31165601,batdongsan_com_vn_31165601,,,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án The Charm An Hưng']","
Bán nhanh quỹ căn 3pn diện tích 91m² - 96m² dự án The Charm An Hưng, giá chỉ từ 2,9 tỷ.Hỗ trợ vay ngân hàng 70%, hưởng lãi suất 0% 2 năm.Lh 0985 138 *** để chọn căn chọn tầng đẹp nhất.            ",91 m²,2.9 tỷ,06/12/2022,13/12/2022,Tin thường,35467852,batdongsan_com_vn_35467852,3 phòng,2 phòng,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án KĐTM Dương Nội']","
Chính chủ cần bán gấp căn hộ 56m².Tk 2pn, 1wc.Cửa chính hướng tây bắc, ban công đông nam.View thoáng mát.Sổ đỏ chính chủ. Nhà có sàn gỗ, tủ bếp, 03 điều hoà, 01 máy giặt, 01 tủ lạnh, 01 bộ sô pha + bàn trà, kê ti vi, giường,View bể bơi mát thoáng vô cùng.Xem nhà 24/24h lh 0921 617 ***Giá bán 1tỷ5xx.Xem nhà lh 0963 230 *** ",56 m²,Thỏa thuận,06/12/2022,13/12/2022,Tin thường,33932863,batdongsan_com_vn_33932863,2 phòng,1 phòng,Tây - Bắc,Đông - Nam,Sổ đỏ chính chủ,Đủ đồ,,,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Dự án Xuân Mai Tower - CT2 Tô Hiệu']","
Do chuyển công tác nên cần sang nhượng lại căn hộ mà Gia đình đã dành nhiều thời gian + tâm huyết để hoàn thiện nội thất theo phong cách hiện đại và sang trọng.Thông tin mô tả:- Diện tích: 118m².- Hướng cửa Đông Nam, ban công Đông Bắc.- Gồm có 3PN, 2WC, phòng khách + bếp + ban công.- Để lại toàn bộ nội thất gắn tường, 04 điều hoà, bình nóng lạnh, tủ bếp...Vị trí nằm ở trung tâm quận Hà Đông, xung quanh đầy đủ tiện ích xã hội. Cách Metro Hà Đông + UBND Quận + Chợ 365 chỉ 3 phút đi bộ, trong bán kính 1km đầy đủ tiện ích như trường cấp 1 + 2 + 3, chợ Hà Đông, BV đa khoa Hà Đông,..Pháp lý sổ hồng.Giá 3,25 tỷ.LH 0898 982 *** ",118 m²,3.25 tỷ,30/11/2022,10/12/2022,Tin thường,35991803,batdongsan_com_vn_35991803,3 phòng,2 phòng,Đông - Nam,Đông - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Đường Bùi Xương Trạch']","
Bán nhà đẹp Bùi Xương Trạch - Thanh Xuân, DT 48m², nhà 4 tầng, mặt tiền 4m, giá 5,2 tỷ. Nội thất đẹp, gần ô tô, đi lại thuận tiện, ở và kinh doanh đều tốt.- Vị trí đẹp, cách mặt ngõ 25m, tiện để ở và kinh doanh.- Dân cư đông đúc, đi lại tiện lợi.- Gần ngay trường học, chợ. Thuận tiện đủ đường.- Sổ đỏ vuông vắn.Thiết kế:- T1: Để xe, bếp.- T2,3: Mỗi tầng 2 ngủ, wc.- T4: Phòng thờ, sân phơi.Vui lòng liên hệ: Ms. Giang 0902 219 *** ",48 m²,5.2 tỷ,29/11/2022,09/12/2022,Tin thường,35979170,batdongsan_com_vn_35979170,4 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,4 m,4 tầng,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Bay Mễ Trì']","
Gia đình chuyển chỗ ở nên cần bán gấp biệt thự liền kề Vinhomes Green Bay Mễ Trì.Vị trí trung tâm đẹp nhất dự án Vinhomes Green Bay, gần ngay hồ điều hòa, công viên trung tâm.Gần đường Lương Thế Vinh, ngay sát với trường học Vinschools.Ai có nhu cầu vui lòng liên hệ trực tiếp căn TT2 - 16.Trân trọng.            ",93.6 m²,Thỏa thuận,06/12/2022,13/12/2022,Tin thường,29876423,batdongsan_com_vn_29876423,,,,,Có sổ,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án KĐTM Dương Nội']","
Chính chủ cần bán gấp căn hộ ct7 dương nội, Hà Đông.Dt 56,5m² nhà sạch đẹp chỉ việc xách vali vào ở thôi ạ nhà sẵn nội thất. Cửa tây nam ban công bắc.Chính chủ ở nên giữa nhà rất cẩn thận.Và có lộc lắm luôn gđ đổi sang căn to nên chuyển nhượng cho ai đó cần nhà ở.Sổ đỏ chính chủ.Lh xem nhà 0944 350 *** ",56.5 m²,Thỏa thuận,06/12/2022,13/12/2022,Tin thường,33978367,batdongsan_com_vn_33978367,2 phòng,1 phòng,Đông - Nam,Tây - Bắc,Sổ đỏ tươi,Có nhiều đồ,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Ngọc Hồi', 'Dự án Rose Town']","
Còn một lô văn phòng duy nhất dự án Rose Town DV03 lô góc đẹp như tranh vẽ.Những điểm nổi bật của dự án:- Vị trí: Dự án Rose Town nằm ngay trên mặt đường Ngọc Hồi, nơi tiếp giáp nhiều con đường huyết mạch: Đường Giải Phóng, đường vành đai 3, cao tốc Pháp Vân - Cầu Giẽ.- Các tiện ích nội khu cao cấp phong phú: Nhà hàng, quán cà phê, phòng gym, siêu thị, bãi đỗ xe ngoài trời,Tên dự án: Rose Town.Chủ đầu tư: Liên doanh Xuân Mai Corp - Công ty cổ phần Sản xuất Bao bì và và hàng xuất khẩu.Vị trí dự án: KM9 đường Ngọc Hồi, P. Hoàng Liệt, Q. Hoàng Mai, Hà Nội.Tổng diện tích: 40.124m².Diện tích xây dựng: 11.797m².Mật độ xây dựng: 30%.Loại hình phát triển: Căn hộ chung cư, biệt thự liền kề, văn phòng cho thuê và khách sạn.Quy mô dự án: 4 tòa chung cư (DV1 - DV2 - DV3 - DV4) cao 27 tầng, 1 tòa khách sạn (DV5) cao 27 tầng, 1 toà văn phòng cao 25 tầng và 43 lô biệt thự liền kề đẳng cấp.Đơn vị thiết kế: Công ty cổ phần tư vấn thiết kế Xuân Mai.Đơn vị thi công: Xuân Mai Corp.Ngân hàng bảo lãnh: BIDV - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam.Đơn bị bán hàng: Công ty Cổ Phần Đầu tư và Dịch vụ địa ốc VTC.Hình thức sử dụng: Sổ hồng.Khởi công: Quý II/2020 - Bàn giao: Quý I/2022.Bộ phận lễ tân, an ninh, kỹ thuật, hoạt động chuyên nghiệp, tận tình.Quý khách có nhu cầu sở hữu văn phòng như trên hoặc có nhu cầu khác xin vui lòng liên hệ:Hotline PKD CDT: 0906011368.(Hải Tuấn).Xin chân thành cảm ơn sự hợp tác của quý khách!            ",86 m²,Thỏa thuận,06/12/2022,20/12/2022,Tin thường,33575079,batdongsan_com_vn_33575079,,,,,Sổ hồng.,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án The Sparks']","
Chính chủ bán 1808 CT7B.56,5m² tk 2pn, 1wc.Cửa vào Đông Nam, ban công Tây Bắc.Nhà có đủ nội thất.Sàn gỗ, tủ bếp, điều hoà, nóng lạnh, bàn trà, giường tủ, rèm.Ai mua chỉ việc mang quần áo đến ở.Em bán nhanh.Lh 0921 617 *** ",56.5 m²,1.55 tỷ,06/12/2022,13/12/2022,Tin thường,35679007,batdongsan_com_vn_35679007,2 phòng,1 phòng,Đông - Nam,Tây - Bắc,Đã có sổ đỏ,Full đồ,,,
