address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Mặt tiền,Đường vào,Số tầng
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Phạm Tuấn Tài']","
+ Vị trí siêu đẹp ở Phố Phạm Tuấn Tài, giao thông đi lại thuận tiện như: Hoàng Quốc Việt, Phạm Văn Đồng, Nguyễn Văn Huyên, Phạm Tuấn Tài, Cầu Giấy tiện ích xung quanh không thiếu gì.+ Nhà chủ tự xây để ở rất tâm huyết, khung cột bê tông rất chắc chắn, nhà lại có khe thoáng đằng sau nên các phòng thoáng mát, ban ngày ánh sáng ngập tràn các phòng.+ Nhà thuộc khu phân lô, bàn cờ, rộng thênh thang, ô tô đỗ trước cửa vảo nhà thoải mái, dân trí cao, hàng xóm toàn Đại Tướng, Trung tướng, an ninh tốt, khách vừa ở kết hợp kinh doanh hoặc cho thuê rất hợp.+ Nhà thiết kế hợp lý, thang máy nhập khẩu chạy êm ru, tiện ích và công năng đầy đủ.+ Sổ đỏ chính chủ, pháp lý chuẩn.+ Giá: 11.9 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp.            ",55 m²,11.9 tỷ,Sổ đỏ/ Sổ hồng,22/11/2022,29/11/2022,Tin thường,35745704,batdongsan_com_vn_35745704,,,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Phố Việt Hưng', 'Dự án Phương Đông Green Home']","
* Cơ hội cuối cùng sở hữu các căn hộ đẹp nhất khu Việt Hưng trước khi bàn giao tăng giá, thiết kế hiện đại tại Phương Đông Green Home - Trung tâm quận Long Biên.- Thiết kế căn hộ 2 phòng ngủ, 2 vệ sinh, các phòng ngủ hướng ánh sáng.- Diện tích thông thủy: 66,3m².- Ban công trải dài nối phòng ngủ với phòng khách 6m.- Hình thức sở hữu: Số đỏ lâu dài.- Giá: 2,2x Tỷ.-------------------------------------------* Vị trí đắc địa Phương Đông Green Home:- Vị trí đắt giá: Cạnh hồ Kim Quan, UBNB Quận, Bệnh Viện Đức Giang, khu đô thị Việt Hưng, khu đô thị VinHomes. Cách trục đường lớn Ngô Gia Tự - Nguyễn Văn Cừ chỉ 100m.- Không gian xanh, mất độ cư dân thoáng.- Các căn hộ đều có 1 - 2 ban công, thông thoáng đón nắng và gió tự nhiên.- Tầm nhìn mở rộng ra không gian thanh bình view hồ Kim Quan và công viên Việt Hưng.- Thiết kế linh hoạt từ 2 - 3 phòng ngủ tối ưu công năng phù hợp cho mọi nhu cầu an cư.- Quy hoạch khu đô thị đồng bộ, đang trong quá trình hoàn thiện.- Ngay cạnh trung tâm Aeon Mall Long Biên, Big C.-----------------------------------------------* Quý khách quan tâm vui lòng liên hệ phòng kinh doanh chủ đầu tư hỗ trợ 24/7:: 0378 166 ***Call, Zalo, Sms).            ",66.3 m²,2.25 tỷ,,20/11/2022,30/11/2022,Tin thường,35769974,batdongsan_com_vn_35769974,Đông - Nam,Tây - Bắc,2 phòng,2 phòng,Nội thất bàn giao cơ bản ,,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Huỳnh Văn Nghệ', 'Dự án Le Grand Jardin Sài Đồng']","
* Thông tin căn hộ:- Căn hộ 77m², thiết kế 2 ngủ 1 vệ sinh.- Căn hộ mang đậm phong cách Bắc Âu sang trọng, hiện đại được thiết kế 2 phòng ngủ với diện tích: 15m² - 17m².- Phòng khách có ban công thư giãn 3m².- Phòng bếp thông với logia 4m² thoáng rộng, không ảnh hưởng đến không gian chung.- Phòng khách và phòng ngủ được thiết kế kính tràn chân tường nên căn hộ tràn ngập ánh sáng tự nhiên.- Hướng cửa Đông Bắc, ban công Tây Bắc view trọn bể bơi resort ngoài trời tuyệt đẹp.- Mức giá chỉ: Chỉ 2.8 tỷ.- Hình thức sở hữu: Sổ hồng lâu dài.- Quà tặng tân gia: 2 chỉ vàng 9999.------------------------------------------------------* Chính sách bán hàng siêu hấp dẫn.- Khách hàng thanh toán sớm được chiết khấu 5% GTCH.- Ngân hàng hỗ trợ vay 70% giá trị căn hộ. Miễn lãi, miễn gốc, miễn phí trả nợ trước hạn trong vòng 12 tháng.- Miễn phí dịch vụ 18 tháng.--------------------------------------------------------* Tiện ích nổi bật.- Hưởng trọn tiện ích đẳng cấp của Vinhomes Riverside kế bên.- Cận kề Vinschool, The Harmony, Hệ thống trường liên cấp quốc tế Wellspring, trường chuẩn chất lượng cao, Bệnh viện quốc tế Tâm Anh, Khu liên hiệp thể thao, sân Golf Long Biên.- Chỉ 5 phút đến Aeon Mall Long Biên, Vincom Long Biên, Times City Savico Megamall.- Chỉ 15 phút di chuyển vào trung tâm thành phố, Hồ hoàn Kiếm, Phố Cổ.- Sảnh, trung tâm thương mại với đầy đủ tiện ích: Siêu thị, coffee, văn phòng.- Phòng tập gym, spa, yoga cao cấp, bể bơi thiết kế thao phong cách Resort đẳng cấp.-----------------------------------------------------------* Hotline phòng kinh doanh trực tiếp CĐT: 0378 166 ***Call, Sms, Zalo).            ",77 m²,2.7 tỷ,,20/11/2022,30/11/2022,Tin thường,35587786,batdongsan_com_vn_35587786,Đông - Nam,Tây - Bắc,2 phòng,2 phòng,Nội thất bàn giao cơ bản liền tường.,,,
"['Hà Nội', 'Long Biên', 'Phường Giang Biên', 'Phố Việt Hưng', 'Dự án Eco City Việt Hưng']","
* Chính chủ bán lại căn 2 ngủ - 2 vệ sinh.- Hướng ban công Đông Nam, sổ hồng lâu dài.- Full nội thất cao cấp: Sàn gỗ, trần thạch cao, thiết bị vệ sinh Toto, điều hòa 2 chiều Mitsubishi, tủ bếp trên dưới, có bếp từ, hút mùi Hafele.- Giá: 2,45 tỷ.* Vị trí vàng: Nằm trong khu đô thị mới Việt Hưng, ngay cạnh Vincom Long Biên và nhiều địa điểm khác rất gần & thuận tiện (TTTM Savico Long Biên, Aeon Mall Long Biên, BVĐK Đức Giang... ).- Hệ thống cơ sở hạ tầng đồng bộ: Đường sá, trường học, y tế, siêu thị, khu vui chơi, bể bơi ngoài trời, gym, cafe, BBQ, shophouse... Rất tiện lợi.- Đặc biệt Eco City Việt Hưng còn được hưởng lợi từ dự án Vinhomes Riverside nằm ngay bên cạnh với các hệ thống cơ sở hạ tầng phát triển, khuôn viên đẹp & được triển khai xây dựng đồng bộ cùng với những lợi thế về vị trí.Hotline tư vấn trực tiếp 24/7: 0378 166 ***Call, Sms, Zalo).            ",77.84 m²,2.45 tỷ,,21/11/2022,01/12/2022,Tin thường,35798049,batdongsan_com_vn_35798049,Tây - Bắc,Đông - Nam,2 phòng,2 phòng,"Full nội thất cao cấp: Sàn gỗ, trần thạch cao, thiết bị vệ sinh Toto, điều hòa 2 chiều Mitsubishi, tủ bếp trên dưới, có bếp từ, hút mùi Hafele.",,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Phố Hồng Tiến', 'Dự án HC Golden City']","
* Căn hộ rẻ nhất bậc nhất HC Golden City Long Biên, nhận nhà ở ngay, sổ hồng trao tay:- Căn hộ diện tích 102.3m², thiết kế 3 phòng ngủ, 2WC.- Điểm nhấn của căn hộ là ban công nối thông giữa phòng khách và phòng ngủ, diện tích lên đến 10m.- Tầm view căn hộ rộng mở, view trọn công viên Bồ Đề, sông Hồng thơ mộng lung linh về đêm.- Phòng khách + ăn thoáng rộng: 37.95 m + vệ sinh chung: 5 m.- Phòng bếp, được thiết kế quầy bar sang trọng hiện đại liền kề phòng khách tạo không gian ấm cúng, hiện đại: 6.58 m².- Phòng ngủ 1: 17.92 m² + vệ sinh riêng: 4 m.- Phòng ngủ 2: 15 m².- Phòng ngủ 3: 10.97 m².- Căn hộ thuộc quỹ căn tầng cao từ 16 đến 25.- Mức giá hấp dẫn: Chỉ từ 5 tỷ - Nhận nhà ở ngay. Hỗ trợ vay 70% GTCH, miễn phí dịch vụ 2 năm, 1 năm tập gym.- Hỗ trợ vay 70%GTCH. Miễn phí dịch vụ 2 năm, 1 năm tập gym. Quà tặng nội thất trị giá 280 triệu ưu đãi đăch quyền cho khách hàng quỹ căn hộ 102,3m².* Nội thất bàn giao full nội thất cao cấp:- Cửa chính, cửa thông phòng, sàn: Chất liệu gỗ Lim, tự nhiên, chậm cháy.- Điều hòa âm trần 2 chiều Daikin lấy gió tươi tự nhiên.- Đèn trùm trang trí phòng khách sang trọng.- Chuông báo khách màn hình Panasonic, đón khách từ sảnh lễ tân đảm bảo an ninh tối ưu cho Quý khách.- Cửa ban công, cửa sổ: Làm bằng kính hộp cường lực lowe.- Hệ thống tủ bếp trên và tủ bếp dưới, tủ nội thất: Gỗ gõ, gỗ tự nhiên ghép thanh.- Thiết bị bếp (bếp từ, máy hút mùi, chậu + vòi rửa): Nhập khẩu Hafele.- Máy lọc nước: Kangaroo.- Thiết bị vệ sinh: Nhập khẩu Kohler.- Giàn phơi thông minh: Nhập khẩu Hàn Quốc.* Sở hữu vị trí đắc địa trên mặt phố Hồng Tiến - Bồ Đề - Long Biên.- Tầm view sông đắt giá, ngắm trọn 5 cây cầu lớn bắc qua Sông Hồng.- Ngay cạnh là bệnh viện đa khoa Tâm Anh, công viên vườn hoa Bồ Đề.- Các Hồ Gươm trung tâm Hà Nội 5 phút đi xe.- Cách hệ thống trường cấp 1, 2, 3 Quốc Tế Wellspring Hà Nội 200m.- Cách cầu Trần Hưng Đạo, Cầu Chương Dương, Cầu Long Biên 500m.- Cách trung tâm hành chính quận Long Biên 3km.- Cách trung tâm mua sắm Aeon Mall Long Biên, BIG C Long Biên 5 phút đi xe. Cách sân golf Long Biên 2km.- Tiện ích đầy đủ: Gym, spa, siêu thị, trường học liên cấp, hệ thống an ninh khép kín 24/7.* Hotline trực tiếp CĐT: 0378 166 *** để nhận phiếu tính giá và thăm quan căn hộ thực tế 24/7.            ",102.3 m²,5.2 tỷ,Sổ đỏ/ Sổ hồng,25/11/2022,05/12/2022,Tin thường,35446967,batdongsan_com_vn_35446967,Tây - Bắc,Đông - Bắc,3 phòng,2 phòng,Nội thất bàn giao full nội thất cao cấp.,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Dự án The Emerald']","
Chính chủ gửi bán trong tháng căn hộ "" nữ hoàng"" 3 phòng ngủ, 103,7m² đẹp nhất tòa The Emerald. Căn hộ được thiết kế như sau.- Hướng: Cửa: ĐN, ban công TB.- Thiết kế: 3 ngủ 2 vs, diện tích: 103,7m² thông thủy.- Nội thất đồ điện tử mới mua chưa qua sử dụng.- Phòng khách, bếp, thiết bị vệ sinh tất cả đều mới và sử dụng tốt.- View nhìn thẳng ra nội khu cực đẹp.- Tầng trung nên không bị ồn ào, bụi bặm, nắng chiếu.- Pháp lý: Sổ đỏ sẵn sàng giao dịch.- Căn hộ duy nhất trong phân khúc 103,7m² tầng trung.- Giá: 3 tỷ 700 triệu.- Chủ nhà thoáng tính, dễ làm việc.Quý khách xem nhà vui lòng liên hệ: 0339 129 *** ",103.7 m²,3.7 tỷ,Sổ đỏ.,24/11/2022,01/12/2022,Tin thường,35169557,batdongsan_com_vn_35169557,Đông - Nam,Tây - Bắc,3 phòng,2 phòng,Nội thất đầy đủ.,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Dịch Vọng Hậu']","
Bán nhà đất mặt phố Dịch Vọng Hậu, trung tâm Cầu Giấy, kinh doanh siêu khủng, giao thông thuận lợi, an sinh đẳng cấp.Vị trí cực đẹp, khu vực hiếm nhà bán có diện tích rộng, vuông vắn, mặt tiền lớn như thế này.Diện tích: 300m², giá chỉ 136 tỷ VNĐ ( Có thương lượng cho người thiện chí )Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịchLiên hệ Ms Xuân nhà đẹp HN  0945 941 *** ",300 m²,136 tỷ,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35644038,batdongsan_com_vn_35644038,,,,,,,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Cửa Nam', 'Đường Phan Bội Châu']","
Hàng khủng Hiếm Đẹp , Bán nhà mặt phố Phan Bội Châu 316m² lô góc mặt tiền khủng rộng 18m , nhà vị trí đẹp nhất phố , giá chào 175Tỷ , nằm giữa ngã tư Hai Bà Trưng , Cửa Nam , Ngã Năm Nguyễn Thái Học , Lý Thường Kiệt+ Vị trí Trung tâm Quận Hoàn Kiếm lõi Thủ Đô các vệ tinh gần đó gồm Hồ Gươm ,Cung Văn Hoá Hữu Nghị , Chùa Quán Sứ ,Bệnh Viện Phụ Sản vvv+ Mảnh đất vàng phù hợp xây toà khối  khách sạn văn phòng 20 tầng kinh doanh tha hồ đỉnh+ mong gặp được khách thiện chí nghiêm túc +liên hệ Qu Huy 0865 049 *** để được tư vấn mua nhà Phan Bội Châu , Cửa Nam , Hoàn Kiếm            ",316 m²,175 tỷ,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35964363,batdongsan_com_vn_35964363,,,9 phòng,9 phòng,Cơ bản,17.8 m,20 m,2 tầng
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Phố Trần Quốc Hoàn']","
Bán tòa nhà phố Trần Quốc Hoàn, tuyệt tác Cầu Giấy, khu VIP, phân lô cao cấp, ngõ to rộng thông sang các ngả, ô tô tránh, đỗ dừng ngày đêm, 2 mặt thoáng trước sau, an sinh đẳng cấp.Tòa nhà lừng lững 8 tầng thang máy, kiến trúc hiện đại, nội thất cao cấp xịn sò, thiết kế đa chức năng vừa ở vừa làm văn phòng, chủ nhà xây dựng chuyên.Nghiệp, có tiếng tại Hà Nội.Diện tích: 100m², giá chỉ 31 tỷ VNĐ (Có thương lượng cho người thiện chí).Sổ đỏ đẹp chính chủ, pháp lý chuẩn, sẵn sàng giao dịch.Liên hệ Ms Xuân nhà đẹp HN 0945 941 *** ",100 m²,31 tỷ,,27/11/2022,04/12/2022,Tin thường,35720243,batdongsan_com_vn_35720243,,,,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Kim Mã', 'Đường Bưởi']","
BÁN ĐẤT TẶNG NHÀ - 10M RA MẶT PHỐ - ĐẦU TƯ ĐỀU ĐƯỢC - TRUNG TÂM BA ĐÌNH Nhà Ngõ Đường Bưởi 62m nhinhr 5 tỷ+ Vị trí cực đẹp, ngõ thông, trung tâm Quận Ba Đình, cách Lăng Bác, Lotte, Hồ Tây 1km, gần các tuyến phố Vạn Phúc, Vạn Bảo, Văn Cao, Liễu Giai, Hoàng Hoa Thám.. 10m ra đường lớn Bưởi, Võ Chí Công, Hoàng Quốc Việt.+ Đường trước nhà hai xe máy tránh nhau thoải mái. Hiện tại đang có nhà 2 tầng, về có thể ở ngay hoặc có thể thiết kế xây mới.+ Nhà cũ xác định bán đất bên trong không có gì mô tả.+ Sổ đỏ chính chủ, diện tích 62m vuông vắn, Mặt tiền hơn.Lh; em Thuận chuyên nhà phố, xem nhà miễn phí 24/24. Còn nguyên.            ",62 m²,5.95 tỷ,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35962869,batdongsan_com_vn_35962869,,,2 phòng,,,4 m,2.5 m,3 tầng
