address,gen_descrip,Diện tích,Mức giá,Số tầng,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Mặt tiền,Đường vào,Hướng ban công,Hướng nhà
"['Hà Nội', 'Hai Bà Trưng', 'Phường Nguyễn Du', 'Phố Bà Triệu']","
Bán nhà mặt phố Bà Triệu, 70m², 6 tầng, vỉa hè rộng, đoạn to đẹp nhất phố, 44.1 tỷ.Đơn giản em là mặt phố lớn, kinh doanh đỉnh cao, cho thuê dòng tiền cao và ổn định,Nhà đẹp 6 tầng về ở ngay.Chủ đang có việc cần bán gấp.Sổ đỏ đẹp, nở hậu.Liên hệ ngay để xem nhà trực tiếp.Bảo mật thông tin chủ nhà và khách hàng.Anh chị trung gian, môi giới, quảng cáo xin miễn làm phiền, cảm ơn anh chị.            ",70 m²,44.1 tỷ,6 tầng,Sổ nở hậu.,Full,06/12/2022,13/12/2022,Tin thường,35911937,batdongsan_com_vn_35911937,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Phúc La']","
Chính chủ cần tiền bán cắt lỗ căn hộ CT1B1 Xala. Diện tích 63m², 2 ngủ 1 vệ sinh nhà đẹp. Giá 1,49 tỷ. LH 0966 939 *** ",63 m²,1.49 tỷ,,,,05/12/2022,12/12/2022,Tin thường,36038977,batdongsan_com_vn_36038977,2 phòng,1 phòng,,,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Văn Cừ', 'Số 6/667']","
Chính chủ cần bán nhà Nguyễn Văn Cừ, Long Biên, DT 30m², 3 tầng, MT 3.4m, giá 2.7 tỷ.- Liên hệ: 0333 295 ***- Gần phố, nhà tự xây rất chắc chắn, bền đẹp, nằm ngay vị trí giao thông thuận tiện giữa Nguyễn Văn Cừ và Ngô Gia Tự, đường 5, đi lại dễ dàng qua các tuyến phố lớn, sang phố cổ chỉ mấy phút đi xe.- Nhà còn tương đối ổn khách về cần sơn lại chút thì đẹp mê ly, giá bán rẻ nhất thị trường.- Thiết kế 3 tầng.+ Tầng 1: Phòng khách, bếp, vs.+ Tầng 2: 2 ngủ, vs giữa.+ Tầng 3: 1 ngủ, sân phơi.- Sổ đỏ chính chủ SSGD.            ",30 m²,2.7 tỷ,3 tầng,,,06/12/2022,13/12/2022,Tin thường,33754540,batdongsan_com_vn_33754540,3 phòng,2 phòng,3.4 m,2 m,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Lê Văn Lương']","
Chính chủ bán căn hộ chung cư 63m² vị trí đẹp, lô góc thoáng sáng chỉ 2.15 tỷ.- Khu vực Lê Văn Lương trung tâm quận Thanh Xuân, đi đâu cũng tiện, phát triển sầm uất, tiện ích bạt ngàn, gần các trường ĐH ở hoặc cho thuê đều tiện.- Chủ nhà a Đức bán nhà chuyển về Tây Hồ tiện công việc. Tặng lại hết nội thất bên trong, hàng xóm thân thiện, an ninh tuyệt vời.- Sổ chính chủ sang tên nhanh chóng.- Giá 2.15 tỷ, có thương lượng nhẹ.- Liên hệ 0946 475 *** chuyên nhà phố siêu hiếm và hot.            ",64 m²,2.15 tỷ,,Sổ đỏ/ Sổ hồng,,06/12/2022,13/12/2022,Tin thường,36041119,batdongsan_com_vn_36041119,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Thiên Hiền']","
Chính chủ - bán chung cư Lê Đức Thọ - Thiên Hiền - Mỹ Đình.Liên hệ Lộc chủ đầu tư.Chung cư xây dựng mới hiện đại, đã hoàn thiện có thể xách đồ về ở ngay.Gần các trường đại học - chợ - siêu thị - trường học các cấp - đi lại thuận lợi.Giá bán: 580tr - 732tr - 952tr - hơn 1 tỷ.Diện tích: 32m² - 45m² - 48m² - 49m² - 50m² - 52m² - 58m².Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Liên hệ trực tiếp chủ đầu tư để mua nhà - add Zalo để nhận video căn hộ.            ",32 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,,02/12/2022,12/12/2022,Tin thường,33469634,batdongsan_com_vn_33469634,2 phòng,1 phòng,,,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Mã', 'Đường Lý Nam Đế']","
Gia đình cần bán nhà mặt phố Lý Nam Đế, Hoàn Kiếm - TP Hà Nội.- DT 80m² x 9T, MT 6m. (Vuông vắn).- Vị trí nhà nằm đoạn giữa phố thuộc đoạn đẹp nhất phố Lý Nam Đế - Nhà thuộc Trung Tâm Quận Hoàn Kiếm. Giao thông thuận tiện đi lại.- Nhà 2 mặt thoáng trước sau - Nhà nằm bên Lẻ vỉa hè rộng - Ô tô đỗ dừng thoải mái.- Phù hợp làm ngân hàng, thời trang, văn phòng công ty, thẩm mỹ, spa...- Sổ đỏ chính chủ, vuông vắn. 1 sổ, 1 chủ gia đình tôi thiện chí bán.- Thiết kế: Thông sàn - Thang máy mỗi tầng 1 phòng.* Liên hệ trực tiếp gia đình Anh Khâm, Chị Mỹ: 0846 998 ***, 0966 886 **** Miễn trung gian, không tiếp môi giới, báo quảng cáo, xin cảm ơn.            ",80 m²,52 tỷ,9 tầng,Có sổ.,,06/12/2022,13/12/2022,Tin thường,27687411,batdongsan_com_vn_27687411,,,6 m,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường An Dương Vương', 'Dự án Sunshine Riverside']","
Căn hộ có diện tích 58m² thiết kế 2 phòng ngủ, 1 phòng vệ sinh, phòng khách, phòng ăn, bếp, ban công. Căn hộ trang bị đầy đủ nội thất như hình ảnh đăng với trang thiết bị thiết kế sang trọng, đắt tiền. Giá bán: 2,6 tỷ bao phí sang tên. Đã có sổ đỏ. Liên hệ em Tiến: 0985 172 *** để xem và mua căn hộ.            ",58 m²,2.6 tỷ,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ!,06/12/2022,13/12/2022,Tin thường,35323649,batdongsan_com_vn_35323649,2 phòng,1 phòng,,,Nam,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Nguyễn Khuyến', 'Dự án KĐT Văn Quán']","
Bán biệt thự, liền kề Văn Quán, Hà Đông, 90m², mặt tiền 4,5m giá chỉ 13.5 tỷ.Cần bán liền kề Văn Quán, vị trí nằm ngay đường Nguyễn Khuyến kết nối khu dãn dân Yên Phúc thông Phùng Hưng.- Nhà 5 tầng diện tích 90m², mặt tiền 4,5m, vỉa hè, sân, sau nhà có khe thoáng.- Rất phù hợp cho ở hay làm văn phòng công ty. Vị trí thuận tiện để nhiều xe ô tô, xe máy.- Giá chỉ 13,5 tỷ.- Sổ đỏ sẵn giao dịch ngay.* Cần mua - cần bán - liên hệ ngay.* Cương - ĐT/Zalo: 0987 835 *** ",90 m²,13.5 tỷ,5 tầng,Sổ đỏ,,06/12/2022,13/12/2022,Tin thường,36040871,batdongsan_com_vn_36040871,4 phòng,5 phòng,4.5 m,13 m,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Nguyễn Du', 'Phố Bà Triệu']","
Cần bán nhà mặt phố Bà Triệu, Hai Bà Trưng Hà Nội.- DT 55m² x 8T, MT 5m (Vuông vắn).- Vị trí nhà nằm đoạn đẹp phố Bà Triệu thuộc Trung Tâm Quận Hà Bà Trưng, Phố Kinh Doanh Sầm Uất, vỉa hè cực rộng.- Nhà xây 8 tầng khung cột kiên cố chắc chắn.- Thiết kế: Thông sàn, 1 tầng hầm và 7 tầng nổi.* Liên hệ trực tiếp Anh Khâm, chị Mỹ: 0846 998 ***, 0966 886 **** Miễn trung gian, báo đài, không tiếp môi giới, xin cảm ơn.            ",55 m²,42 tỷ,,,,06/12/2022,13/12/2022,Tin thường,27116771,batdongsan_com_vn_27116771,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Xuân Phương', 'Đường 70', 'Dự án Khu đô thị Xuân Phương']","
+ Đường trước nhà 2 ô tô tránh, vỉa hè rộng, ô tô đỗ ngày đêm.+ Diện tích 75m² xây 4.5 tầng, 5 phòng ngủ.+ Sổ đỏ chính chủ, pháp lý chuẩn.+ Giá 8.7 tỷ (có thương lượng).+ LH Mr Trường 0946 215 *** để đi xem nhà thực tế.            ",75 m²,8.7 tỷ,5 tầng,Sổ đỏ/ Sổ hồng,,06/12/2022,16/12/2022,Tin thường,35241203,batdongsan_com_vn_35241203,5 phòng,4 phòng,,,,
"['Hà Nội', 'Ba Đình', 'Phường Điện Biên', 'Đường Điện Biên Phủ', 'Ngõ 28B']","
Gia Đình Cần Bán Nhà Lô Góc Ngõ 28B Điện Biên Phủ, Quận Ba Đình, TP Hà Nội.- DT sổ 75m² x 5T, MT 6m (vuông vắn).- Vị trí nhà phân lô quân đội cao cấp, nhà thuộc ngõ to và đẹp nhất phố Điện Biên Phủ. Khu vực hiện tại rất hiếm nhà muốn bán. Nhà thoáng mát yên tĩnh, dân trí cao, an ninh cực tốt.- Nhà lô góc 2 mặt thoáng vĩnh viễn. Cách mặt phố Điện Biên Phủ 50m - Đường Ôtô 7 chỗ vào nhà thoái mái.- Thiết kế: Thông sàn, mỗi tầng 1 phòng.- Sổ đỏ Chính chủ, vuông vắn. Gia đình thiện trí cần bán.* Liên hệ trực tiếp gia đình Anh Khâm, chị Mỹ: 0846 998 ***, 0966 886 **** Miễn trung gian, báo đài, không tiếp môi giới, xin cảm ơn.            ",75 m²,19.5 tỷ,4 tầng,"Sổ đỏ chính chủ, vuông vắn.",,06/12/2022,13/12/2022,Tin thường,27274935,batdongsan_com_vn_27274935,,,4.2 m,,,
"['Hà Nội', 'Sóc Sơn', 'Xã Minh Trí']","
CC cần bán nhanh 1820m² - lô góc 3 mặt tiền siêu khủng - làm resort - homestay, biệt thự nghỉ dưỡng siêu đỉnh - đầu tư tương lai x2 x3 tài sản - giá 20 tỷ.+ Mảnh đất diện tích lớn, có sổ đỏ lâu dài còn sót lại (cơ bản các mảnh lớn ở đây trước đều đã phân lô), xung quanh đã có nhiều homestay được xây dựng và hoạt động kinh doanh, vô cùng tiềm năng.+ Diện tích rộng, thế đất đẹp, vượng khí, tổng 1820M2, trong đó 400 thổ cư, còn lại là diện tích đất trồng cây lâu năm, có thể chuyển đổi mục đích sử dụng đất khi có nhu cầu xây dựng (một năm có 2 đợt lên thổ).+ Mặt tiền lý tưởng: Hơn 80m quá lý tưởng cho lô đất rộng gần 2 nghìn mét vuông.+ Vị trí cực đỉnh: Chỉ cách Hồ Đồng Đò 1km, cách Thung Lũng Hoa vài bước chân, cách sân bay Nội Bài ~ 10km, cách Hồ Đồng Đò 1km, lô góc 3 thoáng ôm đường, đất ở thế cao nên rất thoáng, nhìn xuống thung lũng hoa. Cách tường sân goft Hà Nội chỉ 150m, cách đường nhựa chính 150m là ra tới tường sân goft Hà Nội, đường hai ô tô tránh nhau thoải mái.+ Sổ đỏ chính chủ, cất két sẵn sàng giao dịch.+ Giá chào: 20 tỷ có thương lượng sâu cho khách thiện chí.+ Liên hệ chính chủ 0886 981 ***gặp mr Thành).+ Miễn trung gian, môi giới và quảng cáo ạ!            ",1820 m²,20 tỷ,,Sổ đỏ/ Sổ hồng,,06/12/2022,13/12/2022,Tin thường,36039932,batdongsan_com_vn_36039932,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Bay Mễ Trì']","
Cần bán liền kề Vinhomes Green Bay Mễ Trì.Diện tích 93.6m² hướng Tây Bắc, mặt tiền 5.5m.Xây thô và hoàn thiện mặt ngoài, sổ đỏ chính chủ.Diện tích xây 72m²/ 1 sàn. Xây 3 tầng nổi và 1 tầng hầm.Căn vị trí đẹp nhất nhì khu liền kề.Giá 23 tỷ có thương lượng.Liên hệ: 0966 399 ***Mr Thành).            ",93.6 m²,23 tỷ,,Sổ đỏ chính chủ,,06/12/2022,13/12/2022,Tin thường,29172710,batdongsan_com_vn_29172710,,,5.5 m,,,Tây - Bắc
