address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số toilet,Nội thất,Hướng ban công,Hướng nhà
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Quan Nhân']","
Bán nhà Quan Nhân ngay Ngã Tư Sở 35m² x 4 tầng - nhà đẹp ở ngay - ngõ trước nhà gần 4m - 30 bãi gửi ô tô ngày đêm.Thông tin chuẩn 100%, tránh mất thời gian đôi bên.- Vị trí đẹp ngõ vào to thoáng ngay gần bãi ô tô.- Ngay gần Ngã Tư Sở tiện ích khỏi bàn, sát Royal City, Các trường ĐH lớn như, ĐH Thuỷ Lợi, ĐH Y Hà Nội, ĐH Khoa Học Xã Hội...Thiết kế:T1: PK + bếp + vs + chỗ để xe.T2,3: Mỗi tầng 1 phòng khép kín rộng.T4: 1 phòng thờ + 1 phòng nhỏ, vs.Tum: Ban công, sân phơi.Sổ đỏ vuông vắn chủ rất thiện chí.Giá 4x tỷ (x mầm non).            ",35 m²,4.45 tỷ,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,36040163,batdongsan_com_vn_36040163,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Trần Thái Tông']","
+ Nhà dân xây 2 thoáng - gần phố - cách ô tô 10m ngõ thông - full nội thất - Cầu Giấy.+ Vị trí đẹp vài bước chân ra mặt phố, gần nhà có bãi gửi xe, xung quanh công năng tiện ích ngập tràn.+ Nhà gia đình tự xây, thiết kế 4,5 tầng, hai mặt thoáng.Tầng 1: Phòng khách rộng rãi + vệ sinh.Tầng 2: 1 phòng ngủ + bếp + phòng làm việc + vệ sinh.Tầng 3: 2 phòng ngủ + phòng làm việc + vệ sinh.Tầng 4: 1 phòng ngủ + phòng thờ + vệ sinh.Tầng 5: Sân chơi, phơi phóng, tiểu cảnh.+ Liên hệ em Thạch để được xem nhà.            ",54 m²,7.05 tỷ,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,35917398,batdongsan_com_vn_35917398,6.4 m,2.5 m,5 phòng,Full nội thất,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Cầu Diễn']","
+ Diện tích 400m², xây 15 tầng, một mặt phố một mặt ngõ.+ Gia chủ tự xây xác định vừa ở vừa cho thuê nên xây cực kỳ chắc chắn, đẹp lung linh. Xây khung cột bê tông cốt thép cẩn thận từng cen ti mét. Một mặt phố, một mặt ngõ tiện cho kinh doanh, nhà hàng khách sạn, văn phòng, karaoke đều được.+ Thiết kế thông tầng, 2 thang máy vù vù, nội thất 100% nhập khẩu cao cấp, sang chảnh.+ Vị trí đắc địa nằm ngay trục chính gần các trường đại học cao đẳng và gần trung tâm hành chính, thương mại.+ Sổ đỏ vuông vắn ngon lành.+ Liên hệ A Hưng: 0911 051 *** ",400 m²,189 tỷ,15 tầng,,,06/12/2022,13/12/2022,Tin thường,34617259,batdongsan_com_vn_34617259,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 2', 'Đường Phạm Văn Đồng', 'Dự án Nhà ở cho CBCS Bộ Công an']","
Bán nhanh căn hộ 2 phòng ngủ, diện tích 74m², toà nhà thương mại HH dự án Epics Home khu nhà ở cho Cán Bộ Chiến Sỹ Bộ Công An, ngay ngõ 43 Cổ Nhuế, khu đô thị Thành Phố Giao Lưu, sau Metro Phạm Văn Đồng.Bàn giao: Full nội thất như giường, tủ quần áo, điều hòa, tủ bếp, thiết bị bếp, trần, sàn gỗ, thiết bị chiếu sáng, thiết bị vệ sinh,...Đã có sổ hồng, view hồ, bán công hướng Nam siêu mát mẻ.Giá: 3,x tỷ thương lượng.Anh chị quan tâm liên hệ xem nhà: 0964 645 *** ",74 m²,Thỏa thuận,,2 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,36039440,batdongsan_com_vn_36039440,,,2 phòng,"Nội thấtBàn giao hoàn thiện nội thất như giường tủ, bếp, điều hoà, sàn gỗ, thiết bị vệ sinh, thiết bị chiếu sáng,...",Nam,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Phố Ngọc Trì', 'Ngõ 48']","
+ Bán nhà ngõ 48 Ngọc Trì 50m² * 4 tầng mới kính coong, giá chỉ 4,8 tỷ.+ Vị trí view vườn hoa, thoáng tầm mắt vĩnh cữu, nhà lô góc 2 mặt ngõ, ô tô đỗ trước nhà. Thuộc trung tâm Phường Thạch Bàn, dân trí cao, an ninh tuyệt vời.Tầng 1: Khách, bếp, wc.T2,3: 4 ngủ, 2 wc, ban công.T4: 1 thờ, 1 ngủ, ban công phơi phóng.+ Sổ đẹp, vuông vắn, giao dịch ngay.LH gọi ngay: 0384 883 *** ",50 m²,4.8 tỷ,4 tầng,5 phòng,Sổ đỏ.,06/12/2022,13/12/2022,Tin thường,36040799,batdongsan_com_vn_36040799,,,3 phòng,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Thành Thái', 'Dự án ĐTM Dịch Vọng']","
Bán căn hộ chung cư 65 m², 2 PN tòa công viên Cầu Giấy. DT: 65 m², gồm 2 phòng ngủ, wc, phòng khách, bếp. Nhà thiết kế rất hợp lý, sửa chữa đẹp, đầy đủ nội thất như điều hòa, nóng lạnh, tủ bếp, tủ quần áo. Giá 2,65 tỷ.LH: Em Ngọc: 0904 760 *** ",65 m²,2.65 tỷ,,2 phòng,,06/12/2022,13/12/2022,Tin thường,35974103,batdongsan_com_vn_35974103,,,1 phòng,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng']","
+ Vị trí lô góc 1 mặt phố và một mặt ngõ ô tô tránh, vỉa hè rộng 10m.+ Toà nhà 12 tầng thiết kế chuẩn văn Phòng hạng A.+ Hiện đang cho thuê hợp đồng 10 năm, dòng tiền hàng tháng xấp xỉ 1 tỷ.+ Địa thế quá đẳng cấp, gần công viên Cầu Giấy, Trần Thái Tông, Thành Thái.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Liên hệ a Hưng: 0911 051 ***miễn trung gian).            ",275 m²,210 tỷ,,,,06/12/2022,13/12/2022,Tin thường,35742767,batdongsan_com_vn_35742767,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Mễ Trì']","
Nhà dân siêu đẹp, ngõ rộng, thông, hiếm nhất Mễ Trì,+ Tầng 1: Khách, bếp, vệ sinh.+ Tầng 2,3: Mỗi tầng 1 phòng ngủ rộng, vệ sinh.+ Tầng 4: Phòng thờ, sân phơi.+ Tổng có 2 ngủ, có thể sửa sang thành 3 ngủ, lên thêm tầng.+ Vị trí ngõ thông đẹp, ngõ trước nhà rộng 2.5m, để xe thoải mái.+ Sổ đỏ chính chủ, nở hậu nhẹ.            ",35 m²,4.35 tỷ,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,06/12/2022,16/12/2022,Tin thường,35949618,batdongsan_com_vn_35949618,,2.5 m,4 phòng,Full nội thất.,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy', 'Ngõ 68']","
Trung tâm Cầu Giấy đầu tư.Xây chung cư mini luôn kín phòng. Đã xin GPXD 7 tầng, thang máy.Có bản vẽ thiết kế chi tiết.+ Ngõ 68 là ngõ quận ủy, Gần hồ điều hòa, kinh doanh ngày đêm, gần ô tô, gần ngõ 111 Phố Quan Hoa trông xe ngày đêm, ngõ thông tứ tung.+ Mua để xây CCMN cho thuê thì luôn luôn kín phòng, cực gần các trường Đại học lớn, bệnh viện, TTTM.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Liên hệ em Dương 0977 383 *** 24/24 để được se duyên với chủ nhà.            ",100 m²,7.7 tỷ,2 tầng,2 phòng,"Sổ đỏ, sổ hồng.",06/12/2022,13/12/2022,Tin thường,36040438,batdongsan_com_vn_36040438,13 m,2 m,2 phòng,Hiện đại.,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Lê Văn Lương', '27', 'Hà Nội Center Point']","
Em cần bán gấp căn hộ 3PN 2WC tại tòa DN1 Ha Noi Center Point địa chỉ 27 Lê Văn Lương chính chủ gia đình đang ở.Căn hộ rộng 85m².Nội thất em để lại đầy đủ như trên ảnh.Logia của căn hộ hướng Đông Nam.Tầng 20 rất thoáng đãng và sạch sẽ.Đặc biệt nhà em còn slot để ô tô!Giá em bán gấp chỉ 4 tỷ 3 và có thể thương lượn thêm nếu nhiệt tình và chốt với em trước tết dương lịch.Liên hệ em 0915 690 *** xem nhà trực tiếp buổi tối hàng ngày.            ",85 m²,4.3 tỷ,,3 phòng,,06/12/2022,13/12/2022,Tin thường,36040024,batdongsan_com_vn_36040024,,,2 phòng,Đầy đủ,Đông - Nam,
