address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Hoàng Mai', 'Phường Lĩnh Nam', 'Đường Nam Dư']","
Chính chủ gửi bán lô đất tuyệt đẹp ở Nam Dư Hoàng Mai, ngõ rộng ba gác đua, đi vài bước chân là ra đến phố Nam Dư tiện ích bạt ngàn, sổ đỏ vuông vắn như tờ A4. Vị trí cực hiếm người bán khu vực Nam Dư Hoàng Mai, Lĩnh Nam, Ngũ Nhạc, Thanh Lân với các thông số sau:Diện tích: 55m².Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá chào: 3.2 tỷ (có thương lượng).Liên hệ: Anh Dương 0975 383 ***Gọi hoặc inbox 24/24g).Miễn phí xem nhà Nguồn hàng phong phú Nhiệt tình tận tâm Hỗ trợ 24/24g.            ",55 m²,3.2 tỷ,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35768115,batdongsan_com_vn_35768115,,,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'đường Mỹ Đình']","
Chính chủ cần bán gấp máy in tiền đường Mỹ Đình (Nam Từ Liêm), tổng diện tích 52m² mà giá chỉ 4.48 tỷ (có thương lượng).- Nhà nằm trên đường Mỹ Đình 1 con đường mà để ở cũng sướng hay cho thuê cũng luôn cháy phòng. Ngõ thông các ngả ra các con đường lớn, nhà cách đường ô tô chạy chỉ 10m thẳng tắp.- Nhà gần chợ, các trường đại học lớn, trường tiểu học, THCS Mỹ Đình 1, trường Marie Curie... Nhiều tiện ích mua sắm vui chơi, rạp chiếu phim, BigC Garden.- Nhà với thiết kế 4 tầng khung cột bê tông chắc chắn, tầng 4 đổ mái nên cơi nới xây thêm thoải mái. Nhà với diện tích 52m² mỗi tầng 2 phòng ngủ vô cùng rộng rãi, tổng 4 ngủ.- Sổ đỏ chính chủ cất két, sẵn sàng giao dịch bất cứ lúc nào.- Liên hệ em Thảo chuyên BĐS khu vực Từ Liêm.            ",52 m²,4.48 tỷ,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36039728,batdongsan_com_vn_36039728,5 m,3 m,5 tầng,4 phòng,4 phòng,Đầy đủ,,
"['Hà Nội', 'Đông Anh', 'Xã Vân Nội']","
Bán nhà Vân Nội mới xây, đường rộng 4m, Nhận nhà đón tết 2023.Diện tích: 45m² - 52m².Thiết kế 3 - 4 tầng, phong cách thiết kế mới, đẹp, thoáng mát.Đang trong giai đoạn hoàn thiện.Tết là bàn giao chìa khóa về đón tết 2023.Bàn giao nội thất cơ bản.Không gian sống văn minh, lý tưởng cho gia đình bạn.Nằm trong khu dân cư đông đúc, nhiều tiện ích như chợ, trường học, bệnh viện bán kính chỉ 500m.Giao thông thuận lợi như Võ Nguyên Giáp bán kính 800m.Cách cầu Nhật Tân 4km.Cách đường 23B bán kính 300m - 500m.Giá chỉ 2, x tỷ - 3, x tỷ.Liên hệ chính chủ: 0968 786 *** ",45 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35551028,batdongsan_com_vn_35551028,,,3 tầng,3 phòng,3 phòng,"Cơ bản , sàn trần , thiết bị vệ sinh",Tây,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Tố Hữu', 'Dự án Roman Plaza']","
Chính chủ chuyển nơi sinh sống bán căn Roman Plaza 3 ngủ full nội thất view đẹp giá tốt nhất thị trường.Diện tích 103m².Căn góc cực mát view đẹp.Nằm trong quần thể kiến trúc tân cổ điển, sang trọng, độc đáo, đầy đủ tiện ích nội ngoại khu, vài bước chân ra tuyến BRT ngay mặt đường Tố Hữu, trường quốc tế Nhật Bản, bệnh viện...Cạnh cầu Mỗ Lao đang làm tuyến kết nối cắt Lê Quang Đạo đi Mỹ Đình; giá sẽ tăng mạnh trong thời gian sắp tới.Full nội thất, chỉ cần xách vali về ở.Chỉ nhỉnh 4tỷ.Liên hệ: 0944 988 *** ",103 m²,Thỏa thuận,,02/12/2022,09/12/2022,Tin thường,35434391,batdongsan_com_vn_35434391,,,,3 phòng,2 phòng,,,
"['Hà Nội', 'Đông Anh', 'Xã Uy Nỗ']","
Mua 1 nhà tặng 1 nhà. Diện tích 100m², 2 căn, ngay gần công viên Kim Quy. Đường oto. 50m ra trục chính đường nhựa.Đập thông 2 căn thì quá đẹp luôn.Nhà mới xây, chìa khóa trao tay.Gần khu hành chính huyện Đông Anh.Cách Thị Trấn, công viên, tiện ích trường học, chợ bán kính 500m.Đường rộng, oto vào nhà.50m ra trục chính đường nhựa.80m ra QL3 cũ.Nội thất bàn giao cơ bản.Giá 3, x tỷ/ 2 căn.Liên hệ xem nhà: 0968 786 *** ",100 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35552332,batdongsan_com_vn_35552332,,,3 tầng,6 phòng,5 phòng,Bàn giao nội thất cơ bản ,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Hàm Nghi', 'Dự án Mon City - Hải Đăng City']","
Cần bán căn hộ chung cư Mon City - Hải Đăng City, Đường Hàm Nghi, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội.Diện tích thông thuỷ 86m², thiết kế 3 phòng ngủ, một phòng khách rộng rãi thoáng mát, đón ánh sáng, 2 nhà vệ sinh.Full nội thất.Ban công Tây Bắc nhìn ra đường Nguyễn Cơ Thạch.Giá thu về 3,6 tỷ có bớt cho khách thiện chí.Gọi cho tôi 0972 509 *** ",86 m²,3.6 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36035484,batdongsan_com_vn_36035484,,,,3 phòng,2 phòng,,Tây - Nam,Tây - Bắc
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường An Dương Vương', 'Ngõ 173']","
Vị trí: Ngõ 173 An Dương Vương Tây Hồ, thông Phố Phú Thượng.Nhà C4 hiện đang cho thuê, đã sửa sang lại đẹp có thể ở luôn.+ Vài bước chân có sân chơi rộng: Cầu lông, đá cầu, nhảy dây, bóng chuyền...+ Liền kề khu đô thị Ciputra đẳng cấp.+ Xây lại ô tô nhỏ có thể vào nhà.Sổ đỏ chính chủ. Sẵn sàng giao dịch.            ",40 m²,3.8 tỷ,,06/12/2022,13/12/2022,Tin thường,36041461,batdongsan_com_vn_36041461,3.8 m,4 m,1 tầng,1 phòng,1 phòng,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Chính chủ bán biệt thự liền kề Vinhomes Gardenia, Nam Từ Liêm, Hà Nội.Biệt thự hướng Nam, nhà hoàn thiện đẹp.Diện tích 152m².Bán 33 - 39 tỷ.Liên hệ phòng kinh doanh Vinhomes B5 18 Vinhomes Gardenia.Hotline: 0988 153 *** ",152 m²,33 tỷ,Sổ đỏ/ Sổ hồng.,06/12/2022,13/12/2022,Tin thường,35780071,batdongsan_com_vn_35780071,8 m,,5 tầng,5 phòng,4 phòng,Hoàn thiện nội thất.,Nam,
"['Hà Nội.', 'Đông Anh', 'Xã Liên Hà', 'Đường Liên Hà']","
Chính chủ cần tiền gấp, bán cắt lỗ thửa đất đấu giá tại làng nghề Giao Tác - Liên Hà - Đông Anh.+ Hạ tầng cực đẹp: Diện tích 99m², mặt tiền = hậu = 6m, đường trải nhựa 7,5m, vỉa hè lát đá 3m, khe thoáng phía mặt hậu lát đá 4m, cây xanh điện nước ngầm đầy đủ.+ Vị trí hiếm có: Khu đất nằm ngay trung tâm 3 làng nghề gỗ trù phú Châu Phong, Giao Tác và Đại Vĩ, giao thông kết nối buôn bán cực tốt, nhận đất xây nhà, mở xưởng, mở cửa hàng được ngay.+ Quy hoạch cực đẹp, gần đường quy hoạch, sát 2 trường học, gần chợ... Đầy đủ tiện ích không thiếu thứ gì.+ Giá trúng rẻ, bán cắt lỗ cho ace thực sự thiện chí.Ace quan tâm alo e 0983 135 ***/zalo 0329 103 *** ",99 m²,Thỏa thuận,,06/12/2022,13/12/2022,Tin thường,36041100,batdongsan_com_vn_36041100,6 m,,,,,,Đông,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
+ Cặp shophouse siêu phẩm phân khu Sao Biển 1 Vinhomes Ocean Park, sở hữu lâu dài 3 mặt thoáng mua về ở và cho thuê được ngay (đang cho thuê dài hạn 55 triệu/tháng tăng giá hàng năm 10%).+ Mặt đại lộ Ngọc Trai 52m hướng Tây Bắc là trục giao thông huyết mạch của Quận Ocean, mặt sau nhà hướng Đông Nam view vườn hoa nội khu rất thư giãn, xanh mát quanh năm.+ Thông số cặp shophouse: Diện tích 2 lô đất rộng 196m², MT đất 7m, DT xây dựng 150m²/sàn*5 tầng, MT nhà 5m.+ Cặp shophouse xây 4 tầng 1 tum đã hoàn thiện thông sàn đẹp, có thang máy, hệ thống điện nước, camera... Chủ nhà làm rất cẩn thận.+ Giá bán: Liên hệ.+ Hoàng Nam 0984 131 ***+ Thông tin chuẩn, kho hàng đẹp độc quyền, cam kết không thu bất cứ phí gì kể cả khi mua được nhà.            ",196 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng.,06/12/2022,13/12/2022,Tin thường,35754129,batdongsan_com_vn_35754129,7 m,52 m,5 tầng,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', 'Dự án Bohemia Residence']","
Thông tin mô tả.* Tổng quan dự án.+ Chủ đầu tư uy tín: 100% tổng vốn đầu tư của Vinaconex, nhà thầu đã từng xây dựng bảo tàng Hà Nội, SVĐ Quốc gia Mỹ Đình, trung tâm hội nghị Quốc Gia Mỹ Đình, khách sạn Hanoi Grand Plaza.+ Đơn vị thi công: Vinaconex 2.+ Đơn vị thiết kế: Công ty R Design Worldwide (Singapore).+ Tư vấn giám sát: Công ty CP Coninco.+ Quy mô dự án: 1 tòa 33 tầng (3 tầng hầm, 4 tầng TTTM, 29 tầng căn hộ tích hợp ở và cho thuê VP) và khu biệt thự liền kề.- Tầng 1: Sảnh và trung tâm thương mại.- Tầng 2: Bố trí hệ thống nhà trẻ.- Tầng 3: Khu vực văn phòng cho thuê.- Tầng 4: Bể bơi, phòng sinh hoạt cộng đồng, khu đọc sách và vui chơi cho bé.- Tầng 5 - 33: Căn hộ để ở.+ Hình thức sở hữu: Lâu dài vĩnh viễn.+ Thời gian bàn giao: Đã bàn giao căn hộ cho khách hàng.+ Mật độ cực tốt: Chỉ 8 căn/sàn (bình thường các dự án khác có từ 15 - 20 căn/sàn), với 5 thang máy, 2 thang bộ và chỉ có tổng 232 căn hộ.- Căn 3 phòng ngủ là các căn số 5.+ Căn số 5: Căn góc 135m², tầng trung view thoáng. Thiết kế 3 phòng ngủ, 2WC, ban công hướng Tây Nam Tây Bắc, cửa vào Đông Nam, có giá từ 5ty3 tỷ/căn.- Căn 2 phòng ngủ là các căn số 2, 4, 6, 8.+ Căn số 2: 85m², thiết kế 2 phòng ngủ, 2WC, ban công hướng Đông Nam, cửa vào Tây Bắc tầng cao view đường sắt trên cao Nguyễn Trãi, có giá từ 4 tỷ/căn.Liên hệ xem nhà trực tiếp CĐT: 0899 822 *** ",85 m²,3.2 tỷ,Đã có sổ hồng.,06/12/2022,13/12/2022,Tin thường,28537887,batdongsan_com_vn_28537887,,,,2 phòng,2 phòng,- Bàn giao nội thất cao cấp CĐT.,Đông - Bắc,Tây - Nam
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Mạc Thái Tổ']","
Bán nhà phân lô phố Mạc Thái Tổ, Yên Hoà, Cầu Giấy, Hà Nội.Diện tích 40m² x 5 tầng, mặt tiền 5m, vuông vắn.Vị trí nhà thuộc khu phân lô Mạc Thái Tổ, an sinh tốt, gần nhiều trường học.Sổ đỏ chính chủ, giá 8,5 tỷ.Liên hệ 0982 226 *** ",40 m²,8.5 tỷ,Sổ đỏ,06/12/2022,13/12/2022,Tin thường,33579826,batdongsan_com_vn_33579826,5 m,,5 tầng,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Phố Khúc Thừa Dụ']","
+ Nhà cần bán nằm vị trí trung tâm Khúc Thừa Dụ, Phường Dịch Vọng, Quận Cầu Giấy có thể đi thông ra đường Cầu Giấy, Thành Thái, Trần Đăng Ninh.+ Nhà xây để ở trên diện tích hơn 46 m² với khung cột bê tông chắc chắn, thiết kế hợp lý, hiện đại. Đặc biệt đã làm Thạch cao, sàn gỗ cho tất cả các phòng.+ Thiết kế 4 tầng 1 tum thoáng mát anh sáng hài hòa có hành lang cửa sổ.- Tầng thượng: Sân phơi có mái che tiện ích.+ Sổ đỏ chính chủ: 5 tỷ 1. (Có Thương Lượng).LH A. Phúc: 0888 743 *** nhà đẹp pháp lý chuẩn Hà Nội (Nhận ký gửi nhà Hà Nội).Khúc Thừa Dụ, Phường Dịch Vọng, Cầu Giấy, Hà Nội.            ",46 m²,5.1 tỷ,Sổ đỏ/ Sổ hồng,06/12/2022,15/12/2022,Tin thường,36038966,batdongsan_com_vn_36038966,5 m,3 m,4 tầng,5 phòng,3 phòng,Đầy đủ,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Trường Chinh', '317', 'Tân Hồng Hà Complex']","
Gia đình không có nhu cầu sử dụng nên cần bán chung cư ở 317 Trường Chinh.- Căn hộ 88m², căn góc nên 3pn đều thoáng, ánh sáng tự nhiên, nội thất cơ bản: Điều hòa, tủ bếp, thiết bị wc cao cấp, cửa vân tay.- Vị trí trung tâm.- Thuận tiện giao thông, trường học, siêu thị, bệnh viện không thiếu thứ gì.Gia đình thiện chí bán.- Giá 3,1 tỷ có thương lượng cho khách thiện chí.- LH em Sơn đi xem nhà: 0899 822 *** ",88 m²,3.1 tỷ,Đang chờ sổ,06/12/2022,13/12/2022,Tin thường,32757488,batdongsan_com_vn_32757488,,,,3 phòng,2 phòng,"Nội thất cơ bản: Điều hòa, tủ bếp.",,
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Thanh Bình']","
- Nhà đất mặt phố Thanh Bình, Hà Đông - Vị trí đẹp - mặt tiền rộng - vỉa hè rộng - kinh doanh - sổ vuông trước sau như một - không lỗi phong thuỷ. Hiện đang cho thuê 13 triệu/tháng.- DT: 32m², cấp 4, mặt tiền 5.4m, 6.5 tỷ.- Nhà nằm ngay đầu phố Thanh Bình. Cách ngã tư phố Thanh Bình - Trần Phú - Quang Trung Phùng Hưng, Phố Thanh Bình đang quy hoạch kè bờ sông xong thì cực đẹp (hiện tại đang kè bờ sông đến Phố Ngô Quyền - Vạn Phúc rồi).- Chủ xác định bán đất nên không có gì để mô tả nhiều.+ Cam kết thông số diện tích chuẩn.+ Liên hệ: Em Hạnh 0965 537 ***MTG + QC).- Kết nối: Phố Trần Phú, Nguyễn Trãi, Vạn Phúc, Tố hữu, Ngô Quyền, Cầu Bươu, Nguyễn Khuyến, Vũ Trọng Khánh, Nguyễn Văn Lộc, Sông Nhuệ, Quang Trung, Bà Triệu, Lê Lợi.            ",32 m²,6.5 tỷ,,06/12/2022,13/12/2022,Tin thường,36040135,batdongsan_com_vn_36040135,5.4 m,,,1 phòng,,,,
"['Hà Nội', 'Đông Anh', 'Xã Vân Nội']","
Bán nhà Vân Nội mới xây, đường rộng 4m, tháng nữa là nhận bàn giao. Nhận nhà đón tết 2023.Địa chỉ: Xóm Nhì - Vân Nội - Đông Anh.Diện tích: 45m².Thiết kế 3T, phong cách thiết kế mới, đẹp, thoáng mát.Đang trong giai đoạn hoàn thiện.Bàn giao nội thất cơ bản.Không gian sống văn minh, lý tưởng cho gia đình bạn.Nằm trong khu dân cư đông đúc, nhiều tiện ích như chợ, trường học, bệnh viện bán kính chỉ 500m.Giao thông thuận lợi như Võ Nguyên Giáp bán kính 800m.Cách cầu Nhật Tân 4km.Cách đường 23B bán kính 300m - 500m.Giá chỉ 2, x tỷ.Liên hệ chính chủ: 0968 786 *** ",45 m²,Thỏa thuận,Đã có sổ.,06/12/2022,13/12/2022,Tin thường,35694025,batdongsan_com_vn_35694025,4 m,4 m,3 tầng,3 phòng,3 phòng,Cơ bản bàn giao nội thất cơ bản.,Tây,
