address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Đường Ô Chợ Dừa']","
Do nhu cầu qua úc định cư!Gia đình cần bán căn nhà tại phố chính Ô Chợ Dừa, mặt sau nhà là phố Đông Các.DT 180m².Mặt tiền 11.5m.Nhà 2 T = Đất.Vị trí quá đẹp 2 mặt phố trước sau, kinh doanh, buôn bán cho thuê đều rất ok.Sổ đỏ chính chủ.Giá bán nhanh 117 Tỷ có bớt.Mời LH 0824 616 *** ",180 m²,117 tỷ,11.5 m,2 tầng,06/12/2022,13/12/2022,Tin thường,35879925,batdongsan_com_vn_35879925,,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Hà']","
Vị trí: Sau nhà mặt phố Thái Hà, đường trước nhà ô tô tránh dừng đỗ ngày đêm, vỉa hè tôn thêm vị trí căn nhà.Thuộc khu phân lô cán bộ dân trí cao, an ninh tốt.Ngay gần ngã tư Tây Sơn Thái Hà.. Các trường ĐH lớn Công Đoàn, Thuỷ Lợi, Ngân Hàng... Sinh viên đông đúc kinh doanh, ở đều đẹp.Nhà xây 4 tầng cực kỳ chắc chắn, lên thêm tầng thoải mái.Tầng 1: Phòng khách, bếp phòng ăn, phụ.Tầng 2; 3: Mỗi tầng 2 ngủ rộng + 2 WC.Tầng 4: Phòng thờ. Sân phơi.Sổ đỏ pháp lý sạch.Liên hệ em Hưng để xem nhà trực tiếp 24/24.Cảm ơn anh chị đã quan tâm!            ",60 m²,11 tỷ,4.2 m,4 tầng,01/12/2022,08/12/2022,Tin thường,35926836,batdongsan_com_vn_35926836,7 m,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Hoàng Văn Thái']","
Vị trí: Nhà đẹp ngõ thông ô tô đỗ cửa vào nhà, kinh doanh tấp nập.Bán kính 1km Ngã Tư Sở, Royal City, Vành đai 2 Trường Chinh đầy đủ tiện ích.Nhà xây chắc chắn thoáng trước và sau.Gia chủ thiện chí để lại 90% nội thất trong nhà.Chủ mới chỉ xác valy về ở đón tết.Sàn gỗ các tầng trên, cầu thang lát gỗ Lim cực đẹp và chắc chắn, càng đi càng bóng.Thiết kế:Tầng 1: Thoáng trước sau, khách, bếp, vs, cầu thang giữa.Tầng 2: 1 khách, 1 ngủ khép kín.Tầng 3: 2 ngủ, 1 vs giữa.Tầng 4: Phòng thờ, 1 ngủ, vs giữa, sân phơi để máy giặt.Tầng 5: Tum.Sổ đỏ chính chủ, nở hậu.-------------------------Cam kết thông tin tài sản chuẩn 100%.(Nói không với thông tin ảo).Tư vấn trực tiếp, hỗ trợ nhiệt tình xem nhà 24/24.Để có được ngôi nhà lý tưởng quý khách hãy Gọi ngay hoặc Zalo: Quang Hưng 0975 229 ***Cảm ơn quý khách đã quan tâm.Trân trọng!            ",88 m²,10.4 tỷ,4 m,5 tầng,05/12/2022,12/12/2022,Tin thường,36032209,batdongsan_com_vn_36032209,5 m,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Bằng Liệt', 'Dự án Hà Nội Melody Residences']","
Melody Residences Căn hộ cao cấp của tập đoàn Hưng Thịnh Không thể bỏ lỡ bởi những lý do sau:Vị trí đắc địa: KĐT Tây Nam Linh Đàm, 4 mặt tiền đường kết nối thuận tiện.Chủ đầu tư uy tín: Hưng Thịnh Land với hơn 20 năm kinh nghiệm phát triển BĐS.Pháp lý minh bạch: Sổ đỏ lâu dài.Tiện ích đẳng cấp: 3 tầng hầm liên thông đáp ứng đủ chỗ để xe cho cư dân, bể bơi, TTTM, khu vui chơi, trường mầm non, khu thể thao, spa, gym.Đặc biệt là chính sách ưu đãi cực khủng chỉ có trong tháng 12: CK lên đến 33% - CSBH siêu to khổng lồ chỉ có tại Melody Linh Đàm.Chiết khấu cực lớn chung cư Melody Linh Đàm giảm 33% GTCH chỉ trong tháng 12 này.Căn 2 phòng ngủ DT 68m² giá gốc 3,2 tỷ còn 2,3 tỷ.Căn 2 phòng ngủ DT 87m² giá gốc 4,1 tỷ còn 2,9 tỷ.Căn 3 phòng ngủ DT 94m² giá gốc 4,5 tỷ còn 3.2 tỷ.Căn 3 phòng ngủ DT 128m² giá gốc 6.5 tỷ còn 4.5 tỷ.Khi khách hàng mua với giá được chiết khấu nhưng khi nhận nhà giá trị căn hộ vẫn trọn vẹn.Bạn còn chần chừ gì nữa liên hệ ngay: T. Anh 0825 606 ***Để sở hữu ngay 1 căn cho mình.            ",94 m²,3.2 tỷ,,,06/12/2022,16/12/2022,Tin thường,36038947,batdongsan_com_vn_36038947,,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,Đông - Nam,Đông - Nam
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Phố Ngọc Khánh', 'Dự án 15-17 Ngọc Khánh']","
Cần bán căn hộ chung cư tòa nhà 15 - 17 Ngọc Khánh, quận Ba Đình.Diện tích căn hộ 125m², thiết kế 3 phòng ngủ 2 wc, 1 ban công rộng 1 logia. Nhà đã sửa chữa nội thất gỗ hương, tủ bếp gỗ thịt còn mới. Sử dụng được ngay, tặng lại toàn bộ nội thất.Sổ đỏ chính chủ.Giá 5.19 tỷ có thương lượng với người có nhu cầu mua, miễn môi giới.Liên hệ 0824 616 *** ",125 m²,5.19 tỷ,,,06/12/2022,13/12/2022,Tin thường,35499177,batdongsan_com_vn_35499177,,3 phòng,,Sổ đỏ,,,
"['Hà Nội', 'Gia Lâm', 'Xã Lệ Chi']","
- Diện tích 87.3m².- Mặt tiền hậu = 6m.- Hướng Đông Bắc, đường trước rộng 6m ô tô vào tận đất.- Khổ đất vuông đẹp, đường rộng ô tô ra vào thoải mái, đất cách chợ Chi Đông 200m, cách trường học các cấp 700m, cách đường đê đang làm thông về Long Biên 500m, xung quanh đông dân, hàng xóm thân thiện, không khí trong lành, thích hợp mua ở hoặc đầu tư chờ Gia Lâm lên Quận năm 2023...- Pháp lý: Sổ đỏ chính chủ, không cầm cố, sẵn sàng công chứng, hỗ trợ vay bank.            ",87.3 m²,38 triệu/m²,6 m,,06/12/2022,13/12/2022,Tin thường,30757798,batdongsan_com_vn_30757798,6 m,,,Sổ đỏ chính chủ,,Đông - Bắc,
"['Hà Nội', 'Đống Đa', 'Phường Thịnh Quang', 'Đường Yên Lãng']","
Vị trí: Khu vực lõi quận Đống Đa.Tiếp giáp các phố Thái Thịnh, Thái Hà, Láng, Tây Sơn, Ngã Tư Sở...Tập trung văn phòng dân cư đông đúc.Gần bãi gửi xe ô tô, trường học C1, C2, C3...Cách nhà 30m có quy hoạch mở đường 12m.Tương lai sáng ngời.Nhà lô góc nên từ tầng 2 diện tích sàn là 38m².Thiết kế: Tầng 1 kinh doanh spa, nail, salon tóc... Cực đẹp.Tổng có 6 phòng ở kết hợp cho thuê.Dòng tiền 35tr/tháng.Sổ đỏ đẹp khỏi chê.Liên hệ xem nhà / hoàn toàn.Cảm ơn anh chị đã quan tâm!            ",32 m²,6.3 tỷ,5 m,5 tầng,05/12/2022,12/12/2022,Tin thường,35825822,batdongsan_com_vn_35825822,3 m,6 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Trần Hưng Đạo', 'Đường Trần Hưng Đạo']","
Trần Hưng Đạo, Hoàn Kiếm.- Diện tích mặt bằng: 450m², đã hoàn công đầy đủ. Có PCCC.- Thiết kế 2 thang máy, 2 thang bộ, 1 thang thoát hiểm ngoài trời.- Mặt tiền: 11m. Sàn thông, tiện làm trụ sở công ty, tập đoàn...- Giá bán: 460 tỷ. LH: 0824 616 *** ",450 m²,460 tỷ,,15 tầng,06/12/2022,13/12/2022,Tin thường,35434797,batdongsan_com_vn_35434797,,,,,,,
"['Hà Nội', 'Gia Lâm', 'Xã Lệ Chi']","
- Diện tích 76.5m², mặt tiền 4.5m.- Đường trước ô tô chạy thông xung quanh.- Gần cơ quan hành chính xã Lệ Chi, gần chợ, gần trường học các cấp, bên cạnh đó là khu công nghiệp công nhân đông đúc.- Tiềm năng tăng giá cực cao vì lượng sinh viên đông đúc của 2 trường đại học công nghiệp dệt may, học viện tòa án nhân dân bên cạnh!- Giao thông thuận tiện kết nối đường Tỉnh Lộ 179 Hà Nội Bắc Ninh.- An ninh đảm bảo, hàng xóm thân thiện hài hòa.- Sổ đỏ chính chủ, sang tên nhanh.            ",76.5 m²,34 triệu/m²,4.5 m,,06/12/2022,13/12/2022,Tin thường,35616474,batdongsan_com_vn_35616474,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Dự án Văn Khê']","
Ngân hàng siết tín dụng chủ tháo lk kđt Văn Khê 88m² 4 tầng lô góc - kinh doanh 2 mặt tiền chỉ 9,5 tỷ.Vị trí trung tâm KĐT Văn Khê - giao thông kết nối - kinh doanh.Mô tả: Khu đô thị mới Văn Khê đang phát triển mạnh, với hạ tầng thiết kế hiện đại kết nối các khu vực trung tâm của Hà Đông - tương lai tăng giá rất nhanh.- Nhà nằm trong trung tâm khu đô thị mới Văn Khê, gần ngay 2 trục chính đường đôi thông sang Vạn Phúc - Giao thông kết nối các khu vực dễ dàng, đầy đủ mọi tiện ích: Trường học, siêu thị Aone Hà Đông, công viên Thiên Văn Học, chợ dân sinh...Thiết Kế: Hiện Trạng nhà 4 tầng thô - chủ mới về tự hoàn thiện - Hiện tại chủ đang cho thuê làm kho.- Nhà thích hợp vừa ở vừa kinh doanh.- Sổ đỏ phân lô - vuông đét.Sổ đỏ chính chủ - giao dịch ngay.Liên hệ để được tư vấn và xem nhà ngay.            ",88 m²,9.5 tỷ,5 m,4 tầng,06/12/2022,13/12/2022,Tin thường,35752845,batdongsan_com_vn_35752845,15 m,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
