address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Mặt tiền,Đường vào,Số tầng,Nội thất,Hướng nhà
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Lý Thánh Tông', 'Dự án The Zenpark']","
- Chủ nhà gửi bán gấp chung cư Vinhomes Ocean Park căn tầng 15. Toà R1.05 - DT 86m² x 2 ngủ +. 2 VS. Giá 3.5 tỷ full đồ (3,6 tỷ bao phí).+ Toà nhà R1.05 khu Ruby tầng 15 hoa hậu nằm trong 4 toà vip nhất Vinhomes Ocean Park.+ Căn góc, căn 2 ban công thoáng, 2 ngủ + 1.+ Diện tích 90m² view vườn Nhật Bản, hồ cá Koi, Tùng La Hán. Mỗi sàn duy nhất 4 căn góc.+ Pháp lý sổ đỏ sẵn sàng sang tên.+ Liên hệ: 0348 152 *** ",86 m²,3.6 tỷ,2 phòng,2 phòng,02/12/2022,09/12/2022,Tin thường,36009616,batdongsan_com_vn_36009616,,,,,,
"['Hà Nội', 'Sóc Sơn', 'Xã Đông Xuân', 'Đường 16']","
(Hàng hiếm) bán trục chính 65.3m² tại thôn làng - Đông Xuân - Sóc Sơn - Hà Nội, đường 5m ngõ thông.- Diện tích 65.3m² (full đất ở, sổ sách an toàn).- Mặt tiền rộng phù hợp kinh doanh.- Đường oto vào đất thoải mái.* Đi 1 bước Vô Vàn tiện ích.- Cách 100m ra Tỉnh Lộ DT286.- Gần đất có sân chơi rộng và nhà văn hóa Thôn.- Lô đất có thể kinh doanh dịch vụ: Tạp hóa, văn phòng phẩm...- Phù hợp để ở và đầu tư lâu dài. Giá chỉ 16 triệu/m².            ",65.3 m²,16 triệu/m²,,,01/12/2022,08/12/2022,Tin thường,35848116,batdongsan_com_vn_35848116,Sổ đỏ/ Sổ hồng,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Hạ Đình', 'Phố Hạ Đình']","
- Vị trí đắc địa, nhà 1 mặt phố, 1 mặt ngõ ô tô tránh, vỉa hè đá bóng, view hồ Hạ Đình, bãi gửi xe đối diện nhà, kinh doanh sầm uất, hoặc xây tòa văn phòng thì hết ý.- Diện tích: 105m² 4 tầng, mặt tiền siêu rộng, đẹp nhất khu, khách mua về có thể kinh doanh ngay, không thể tìm được căn thứ 2.- Tiện ích xung quanh bạt ngàn, bán kính 50m là trường học các cấp, chợ, bãi gữi xe, hồ điều hòa, 200m là ra chợ Kim Giang, Trường Cao Đẳng Y... Cách Ngã Tư Sở chỉ vài phút.- Giao thông thuận tiện, dễ dàng di chuyển sang Nguyễn Trãi, Kim Giang, Vũ Tông Phan, Khương Đình, Nguyễn Xiển...- Sổ đỏ vuông vắn, sẵn sàng giao dịch.- Giá: 26 tỷ (thương lượng).- Liên hệ em Trung chuyên nhà mặt phố để được tư vấn, hỗ trợ miễn phí 100%.            ",105 m²,26 tỷ,4 phòng,,03/12/2022,10/12/2022,Tin thường,35956361,batdongsan_com_vn_35956361,Sổ đỏ/ Sổ hồng,6 m,12 m,5 tầng,,
"['Hà Nội', 'Thanh Trì', 'Xã Tả Thanh Oai', 'Đường Tả Thanh Oai', 'Ngõ 33']","
Cc bán nhà Tả Thanh Oai cách oto tránh 20m: DT 37m², 4 tầng, 4 ngủ giá 2.8 tỷ LH: 0396 969 *** c Dự miễn MG.- Nằm ngay trục đường chính tả thanh oai, gần trường kinh tế, chợ. Trường mầm non, C1, C2, C3 Ngô thì Nhậm giao thông thuận tiện.- Thông tin nhà như sau:- Tầng 1: Khách + bếp và wc.- Tầng 2,3: gồm 4 ngủ và wc.- Tầng 4: Phòng thờ và sân phơi thoáng mát.* Sổ đỏ chín chủ, pháp lý chuẩn.* Có hôc trợ ngân hàng tuyệt đối.- Lh: 0396 969 *** C Dự miễn mg.            ",37 m²,2.8 tỷ,4 phòng,4 phòng,06/12/2022,13/12/2022,Tin thường,35353100,batdongsan_com_vn_35353100,Sổ đỏ chính chủ pháp lý chuẩn,,3 m,4 tầng,Nội thất cơ bản chỉ việc sách valy về ở luôn,
"['Hà Nội', 'Quốc Oai', 'Xã Đông Yên', 'Thôn Yên Thái']","
Bán đấu giá thửa đất số 141.1, TBĐ 43, diện tích 164,1 m² BĐS tại thôn Yên Thái, xã Đông Yên, Quốc Oai, Hà Nội.- Hiện trạng đất trống. BĐS khá vuông vắn, mặt tiền 8.09m, mặt hậu 6.82m. Kích thước cạnh phải 22,47m và cạnh trái là 21.59m.- Đường trước BĐS rộng 3m. Cách đường Hòa Thạch 425m. Cách UBND xã Đông Yên 968m. Thích hợp để ở.- Pháp lý: Sổ đỏ.- Liên hệ hotline để được tư vấn.            ",164.1 m²,893 triệu,,,30/11/2022,10/12/2022,Tin thường,35994080,batdongsan_com_vn_35994080,Sổ đỏ/ Sổ hồng,8.09 m,3 m,,,Đông - Bắc
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung']","
Siêu phẩm - mặt phố Quang Trung - vị trí đắc địa - mặt tiền siêu khủng - đẹp ko tỳ vết với 175m² cho thuê tạm 5 năm. Nhẹ nhàng thu 720tr / 1 năm sinh hoạt tạm. Khách có thể tiếp tục hợp đồng hoặc đập đi xây lại thì hết nước chấm luôn. Dt 175m² với 3 sàn thông kd mà giá chỉ có 32 tỷ thương lượng thoải mái: Lh: 0973 733 *** c dự miễn tg.+ Sổ đỏ chính chủ, pháp lý sạch.+ Có hỗ ngân hàng lên đến 80%.+ Làm việc chính chủ: 0973 733 *** C Dự.            ",175 m²,32 tỷ,,,06/12/2022,15/12/2022,Tin thường,34974243,batdongsan_com_vn_34974243,"Sổ đỏ chính chủ, pháp lý chuẩn.",8 m,18 m,,,
"['Hà Nội', 'Đông Anh', 'Xã Hải Bối', 'Đường Hải Bối']","
Cần tiền bán nhanh mảnh đất 100m² tại thôn Đồng Nhân - Xã Hải Bối Đông Anh HN.- Diện tích 100m².- MT=MH 6m dài 16.7 m khổ đất vuông nhưng tờ A4.- Đường trước đất rộng hơn 5m ô tô tránh nhau.- Ngõ thông.- Sát với khu thành phố Thông Minh đang xây dựng.- 20m là khu chung tâm dậy tiếng Nhật Hoa Anh Đào.- Cách 200m là Cầu Nhật Tân và KCN Bắc Thăng Long.- 700 m là cầu Nhật Tân.- 3 Km là sân bay Nội Bài.- Mảnh đất quá đẹp để sinh lời ngay.- Anh chị quan tâm LH 0963 834 *** để đi xem đất.            ",100 m²,58 triệu/m²,,,01/12/2022,08/12/2022,Tin thường,35998140,batdongsan_com_vn_35998140,Sổ đỏ,6 m,6 m,,,
"['Hà Nội', 'Đông Anh', 'Xã Bắc Hồng', 'Thôn Mỹ Nội']","
Bán đấu giá BĐS tại thửa đất số 303, TBĐ số 83, diện tích 297m² tại thôn Mỹ Nội, xã Bắc Hồng, Đông Anh, Hà Nội.- BĐS khá vuông vắn, mặt tiền rộng 12.98m, mặt hậu rộng 11.05m. Kích thước cạnh trái 24.95m và cạnh phải 13.2m.- Đường rộng 2m, cách nhà văn hóa thôn Mỹ Nội 390m, cách QL23 khoảng 1,27km.- Pháp lý: Sổ đỏ.- Liên hệ hotline để được tư vấn.            ",297 m²,3.389 tỷ,,,30/11/2022,10/12/2022,Tin thường,35993706,batdongsan_com_vn_35993706,Sổ đỏ/ Sổ hồng,12.98 m,2 m,,,Nam
"['Hà Nội', 'Đông Anh', 'Xã Bắc Hồng', 'Đường Bắc Hồng', 'Phù Liễn']","
(Hàng hiếm) bán 42m² tại Phù Liễn - Bắc Hồng - Đông Anh - Hà Nội, đường thông, giá 1 tỷ 030tr.- Mặt tiền: 4.06m vuông vắn.- Đường thông đẹp.- Tiện ích:+ Bán kính 1km full tiện ích điện trường trạm chợ...+ Cách đường Võ Văn Kiệt 2km.+ Cách KCN Quang Minh 2,5km.+ Cách đường Võ Nguyên Giáp 2km.Cùng vô vàn tiện ích khác xung quanh, là nơi đang để sống và đầu tư sinh lời.- Sổ đỏ chính chủ sẵn sàng giao dịch bất cứ lúc nào.            ",42 m²,24.5 triệu/m²,,,05/12/2022,12/12/2022,Tin thường,36034816,batdongsan_com_vn_36034816,Sổ đỏ/ Sổ hồng,,3 m,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', '79 Đường Ngọc Hồi', 'Dự án Rose Town']","
Căn hộ 4PN DT 127m² chung cư Tecco Garden.- Hướng: Đông Nam view công viên cây xanh mát mẻ cực đẹp.- Logia phòng ngủ hướng Đông Nam - logia bếp hướng Tây Nam.* Nhà mới nguyên. Sổ đỏ. Thiết kế hợp lý, 4 ngủ, 3VS, 2 logia: Logia phòng ngủ hướng ĐN, logia phòng bếp hướng Tây Nam, tất cả phòng ngủ đều có cửa sổ rộng đón ánh sáng và gió tự nhiên.* Bàn giao thiết bị cơ bản bao gồm: Sàn, trần, tường sơn lót + sơn chống thấm + sơn bả, full thiết bị vệ sinh cao cấp.* Mật độ 8 căn hộ/sàn, 4 thang máy.* Một hầm để xe, 2 sàn thương mại.* Chính sách cực hot:- Thanh toán sớm 70% CK 5%.- Thanh toán sớm 100% CK 8%.- Khách hàng mua vay, Ngân hàng cho vay 65%, miễn lãi gốc 18 tháng.Khách thiện chí Nhắn tin hoặc LH trực tiếp: 0982 677 ***/0915 070 *** Em Quyết.Xin cám ơn!            ",127 m²,Thỏa thuận,4 phòng,3 phòng,01/12/2022,08/12/2022,Tin thường,35934520,batdongsan_com_vn_35934520,Sổ đỏ/ Sổ hồng,,,,"Sàn, trần, tường sơn lót + sơn chống thấm + sơn bả, full thiết bị vệ sinh cao cấp.",
