address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Pháp lý,Nội thất,Hướng ban công
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hào Nam', 'Ngõ 168']","
Bán nhà 5 tầng căn góc, khu phân lô Quân Đội ngõ 168 Hào Nam.+ Vị trí trung tâm đắc địa ngõ ngắn gần sát mặt phố, đường rộng oto tránh nhau, gần ga tàu điện trung tâm Cát Linh, rất thuận tiện di chuyển khắp thủ đô.+ DT 50m² MT 4m vuông vắn lô góc 2 mặt thoáng mở cửa sổ thoải mái.+ Nhà xây khung cột bê tông kiên cố thiết kế mỗi tầng 2PN 1WC, tầng 1 là gara oto và bếp, nhà rất nhiều ánh sáng đón gió thoáng mát. Trang bị đầy đủ trang thiết bị nội thất.+ Khu dân trí cao toàn cán bộ công chức, ngõ sáng thoáng, khang trang, sạch sẽ và yên tĩnh, rất phù hợp để ở, làm văn phòng, căn hộ dịch vụ, Homstay...+ Chủ nhà dân trí thức và đàng hoàng, SĐCC giá 8,95 tỷ có thương lượng, Không kết hợp với Trung Gian và văn phòng.            ",50 m²,8.95 tỷ,4 m,6 m,5 tầng,6 phòng,5 phòng,06/12/2022,13/12/2022,Tin thường,30562480,batdongsan_com_vn_30562480,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch', 'Đường 32', 'Thôn Ải']","
Chính chủ cần bán gấp 46 m² đất thổ cư thôn Ải, xã Di Trạch, Hoài Đức.Mặt tiền rộng 4 m, hướng Đông Nam.Vị trí đẹp, trục chính thôn Ải, xã Di Trạch, gần trường mầm non.Gần đường Vành Đai 3.5, gần khu đô thị Vân Canh, Hinode Royal Park.Kinh doanh tạp hóa, hiệu thuốc cực tốt.Sổ đỏ đầy đủ, giá 6x tr/m².Anh chị quan tâm liên hệ 0988 030 *** để được tư vấn miễn phí.            ",46 m²,Thỏa thuận,4 m,6 m,,,,06/12/2022,13/12/2022,Tin thường,35973598,batdongsan_com_vn_35973598,Đông - Nam,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch']","
Cần bán gấp 3 lô đất cạnh nhau tại xã Di Trạch, huyện Hoài Đức.Diện tích mỗi lô 38 m², 39 m², ngõ rộng 2 m, cách đường ô tô 10 m.Cách đường 422 đi Vân Canh khoảng 100 m.Vị trí đẹp, gần đường Vành Đai 3.5, gần đường Trịnh Văn Bô kéo dài.Thửa đất vuông vắn, mặt tiền rộng 3.35 m, hướng Đông Nam.Sổ đỏ riêng biệt, sẵn sàng giao dịch, ký công chứng chuyển nhượng.Anh chị quan tâm liên hệ 0988 030 *** để được tư vấn miễn phí.            ",38 m²,Thỏa thuận,3.35 m,2 m,,,,06/12/2022,13/12/2022,Tin thường,35974436,batdongsan_com_vn_35974436,Đông - Nam,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Gia Lâm', 'Xã Đa Tốn', 'Đường Quốc Lộ 5B', 'Dự án Masteri Water Front']","
Mở bán dự án Masteri Waterfront View Hồ cuối cùng của Vinhome Ocean Park Gia Lâm Hà Nội.Chủ đầu tư: Masteries Homes - Masteries Group.Vị trí: Sát Hồ điều hòa 24,5ha đô thị Vinhomes Ocean Park, Gia Lâm, Hà Nội.----------------------------------Tháng 12/ 2022: Cực nhiều ưu đãi:Miễn phí dịch vụ 3 năm.Chiết khấu thanh toán sớm lên tới 11,2%.Hỗ trợ vay vốn 80% GTCH, lãi suất 0%, ân hạn gốc đến 31/5/2024.Quy mô: Chia thành 2 phân khu Miami và Hawaii gồm 6 tòa tháp cao từ 26 - 38 tầng.Dự kiến thời gian bàn giao: Quý II/2023.Hình thức sở hữu: Vĩnh viễn.----------------------------------Cơ cấu sản phẩm:Căn hộ studio: Diện tích từ 25,4m - 35.1 m.Căn hộ 1 PN +: Diện tích từ 41.2m - 48.1m.Căn hộ 2PN: Diện tích từ 54.2m - 62.8m.Căn hộ 2PN + : Diện tích từ 63.3m - 65.0m.Căn hộ 3 PN: Diện tích từ 74.6 m - 79.80 m.Căn hộ ghép: Diện tích từ 113.52 m - 148.97 m.-----------------------------------Tiêu chuẩn bàn giao:Bàn giao full Khu bếp nội thất cáo cấp Hafele (hệ tủ, bếp từ, hút mùi, bồn rửa, lò nướng).Căn hộ thiết kế full kính Low - e từ trần tới sàn.Sàn gỗ cao cấp các phòng.Khóa Hafele thông minh tích hợp cảm biến báo cháy.Thiết bị vệ sinh cao cấp của Kohler.Điều hòa Daikin.Hệ thống tiến ích trong nhà và ngoài trời riêng biệt do Belt collíns thiết kế - Quý Khách hãy đến và cảm nhận.Hotline tham quan nhà mẫu và báo giá: 0902 121 *** ",32 m²,54 triệu/m²,,,,,,06/12/2022,13/12/2022,Tin thường,36039117,batdongsan_com_vn_36039117,,Hợp đồng mua bán.,Đầy đủ.,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City']","
Bán nhanh căn 3PN Times City - Giá 5.1 tỷ tại Times City.- Diện tích: 103m², thiết kế 3PN sáng, 2 vệ sinh, căn hộ thuộc tầng cao, view vô cùng thoáng đẹp.- Nội thất nguyên bản chủ đầu tư, sổ đỏ sẵn sàng giao dịch.- Liên hệ em Huyền: 0901 793 ***call/zalo/viber/imess).            ",103 m²,5.1 tỷ,,,,3 phòng,2 phòng,06/12/2022,13/12/2022,Tin thường,33770344,batdongsan_com_vn_33770344,Đông,Sổ đỏ/ Sổ hồng,,Đông
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu', 'Ngõ 16']","
- Bán nhà 4 tầng khu phân lô ngõ 16 Hoàng Cầu.+ Ngõ nông, thông với phố Nguyễn Phúc Lai.+ Mấy bước chân ra mặt đường Vành đai 1 Xã Đàn - Voi Phục Kim Mã.+ Ngõ nông thoáng, sáng đẹp rộng 2 xe máy tránh nhau, cách đường ô tô tránh nhau 20m.+ Quy hoạch ổn định.- DT sổ đỏ 43 m² MT 4m đất vuông vắn, hai mặt thoáng trước sau mở cửa sổ thoải mái.+ Nhà xây khung cột bê tông kiên cố chắc chắn.+ Thiết kế và bố trí hài hoà hợp lý.+ Tầng 1 bếp và phòng khách.+ Tẫn 2,3 là 2pn 1wc.+ Tầng 4 là phòng thờ sân phơi.+ Tất cả các phòng ngủ và bếp đều có cửa sổ ban công.+ Trang bị đầy đủ nội thất, toàn đồ tốt xịn.- Vị trí trung tâm đắc địa, đi bộ ít bước chân ra hồ Hoàng Cầu, bể bơi Tân Hoàng Minh, rạp chiếu phim, công viên, siêu thị, chợ, ga tầu điện.+ Cách bãi gửi xe ô tô chưa đầy 100m, các trường đại học Văn Hoá, Mỹ Thuật, Nhạc Viện...- Khu dân trí cao, an ninh rất tốt, khu đáng sống nhất, lõi quận Đống Đa.+ Cơ hội tăng giá X2 khi tuyến đường Vành đai 1 hoàn thành.- Nay gia chủ cần tiền giải quyết việc làm ăn đầu năm cần bán gấp nhỉnh 5 tỷ SĐCC không kết hợp với trung gian và văn phòng.            ",43 m²,Thỏa thuận,4 m,2 m,4 tầng,4 phòng,3 phòng,06/12/2022,13/12/2022,Tin thường,34350689,batdongsan_com_vn_34350689,,Sổ đỏ chính chủ.,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City - Park Hill']","
Hàng hiếm Park Hill - căn 80 m², giá 4. X tỷ.Thiết kế 2PN sáng, 2 vệ sinh,Tầng trung đẹp thoáng.Liên hệ em đi xem căn hộ: 0901 793 ***call/zalo/viber/imessage).            ",80 m²,Thỏa thuận,,,,2 phòng,2 phòng,06/12/2022,13/12/2022,Tin thường,31683687,batdongsan_com_vn_31683687,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Nguyễn Tuân', '190']","
Bán gấp CHCC 190 Nguyễn Tuân DT: 95M2,2PN, 2VS, nhà đẹp full đồ, giá hợp lý: 3, x Tỷ, lh: 0889 946 ***DT: 95m² - LH: 0889 946 ***Thiết kế 2PN, 2VS, phòng khách thoáng, ánh sáng tự nhiên, nhà đẹp full đồ ở ngay.Pháp lý: Sổ đỏ chính chủ.Giá: 3,2 tỷ (có tl).LH: 0889 946 ***call, zalo).            ",95 m²,3.2 tỷ,,,,2 phòng,2 phòng,05/12/2022,15/12/2022,Tin thường,36036062,batdongsan_com_vn_36036062,Đông - Nam,Sổ đỏ/ Sổ hồng,,Tây - Nam
"['Hà Nội', 'Đống Đa', 'Phường Phương Liên', 'Phố Kim Hoa']","
- Nhà 5 tầng mấy bước chân ra mặt phố Kim Hoa, cách mặt phố đúng 3 nhà.+ Vị trí đẹp ngay đầu Xã Đàn - Kim Liên, đi bộ ít bước chân ra hồ Ba Mẫu và công viên Thống Nhất.+ Ngõ rộng 3m xe ba gác vào tận cửa, ngõ rất sáng thoáng sạch và văn minh.- DT 110m², MT 6,5m nở hậu, hai mặt thoáng trước sau đều mở cửa sổ ban công thoải mái.+ Nhà xây khung cột bê tông kiên cố, móng ép cọc bê tông.+ Gia chủ xây để vừa ở vừa cho thuê lấy lương hưu tuổi già nên xây rất chắc chắn cẩn thận nhiều tâm huyết.+ Thiết kế và bố trí rất hài hoà và hợp lý.+ Có giếng trời và hố chờ sẵn theo tiêu chuẩn để lắp thang máy.+ Tầng 1 là phần bên ngoài để xe máy bên trong là bếp và phòng khách của gia chủ, khách thuê có lối đi riêng.+ Tầng 2,3,4 là mỗi tầng 4pn và 2wc.+ Tầng 5 có 2 phòng ngủ và 2wc khép kín, có sắt chờ sẵn nên được 2 tầng nữa thoải mái.+ Hiện đang vừa ở vừa cho thuê căn hộ dòng tiền rất ổn định.+ Khi cần tuỳ theo mục đích sử dụng dễ chuyển đổi công năng ngăn chia lại phòng mỗi tầng thành 2 đến 3 căn hộ riêng biệt độc lập khép kín rất dễ.+ Tất cả các phòng đều có cửa sổ ban công phơi giặt.+ Trang bị đầy đủ trang thiết bị nội thất.+ Hệ thống điện nước, internet đi rất bài bản, chất lượng cao theo quy luật của toà nhà căn hộ dịch vụ.- Khách mua về nâng cấp lắp thang máy thành toà nhà cao cấp cho thuê dòng tiền rất tốt.+ Vị trí đẹp, trung tâm đắc địa khu lõi, giao thông vô cùng thuận lợi giao thương toàn tuyến phố lớn như Xã Đàn, Đại Cồ Việt Giải Phóng, Lê Duẩn.+ Xung quanh hội tụ đầy đủ, vô vàn các tiện ích công cộng chất lượng cao về Y Tế - Giáo Dục bậc nhất Thủ Đô.+ Đi bộ ít bước chân tới Trường Bách - Kinh - Xây - Mở và hệ thống bệnh viện tuyến Trung Ương Bạch - Tai - Việt Pháp - Da Liễu, Lão Khoa.+ Xung quanh toàn công viên cây xanh hồ nên không khí rất trong lành, thoáng mát, gần ga tàu điện Ga Hàng Cỏ đi Ngọc Hồi chuẩn bị khởi công.+ Khu dân trí cao an ninh cực tốt, khu tập trung nhiều, giáo viên, giảng viên bác sĩ, giáo sư, tiến sỹ sinh sống.- Nay gia chủ cần tiền cho con trai đáo hạn ngân hàng nên bán giá nhỉnh 11 tỷ.+ Giá cực hấp dẫn cho các nhà đầu tư sửa lại bán lướt và khách mua cho thuê tiếp làm lương hưu.+ Sđcc pháp lý sạch sẵn sàng giao dịch.            ",110 m²,11 tỷ,6.5 m,3 m,5 tầng,14 phòng,9 phòng,06/12/2022,13/12/2022,Tin thường,35451776,batdongsan_com_vn_35451776,,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Dự án KĐT Linh Đàm']","
(Sửa lại 3 phòng cửa sổ 2m cực thoáng mát) view công viên yên tĩnh. Căn hộ 78m² CT4 Bắc Linh Đàm. Trước kia gia đình mua đã phải nhờ ban quản lý để đập 3 cửa sổ, mỗi cửa hơn 2m dài rộng, vì vợ thích thoáng và nhìn thấy nhiều cây xanh. Vợ theo phật, nên ai mua nhà mong hữu duyên.- Diện tích: 78m² - SĐCC.- Thiết kế: 2 ngủ, 1WC.- Hướng: Cửa Nam, ban công Bắc.- Nội thất: Sàn gỗ, trần thạch cao, nóng lạnh, điều hòa, tủ bếp, đồ gắn tường, bếp, tivi, tủ lạnh, bể cá to, giường tủ bàn phấn,...- Giá: 1.9 tỷ bao sang tên.Liên hệ 0982 475 *** ",78 m²,1.9 tỷ,,,,2 phòng,2 phòng,06/12/2022,13/12/2022,Tin thường,36041081,batdongsan_com_vn_36041081,Nam,Sổ đỏ/ Sổ hồng,,Bắc
