address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Nguyễn Đức Cảnh']","
- Chỉ 7 tỷ cơ hội cực sốc để đầu tư nhà mặt phố - Khách ơi nhanh tay bốc máy gọi! Chậm là hết.- Bán nhà 2 tầng tại mặt phố Nguyễn Đức Cảnh mấy bước chân ra Hồ Đền Lừ.+ Vị trí đẹp, trung tâm đẹp nhất phố.+ Thuộc đoạn đường to thoáng nhất của phố.- Khổ đất đẹp như hoa hậu, DT 46m² MT 4,6m vuông như cái bánh chưng.+ Nhà 2 tầng nhưng vẫn sử dụng ngon lành điện nước đầy đủ.+ Hiện đang cho thuê hơn 15tr/th.- Khu trung tâm lõi của quận Hoàng Mai.+ Đi lại vô cùng thuận lợi kết nối toàn khu đô thị lớn.+ Xung quanh hội tụ đầy đủ các tiện ích cao cấp, như Hồ, công viên, bể bơi, sân bóng...- Phố kinh doanh đông vui tấp nập ngày đêm.+ Khách mua về xây cao tầng lên cho thuê hái ra tiền.+ Thuộc khổ đất đẹp tầm tiền phân khúc tài chính thanh khoản nhanh.+ Đầu tư bán lướt cực hợp lý.- Nay gia chủ cần tiền giải quyết việc gia đình cần bán gấp giá cực sốc và hấp dẫn đầu tư 7tỷ.+ Sổ đỏ chính chủ, pháp lý sạch sẵn sàng giao dịch.            ",46 m²,7 tỷ,4.6 m,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,34825863,batdongsan_com_vn_34825863,,,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Bài', 'Đường Trần Hưng Đạo']","
Chuyển đổi mục đích nên gia đình cần bán căn nhà tại phố Trần Hưng Đạo, Q. Hoàn Kiếm, Hà Nội.Diện tích 100m² xây 9 tầng thang máy hiện đại đang khai thác kinh doanh khách sạn với dòng tiền 1.2 tỷ/năm.Đường trước nhà rộng, ô tô vào nhà thoải mái, nhà cách mặt phố 20m rất thuận tiện đi lại.Các tuyến đường xung quanh: Lý Thường Kiệt, Lê Duẩn, Phan Bội Châu, Hai Bà Trưng, Tràng Thi, Phố Huế, Hàng Bài, Bà Triệu, Ngô Quyền, Phan Chu Trinh.+ Pháp lý: Sổ đỏ chính chủ, giao dịch nhanh chóng.+ Giá bán: Thoả thuận.Khách hàng thiện chí liên hệ ngay: Mr Vương 0336 236 *** để xem nhà và gặp trực tiếp chủ nhà làm việc.Đạo đức tận tâm hiệu quả.            ",100 m²,25 tỷ,7 m,9 tầng,16 phòng,,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36040477,batdongsan_com_vn_36040477,6 m,Đầy đủ,,
"['Hà Nội', 'Ba Đình', 'Phường Thành Công', '16 Phố Láng Hạ', 'Dự án BRG Grand Plaza']","
Ra hàng quỹ căn đẹp view thẳng hồ Thành Công dự án BRG 16 Láng Hạ, dự án siêu hiếm nằm sát cạnh hồ Thành Công, quỹ đất hiếm nội đô.+ Diện tích căn hộ:- Căn hộ 1 phòng ngủ: 55m². Giá từ 4,7 tỷ full nội thất cao cấp.- Căn hộ 2 phòng ngủ (view hồ Thành Công): 82m² - 95m² - 100m². Giá từ 7,5 tỷ gồm nội thất.- Căn hộ 3 phòng ngủ (view hồ Thành Công): 125m² - 128m². Giá từ 11,7 tỷ full nội thất.Liên hệ PKD để xem căn hộ: 0986 644 ***Ms Nhung).+ Miễn phí dịch vụ 12 tháng.+ Miễn phí 12 tháng dịch vụ Valet Parking.+ Tiến độ thanh toán:- Thanh toán nhanh 95% giá trị căn hộ: Chiết khấu 5%.- Thanh toán theo tiến độ: Chiết khấu 3%.- Vay ngân hàng Seabank: Lãi suất 0% và ân hạn nợ gốc 12 tháng.----------------------------------------------------II - Tổng quan dự án BRG 16 Láng Hạ:- Dự án có 3 toà, 1 toà ngân hàng Seabank cao 9 tầng, 1 toà văn phòng và trung tâm thương mại cao 19 tầng, 1 toà căn hộ cao 19 tầng. 3 biệt thự ven hồ Thành Công.- Tổng số căn hộ: Có 126 căn hộ, 4 tầng hầm, mỗi căn hộ có 1 chỗ để xe oto. Có 2 tầng tiện ích riêng cho cư dân là tầng hầm B1 và tầng mái.----------------------------------------------------Liên hệ phòng kinh doanh dự án để đăng ký xem căn hộ thực tế: 0986 644 *** ",55 m²,4.7 tỷ,,,1 phòng,,,06/12/2022,13/12/2022,Tin thường,35100862,batdongsan_com_vn_35100862,,Full nội thất cao cấp.,,
"['Hà Nội', 'Ba Đình', 'Phường Quán Thánh', 'Đường Quán Thánh']","
- Bán nhà khu phân lô Quán Thánh ngay đầu Phố Thanh Niên và hồ Trúc Bạch.+ Ngõ thông và thẳng tắp ra phố, ngõ thoáng sạch văn minh, ngõ xe máy tránh nhau, oto đỗ cách 10m.+ Nhà xây mới được 5 năm nên còn rất mới và đẹp ở cực sướng.- Dt sổ đỏ 31m² dt thực tế tầng 1 đã xây 38m² mt 3,5m, hai mặt thoáng trước - Sau.+ Nhà gia chủ xây để ở nên rất tâm huyết và cẩn thận.+ Xây khung cột bê tông kiên cố, thiết kế hiện đại trẻ trung.+ Tầng 1 là bếp và phòng khách.+ Tầng 2,3,4 là 1pn 1wc.+ Tầng 5 là phòng thờ sân phơi.+ Trang bị đầy đủ nội thất xịn sò nhập khẩu.- Vị trí trung tâm đắc địa phố lõi quận Ba Đình cạnh phố thơ mộng Phan Đình Phùng.+ Ngõ thoáng đẹp văn minh yên tĩnh, địa chỉ dễ tìm có thể làm văn phòng hoặc bán hàng Onlie rất tốt.+ Đi bộ ít bước chân ra Hồ Trúc Bạch và Hồ Tây thơ mộng.+ Xung quanh hội tụ đầy đủ các tiện ích dân sinh.+ Khu dân trí cao - An ninh rất tốt hàng xóm thân thiện.- Nay gia chủ thay đổi chỗ ở mua nhà mới cần bán gấp gấp giá nhỉnh 5 tỷ.+ Thuộc phân khúc tầm tiền rất hiếm có khó tìm. Mua để ở hoặc cho thuê kinh doanh dòng tiền rất ổn định.+ SĐCC pháp lý sạch sẵn sàng giao dịch.            ",31 m²,Thỏa thuận,3.5 m,5 tầng,3 phòng,5 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35518646,batdongsan_com_vn_35518646,2 m,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Vĩnh Hưng', 'Đường Vĩnh Hưng', '440', 'T&T Riverview']","
+ Bán chung cư 440 Vĩnh Hưng, tầng cao, view đẹp, vị trí đẹp, đi lại thuận tiện.+ Tiện ích đầy đủ gần nhiều trường đại học như Đại Học Mở, Đại học Kinh Doanh Công Nghệ, 1km ra đến khu đô thị Times City.+ Sổ đỏ chính chủ.+ Giá 3,25 tỷ vẫn thương lượng.+ LH: E Trung: 0333 192 *** ",90 m²,3.25 tỷ,,,,,Sổ đỏ.,06/12/2022,13/12/2022,Tin thường,36039788,batdongsan_com_vn_36039788,,Nội thất cao cấp.,,
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Lê Trọng Tấn']","
Toà nhà dịch vụ 8 tầng thang máy hai thoáng trước sau - doanh thu gần tỷ 1 năm.Toà nhà dịch vụ 8 tầng thang máy, phân lô ô tô đỗ cửa, 2 mặt thoáng trước sau, mặt tiền 5m.Thiết kế 8 tầng thang máy tổng 22 phòng đang cho một đơn vị thầu lại với giá 65 triệu tháng lúc nào cũng full phòng.+ Tầng 1: Cho thuê bán tạp hoá phía trước, khu vực để xe phía sau.+ Tầng 2: 3 phòng khép kín.+ Tầng 3,4,5,6: Mỗi tầng 4 phòng khép kín.+ Tầng 7: 2 phòng khép kín và sân phơi chung phí trước.+ Tầng 8: Một phòng rất rộng.Nhà ngay đường 2.5 mới, khu Định Công dân cư cực kỳ đông đúc kinh doanh cho thuê cực tốt.Sổ đỏ chính chủ đẹp vuông vắn sẵn sàng giao dịch.LH E Trung 0988 276 *** xem nhà.            ",100 m²,16.8 tỷ,5 m,8 tầng,22 phòng,,Sổ đỏ.,06/12/2022,16/12/2022,Tin thường,36039726,batdongsan_com_vn_36039726,5 m,Đầy đủ.,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyên Hồng', 'Ngõ 28']","
- Bán nhà 5 tầng tại khu phân lô ngõ 28 Nguyên Hồng thông ngõ 49 Huỳnh Thúc Kháng.+ Nhà thuộc phân khúc, diện tích nhỏ và tầm tiền rất khó tìm, có khi cả vài năm mới có người bán.+ Ngõ thẳng tắp, sáng thoáng sạch sẽ và yên tĩnh.+ Ngõ rộng 2,6m ngõ thông cách đường oto tránh nhau 8m bên cạnh nhà vườn hoa và sân chơi.- DT Sổ 32m² MT 4m, DT thực tế hiện tại tầng 1 đã xây là 36m².+ Nhà xây khung cột bê tông kiên cố, gia chủ xây để ở nên rất chắc chắn và cẩn thận.+ Thiết kế và kiến trúc hiện đại trẻ trung.+ Tầng 1 là bếp và phòng khách.+ Tầng 2,3,4 là 1pn 1wc.+ Tầng 5 là phòng thờ sân phơi và sân vườn.+ Trang bị đầy đủ nội thất xịn sò.- Khu dân trí cao được mệnh danh khu lõi của Đống Đa Giáp Ba Đình.+ Khu có hạ tầng đồng bộ khang trang, văn minh, nhiều cây xanh và sân chơi, mấy bước chân ra hồ công viên. Thành Công.+ Khu đất đầu rồng về phong thuỷ, sinh khí cực tốt, đất sinh quan sinh tướng.+ Xung quanh toàn cán bộ lãnh đạo cao cấp của đảng và chính phủ và các doanh nhân thành đạt sinh sống.- Nhà còn đẹp mới nay gia chủ cần bán gấp giá nhỉnh 6 tỷ.+ Pháp lý sạch, SĐCC sẵn sàng giao dịch bàn giao nhà ngay.            ",36 m²,Thỏa thuận,4 m,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35532651,batdongsan_com_vn_35532651,2.6 m,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Phố Pháo Đài Láng']","
Bán nhà Pháo Đài Láng Đống Đa 35m² 5T chỉ với giá 4,5 tỷ nhà đẹp ở ngay - 3PN - sổ nở hậu tiện ích ngập tràn.Nhà Pháo Đài Láng DT 35 m² 5 tầng mặt tiền 4m giá 4.5 tỷ Đống Đa.- Ngõ xe ba gác đua, gần chợ, bệnh viện, trường học, ở sướng đi đâu cũng tiện.- Nhà thiết kế 5 tầng.Tầng 1: Phòng khách, bếp, vs.Tầng 2,3,4: Mỗi tầng 1 phòng ngủ va khép kín.Tầng 5: Phòng thờ và sân phơi.- Sổ đỏ nở hậu, sẵn sàng giao dịch.            ",35 m²,4.5 tỷ,4 m,5 tầng,3 phòng,4 phòng,Sổ chính chủ,06/12/2022,13/12/2022,Tin thường,36041063,batdongsan_com_vn_36041063,3 m,Siêu chắc chắn,,
"['Hà Nội', 'Hoàng Mai', 'Phường Lĩnh Nam', 'Đường Nam Dư']","
Chính chủ Nam Dư, Hoàng Mai, ngõ ba gác đua, có khe thoáng bên 37m², 4 tầng giá 2.48 tỷ.Ngõ rộng - nhà còn mới - xách vali về ở luôn.Vị trí: Nhà cách đường ô tô khoảng vài chục mét, gần nhiều tiện ích.Đi lại cực thuận tiện dễ dàng, ngõ ba gác phóng vèo vèo.Mô tả:Nhà cực hiếm so với tầm tiền và khu vực, nhà hiện tại chủ rất cần bán bổ sung thêm tiền mua cái mới to hơn.Nhà rất gần chợ, các khu trung tâm thương mại, ngõ thông sang khu Lĩnh Nam.Tọa lạc tại các tuyến phố Lĩnh Nam, Thanh Lân, Vành Đai 3, Nguyễn Khoái.Cách đại học Bách Khoa và kinh tế, xây dựng chưa đến 4 km.- Thiết kế 4 tầng với 3 phòng ngủ, đầy đủ công năng.Pháp lý.+ Sổ chuẩn đẹp, sẵn sàng giao dịch.+ Để biết thêm thông tin liên hệ: Mr Sàng, SĐT: 0346 375 *** ",37 m²,2.48 tỷ,,4 tầng,3 phòng,,,06/12/2022,16/12/2022,Tin thường,36039572,batdongsan_com_vn_36039572,,,,
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh', 'Phố Giảng Võ', 'Ngõ 2']","
Chính chủ cần bán gấp nhà ngõ 2, Giảng Võ ngay ngã 3 Nguyễn Thái Học - Kim Mã.+ Thuộc khu phân lô vip thành uỷ Hà Nội.+ Khu toàn cán bộ cao cấp và doanh nhân thành đạt sinh sống.- Nhà có diện tích xây dựng 73m² mặt tiền 5,8m đất vuông vắn.+ Khổ đất đẹp hai mặt thoáng trước, sau đều mở cửa ban công cả 2 mặt đều có không gian rộng cả 1000m View rất thoáng đẹp, tầm nhìn không bị hạn chế.+ Nhà xây 5 tầng, khung bê tông đẹp như mới.+ Thiết kế và kiến trúc hiện đại trẻ trung có thể cải tạo lắp được thang máy.+ Tầng 1 gara oto và phòng khách.+ Tầng 2 là bếp và 1 phòng khách hạng thương gia.+ Tầng 3,4 là 2pn 1wc.+ Tầng 5 phòng thờ sân phơi, sân vườn.+ Gia chủ hoàn thiện để ở nên nội thất xịn toàn bộ sàn gỗ tự nhiên, cầu thang đá tay vịn gỗ Lim.- Nhà nằm trong khu phân lô dân trí cao an ninh tốt.+ Khu có quần thể đẹp trung tâm lõi của thủ đô, như là 1 khu đô thị khép kín trong phố cổ.+ Thuộc vị trí hiếm có khó tìm được khu thứ 2 trong nội đô đẹp như thế.+ Khu lý tưởng để ở, làm trụ sở công ty văn phòng,...+ Giao thông thuận tiện đi lại các phố Giảng Võ, Kim Mã, Láng Hạ, Hoàng Cầu, Cát Linh, Tôn Đức Thắng.+ Gần các trường học, bệnh viện, siêu thị, mấy bước chân ra ga tàu điện Cát Linh - Hà Đông, trung tâm thương mại và triển lãm Vincom Giảng Võ, 3 phút tới bờ hồ phố cổ 2 phút tới quảng trường Ba Đình, Văn Miếu.- Sổ đỏ chính chủ. Giá bán 27 tỷ có thương lượng.            ",73 m²,27 tỷ,5.8 m,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35617776,batdongsan_com_vn_35617776,12 m,,,
