address,gen_descrip,Diện tích,Mức giá,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Mặt tiền,Nội thất,Hướng nhà,Hướng ban công,Đường vào
"['Hà Nội', 'Hoàng Mai', 'Phường Vĩnh Hưng', 'Đường Vĩnh Hưng']","
Bán nhà Vĩnh Hưng, Hoàng Mai, rất hiếm, gần ô tô, ngõ nông rộng, nhà vuông vắn, 30m² x 4 tầng, giá 2.85 tỷ.Nhà xây chắc chắn, mới đẹp, đủ công năng sử dụng.Diện tích 30m, ngõ trước nhà rộng rãi, nhà khung cột, phòng ngủ đẹp.Vị trí:Nhà gần đường ô tô, ngõ thoáng, trước nhà rất rộng, ngõ ba gác chạy đến tận cửa.Nhà cực kỳ thoáng, vào ngắm kỹ là mê ngay.Gần chợ, gần trường học, đi lại thuận tiện, gần đường lớn.Tiện ích:Tọa lạc tại các tuyến phố Lĩnh Nam, Vĩnh Hưng, Vành Đai 3, Nguyễn Khoái.Cách đại học Bách Khoa và Kinh Tế, Xây Dựng chưa đến 3 km.Gần bệnh viện Thanh Nhàn và Bạch Mai.+ Sổ chuẩn đẹp, sẵn sàng giao dịch.+ Liên hệ: Mr Sàng, SĐT: 0346 375 *** ",30 m²,2.85 tỷ,4 tầng,Sổ đỏ/ Sổ hồng.,06/12/2022,13/12/2022,Tin thường,36039550,batdongsan_com_vn_36039550,,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bách Khoa', 'Phố Lê Thanh Nghị']","
- Mô tả.- Vị trí cực đỉnh, cực hiếm, giữa trung tâm Quận Hai Bà Trưng, ngã tư Lê Thanh Nghị - Trần Đại Nghĩa.Chỉ 20m ra phố, gần ngay 3 trường ĐH, Bách Khoa, Kinh Tế, Xây Dựng, trước cổng Bệnh Viện Bạch Mai. Đông đúc, tấp nập, thuận tiện 5 phương 8 hướng. Các ngả.- Thiết kế.+ Diện tích 85m² - 6 tầng - 12 phòng khép kín, đủ công năng, doanh thu hàng tháng 60 tr/tháng.- Sổ đỏ CC sẵn sàng giao dịch.+ Gía chỉ 10 tỷ (có thương lượng).- Liên hệ MS Thủy, để được tư vấn và xem nhà hoàn toàn miễn phí.- ĐT 0966 658 ***- Miễn trung gian.            ",85 m²,10 tỷ,6 tầng,,06/12/2022,13/12/2022,Tin thường,36040800,batdongsan_com_vn_36040800,12 phòng,6 phòng,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1']","
Bán mảnh đất vàng phố người Hàn, khu Mỹ Đình Sông Đà 100m², MT 5.5m giá đầu tư.Mặt đường rộng ô tô tránh, đường thông khắp nơi. Khu vực rất hiếm nhà bán.Phù hợp KD nhà hàng, khách sạn!Ngõ 2 rộng như phố, vỉa hè 3m... Sau lưng tòa CT9 Sông Đà Mỹ Đình.Nhà đang cho thuê làm nhà hàng Hàn quốc.Sổ phân lô vuông đét.Giá: 23.5 tỷ có thương lượng.Liên hệ: Minh Hoàng 0936 263 *** chuyên nhà đất Mỹ Đình.            ",100 m²,23.5 tỷ,,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,35314939,batdongsan_com_vn_35314939,,,6 m,,,,
"['Hà Nội', 'Đống Đa', 'Phường Hàng Bột', 'Phố Tôn Đức Thắng']","
Mô tả:- Vị trí năm trung tâm Quận Đống Đa, 30m ra phố, tiện ích bạt ngàn, giao thông thuận tiện, ngõ trước nhà rộng.- Nhà xây mới koong, khung cột kiên cố, thang máy nhập khẩu, 12 căn hộ cho thuê dòng tiền, Full nội thất xịn.- Thiết kế 8 tầng:+ Tầng 1: Để xe.+ Tầng 2,3,4,5,6,7: Mỗi tầng 2 căn hộ khép kín, Full nội thất.+ Tầng 8: Sân thượng.- Khu vực dân trí cao, hàng xóm thân thiện, an ninh đảm bảo tuyệt đối.* Căn hộ được thiết kế hiện đại 8 tầng khép kín tỉ mỉ đến từng chi tiết với diện tích và mặt tiền rộng rãi đầy đủ công năng đáp ứng mọi nhu cầu người ở! Vị trí căn nhà đẹp và đặc biệt dòng tiền khủng lên đến 90tr/tháng!- Sổ chính chủ, vuông vắn, sẵn sàng giao dịch.LH: Tùng Anh 0961095755.(chuyên viên BĐS khu vực Đống Đa, Thanh Xuân).            ",50 m²,9.9 tỷ,8 tầng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,36040171,batdongsan_com_vn_36040171,12 phòng,12 phòng,4 m,Đầy đủ,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Phùng Chí Kiên', 'Số 1', 'Tràng An Complex']","
Căn hộ chung cư cao cấp Tràng An Complex Số 1 Phùng Chí Kiên Nghĩa Đô Cầu Giấy.Căn hộ được thiết kế 3PN 2VS PK Bếp Ban Công.Nhà thoáng sáng, mặt tiền rộng, ban công rộng thông từ phòng khách sang phòng ngủ, trồng cây cảnh, uống trà cafe cực thích.Kết nối hạ tầng giao thông vô cùng thuận lợi đi Hoàng Quốc Việt, Lạc Long Quân, Võ Chí Công, Cầu Giấy, Hồ Tây, lên phố, các trường Đại học, bệnh viện,...Tòa nhà 29 tầng 4 thang máy tốc độ cao chạy vèo vèo, 2 hầm để xe rộng mênh mông.Tiện ích khu: Sân vườn rộng 4000m², khu vui chơi trẻ em, phòng gym, bể bơi 4 mùa, ngân hàng, siêu thị Winmart ngay dưới chân tòa nhà.- Chủ tặng full nội thất liền tường mới đẹp.Sồ đỏ chính chủ.Liên hệ Mr: Vương 0982 678 *** ",112 m²,4.1 tỷ,,Sổ đỏ/ Sổ hồng.,02/12/2022,09/12/2022,Tin thường,36011079,batdongsan_com_vn_36011079,3 phòng,2 phòng,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Khang']","
Bán mảnh đất vàng mặt phố Nguyễn Khang, Cầu Giấy 125m², MT 5.5m giá đầu tư.Mặt phố Nguyễn Khang lớn view sông - dự án du thuyền trên sông tô lịch với hệ thống máy lọc nước nhật bản hiện đại nhất - giá chào rẻ nhất khu vực.- Nhà nằm gần cầu 381 Nguyễn Khang nối sang đường Láng với Quy hoạch ổn định.- Vị trí mặt phố Nguyễn Khang lớn View sông Tô Lịch. Dự án khu du lịch trên sông + với Hệ thống máy lọc nước sạch của Nhật siêu khủng.- Trước nhà đường 3 ôtô tránh, vỉa hè đá bóng cả 2 bên đường. Giao thông cực thuận tiện đi Cầu Giấy, Quan Hoa, Vũ Phạm Hàm, Trần Kim Xuyến, Trung Hòa, Nguyễn Ngọc Vũ, Đường Láng...- Nhà nở hậu dần đều đẹp xuất sắc với mặt tiền 5.3m, hậu 6m.Giá: 30.7 tỷ có thương lượng.Liên hệ: Minh Hoàng 0936 263 *** ",125 m²,30.7 tỷ,,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35580681,batdongsan_com_vn_35580681,,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Trương Định', 'Đường Trương Định', 'Ngõ Trại Cá']","
Chỉ hơn tỷ có ngay căn nhà 4 tầng, vị trí đẹp, ngõ rộng.Có thể vừa ở vừa kinh doanh nhỏ hoặc mở quán.Trước cửa nhà rộng, gần trường cấp 1 2, sân bóng, ngõ thông ra phố Trần Đại Nghĩa.Thiết kế 4 tầng chắc chắn - 2 phòng ngủ.Sổ chung.            ",20 m²,1.65 tỷ,4 tầng,Hợp đồng mua bán,06/12/2022,13/12/2022,Tin thường,36039862,batdongsan_com_vn_36039862,2 phòng,3 phòng,3 m,Cơ bản,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', 'Dự án Goldmark City']","
Chính chủ cần bán nhanh căn 2 phòng ngủ 78.5m² mới nhất và rẻ nhất tòa Goldmark City.Do gia đình không còn nhu cầu sử dụng nữa, cụ thể như sau:- Hướng: ĐN, ban công TB.- Thiết kế: 2 ngủ 2 VS, DT: 78.5m² thông thủy.- Phòng khách, bếp, thiết bị vệ sinh tất cả đều mới và sử dụng tốt.- View nhìn thẳng ra nội khu cực đẹp.Giá: 2,8 tỷ có thương lượng.Xem nhà free: 0963 996 *** ",78.5 m²,2.8 tỷ,,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,34048458,batdongsan_com_vn_34048458,2 phòng,2 phòng,,Nội thất cơ bản,Đông - Nam,Tây - Bắc,
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh', 'Phố Phan Phù Tiên']","
Bán siêu phẩm hiếm - mặt phố - đỐng Đa - Phù Tiên 70m² giá 26.6 tỷ.Mặt phố hiếm - trung tâm - an sinh đỉnh - sát Ba Đình - 2 phút lên Lăng Bác - vài bước chân ra Quốc Tử Giám - cơ sở hạ tầng tốt - giá siêu hợp lý.Mô tả.* Vị trí: Cách Quốc Tử Giám chỉ tầm 80m, 2 phút là tới Lăng Bác, Hoàn Kiếm, phố ngắn 2 đầu, Cát Linh, Nguyễn Thái Học.* Thiết kế: Nhà 2 tầng cũ, chủ mới mua về xây toà nhà văn phòng 7 tầng thang máy trung tâm thủ đô thì quá đẹp, vỉa hè 2 bên, ô tô 2 chiều dừng đỗ tha hồ hốt bạc.+ Khu vực xung quanh nhiều tiện ích, gần chợ, gần các trường C1, C2... Tiện ích vô tận.Tầng 1 chủ đang cho người nhà kinh doanh tiệm cơm nổi tiếng đông khách.Tầng 2 thông sàn 2 phòng ngủ + sinh hoạt chung của cả gia đình.Sổ đỏ chính chủ vuông nét, nở hậu nhẹ nhẹ, sang tên trong phút mốt.            ",70 m²,26.6 tỷ,,,06/12/2022,13/12/2022,Tin thường,36039441,batdongsan_com_vn_36039441,,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'đường Mễ Trì', 'Dự án Golden Palace']","
Cần bán 2 căn hộ đầu tư tháp B chung cư Golden Palace đường Mễ Trì.Trước đây tôi có đầu tư 2 căn hộ này để cho Hàn Quốc thuê, giờ cần tiền nên bán gấp, rất thiện chí thương lượng.Căn 118m² thiết kế 3PN, 2VS.Căn 141m² thiết kế 4PN, 3VS.Giá bán: 30tr/m².Sổ đỏ chính chủ tên tôi.Liên hệ xem nhà 24/7: 0963 996 *** ",118 m²,30 triệu/m²,,Đã có sổ đỏ,06/12/2022,13/12/2022,Tin thường,30832432,batdongsan_com_vn_30832432,3 phòng,2 phòng,,Nội thất cơ bản,Tây - Bắc,Đông - Nam,
