address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Hướng ban công,Nội thất,Hướng nhà
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Nguyễn Ngọc Vũ']","
- Bán nhà chú Sơn cán bộ công chức về ở cùng con cái.- Nhà nằm ở vị trí giao thông cực thuận lợi gần tiếp giác giữa các con đường giao thông huyết mạch của thành phố như Nguyễn Trãi, Khuất Duy Tiến, Láng, Ngã Tư Sở, Lê Văn Lương,...- Gần trung tâm thương mai, Royal City, Lotte.- Gần tường học mầm non, tiểu học, trung học toàn trường chuẩn quốc gia.- Gần các trường đại học danh tiếng của Hà Nội như ĐH Ngoại Thương, ĐH Công Đoàn, ĐH Khoa Học Xã Hội Nhân Văn,...Mô tả:Nhà xây 4 tầng diện tích 189m², mặt tiền 8.05m.Tầng 1: Khách, bếp, phòng ngủ, để xe, wc.Tầng 2: Có 4 ngủ, 2wc.Tầng 3: Có 5 ngủ 2wc.Tầng 4: Phòng thờ, sân phơi.- Để biết thêm vui lòng liên hệ Đinh Lượng: 0987 818 ***/ 0921 828 ***- Dịch vụ miễn phí:+ Tư vấn quy hoạch, đặt cọc, mua bán công chứng, làm sổ đỏ, các loại thuế phí,...+ Tôi cam kết đăng tin chính chủ giúp chủ nhà, nên bên bán và bên mua gặp trực tiếp nhau để thương lượng, tôi nghiêm túc, trung thực, chính xác, không lãng phí thời gian 2 bên.            ",189 m²,23.2 tỷ,8.05 m,6 m,4 tầng,9 phòng,5 phòng,06/12/2022,13/12/2022,Tin thường,36039782,batdongsan_com_vn_36039782,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Võ Chí Công']","
Nhà mới xây ở ngay, dành cho khách về đón tết, ô tô đỗ cổng, có ô chờ thang máy, dành cho khách mua về để ở hoặc đầu tư giữ tiền, 2 thoáng, nội thất sang xịn chủ tặng. Rất gần phố. Có bãi đỗ xe ngày đêm.- Nhà nằm ở vị trí đắc địa của phường Phú Thượng, khu vực giáp với khu đô thị mới Starlake, khu Ngoại Giao Đoàn, Ciputra, Sunshine. Gần các trường từ tiểu học đến đại học, gần siêu thị, gần chợ, công viên, hồ Tây và muôn vàn tiện ích. Khu vực dân cư đông đúc dân trí cao, an ninh tuyệt đối, an sinh cực đỉnh.- Ngõ rộng ô tô tránh thông tứ tung, thiết kế hiện đại tầng 1 phòng, WC, cầu thang góc.- Diện tích 36m². Chủ bán nhanh 3,6 tỷ (có thương lượng). Miễn trung gian.- Sổ đỏ chính chủ, pháp lý sạch sẵn sàng giao dịch.- Hãy gọi ngay: Mr Vũ 0962 138 *** chuyên nhà đất Hà Nội để được tư vấn và hỗ trợ.- Cam kết miễn phí từ khi đi xem đến khi mua xong nhà. Hỗ trợ tận tâm.            ",36 m²,3.6 tỷ,,,,,,06/12/2022,13/12/2022,Tin thường,36040908,batdongsan_com_vn_36040908,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Ba Đình', 'Phường Thành Công', '16 Phố Láng Hạ', 'Dự án Diamond Park Plaza']","
Bán chung cư BRG Grand Plaza 16 Láng Hạ, đang bàn giao. Vị trí trung tâm đắc địa, tầm view cực đỉnh trực diện hồ Thành Công 6.4ha.Căn hộ góc 1 phòng ngủ giá chỉ 4.8 tỷ, full nội thất cao cấp, thiết kế đẹp thoáng đãng.Liên hệ PKD: 0839 454 *** để được tư vấn và lên xem thực tế.- Thiết kế 7 căn/1 sàn. Tất cả các phòng đều có sáng tự nhiên và view thoáng đẹp.- Số lượng căn hộ ít đảm bảo mật độ thông thoáng, riêng tư.- Chiều cao tầng căn hộ: Tầng 1 cao 4.5m; tầng 2 - 18 cao 3.6m; tầng 19 cao 3.9m.- Căn hộ 1PN: 54m - 56m.- Căn hộ 2PN: 82m - 95m - 100m.- Căn hộ 3PN: 123m.Chính sách bán hàng cực kỳ hấp dẫn:- Miễn phí dịch vụ 12 tháng.- Miễn phí dịch vụ Valet Parking 12 tháng.- Chiết khấu từ 5% GTCH.- Hỗ trợ lãi suất 0% trong 12 tháng.- Tặng gói nội thất tân gia trị giá 380 triệu.- Tặng suất đặc biệt 300 triệu.Nội thất bàn giao cao cấp:Sàn gỗ, trần thạch cao, điều hòa âm trần, tủ bếp, bếp từ, hút mùi, chậu rửa, thiết bị vệ sinh đầy đủ, nóng lạnh, hệ thống tủ quần áo âm tường... Thương hiệu nổi tiếng như Hafele, Bosch, Teka...- Tiện ích bể bơi 4 mùa, cafe tầng thượng, gym, spa... Chỉ phục vụ cư dân.- Đặc biệt hơn 100 căn hộ nhưng có tới 400 xuất để oto.Liên hệ PKD chủ đầu tư: 0839 454 ***.            ",54 m²,4.8 tỷ,,,,1 phòng,1 phòng,06/12/2022,13/12/2022,Tin thường,35952104,batdongsan_com_vn_35952104,Sổ đỏ/ Sổ hồng,Đông - Nam,Full nội thất,
"['Hà Nội', 'Ba Đình', 'Phường Đội Cấn', 'Đường Ngọc Hà']","
Vị trí nhà trên phố Ngọc Hà, ngõ thông các phố Hoàng Hoa Thám, Đội Cấn. Nhà liền kề các phố lớn như Lê Hồng Phong, Giang Văn Minh... Vài bước chân ra công viên Bách Thảo, Lăng Bác.+ Diện tích 35m2x6 tầng thang máy, thiết kế hiện đại.+ Gần TTTM Lotte Đào Tấn Vin Com Liễu Giai, bán kính 1km ga Cát Linh Hà Đông, bến xe Kim Mã, bệnh viện Xanh Pôn.- Sổ đỏ đẹp, chủ cực thiện chí bán.* LH: Ms Phương Đông 0988899816.(Tư vấn chuyên nghiệp và tin cậy).            ",35 m²,Thỏa thuận,,,,,,01/12/2022,08/12/2022,Tin thường,35160632,batdongsan_com_vn_35160632,Sổ đỏ,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Đại Từ', 'Dự án Licogi 12']","
Bán căn hộ Licogi 21 Đại Từ tầng thấp, view hồ.DT 95,2m² bao gồm 2 phòng ngủ 2wc có thể cải tạo thành 3 phòng ngủ nhà thoáng mát phòng nào cũng có cửa sổ nội thất xịn sò view hồ Linh Đàm.Vị trí toà nhà ngay đường Giải Phóng, gần bến xe Nước Ngầm - Giáp Bát, thuận tiện di chuyển.Giá 2,98 tỷ có thương lượng.Lh: 0933 900 *** ",95.2 m²,2.98 tỷ,,,,2 phòng,2 phòng,01/12/2022,08/12/2022,Tin thường,36003212,batdongsan_com_vn_36003212,,,,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường 19/5']","
- Nhà lô góc 3 mặt thoáng, ô tô đỗ ngày đêm, LK khu đô thị Văn Quán Hà Đông, ở hay kinh doanh văn phòng đều tốt, nhà hiện giờ đang cho thuê cả nhà làm văn phòng công ty.- Đường trước nhà rộng, phân lô vỉa hè, nhà thuộc khu đô thị Văn Quán, nhưng nằm trên mặt đường phố Văn Quán, song song với đường Chiến Thắng.- Nhà lô góc 3 thoáng được thiết kế 4 tầng:+ Tầng 1: Thông sàn, vs.+ Tầng 2,3: Tổng 4 ngủ, 2vs.+ Tầng 4: Phòng thờ, phòng ngủ, khu phơi.- Sổ đỏ phân lô đẹp, pháp lý chuẩn, giao dịch nhanh.            ",70 m²,14.5 tỷ,,,,4 phòng,,03/12/2022,10/12/2022,Tin thường,36019846,batdongsan_com_vn_36019846,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', '677', 'Heritage West Lake']","
Chủ đầu tư Capitaland mở bán căn hộ Soho (officetel) tại dự án hạng sang Heritage Westlake 677 Lạc Long Quân, Tây Hồ.Là loại căn hộ vừa ở vừa kinh doanh (được phép đăng ký kinh doanh).Giá cực tốt chỉ từ 60 triệu/m², tổng giá từ 2,8 tỷ/căn.Chính thức nhận booking chọn căn đẹp: 0839 454 ***- Tiến độ thanh toán siêu hấp dẫn:- Chỉ cần 20% (khoảng 600 triệu - 1 tỷ). Nhận nhà mới vào nốt 80% (tháng 12/2024).1/ Thông tin chung của dự án:- Chủ đầu tư uy tín: Capitaland.- Vị trí vàng: 677 Lạc Long Quân - Tây Hồ, đi bộ 5p ra Hồ Tây.Chiều cao tầng: 25.- Tầng 1 - 6: Shop - office, nhà trẻ, khu không gian làm việc chung.- Tầng 7 - 24: Căn hộ vừa ở vừa kinh doanh.- Tầng 25: Dịch vụ tiện ích, bể bơi 4 mùa, phòng gym, sân tập ngoài trời.- Tầng 5: Khu vườn treo.- Tầng 13: Khu vực lánh nạn.2/ Loại hình căn hộ vừa ở vừa kinh doanh:- Tổng sản phẩm: 202 căn Soho.- Căn studio: 45m² giá từ 2,8 tỷ.- Căn 1PN 54 - 59m² - 71m² giá từ 3,5 tỷ.- Căn 2PN: 82m²; 88m², giá từ 5 tỷ.- Số thang máy: 05 thang (khu shop - office thang riêng).Thiết bị bàn giao cao cấp: Thiết bị vệ sinh Hangroler, ToTo nhập...- Dự án đạt chứng chỉ BCA Green Mark.Liên hệ để biết thêm thông tin chi tiết: 0839 454 *** ",45 m²,60 triệu/m²,,,,1 phòng,1 phòng,06/12/2022,13/12/2022,Tin thường,35714629,batdongsan_com_vn_35714629,Sổ đỏ/ Sổ hồng,Đông - Bắc,Full nội thất,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Nguyễn Tuân']","
Bán căn hộ chung cư Nguyễn Tuân, Thanh Xuân, lô góc, 2 mặt phố, 95m², 2 ngủ, 2vs, 2 ban công, sổ riêng.- Vị trí đẹp, lô góc 2 mặt phố Nguyễn Tuân và Ngụy Như Kon Tum.- Diện tích 95m², lô góc 3 mặt thoáng, thiết kế đẹp gồm 2 ngủ, 2 vs, 2 ban công, khách, bếp có thể sửa thành 3 ngủ.- Tiện ích xung quanh bạt ngàn, gần chợ, siêu thị, chợ thuốc Hapulico, trường Quốc tế Đại học Quốc gia, trường THCS Thanh Xuân, trường tiểu học Phan Đình Giót, Nhân Chính công viên hồ điều hòa Nhân Chính.- Sổ đỏ riêng biệt, sẵn giao dịch.- Giá bán 3.18 tỷ.Liên hệ xem nhà: Mr. Sơn 0368 781 *** ",95 m²,3.18 tỷ,,,,2 phòng,2 phòng,06/12/2022,13/12/2022,Tin thường,36040932,batdongsan_com_vn_36040932,Sổ đỏ/ Sổ hồng.,,,
"['Hà Nội.', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Hoàng Quốc Việt']","
Nhà nằm gần quần thể khu đô thị Tây Hồ Tây, gần ngã 5 Hoàng Quốc Việt, Bưởi, Hoàng Hoa Thám, Lạc Long Quân, Võ Chí Công hướng đi cầu Nhật Tân, sân bay Nội Bài.- Nhà thiết kế 8 tầng thông sàn và 1 tầng hầm.Rất hợp cho thuê và kinh doanh.Giao thông thuận tiện.+ Sổ đỏ nở hậu, giao dịch ngay.            ",120 m²,50 tỷ,,,,,,03/12/2022,13/12/2022,Tin thường,36021864,batdongsan_com_vn_36021864,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường An Dương Vương']","
Top 6 mảnh đất nhỉnh 2 tỷ - Quận Tây Hồ.1. An Dương Vương - Tây Hồ 34m² lô góc - giá 2,65 tỷ - ngõ ô tô - cách phố 80m.2. An Dương Vương - Quận Tây Hồ 43m² giá 2,55 tỷ - ngõ xe máy.3. An Dương Vương - Quận Tây Hồ 36m² giá 2,15 tỷ - ngõ xe máy.LH Mr Phông để được tư vấn từng căn.            ",43 m²,2.55 tỷ,4 m,4 m,1 tầng,1 phòng,,06/12/2022,13/12/2022,Tin thường,36036011,batdongsan_com_vn_36036011,,,,
