address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Đường vào,Nội thất
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Thụy Phương', 'Đường Thụy Phương']","
- Chủ cần bán 85m² đất phân lô Thụy phương, vỉa hè, ô tô tránh, gần hồ điều hòa.- Mảnh đất 2 mặt thoáng trước sau, khu vực phát triển, tiềm năng tăng giá, thanh khoản cao- Cách chợ Vẽ 200m, gần bệnh viện Phương Đông, bệnh viện Nam Thăng Long, gần Đại học Mỏ, Học Viện Tài chính, Đại học y tế Cộng Đồng, Ciputra....- Ranh giới rõ ràng, pháp lý đầy đủ- Liên hệ Mr Quang chuyên nhà đất Thổ cư, Chung cư khu vực Bắc Từ Liêm, Tây Hồ            ",85 m²,6.5 tỷ,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35154156,batdongsan_com_vn_35154156,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Vũ Trọng Phụng']","
Chính chủ cần bán căn nhà mặt phố mới Vũ Trọng Phụng gần đường Nguyễn Trãi.Diện tích: 125m² mặt tiền 7m, một mặt phố, 1 mặt đường sau, Căn nhà được thiết kế và xây dựng 8,5 tầng mới cao cấp hiện đại có hầm.Vị trí đắc địa khu phố sầm uất như ngân hàng, nhà hàng, phòng khám, trung tâm Anh ngữ toà nhà vừa ở kết hợp cho thuê.Toàn bộ thang máy và thiết bị nhập nội thấy nhập khẩu 100%.Sổ đỏ chính chủ.Xin liên hệ chính chủ: 0986 819 *** ",125 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,06/12/2022,04/02/2023,Tin thường,35745846,batdongsan_com_vn_35745846,7 m,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Vương Thừa Vũ']","
- Vị trí trung tâm quận Thanh Xuân, cách phố vài bước chân, khu tập trung dân cư, sinh viên đông đúc, luôn full phòng, doanh thu 1,7 tỷ/năm, khu dân trí cao, gần chợ dân sinh, mọi tiện ích đều đỉnh cao.- Giao thông vô cùng thuận lợi, thông ra các đường phố lớn như Đường Trường Chinh, Hoàng Văn Thái, Tô Vĩnh Diện...- Thiết kế 7 tầng 26 Phòng khép kín cho thuê, diện tích rộng, mặt tiền khủng, 6,8m, tiện nghi đầy đủ, điều hoà, nóng lạnh, giường tủ, bàn ghế.- Sổ đỏ nở hậu, chờ sang tên.- Mọi chi tiết quý khách liên hệ trực tiếp với Mr Tường, chuyên nhà đất sổ đỏ khu vực Thanh Xuân.            ",123 m²,22.5 tỷ,,01/12/2022,08/12/2022,Tin thường,36007153,batdongsan_com_vn_36007153,6.8 m,7 tầng,26 phòng,27 phòng,,
"['Hà Nội', 'Phú Xuyên', 'Xã Đại Thắng', 'Đường Quốc lộ 1A', 'Thôn Phú Đôi']","
Tôi cần bán 88m² đất làng nghề thôn Phú Đôi, xã Đại Thắng, Phú Xuyên, Hà Nội.- Đất đã có sổ đỏ, mốc giới rõ ràng, khu vực trung tâm làng nghề, kinh doanh sầm uất, cung cấp hàng cho cả nước.- Bán kính 150m là chợ Phú Đôi, nhà văn hóa, trường học các cấp.- Kinh tế khu vực giàu có, ở sướng.Giá bán 1.9 tỷ (thương lượng).LH xem đất, chính chủ, giá tốt: 0961 266 *** ",88 m²,1.9 tỷ,Có sổ đỏ,02/12/2022,09/12/2022,Tin thường,35586670,batdongsan_com_vn_35586670,,,,,,
"['Hà Nội', 'Gia Lâm', 'Xã Phú Thị', 'Đường Quốc Lộ 17', 'Thôn Đại Bản']","
Đất trung tâm thôn Đại Bản, Phú Thị, Gia Lâm.- DT 80m², MT 4m, đường trước đất ô tô 7 chỗ thông.- Đất thổ cư 100%, đã có sổ đỏ.- Giá 24 triệu/m².LH xem đất: 0961 266 *** ",80 m²,24 triệu/m²,Sổ đỏ/ Sổ hồng.,02/12/2022,09/12/2022,Tin thường,35945400,batdongsan_com_vn_35945400,4 m,,,,4 m,
"['Hà Nội', 'Gia Lâm', 'Xã Đặng Xá', 'Đường Ỷ Lan', 'Thôn Hoàng Long']","
Vị trí đất: Đường Ỷ Lan, thôn Hoàng Long, Đặng Xá, Gia Lâm.- Chính chủ cần bán 45m² đất ở lâu dài, đã sổ đỏ, mặt tiền rộng 4,8m, đường trải nhựa 4,5m.- Đất nằm trên mặt đường vành đai mở rộng, nâng cấp trải áp phan, tại thôn Hoàng Long, cạnh hồ điều hoà, cách KĐT Đặng Xá 800m, cách trường cấp 1, cấp 2, cấp 3 Đặng Xá 300m, cách chợ Sủi 500m.Giá bán 1.75 tỷ.- LH anh Khoa 0961 266 *** để xem đất và giao dịch trực tiếp!            ",45 m²,1.75 tỷ,Sổ đỏ/ Sổ hồng.,03/12/2022,10/12/2022,Tin thường,36021990,batdongsan_com_vn_36021990,4.8 m,,,,4.5 m,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Lê Quang Đạo']","
- Chủ chuyển đổi mục đích sử dụng, cần bán nhanh tòa nhà văn phòng, mặt đường Lê Quang Đạo kéo dài, Phường Dương Nội, quận Hà Đông, TP Hà nội.- Vị trí hiếm, giao thông thuận tiện, mặt đường Lê Quang Đạo nối Mỹ Đình - Vành Đai 3.5 Lê Trọng Tấn. Khu vực đang rất phát triển, xung quanh là các đại dự án như Nam Cường, Geleximco, Park City...- Diện tích 200m², gồm 7 tầng nổi + 1 tầng hầm, đang cho thuê 400tr/năm.- Pháp lý chuẩn, chủ rất thiện chí bán.Quí K/H quan tâm xin liên hệ: ĐT 0967 154 ***Mr Sơn).            ",200 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,35950584,batdongsan_com_vn_35950584,,8 tầng,20 phòng,15 phòng,,
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh', 'Đường An Hạ 1', 'Dự án Nam An Khánh']","
- Vị trí cực đẹp lô góc 3 thoáng view hồ view KĐT Vinhomes Thăng Long, khu biệt thự Vistalago Sudico với diện tích từ 400m² đến hơn 1000m² với khuôn viên rộng vườn cây bể bơi view hồ thể hiện sự đẳng cấp của cư dân.- Căn biệt thự lô 07 nằm trên đường An Vượng 4 ngay đầu cổng vào, cạnh sân bóng đá, sau sân bóng đá là quảng trường vườn hoa.- Khách đầu tư vào căn này rất có tiềm năng giá đang rất tốt so với những căn trong KĐT.- Căn biệt thự 3 tầng với 183m² diện tích xây dựng tầng 1 tạo không gian phòng rộng rãi view thoáng mát:- Căn biệt thự bàn giao thô hoàn thiện mặt ngoài, hiện chủ đã có bản thiết kế lên đồ hoạ 3D rất đẹp.- Tầng 1: 2 phòng khách + phòng bếp.- Tầng 2: 3 phòng ngủ rộng.- Tầng 3: 2 phòng ngủ + phòng thờ + kho.- Sổ đỏ chính chủ giao dịch ngay.- Chủ doanh nhân thành đạt chuyển sang căn biệt thự 1000m² nên bán lại.            ",183 m²,56.5 tỷ,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35831150,batdongsan_com_vn_35831150,12 m,3 tầng,5 phòng,5 phòng,10 m,Full nội thất
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', '81', 'CT3 C Land Lê Đức Thọ']","
Chung cư cao cấp Cland 81 Lê Đức Thọ, Nam Từ Liêm 153m², 3 phòng ngủ, giá hơn 4 tỷ.* Mô tả: Chung cư cao cấp giá bán = giá chung cư bình dân.- Liên thông với các tuyến phố như: Hồ Tùng Mậu, Nguyễn Hoàng, Hàm Nghi, Phạm Hùng..- Cách bến xe 300m, sân Mỹ Đình 200m, trường học Quốc tế. Có 8 trường đại học danh tiếng xung quanh 1 km.- Nội thất trị giá gần tỷ đồng sẽ tặng lại cho chủ nhân mới.* Thiết kế:- Bao gồm 3 phòng ngủ + 2 vệ sinh + Phòng khách + bếp + 2 ban công.- Tất cả các phòng đều có cửa sổ, thoáng sáng và đón khí trời.+ Sổ đỏ vĩnh viễn, sẵn sàng giao dịch.- Thông số và hình ảnh chính xác 100%.* Giá: 4. X tỷ.* Liên hệ: 0989 898 *** giao dịch trực tiếp với chủ.            ",153 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35972787,batdongsan_com_vn_35972787,,,3 phòng,2 phòng,,Nội thất cao cấp
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Phố Trần Bình']","
Chính chủ bán căn hộ phố Trần Bình, Cầu Giấy 64m², 2 phòng ngủ, giá hơn 2 tỷ.* Mô tả: Bán căn hộ chung cư giá bán = giá nhà tập thể.- Vị trí: Tòa nhà sát cạnh đại học Thương Mại, bệnh viện 19/8, bến xe Mỹ Đình.- Căn hộ ở tầng đẹp nhất của tòa nhà, phòng nào cũng thoáng sáng.- Bán kính 1 km là các trường đại học lớn, cụ thể là: ĐH Sư Phạm, ĐH Quốc Gia, HV Báo Trí, ĐH Thương Mại, ĐH Điện lực.- Căn hộ 64 m² bao gồm 2 phòng ngủ, 1 vệ sinh + Phòng khách + Bếp + Ban công.- Phí dịch vụ 3k/m/tháng. Xe máy 45k/xe/tháng, ô tô đỗ thoải mái.- Nội thất đẹp sẽ tặng lại cho chủ nhân mới.- Sổ đỏ vĩnh viễn, sẵn sàng giao dịch.- Thông số và hình ảnh chính xác 100%.* Giá: 2.X tỷ.* Liên hệ: 0989 898 *** giao dịch trực tiếp với chủ.            ",64 m²,Thỏa thuận,Sổ đỏ,02/12/2022,09/12/2022,Tin thường,35612990,batdongsan_com_vn_35612990,,,2 phòng,1 phòng,,Nội thất cao cấp
