address,gen_descrip,Diện tích,Mức giá,Đường vào,Số tầng,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số phòng ngủ,Số toilet
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng']","
- Vị trí cách mặt phố Trần Duy Hưng 2 bước chân, mặt ngõ thông khắp ngả, khu vực tây nhiều hơn ta, mật độ cho thuê cực cao. Hiện đang có đơn vị muốn thuê 150tr/ tháng, nhưng chủ nhà cần bán nên chưa đồng ý, tùy chủ mới quyết định.- Xây dựng 8 tầng đẹp lung linh, đầy đủ nội thất cao cấp, tầng 7 + 8 là căn hộ penthouse sang xịn mịn chủ thiết kế dành để ở. Đầy đủ bản thiết kế, phòng cháy chữa cháy.- Pháp lý chuẩn, sổ đỏ đẹp chính chủ.- Giá 27,2 tỷ.            ",125 m²,27.2 tỷ,6 m,8 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36029501,batdongsan_com_vn_36029501,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Chánh']","
Chính chủ bán nhà khu phân lô gần trường chuyên Hà Nội Amsterdam phố Nguyễn Chánh, Trần Duy Hưng, Hoàng Minh Giám, Cầu Giấy.Diện tích: 75m², mặt tiền: 4.5m.- Nhà xây 8 tầng mới.- Thiết kế thông sàn thang máy thang bộ trong cùng, thiết bị hiện đại chiếu sáng đầy đủ,- Nhà thiết kế đẹp, với đầy đủ công năng vừa ở vừa làm văn phòng:+ Từ tầng 1 đến tầng 4 thông sàn rộng, thang máy, thang bộ và khu vệ sinh cuối sàn tiện làm văn phòng, kinh doanh.+ Tầng 5: 2 phòng ngủ, vệ sinh.+ Tầng 6: Phòng bếp, ngủ, 2wc.+ Tầng 7: Phòng ngủ, sân cực rộng.+ Tầng 8: Sân rộng, buồng máy.- Nội thất cao cấp, thang máy tốc độ cao, hệ thống phòng cháy, chữa cháy hiện đại, điều hòa âm trần.- Vị trí cực đẹp ngay gần siêu thị Big C. Ngay ngã tư Trần Duy Hưng - Nguyễn Chánh - Hoàng Minh Giám. Khu vực tập trung nhiều toà nhà chung cư cao cấp và cao ốc văn phòng.- Phù hợp Kinh doanh văn phòng, thẩm mỹ viện, nha khoa, trung tâm Ngoại ngữ, ngân hàng,- Sổ đỏ chính chủ, khổ đất vuông đẹp, sẵn sàng giao dịch ngay.- Giá chào: 25,7 tỷ (có thương lượng).            ",75 m²,25.7 tỷ,6 m,8 tầng,Sổ đỏ,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36029503,batdongsan_com_vn_36029503,4.5 m,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Yên Hòa']","
Bán tòa nhà CHDV - CCMN tại phường Yên Hòa, Cầu Giấy.+ Nhà cực gần phố, khu dân cư đông đúc, nhiều toà nhà văn phòng rất dễ cho thuê.+ Tổng 24 phòng khép kín full nội thất đang cho thuê 120 triệu/tháng.Diện tích 118m², 8 tầng.- Tầng 1: Để xe, thang máy, thang bộ, WC.- Tầng 2,3,4,5,6,7: Mỗi tầng 4 phòng khép kín.- Tầng 8: Sân phơi.- Full nội thất + tiện nghi bao gồm: Điều hòa, nóng lạnh, bàn ghế ăn, sofa, bếp từ, máy giặt, máy sấy, tủ lạnh, giường, tủ quần áo, chăn ga, gối đệm, cửa từ...Sổ đỏ chính chủ sẵn sàng giao dịch.Chào bán 18.3 tỷ.Chủ thiện chí bán, giá bán thương lượng.            ",118 m²,18.3 tỷ,6 m,8 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36037193,batdongsan_com_vn_36037193,8 m,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội']","
Chính chủ cần bán lô đất mặt đường chính 27m đối diện siêu thị Aeon và Bệnh viện Quốc Tế. Diện tích 50m² mặt tiền 4m được xây dựng và thiết kế 07 tầng vỉa hè 10m Kinh Doanh buôn bán sầm uất như Phòng khám, cafe, nhà hàng, trung tâm giáo dục của hàng thuốc. Sổ đỏ chính chủ.Xin liên hệ chính chủ nhà: 0986 819 *** ",50 m²,Thỏa thuận,,,Sổ đỏ,,06/12/2022,01/01/2023,Tin thường,31807226,batdongsan_com_vn_31807226,4 m,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy']","
* Doanh thu quá tốt đạt 2.3 tỷ/năm ~ hiệu suất 15%/năm + lãi kép từ giá trị gia tăng BĐS.- Phố Xuân Thủy luôn là phố hot nhất về lượng sinh viên thuê phòng.+ 50m là Học viện Báo chí Tuyên Truyền, ĐH Quốc Gia, Sư Phạm, Ngoại Ngữ.+ 300m là ĐH Thương Mại, Sân Khấu Điện Ảnh.+ 500m là Cao đẳng Du lịch, ĐH Điện lực, Học viện Công Nghệ Bưu Chính Viễn Thông.+ Liền kề là chợ đêm sinh viên, chợ quần áo Nhà Xanh thông phố Phan Văn Trường nên gần như ra đường chỉ thấy toàn sinh viên.- Luôn quá tải phòng, tăng ở ghép vào mùa cao điểm như mùa thi, mùa nhập học tân sinh viên.- Tòa chung cư mini cao cấp xây mới 100%, thang máy, gác xép, phòng nào cũng có cửa sổ, sáng thoáng miễn bàn. Dòng tiền cho thuê cực tốt:+ Diện tích: 110m x 7 tầng - thang máy - PCCC chuẩn.+ Số lượng: 24 phòng - đầy đủ điều hoà, nóng lạnh, bếp, đệm, tủ...--------------------------------------------------+ Giá 15,7 tỷ (có thương lượng).+ Pháp lý chuẩn - Sổ đỏ chuẩn.            ",110 m²,15.7 tỷ,6 m,7 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36037233,batdongsan_com_vn_36037233,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Trần Quốc Hoàn']","
Cần bán căn nhà mặt ngõ phân lô, ô tô tránh, vỉa hè phố Trần Quốc hoàn Cầu Giấy Hà Nội. Diện tích 65m² x 5 tầng x mặt tiền 6.2m giá chào bán 15.2 tỷ.Vị trí: Cách đường Trần Quốc Hoàn 20m, gần Làng Quốc tế Thăng Long, gần các trường Học, các trung tâm thương mại, gần công viên, giao thông thuận tiện, khu dân trí cao.Thiết kế: Nhà mới xây 5 năm phù hợp vừa ở vừa kinh doanh văn phòng, Spa, bán hàng Tầng 1 Thông sàn. Tầng 2,3,4: Mỗi tầng chia 2 phòng vệ sinh khép kín. Tầng 5: Phòng thờ, sân thượng, trần gỗ, nội thất cao cấp, điều hòa nhập khẩu.Sổ đỏ phân lô vuông vắn, chính chủ.            ",65 m²,15.2 tỷ,,5 tầng,Sổ đỏ,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36037264,batdongsan_com_vn_36037264,6.2 m,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Nguyễn Khang']","
DT: 100m², MT: 5.2m. Xây 6 tầng.Tầng 1 là gara ô tô, phòng ăn, bếp rộng rãi, có sân sau nhà. Các tầng trên chia 2 - 3 phòng khép kín. Tầng 2 có phòng khách rộng, tầng 6 làm sân trồng rau có mái che.Nhà sạch đẹp từng milimet, chủ tâm huyết thiết kế cẩn thận, sắm đồ xịn xò, nội thất gỗ Lim, gạch Tây Ban Nha...Giếng trời thoáng lắp được thang máy tại đây).+ Vị trí kinh doanh sầm uất, các loại hình như spa, văn phòng, nhà nghỉ, phòng khám,...+ Sổ đỏ sẵn sàng giao dịch.+ Giá: 16.5 tỷ (thương lượng).            ",100 m²,16.5 tỷ,6 m,6 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36037302,batdongsan_com_vn_36037302,5.2 m,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Hoàng Quốc Việt']","
Gia chủ cần tiền hoàn thiện căn biệt thự mới mua để chuyển về ở trước Tết, rất thiện chí bán căn nhà từng gắn bó. Nhà có lộc, chủ làm ăn phát đạt, gia đình hạnh phúc, con cái giỏi giang.* Vị trí:+ Nằm trong khu phân lô quân đội, đường xá rộng rãi, vỉa hè, ô tô đỗ cửa 24/24, thông các ngả. Hàng xóm toàn tướng tá, giáo viên, bác sĩ, giới trí thức nên rất yên tâm về độ văn minh. Tâm điểm kết nối các cung đường chính như QL32, Phạm Văn Đồng, Vành Đai 3, Cầu Giấy, Võ Chí Công, cửa ngõ đại đô thị Starlake Tây Hồ Tây.+ Tiện ích: Sân tennis, bãi đỗ xe, bể bơi, trường học các cấp, chợ truyền thống, siêu thị Winmart, công viên hồ điều hòa Nghĩa Đô, 10 phút tới bệnh viện E, bến xe Mỹ Đình.* Thiết kế:+ Chủ xây rất tâm huyết nên kết cấu vô cùng chắc chắn, sử dụng toàn gỗ tự nhiên, cầu thang và nội thất gỗ óc chó, phòng thờ gỗ Đinh hương đẳng cấp, giường tủ. Tặng lại khách mua hết. Ngoài ra còn có thiết bị WC nhập ngoại, nước nóng năng lượng mặt trời, thang máy, điều hòa âm trần đầy đủ. Khách mua chỉ việc mang quần áo đến là ở được luôn.+ Bố cục: Các phòng đều thoáng sáng.- Tầng 1: Gara + Phòng người giúp việc + WC.- Tầng 2: Phòng khách rộng + Bếp.- Tầng 3 - 4 mỗi tầng 2 Phòng ngủ cực rộng + WC khép kín.- Tầng 5: Phòng thờ, Sân phơi, Khu tiểu cảnh.* Sổ đỏ vuông vắn, trước sau như một, sẵn sàng giao dịch.* Giá 17.2 tỷ (có thương lượng).            ",120 m²,17.2 tỷ,6 m,5 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36037339,batdongsan_com_vn_36037339,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Nguyễn Duy Trinh', 'Dự án VP5 Linh Đàm']","
Gia đinh có việc cần bán nhanh căn hộ toà VP5 Linh Đàm tầng 12- tòa cực hiếm nhà bán- Cửa hướng Tây ban công hướng Đông.- Thông thuỷ 61.5m², 2 ngủ 2 vệ sinh để lại full nội thất sổ đỏ đầy đủ.- Bán đảo Linh Đàm sống rất thích, hồ xung quanh, cây cối bạt ngàn, tiện ích, phòng Gym, siêu thị... Đầy đủ.- Giá 1.89 tỉ có gia lộc không bao sang tên.Liên hệ chính chủ anh Mạnh 0984 639 *** call/zalo miễn TG.            ",61.5 m²,1.89 tỷ,,,Sổ đỏ/ Sổ hồng,,01/12/2022,08/12/2022,Tin thường,34854610,batdongsan_com_vn_34854610,,2 phòng,2 phòng
"['Hà Nội', 'Sơn Tây', 'Xã Cổ Đông', 'Đường Quốc lộ 21A(Quốc lộ 21)', 'Dự án Hòa Lạc Premier Residence']","
Lô biệt thự góc số B38 thuộc dự án Thiên Mã - Khu đô thị đáng sống nhất Hoà Lạc.Diện tích 270m² mặt tiền 14m nằm ngay cổng chính số 3.Dự án nằm sát cạnh sân golf Đồng Mô và đường Quốc lộ 21 quy hoạch mở rộng.Hạ tầng tiện ích dự án đã hoàn thiện xong như: Nhà hàng, trường học, nhà điều hành, Hồ cá,Đã có cư dân về ở.Đầu tư cho lợi nhuận tốt ăn theo sự phát triển của khu công nghệ cao Hoà Lạc và đón sóng sinh viên về học tại Đại học Quốc Gia.Giá chỉ 19 tr/m² ký hợp đồng mua bán trực tiếp với chủ đầu tư.Liên hệ: 0393 652 *** ",270 m²,19 triệu/m²,15 m,,"Dự án đẳng cấp, mua là lãi.",,05/12/2022,12/12/2022,Tin thường,34102886,batdongsan_com_vn_34102886,14 m,,
