address,gen_descrip,Diện tích,Mức giá,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số phòng ngủ,Số toilet,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Gia Thụy']","
- Vị trí rất đẹp, ô tô đỗ, an sinh đỉnh cao.- Tương lai ra mặt đường chính.- Giao thông thuận tiện, ngõ thông tứ lung tung, ra các phố Bắc Biên, Gia Thượng, Ngọc Lâm, Phú Viên, Hồng Tiến, Nguyễn Văn Cừ, Lâm Du.- Thiết kế:+ Tầng 1: Gara, Phòng khách, bếp + VS.+ Tầng 2, 3: Mỗi tầng 2 ngủ + VS.+ Tầng 4: Phòng ngủ, phòng thờ + sân phơi + tập gym.- Sổ đỏ cất két, sẵn sàng giao dịch.- Chủ rất cần tiền bán gấpLiên hệ tư vấn miễn phí: 0399 668 *** ",56 m²,2.95 tỷ,4 tầng,Sổ đỏ,04/12/2022,11/12/2022,Tin thường,35936229,batdongsan_com_vn_35936229,,,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Thành Công', 'Phố Láng Hạ']","
Trung tâm Ba Đình, Láng Hạ, Thành Công, ô tô đỗ, kinh doanh, lô góc.Nằm ngay trung tâm Ba Đình tiện ích bạt ngàn - kinh doanh - gần trường - chợ - các trung tâm thương mại lớn. Gần hồ Thành Công - ô tô đỗ cửa. Kinh doanh nhiều mặt hàng.36/45m² tầng 2.5 tầng 3.5m mặt tiền 7.85 tỷ. Có thương lượng.Sổ đỏ chính chủ đẹp như hoa hậu.Liên hệ 0962 625 *** để được xem nhà miễn phí.            ",36 m²,7.85 tỷ,5 tầng,Sổ đỏ/ Sổ hồng,06/12/2022,16/12/2022,Tin thường,35109088,batdongsan_com_vn_35109088,3.5 m,5.5 m,4 phòng,4 phòng,,,
"['Hà Nội', 'Đống Đa', 'Phường Thịnh Quang', 'Phố Thái Thịnh', '35']","
Chính chủ đã mua nhà to hơn gửi bán gấp nhà TT Vĩnh Hồ, Thái Thịnh nhà sửa mới Koong ở ngay.+ Nhà nằm Ngõ 35 Thái Thịnh, trung tâm Quận Đống Đa, khu vực tiện ích bạt ngàn ngõ thông khắp các ngả.+ Nhà vừa được sửa mới chắc chắn sạch đẹp,- Thiết kế rất hợp lý. Phòng khách, phòng ngủ, nhà bếp riêng rộng rãi, vệ sinh. Nhà ở rất có lộc các con đều thành đạt đã nhà to không sử dụng đến nên gia đình bán đi.- Sổ đỏ chính chủ sẵn sàng giao dịch.- Giá 888 triệu.- Liên hệ Mr Sáng điện thoại Zalo 0778 488 *** để được xem nhà miễn phí 24/7.            ",29 m²,888 triệu,,Sổ đỏ chính chủ sẵn sàng giao dịch,06/12/2022,13/12/2022,Tin thường,36040737,batdongsan_com_vn_36040737,,,1 phòng,1 phòng,Đầy đủ,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Lương', 'Đường Minh Khai']","
Nhà đẹp Phố Minh Khai, Hai Bà Trưng, gần Times City: 40m² 5 tầng, 3 ngủ khép kín rộng rãi, ở luôn.- Nhà đẹp chủ tự xây đẹp, chắc chắn, Khu dân trí cao, an ninh tốt, ở vượng khí.- Gần chợ trường học các cấp, an sinh đỉnh, tiên ích không thiếu thứ gì, giao thông thuận lợi vô cùng.- Nhà trong ngõ to ô tô dừng đỗ, khu toàn cán bộ, bác sỹ, nằm lõi trung tâm quận Hai Bà Trưng, gần trường học bệnh viện lớn tuyến TW, các trường ĐH lớn: Bách Khoa, Xây Dựng, Kinh Tế quốc dân..., con cái đi cực gần.- Sổ đỏ chính chủ, nở hậu, hút tài lộc.            ",40 m²,4.39 tỷ,5 tầng,Sổ đỏ/ Sổ hồng,03/12/2022,10/12/2022,Tin thường,35311228,batdongsan_com_vn_35311228,4 m,3 m,3 phòng,4 phòng,,,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Lâm', 'Đường Ngọc Lâm']","
- Phố Ngọc Lâm trung tâm quận Long Biên, phố Vip, vài bước chân ra mặt phố bạt ngàn tiện ích.- Ngõ rộng, thông, giao thông thuận tiện.- Sổ đỏ vuông đét sẵn sàn giao dịch.Liên hệ tư vấn miện phí: 0399 668 *** ",102 m²,4.5 tỷ,,,05/12/2022,15/12/2022,Tin thường,36036247,batdongsan_com_vn_36036247,,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Xã Đàn']","
Mặt phố Xã Đàn thông Ô Chợ Dừa ngay Tôn Đức Thắng - Nguyễn Lương Bằng - hàng hiếm - vỉa hè kinh doanh bất chấp. Thang máy vù vù. 0962 625 ***Nằm ngay con phố lớn của Đống Đa Xã Đàn con đường đẹp và sầm uất bậc nhất Hà Nội. Kinh doanh mọi loại hình. Phố hiếm nhà bán. Kinh doanh mọi mặt hàng đều ra tiền.DT 46m² x 7 tầng, 5m mặt tiền, 36 tỷ có thương lượng.Sổ đỏ chính chủ. Đẹp như hoa hậu.Liên hệ để được xem nhà miễn phí.            ",46 m²,36 tỷ,7 tầng,Sổ đỏ.,02/12/2022,12/12/2022,Tin thường,34222749,batdongsan_com_vn_34222749,5 m,35 m,5 phòng,7 phòng,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Phố Mạc Thị Bưởi']","
Mặt phố Mạc Thị Bưởi - Hai Bà Trưng cần tiền bán gấp nhà đẹp: 80m², 6T, thang máy, vỉa hè KD rất tốt.- Nhà nằm vị trí đẹp trong ngõ tại trung tâm quận Hai Bà Trưng, khu dân trí cao, an ninh tốt, an sinh đỉnh, gần Time City, Hòa Bình Green city, Imper Sky Garden, đường vành đai 2, đi đâu cũng tiện, Gần các trường đại học Bách Khoa, Kinh Tế, Xây Dựng..., các BV lớn như Bạch Mai, Thanh Nhàn, BV PHổi....- Giao các phố Minh Khai - Lạc Trung thông sang Thanh Nhàn - Kim Ngưu - Tam Trinh - Lò Đúc - Trần Khát Chân... Giao thông vô cùng thuận lợi.Nhà thiết kế đẹp công năng đầy đủ:- Tầng 1: Phòng KD, để xe, bếp, WC.- Tầng 2, 3,4,5: Mỗi tầng 2 phòng.- Tầng 6: Phòng thờ, phòng trà ngắm phố, sân phơi.- Sổ đỏ đẹp chính chủ, pháp lý rõ ràng, sẵn sàng giao dịch.            ",80 m²,27.99 tỷ,6 tầng,Sổ đỏ/ Sổ hồng,03/12/2022,12/12/2022,Tin thường,34525656,batdongsan_com_vn_34525656,5 m,30 m,6 phòng,6 phòng,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
Bán biệt thự Ciputra Tây Hồ, Hà Nội. Không gian xanh cho cuộc sống thượng lưu. DT từ: 140m² - 500m².- Khu đô thị Ciputra xanh sạch đẹp, thân thiện tri thức, cộng đồng dân trí cao.Siêu phẩm cho cuộc sống trường thọ. Khu vực đáng sống bậc nhất tại Hà Nội.- Khu VIP - Khu vực cư dân Ciputra có nhiều chuyên gia nước ngoài đến từ nhiều quốc gia Châu Âu - Châu Á... Bạn và gia đình có thể thường xuyên tiếp xúc với người nước ngoài. Giúp bạn hiểu biết hơn về phong tục, tập quán, ngôn ngữ.... Khu vực có nhu cầu Thuê và đạt giá thuê cao nhất khu VIP Tây Hồ.- Khu đô thị có an ninh: 24/24H hàng xóm toàn là quan chức nhà nước, dân trí cao.* Các căn biệt thự có sẵn để giao dịch ngay.- Nhà biệt thự khu T, khu C, khu D, khu K, khu Q Ciputra.DT 140m², 150m², 180m², 200m², 300m², 400m²... Đến hơn 500m².Xây 3 tầng.- Khu T diện tích 140m² hướng Đông Bắc.- Khu T diện tích 150m² hướng Tây Nam.- Khu T diện tích 180m² hướng Đông Bắc.- Khu T diện tích 220m² lô góc hướng Đông Nam + Đông Bắc.- Khu T diện tích 230m² mặt đường đôi đẹp.- Khu C diện tích 126m² hướng Bắc.- Khu C diện tích 198m² hướng Bắc.- Khu C diện tích 217m² hướng Tây Nam.- Khu C diện tích 345m² hướng Đông mặt đường đôi.- Khu C diện tích 360m² hướng Đông Nam.- Khu D diện tích 180m² hướng Tây.- Khu D diện tích 207m² hướng Tây mặt đường đôi.- Khu D diện tích 300m² hướng Đông.- Khu D diện tích 342m² hướng Bắc, mặt đường đôi.- Khu K diện tích 140m² hướng Nam nhìn vườn hoa.- Khu K diện tích 180m² hướng Bắc đường đôi.- Khu K diện tích 330 - 403m² hướng Đông Bắc.- Khu Q diện tích 400 - 535m² hướng Bắc và TB.- Khu Q diện tích 427m² hướng Đông Bắc.- Pháp lý: Đã có sổ lâu dài.Một ngôi biệt thự sang trọng, tinh tế nằm trong khu vực yên tĩnh, dân trí cao có phải là điều mà bạn đang tìm kiếm?Còn rất nhiều biệt thự đẹp bán giá rẻ, liên hệ để có được nhiều thông tin hơn. Cảm ơn bạn đã tìm đến tôi!Liên hệ đi xem nhà: 0986 788 *** ",200 m²,Thỏa thuận,3 tầng,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35517449,batdongsan_com_vn_35517449,15 m,15 m,5 phòng,4 phòng,,Đông - Nam,Tây - Bắc
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Phạm Tuấn Tài']","
Mặt phố Phạm Tuấn Tài, Hoàng Quốc Việt, ô tô dừng đỗ, kinh doanh bất chấp, vỉa hè rộng.Nằm mặt phố của trung tâm Cầu Giấy Phạm Tuấn Tài thông Hoàng Quốc Việt và thông sang Nguyễn Văn Huyên kinh doanh bất chấp. Hiện chủ đang cho thuê cả toà nhà văn phòng. Nhà đẹp 8 tầng thang máy êm du.60m² 8 tầng 4.5m mặt tiền, 28tỷ có thương lượng.Sổ đỏ chính chủ đẹp như hoa hậu.Ib để được xem nhà miễn phí. Làm việc với chính chủ 0962 625 *** ",60 m²,28 tỷ,8 tầng,Sổ đỏ/ Sổ hồng,01/12/2022,11/12/2022,Tin thường,35645473,batdongsan_com_vn_35645473,4.5 m,25 m,5 phòng,7 phòng,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bùi Thị Xuân', 'Đường Triệu Việt Vương']","
Phố cổ Triệu Việt Vương, Tuệ Tĩnh, Tô Hiến Thành, hàng hiếm, kinh doanh, vỉa hè rộng 0962 625 ***Nằm ngay trung tâm phố lớn của Hà Nội. Kinh doanh bạt ngàn vỉa hè rộng ô tô đỗ ngày đêm. Hàng siêu hiếm.43m², _ 4 tầng, 4.2m mặt tiền 30.5ty.Sổ đỏ chính chủ vuông như bánh chưng.Liên hệ để được xem nhà miễn phí.            ",44 m²,30.5 tỷ,4 tầng,Sổ đỏ,06/12/2022,16/12/2022,Tin thường,34195825,batdongsan_com_vn_34195825,4.2 m,30 m,4 phòng,3 phòng,,,
