address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Hoàng Văn Thái']","
Tôi cần bán gấp nhà mặt phố Hoàng Văn Thái vuông vắn xây 5 tầng.Diện tích: 114,8m² thiết kế 20 phòng hiện đang cho thuê 120tr/tháng.Giá bán nhanh 25 tỷ thu về có thương lượng cho khách thiện chí.Mọi thông tin chi tiết xin liên hệ: 0979 158 *** ",114.8 m²,25 tỷ,20 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,15/12/2022,Tin thường,36039935,batdongsan_com_vn_36039935,,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Đông Mỹ', 'Đường Đông Mỹ']","
Vị trí rất ít nhà bán, giao thông thuận lợi kết nối trục Đông Mỹ - Ngũ Hiệp 30m, 50m ra chợ Đông Mỹ, Công An Đông Mỹ, 70m ra Cấp 1 Đông Mỹ, Sân bóng, UBND xã Đông Mỹ, điểm xe bus 30m. Khu vực tăng trưởng từng ngày, cơ sở hạ tầng được đầu tư mạnh, tiềm năng phát triển lâu dài, cơ hội x2,3 khi Thanh Trì chính thức lên quận.Giá chào: 43 tr/m² (có bớt).Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên hệ: Nam thổ cư: 0354 158 *** gặp chính chủ đàm phán.            ",65 m²,2.795 tỷ,,Sổ đỏ/ Sổ hồng.,,05/12/2022,12/12/2022,Tin thường,33319238,batdongsan_com_vn_33319238,4 m,5 m,,,,
"['Hà Nội', 'Đống Đa', 'Phường Quốc Tử Giám', 'Phố An Trạch']","
Muốn mua nhà đến ở luôn đừng bỏ qua bài viết này.Chính chủ chuyển công tác Đà Nẵng làm ăn. Cần bán nhà tại An Trạch 1 - Quốc Tử Giám - Đống Đa - Hà Nội. An ninh rất tốt, Khu đất của Cán bộ công an cấp cao. Đường trước nhà 2 ô tô tránh nhau thoải mái. Để oto trước ngõ ngày đêm không cần cho vào nhà. Giá: 1X tỷ (có thương lượng).Vị trí trung tâm của trung tâm bán kính 500m có đầy đủ tiện ích như:Sân vận động Hàng Đẫy.Văn Miếu Quốc tử Giám.Trường ĐH mỹ thuật Công Nghiệp & trường đại học văn Hoá Hà Nội.Ga Cát Linh.1km kết nối tới Lăng Bác, Bệnh viện Việt Đức, Ga Hà Nội...2km kết nối Hồ Tây, Nhà hát Lớn Hà Nội, Trường ĐH Luật, Chùa Láng Công Viên Thủ Lệ.Diện tích đất 40m². DTXD 265m². Phong thuỷ tốt. Hướng Đông Nam thoáng mát.Xây dựng 6 tầng + hố chờ thang máy. Thiết kế 5 phòng ngủ, hồ cá coi, hệ thống giếng trời thông minh điều khiển từ xa.Bàn giao full nội thất (tivi, tủ lạnh, bàn ghế sofa, tủ bếp, lò vi sóng... Vân vân, mây mây toàn đồ xịn sò nhập khẩu bên Đức) Chủ rất tâm huyết từ thiết kế đến nội thất màu sơn....Bao gồm:Tầng 1 thiết kế chỗ để xe + nơi tiếp khách nhỏ + bể cá coi.Tầng 2: Thiết kế 1 phòng khách lớn, bếp ăn, vệ sinh khép kín.Tầng 3: 1 Phòng ngủ Master.Tầng 4 + 5: Thiết kế 4 phòng ngủ + vệ sinh khép kín.Tầng 6: Thiết kế 1 phòng thờ nằm ngoài vườn treo(riêng biệt) + sân phơi (hệ thống giàn phơi thông minh, 1 phòng giặt (2 máy giặt sấy của hãng Electrolux siêu xịn sò) 1 kho để đồ gia dụng gia đình.Liên hệ: 0985 429 ***Duy Thành 0985 429 *** ",40 m²,12.3 tỷ,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ. Toàn đồ nhập khẩu.,03/12/2022,13/12/2022,Tin thường,34960282,batdongsan_com_vn_34960282,6.4 m,7 m,Đông - Nam,Đông - Nam,6 tầng,5 phòng
"['Hà Nội', 'Hoàng Mai', 'Phường Thịnh Liệt', 'Đường Giải Phóng']","
Vị trí đắc địa, mặt phố Giải Phóng, vỉa hè, đường 32m. Kinh doanh đỉnh cao, nhà mới đẹp, thang máy xịn sò chạy vù vù. Phù hợp cho thuê kinh doanh, văn phòng, spa, trung tâm tiếng Anh...Chủ nhà thiện chí, sổ đỏ cực đẹp, sẵn sàng giao dịch.Giá chào: 16.4 tỷ - thương lượng tốt.Tôi Nam Hoàng: 0354 158 ***làm việc trực tiếp chủ nhà).            ",60 m²,16.4 tỷ,7 phòng,Sổ đỏ.,Nhập khẩu cao cấp.,05/12/2022,12/12/2022,Tin thường,33639042,batdongsan_com_vn_33639042,4 m,32 m,,,5 tầng,4 phòng
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Ngọc Hồi']","
Bán nhà Ngọc Hồi, Hoàng Mai 30m², MT3.2m phân lô, ô tô tránh, kinh doanh. Chỉ 3.38 tỷ (Có TL).Vị trí đắc địa, 50m ra mặt đường Ngọc Hồi, ô tô tránh, phân lô an ninh tốt, kinh doanh online, spa,...Sổ đỏ chính chủ, thơm phức, sẵn sàng giao dịch.Tôi, Nam Hoàng: 0354 158 ***làm việc trực tiếp chủ nhà).            ",30 m²,3.38 tỷ,2 phòng,Sổ đỏ/ Sổ hồng.,Hiện đại.,05/12/2022,12/12/2022,Tin thường,35961845,batdongsan_com_vn_35961845,3.2 m,7 m,,,2 tầng,1 phòng
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Dự án The Emerald']","
Nhà em cần bán căn 3PN full đồ trục 04 tòa E1 view cực đẹp chung cư Ct 8 The Emerald giá 4,3 tỷ BP.Căn hoa hậu trục đẹp nhất dự án, vuông văn.Diện tích 103m² chia làm 3PN.Căn hộ đã làm toàn bộ nội thất nhập khẩu.Hướng mát view Thành Phố Châu Âu The Manor.Do cần tiền trả lãi ngân hàng nên cần bán gấp.Anh chị nào có nhu cầu tìm hiểu vui lòng liên hệ em qua SĐT: 0926 138 ***/zalo.            ",103 m²,4.3 tỷ,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,05/12/2022,12/12/2022,Tin thường,36038985,batdongsan_com_vn_36038985,,,Tây - Bắc,Đông - Nam,,2 phòng
"['Hà Nội', 'Ba Đình', 'Phường Nguyễn Trung Trực', 'Phố Hòe Nhai']","
Tôi cần bán nhà ngõ Hòe Nhai, giá 5.2 tỷ, 48m2x4T, ngõ gần, ảnh thật.Mô tả:- Ảnh gia đình thuê thiết kế nội thất, cam kết thực tế như ảnh minh hoạ.- Tổng diện tích sử dụng là 48m². Hiện trạng nhà chia làm 2 khối nhà. Một khối nhà 16m², một khối nhà 35m².- Mặt tiền rộng 3.8m. Thiết kế cơ bản hiện đại, chủ mới về ở được luôn.Nhà cách mặt phố Hòe Nhai đúng 3 bước chân, di chuyển thuận lợi.Pháp lý: Sổ đỏ.Giá 5,2 tỷ, có thương lương.Liên hệ: 0888 638 *** - 0931 866 ***.Miễn trung gian môi giới.            ",48 m²,5.2 tỷ,3 phòng,Sổ đỏ,,05/12/2022,12/12/2022,Tin thường,35858135,batdongsan_com_vn_35858135,3.8 m,,,,4 tầng,3 phòng
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Dự án The Emerald']","
Giá tốt chốt trước tết The Emerald.Diện tích: Gần 100m².Vuông đét.Hoa hậu.Tầng trung.Hướng mát.Full đồ đẹp.Giá thị trường 4.6 tỷ trở lên.Chủ bán nhanh: 4,45 tỷ.Liên hệ: 0926 138 *** ",100 m²,4.45 tỷ,3 phòng,,,05/12/2022,12/12/2022,Tin thường,36039005,batdongsan_com_vn_36039005,,,,,,2 phòng
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', 'Dự án Thành Phố Giao Lưu']","
Biệt thự 3 mặt thoáng thang máy, 2 mặt đường ô tô tải tránh, khu vực đáng sống nhất Từ Liêm, cầu giấy.+ Vị trí đắc địa nằm tiếp giáp đường K3 và đường Hoàng Quốc Việt kéo dài, trước mặt là hồ điều hòa rộng 15ha cùng với hồ đập tràn cảnh quan cây xanh. Không gian yên tĩnh riêng tư cho từng gia chủ. Riêng nhà mình trước cửa là cả 1 công viên mini.Tầng 1 là phòng khách và không gian rộng tùy các gia chủ xử dụng.+ Tầng 2 là 2 phòng ngủ và 1 phòng đọc sách.+ Tầng 3 là 4 phòng ngủ và 1 phòng thử đồ.+ Tầng 4 sân thượng, kho để đồ.+ Pháp lý chuẩn sẵn sàng giao dịch.+ 0961 506 *** em Trọng Hải.            ",200 m²,43 tỷ,6 phòng,,,05/12/2022,15/12/2022,Tin thường,34674541,batdongsan_com_vn_34674541,,,,,4 tầng,
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Phố Vạn Phúc']","
Chủ cần bán gấp hạ chào 1 tỷ rẻ nhất khu vực k có căn rẻ thứ 2, chủ tặng toàn bộ nội thất, thông số vàng 50m² x 5 tầng x 5m mặt tiền.Bán nhà liền kề vạn phúc hà đông vị trí đẹp, mặt tiền rộng nhà thiết kế hiện đại, ô chờ thang máy, nhà ngay sau Him Lam Vạn Phúc khu khu vực đang phát triển, xung quanh nhiều trường học, hạ tầng ổn định.- Thiết kế:T1 + 2: Thông sàn làm văn phòng.T3 + 4: 4 phòng ngủ.T5: Thờ, trồng rau, sân phơi.- Chủ tự xây tâm huyết, sổ đỏ chính chủ.            ",50 m²,8.9 tỷ,,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36039929,batdongsan_com_vn_36039929,5 m,,,,5 tầng,
