address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Số tầng,Đường vào,Hướng nhà
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Tô Vĩnh Diện']","
Gia đình làm ăn có lộc đã mua biệt thự liền kề cần bán nhà Tô Vĩnh Diện trước Tết:+ Diện tích: 45m².+ Mặt tiền: 5m.+ Sổ đỏ phân lô, chính chủ.+ Giá bán: 6,1 tỷ.- Vị trí:+ Nhà khu phân lô Quân đội, ngõ dải nhựa ô tô thông tuyến phố Tô Vĩnh Diện, Hoàng Văn Thái, Cù Chính Lan, Nguyễn Ngọc Nại, Vương Thừa Vũ...+ Gần đại học Y, Thủy Lợi, Kinh Tế Quốc Dân, Bách Khoa, bệnh viện Bưu điện, bệnh viện Đại học Y, bệnh viện Bạch Mai...- Khu vực:+ Trung tâm Thanh Xuân giáp ranh các quận Đống Đa - Hai Bà Trưng - Hoàng Mai - Hà Đông - Cầu Giấy.+ Cơ sở hạ tầng đang quy hoạch phát triển mạnh.+ Tiềm năng giá trị nhà đất tăng cao.- Thiết kế:+ Nhà hai thoáng trước sau.+ Phong cách hiện đại tối ưu hóa công năng sử dụng có ô chờ thang máy.+ Tổng 5 ngủ, bếp, phòng khách, khu tiểu cảnh.- Nhà phù hợp nhiều đối tượng khách hàng:+ Mua để ở.+ Vừa ở vừa kinh doanh.+ Đầu tư lướt sóng.- Liên hệ: Mr Hải, 0946 921 ***, Chuyên gia tư vấn, mua bán Bất động sản khu vực, Cù Chính Lan, Hà Kế Tấn, Hồ Rùa, Hoàng Văn Thái, Lê Trọng Tấn, Nguyễn Lân, Nguyễn Ngọc Nại, Nguyễn Trãi, Nguyễn Văn Trỗi, Nguyễn Viết Xuân, Phương Liệt, Tô Vĩnh Diện, Trần Điền, Trịnh Đình Cửu, Trường Chinh, đường Vành Đai 2, Đường Vành Đai 3, Vũ Tông Phan, Vương Thừa Vũ,...(Anh, chị, em Môi giới, QC xin không làm phiền).            ",45 m²,6.1 tỷ,5 m,"Sổ đỏ phân lô, chính chủ.",05/12/2022,12/12/2022,Tin thường,36039667,batdongsan_com_vn_36039667,,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Lê Văn Lương', 'số 27', 'Hà Nội Center Point']","
Tôi là chính chủ cần bán gấp căn hộ 2PN dự án Hà Nội Center Point số 27 Lê Văn Lương.Diện tích 64m², thiết kế 2PN.Ban công Đông Nam view bể bơi.Để lại nội thất, khách chỉ cần xách vali về ở.Gía 2.9 tỷ có thương lượng.Liên hệ em Hoa 0833 380 *** ",64 m²,2.9 tỷ,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35786080,batdongsan_com_vn_35786080,Đông - Nam,2 phòng,2 phòng,Full nội thất,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Mỹ Đình']","
Bán nhà phố Mỹ Đình. Ngõ rộng, 5m ra ô tô. DT 35m² x 4T. Giá 3,7 tỷ. LH 0934 511 ***Nhà nằm tại khu vực sầm uất nhất phố Mỹ Đình. Ngõ rộng, thông ra đường Tân An Bình + Lê Đức Thọ, kết nối tới phố Thiên Hiền, Đình Thôn, đường Phạm Hùng.+ Nhà dân xây rất chắc chắn mỗi tầng 2 phòng ngủ + wc giữa, có giếng trời, phù hợp vừa ở vừa cho thuê có dòng thu nhập ổn định, thiết kế thêm thành 9 phòng khép kín đạt doanh thu 40 triệu/tháng.Thiết kế:+ Nhà xây khung cột kiên cố chắc chắn.- Tầng 1: Để xe + bếp hoặc sửa thành 1 phòng ngủ.- Tầng lửng làm phòng khách.- Tầng 2,3: Mỗi tầng 2 phòng ngủ.- Tầng 4: Phòng thờ và sân phơi.+ Pháp lý: Sổ đỏ chính chủ.------------------------------* Với mong muốn giúp anh/chị nhanh chóng tìm được căn nhà ưng ý, không phải tốn nhiều thời gian và công sức đi lại. Hiện tôi đang có nhiều căn hộ chung cư, nhà riêng, nhà mặt phố, chung cư mini dòng tiền,... Tại Hà Nội các chủ nhà đang nhờ bán, sẵn sàng cung cấp thông tin cho anh/chị.* Gọi cho tôi ngay: Anh Tuấn 0934 511 *** để được tư vấn và xem nhà miễn phí.            ",35 m²,3.7 tỷ,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36039660,batdongsan_com_vn_36039660,,4 phòng,3 phòng,,4 tầng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Trần Quốc Hoàn']","
Chủ nhà cần bán gấp nhà phân lô phố Trần Quốc Hoàn, Dịch Vọng Hậu, Cầu Giấy, Hà Nội. Đoạn ngay gần ngã 4 Trần Quốc Hoàn giao cắt Nguyễn Phong Sắc.Thông số:Diện tích: 50m² x 5T.Mặt tiền: 4.2m..Giá bán: 12.8 tỷ.Nhà thuộc khu đất phân lô trong ngõ 1 Trần Quốc Hoàn, ngõ thông ra nhiều tuyến phố như Nguyễn Phong Sắc, Tô Hiệu, Nghĩa Tân..Nhà xây 5 tầng thiết kế cầu thang giữa nhà, mỗi tầng 2 PN, vệ sinh ở giữa.Nhà xây dựng thoáng mát, cách nặt phố chính 30m, ngõ rộng oto đỗ trong nhà. Nhà xây mới, chắc chắn và đẹp mêly. Gia chủ để toàn bộ nội thất như trong ảnh.Sổ đỏ vuông vắn, đẹp.Khách hàng quan tâm liên hệ tôi để biết thêm:Điệp Lưu Vệ: 0977 805 *** ",50 m²,12.8 tỷ,,Sổ đỏ/ Sổ hồng,03/12/2022,10/12/2022,Tin thường,36018892,batdongsan_com_vn_36018892,,5 phòng,5 phòng,Đầy đủ,5 tầng,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Bạc', 'Phố Mã Mây']","
Bán nhà Mã Mây Hoàn Kiếm - phố cổ - lô góc KD mọi loại hình 60m², giá 34 tỷ.Mô tả:+ Vị trí địa thuộc khu vưc phố vịp như Mã Mây, tạ hiện, hàng bạc hàng buồm, lương ngọc quyến..+ Căn góc, vỉa hè rộng nhất phố, view thoáng, kinh doanh du lịch ngày đêm.- Nhà 4 tầng, kiên cố. Chắc chắn hoạt động kinh doanh ngay.- Tầng 1 thông sàn, tầng 234 mỗi tầng 1 phòng.- Mặt tiền đẹp, đang cho thuê spa 55 triệu/tháng.- Sổ vuông, chủ đang cần giao dịch gấp.- Gia chốt bất ngờ.- LH 0901 293 *** ",60 m²,34 tỷ,,,05/12/2022,13/12/2022,Tin thường,36039653,batdongsan_com_vn_36039653,,5 phòng,5 phòng,,4 tầng,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Lê Trọng Tấn', 'Dự án Geleximco Lê Trọng Tấn']","
Bán biệt thự Khu đô thị Geleximco đường Lê Trọng Tấn Hà Đông, Hà Nội.Vị trí đắc địa, hiện là khu đô thị đông dân cư về ở rất nhiều, khu vực phát triển năng động, tọa lạc ngay bên cạnh công viên giải trí Thiên Đường Bảo Sơn, Xung quanh là các khu đô thị lớn đẳng cấp bậc nhất Hà Nội, Vinhomes Thăng Long, Thiên Đường Bảo Sơn, khu đô thị Park City...Gần trung tâm thương mại lớn nhất Việt Nam AEON MALL Hà Đông.Hiện trạng biệt thự xây thô đã hoàn thiện mặt ngoài quý khách mua về tự hoàn thiện nội thất theo ý tưởng sáng tạo riêng.Diện tích 240m², mặt tiền 12m.Đường to rộng 26m.Giá có thương lượng thỏa mãn nhất. giá trên tính cả đất + với nhà rồi .Sổ đỏ chính chủ sẵn sàng giao dịch.Qúy khách quan tâm muốn biết rõ hơn hãy liên hệ theo số điện thoại: 0983 150 *** gặp anh Tưởng chuyên biệt thự, liền kề, nhà mặt phố, nhà ở, đất, các loại bất động sản ở các khu vực vị trí khác nhau.Miễn môi giới, trung gian, quảng cáo, không làm phiền.            ",240 m²,18.8 tỷ,12 m,Sổ đỏ/ Sổ hồng,05/12/2022,13/12/2022,Tin thường,35794538,batdongsan_com_vn_35794538,,6 phòng,6 phòng,,4 tầng,26 m,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Quang Trung']","
Hạ 2 tỷ! Bán nhà MP Quang Trung Hà Đông 66m², 7T thang máy, MT 5m, chỉ 14 tỷ, kd thuê 40 triệu.+ 7 tầng thang máy, mặt phố lớn kinh doanh cực kỳ sầm uất.+ Nói không với quy hoạch - pháp lý sổ đỏ lâu dài sẵn sàng giao dịch.+ Thiết kế: Tầng 1, 2, 3, 4 thông sàn. Tầng 5 chia 2 ngủ, tầng 6 bếp, phòng khách, tầng 7 phòng thờ, sân phơi.Liên hệ: A Thiệp Ba La: 0909 073 *** ",66 m²,14 tỷ,5 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35556821,batdongsan_com_vn_35556821,,8 phòng,7 phòng,,7 tầng,60 m,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Lê Trọng Tấn']","
Hạ sốc 5 tỷ! Bán gấp đất MP Lê Trọng Tấn kéo dài 162m², đất, MT 12m giá chỉ còn 40.5 tỷ, lô góc.+ Lô góc 1 mp + 1 mặt ngõ.+ Sổ siêu đẹp.+ Giá đầu tư.+ Lh: Mr thiệp: 0909 073 *** ",162 m²,40.5 tỷ,12 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,34831476,batdongsan_com_vn_34831476,,1 phòng,1 phòng,,1 tầng,20 m,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Ngụy Như Kon Tum']","
Bán biệt thự siêu đẹp quận Thanh Xuân 180m², 4T, MT 10m, giá chỉ 27.5 tỷ (khu đô thị).+ Biệt thự khách quen nhờ bán giúp nằm quận Thanh Xuân rất yên tĩnh, thoáng mát, nằm trong kdt chỉ 40 căn biệt thự tách biệt, an ninh cực tốt.Hướng: Tây Bắc.+ Tầng 1 thông sàn khách bài trí tùy theo ý thích, tầng 2,3 mỗi tầng 3 phòng ngủ và 2 WC; tầng 4 là tum cũng rộng thênh thang có thể ngăn làm 2 - 3 phòng nếu cần; kiến trúc hiện đại, nhà không lỗi phong thủy.Liên hệ: Thiep Villas: 0909 073 *** ",180 m²,27.5 tỷ,10 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35368395,batdongsan_com_vn_35368395,,6 phòng,5 phòng,,4 tầng,15 m,Tây - Bắc
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Phan Văn Trường']","
Nhà đẹp trong khu phân lô, phố Phan Văn Trường sầm uất, trung tâm Q. Cầu Giấy, kinh doanh ngày đêm. Gọi ngay Mr. Tư: 0904 685 năm ba hai. Khu dân trí cao, tiện ích ngập tràn: Chợ, trường học, công viên, bệnh viện kể không hết: Ba bước ra chợ Xanh, gần chợ Nghĩa Tân, kế bên HV Báo chí, ĐH Sư phạm,Vỉa hè trước nhà rộng, đáp ứng nhu cầu kinh doanh, mở văn phòng.+ Nhà xây 6 tầng. Công năng đầy đủ.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Gía chào: 7.3 tỷ (có thương lượng).            ",35 m²,7.3 tỷ,,Sổ đỏ/ Sổ hồng,03/12/2022,10/12/2022,Tin thường,36018877,batdongsan_com_vn_36018877,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Lê Trọng Tấn']","
- Nhà thiết kế theo phong cách Châu Âu hiện đại cực đẹp, nội thất rất cao cấp. Có bản vẽ thiết kế và Sơ đồ điện nước chi tiết.- Nhà 5 tầng, nhiều cửa sổ, đón ánh sáng tự nhiên, thoáng mát.- Diện tích Xây dựng và sử dụng 35m². Mặt tiền 4m.* Vị trí đắc địa:- Nằm ở vị trí thuận lợi: Nằm ngay nút giao ngã tư Lê Trọng Tấn - Tố Hữu, giao thông đi lại vô cùng thuận tiện.- Đối diện KĐT ParkCity. Cạnh KĐT Nam La Khê, Ngô Thì Nhậm, Văn Khê, nên được hưởng đầy đủ tất cả các tiện ích của các khu đô thị như: Công viên đi bộ trải đầy hoa, bể bơi 4 mùa, phòng gym, yoga, spa đẳng cấp, trường học các cấp (cấp 1 và 2 Văn Khê, Trần Đăng Ninh. THPT chuyên Nguyễn Huệ, Lê Quý Đôn, Quang Trung... ).- Sổ đỏ chính chủ. Hồ sơ thiết kế. Giấy phép xây dựng. Pháp lý chuẩn chỉ.- Giá: 4,5 tỷ (có thương lượng + bao phí sang tên sổ đỏ).Liên hệ trực tiếp chính chủ: 0828 715 *** ",35 m²,4.5 tỷ,4 m,Sổ đỏ,05/12/2022,12/12/2022,Tin thường,36033047,batdongsan_com_vn_36033047,,,,,5 tầng,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Mỹ Đình']","
Nhà đẹp đón tết - Mỹ Đình Từ Liêm - full nội thất - ngõ nông - sổ hoa hậu A4 - 35m², 4T, nhỉnh 3 tỷ.- Vị trí trung tâm, khu vực phát triển nhất Nam Từ Liêm, gần chợ, trường học các cấp, an ninh tuyệt đối, hàng xóm thân thiện, ngõ cực nông.- Nhà thiết kế 4T khung cột chắc chắn, hiện đại, full nội thất, khách chỉ việc xách valy về ở.- Sổ đỏ phân lô vuông đét A4, sẵn giao dịch ngay.- LH ngay em Oanh: 0986 608 *** chuyên nhà đẹp Cầu Giấy, Từ Liêm.            ",35 m²,3.7 tỷ,3.8 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36039641,batdongsan_com_vn_36039641,,4 phòng,3 phòng,Đầy đủ,4 tầng,4 m,
