address,gen_descrip,Diện tích,Mức giá,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng ban công
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Phố Nghĩa Tân', 'Ngõ 82']","
- Căn nhà thuộc trung tâm quận Cầu Giấy - nhà phân lô - ô tô 7 chỗ - 2 thoáng - 15m ra phố. Giá cả thương lượng thoải mái.- Vị trí đẹp, trước nhà ô tô 7 chỗ đỗ cửa. Khu phân lô. Nhà đẹp về ở luôn.- Ngõ 82 Nghĩa Tân thông tứ phía. Có thể đi vào từ nhiều hướng (trần tử bình + ngõ 389 hoàng quốc việt + ngõ 82 nghĩa tân).- Trung tâm quận cầu giấy tiện ích vô vàn, chợ, cây xăng, bv, công viên... Ngay gần nhà. Giao thông kết nối đi lại các quận huyện khác tiện lợi.Thiết kế:- Tầng 1: Phòng khách + bếp + WC.- Tầng 2 + 3: Mỗi tầng 2 phòng ngủ, WC.- Tầng 4: Kho + sân phơi.Khu vực an sinh tốt, nhiều tiện ích.Dân trí cao hàng xóm cán bộ cấp cao, an ninh an toàn 24/24.- Sổ đỏ vuông đẹp, giao dịch ngay.Liên hệ 0988 231 *** để được hỗ trợ.-Miễn phí 100% với khách mua: Về dẫn đi xem nhà và kể cả giao dịch thành công, bên mua không mất phí, được tư vấn hỗ trợ. Pháp lý, hợp đồng, sổ đỏ 24/24h. (Lưu ý: Khách chủ tự thương lượng giá).            ",50 m²,8.9 tỷ,4 m,Tây - Nam,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,02/12/2022,09/12/2022,Tin thường,35925925,batdongsan_com_vn_35925925,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Hoàng Văn Thái']","
Căn nhà với thông số vàng gara ô tô - kinh doanh - mặt ngõ thông ô tô tránh - nhà mới ở ngay - chủ trước ở cực lộc nay bán đi mua nhà to hơn.+ Vị trí ngõ thông ô tô, ô tô tránh, Hoàng Văn Thái, Vương Thừa Vũ, Nguyễn Ngọc Nại.+ An sinh đỉnh cao dân trí tốt, giao thông thuận tiện,Khu vực hiếm nhà bán phân khúc 6 tỷ gara ô tô lại càng hiếm.+ Tầng 1 gara ô tô, bếp, vệ sinh.+ Tầng 2, 3, 4 mỗi tầng một phòng khép kín.+ Tầng 5 phòng thờ sân phơi.+ Sổ đỏ vuông đẹp chính chủ sẵn sàng giao dịch.Liên hệ em Tuấn 0988 231 *** để được hỗ trợ. Cam kết hỗ trợ khách hàng mua nhà với giá tốt nhất.            ",34 m²,6 tỷ,4.5 m,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,02/12/2022,09/12/2022,Tin thường,35822289,batdongsan_com_vn_35822289,4.3 m,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Trãi']","
- Gia đình rất thiện chí bán để chia tài sản cho con cái, khách thiện chí giá thương tốt.- Vị trí nhà mặt ngõ 2 ô tô tránh, thông tứ tung kết nối với Lương Thế Vinh, Phùng Khoang, Nguyễn Trãi, Tố Hữu.- Khu vực dân trí phát triển, kinh doanh đa ngành nghề.- Phù hợp cho gia đình thích ở với không gian rộng và các nhà đầu tư chia lô, xây khách sạn, nhà hàng, văn phòng hoặc căn hộ cho thuê.- Sổ đỏ pháp lý chuẩn, giao dịch ngay.Liên hệ: Nguyễn Minh 0973 668 *** ",500 m²,75 tỷ,,,,,,,,02/12/2022,09/12/2022,Tin thường,36018136,batdongsan_com_vn_36018136,,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'Đường Trích Sài']","
Gia đình cần bán nhà riêng phố Trích Sài, Tây Hồ, Hà Nội..- Tọa lạc tại vị trí đắc địa, cách Hồ Tây 15m, bước ra khỏi cửa là có thể nhìn thấy hồ.- Đường trước nhà rộng thoáng ô tô tránh nhau, ôtô dừng đỗ thoải mái.- Nhà thuộc khu phân lô cho cán bộ tập thể địa chất, dân trí cao, an ninh tốt.- Nhà xây dựng chắc chắn, kiên cố, xây dựng 5 tầng tổng 6PN.- Phù hợp vừa ở vừa kinh doanh. Hoặc khai thác mô hình căn hộ.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- Giá bán: 11,2 tỷ.* Liên hệ trực tiếp Mr Phúc. 0978 949 *** ",50 m²,11.2 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,35923362,batdongsan_com_vn_35923362,,
"['Hà Nội', 'Hoài Đức', 'Thị trấn Trạm Trôi', 'Đường 32', 'Dự án Lideco']","
Tôi cần bán căn biệt thự tại khu đô thị Lideco - thị trấn Trôi - Hoài Đức - Hà Nội.- Tên gọi: NV.- Diện tích: 235,5m².- Diện tích tổng sàn xây dựng: 641m².- Thiết kế biệt thự: 5 tầng hoàn thiện bên ngoài.- Kiến trúc pháp.- Đường trước mặt: 13 mét.- Hướng biệt thự: Đông Bắc.- Pháp lý: Sổ đỏ chính chủ.- Vị trí: Gần trục chính của khu đô thị, gần Quốc lộ 32.Việc khu đô thị đã hình thành từ trước, đồng bộ về cơ sở hạ tầng và giao thông, đặc biệt có hồ cảnh quan ở giữa khu đô thị là trái tim và là nhịp sống mát lành cho quý khách hàng sinh sống ở đây, khu dân cư văn minh, yên tĩnh, an ninh nghiêm ngặt, khiến Lideco trở thành khu đô thị đáng sống khu vực Hoài Đức, mọi thông tin chi tiết khách hàng muốn tìm hiểu thêm, xin liên hệ: 0972 990 *** ",235.5 m²,Thỏa thuận,13 m,Đông - Bắc,5 tầng,,,Đã có sổ.,,05/12/2022,12/12/2022,Tin thường,30977257,batdongsan_com_vn_30977257,12 m,Đông - Bắc
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Phố Vạn Phúc']","
Bán nhà Mặt Phố Vạn Phúc KD đỉnh ở sướng 100m² giá 27xtỷ.Mặt phố - kinh doanh - vỉa hè - ô tô 2 chiều - mặt tiền đẹp - ô chờ thang máy - thông số rất đẹp - 2 thoáng trước, sau.+ Nhà 5 Tầng chủ tự xây KCBT vững chắc.- Dt Sổ là 100 m² nhưng thực tế từ tầng 1 gần 140m².- Mặt phố kinh doanh, ô tô 2 chiều, vỉa hè rộng 6m.- Vị trí rất đẹp, thông Liễu Giai, Văn cao, Đường Bưởi, Đội nhân...- Sổ đỏ nở hậu, cất két giao dịch ngay.Lh Định Phan ĐT 0901 293 *** để xem nhà ngay.            ",100 m²,27 tỷ,,,5 tầng,1 phòng,1 phòng,Sổ đỏ,,05/12/2022,13/12/2022,Tin thường,36039594,batdongsan_com_vn_36039594,,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'đường Võng Thị']","
Gia đình cần bán nhà phố Võng Thị, Tây Hồ, Hà Nội.- Nhà 2 mặt thoáng gia đình tự tay tâm huyết xây dựng, kiên cố, chắc chắn. Thiết kế thoáng mát hiện đại.- Vị trí đẹp nhiều tiện ích, khu vực hiếm nhà bán, nhà gần Hồ Tây không khí thoáng mát, trong lành.- Nhà có rất nhiều ngõ để đi vào nhà, toàn ngõ rộng ô tô tránh nhau và đi từ Hồ Tây vào cũng rất gần, cách Hồ Tây chỉ mấy bước chân.- Nhà còn rất mới và chắc chắn, về là ở luôn.- Sổ đỏ vuông đẹp, gia đình thiện chí cần bán.- Giá bán: 8,3 tỷ.* Liên hệ trực tiếp A Phúc, chị My. 0978 949 ***, 0396 783 *** ",50 m²,8.3 tỷ,,,5 tầng,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,35866657,batdongsan_com_vn_35866657,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Hoàng Đạo Thúy', 'Dự án BRG Diamond Residence']","
Chung cư nằm trung tâm thành phố - nhận nhà ngay đón tết.Nằm mặt đường Hoàng Đạo Thúy - Quận Thanh Xuân, Giao thông cực thuận tiện.- Cách Big C Thăng Long 2 phút di chuyển.- Di chuyển các tuyến đường huyết mạch nội đô.- Full nội thất liền tường (điều hòa âm trần, tủ bếp... Vv). Chỉ sach vali về ở.- Thiết kế tối ưu không góc chết, trần cao 3,8m cực thoáng.- Cửa kính tràn viền view trọn thành phố (nằm tại giường ngắm sao về đêm... Vvv).- Trung tâm thương mại, bể bơi vô cực, gym, spa, trường học... (Full tiện ích và dịch vụ. ).- Hỗ trợ vay vốn 65% miễn gốc lãi đến khi nhận nhà.Liên hệ PKD chủ đầu tư để được thông tin bảng giá và chính sách tốt nhất.            ",107 m²,6.5 tỷ,,Tây - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full nội thất liền tường điều hòa âm trần.,07/11/2022,05/02/2023,Tin thường,35744985,batdongsan_com_vn_35744985,,Đông - Nam
"['Hà Nội', 'Long Biên', 'Phường Long Biên', 'Đường Tư Đình']","
Chính chủ gửi bán nhà Tư Đình, 5 tầng - oto đỗ cửa.+ Nhà xây kiên cố chắc chắn, gần công viên, gần dự án cầu Trần Hưng Đạo - sát Aeon Mall Long Biên.DT: 30m², mặt tiền 3.5, hậu 3.6m, ngõ rộng gần 2.5m, xe 7 chỗ đỗ cửa.Nhà hướng Tây Nam.Kiểu dáng tân cổ điển - nhà mới.Bố trí công năng phù hợp cho gia đình 5 người, gồm.+ Tầng 1 phòng khách, bếp, vs, chỗ để xe.+ Tầng 2,3,4 3 phòng ngủ, vệ sinh khép kín.+ Tầng 5 phòng thờ, sân phơi.+ Tiện ích: Gần Aeon, gần trường cấp 1,2,3 Long Biên, gần chợ,... Tiện ích đủ đường. Khi xong dự án cầu Trần Hưng Đạo sang phố cổ chỉ 3km. Giao thông kết nối đồng bộ, hiếm có khó tìm.Giá: 3.65 tỷ có bớt (quá hợp lý - bán hết thì chẳng còn giá đó).Lh em Tài bộ đội SĐT 0824 799 *** - Cam kết: Trung thực, đúng giá, tận tình, chu đáo.            ",30 m²,3.65 tỷ,2.5 m,Tây - Nam,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,05/12/2022,12/12/2022,Tin thường,34267139,batdongsan_com_vn_34267139,3.5 m,Tây - Nam
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Thiên Hiền', '8']","
Bán nhà 8 Thiên Hiền/Đình Thôn Cầu Giấy 68m²/ mặt tiền 9m/ thuê 50tr/11.6 tỷ/45 chỗ cửa, vỉa hè 10m, 7 tầng., thang máy thì ở + cho thuê + tăng giá khủng khiếp.Xin trân trọng cảm ơn quý khách, với nguồn hàng phong phú hàng 1000 căn Hà Nội, giá nét nhất, nhanh chóng tìm được căn nhà ưng ý, làm ơn liên hệ Mr Thông nhà đẹp Hà Nội, zalo 0962 108 ***, 0914 962 ***, (24/24).* Chủ nhà học thức cao, hiểu biết, tính tình hài hòa, khách mua nhà về ở con cái thành đạt, văn phòng làm ăn phát lộc, hàng xóm quan chức, dân trí cao, khu vực như công viên, toàn cây xanh, chim hót líu lo, vừa yên tĩnh vừa sang chảnh, con cái đi học tiện lợi, công Viên Nghĩa Đô, Công Viên Cầu Giấy, Công viên bách thú... Công viên Hòa Bình.* Khu vực phân lô tướng tá, chưa đến 3 phút di chuyển đến trường học quốc tế, ngân hàng, sân bay, công viên, siêu thị, sân bay, 10 phút tới các quận trung tâm, phố cổ.* Ba bước ra Phạm Hùng, Dương ĐÌnh Nghệ, Tôn Thất Thuyết, Mễ Trì, Phạm Văn Đồng, Cầu Giấy, Láng, Mỹ Đình, Hồ Tây lộng gió.* Sổ đỏ hoa hậu, sang tên ngay, hỗ trợ mọi thủ tục tài chính pháp lý.* Xem nhà trực tiếp, trong ngoài, đàm phán giá trực tiếp chủ nhà.Giúp khách hàng tìm được nhà đẹp, là niềm vui cuộc sống, cảm ơn cuộc đời. Hẹn gặp lại quý khách!            ",68 m²,11.6 tỷ,10 m,,7 tầng,7 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Châu âu.,05/12/2022,12/12/2022,Tin thường,34113997,batdongsan_com_vn_34113997,,
