address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Mặt tiền,Hướng ban công
"['Hà Nội', 'Sơn Tây', 'Xã Xuân Sơn']","
Bán nhanh lô đất mặt đường 30m kinh doanh giá tốt nhất thị trường.Diện tích: 2105m² (sổ đỏ Hà Nội).Mặt tiền hơn 20m. Sổ 130m² đất ở còn lại đất trồng cây lâu năm.Vị trí bám sát trục đường tỉnh lộ mở rộng 30m, Gần hồ.Thích hợp đầu tư kinh doanh.Giá rẻ hơn so với thị trường. Nhanh tay LH nhận cơ hội tốt.            ",2105 m²,4.2 triệu/m²,Sổ đỏ/ Sổ hồng.,05/12/2022,15/12/2022,Tin thường,35296795,batdongsan_com_vn_35296795,,,,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tả Thanh Oai', 'Đường Cầu Tó', 'Ngõ 11']","
CC bán nhà Cầu Tó, gần trường kinh tế, chợ, lô góc: DT 35 m²,5 tầng, giá: 2.65tỷ: 0396 969 ***- Tầng 1: Khách + bếp.- Tầng 2,3,4: 3 ngủ khép kín.- Tầng 5: Phòng thờ + sân phơi thoáng mát.* Nội thất cơ bản, chỉ việc sách Vali về ở.* Sổ đỏ chính chủ sang tên ngay.* Lh: 0396 969 *** miễn MG.            ",35 m²,2.65 tỷ,"Sổ đỏ chính chủ, pháp lý sạch.",01/12/2022,09/12/2022,Tin thường,32353530,batdongsan_com_vn_32353530,3 m,Đông - Nam,5 tầng,3 phòng,4 phòng,Nội thất cơ bản,,
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'đường Võng Thị']","
- Diện tích sổ đỏ: 101m², diện tích thực tế 113m².- Nhà nằm trong khu phân lô Quân Đội, ngõ ô tô, vỉa hè, gần đường chính.- Vị trí đẹp, 3p đi bộ ra đến mặt hồ Tây.- Hiện trạng nhà 6 tầng gia chủ đang ở.- Tầng 1: Gara để xe.. Phòng khách.- Tầng 2, 3, 4, 5: 02 phòng - một phòng ngủ nhỏ và một phòng master có vệ sinh riêng.- T6: Phòng thờ + sân ngoài trời.- Sổ đỏ phân lô, sẵn sàng giao dịch.- Giá: 33.5 tỷ (TL).            ",113 m²,33.5 tỷ,,04/12/2022,14/12/2022,Tin thường,36026238,batdongsan_com_vn_36026238,,,,,,,,
"['Hà Nội', 'Sơn Tây', 'Xã Xuân Sơn']","
Chính chủ cần tiền xây nhà bán nhanh 2105m² đất sổ đỏ HN:Diện tích 2105m². Mặt tiền hơn 20m bám sát mặt đường mở rộng 30m.Sổ đỏ pháp lý chính chủ.Gần hồ quanh dân cư đông đúc.Vị trí đẹp kết nối giao thông thuận tiện.Đầu tư, kinh doanh tốt (giá chỉ 4.2tr/m²).LH ngay để nhận thông tin chính thức.            ",2105 m²,4.2 triệu/m²,,05/12/2022,15/12/2022,Tin thường,34981863,batdongsan_com_vn_34981863,,,,,,,30 m,
"['Hà Nội', 'Thanh Trì', 'Xã Thanh Liệt', 'Đường Kim Giang']","
Ngõ thông KD nhỏ, cách ô tô tránh khoảng 30m, Kim Giang: DT 40m²,5 tầng, 3ngủ giá 4.6x tỷ LH: 0973 733 *** c Dự miễn trung gian.+ Nhà nằm ngay khu đô thị Đại Kim, Thermaner Nguyễn Xiển giao thông thuận tiện. Đi đâu cũng tiện như hoàng mai, thanh xuân, hà đông chỉ mất 5 phút.+ Gần các trường quốc tế, đại học, C1, C2 nói chung là sung quanh ko thiếu thứ gì nhà hàng, khách sạn ngân hàng, cây xăng.+ Sổ đỏ chính chủ giao dịch ngay ko cần chờ tách sổ.+ LH: 0973 733 *** c Dự miễn trung gian.+ Có hỗ trợ ngân hàng đến 80%.            ",40 m²,4.65 tỷ,"Sổ đỏ chính chủ sang tên phát 1, ko cần chờ đợi.",01/12/2022,09/12/2022,Tin thường,34967106,batdongsan_com_vn_34967106,,,5 tầng,3 phòng,4 phòng,Nội thất cơ bản chỉ việc sách chó về ở luôn.,3.5 m,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Cầu Tó']","
Bán nhà Cầu Tó, ô tô đỗ ngay bãi xe, chợ, cây xăng: DT 33m², 6 tầng, 4 ngủ giá 3.55 tỷ: 0973 733 *** sổ đỏ hoa hậu.+ Vị trí tuyệt đẹp đi bộ đi chợ, một năm mất 200k tiền gửi xe ko phải cho vào bẩn nhà.+ Giao thông thuận tiện đi hà đông, linh đàm, cách oto tránh khoảng 10m.+ Sổ đỏ chính chủ sang tên ngay.+ Có hỗ trợ ngân hàng.+ LH: 0973 733 *** c Dự miễn trung gian.            ",33 m²,3.55 tỷ,"Sổ đỏ đẹp, pháp lý sạch.",05/12/2022,12/12/2022,Tin thường,34967037,batdongsan_com_vn_34967037,3.5 m,,6 tầng,4 phòng,4 phòng,Nội thất cơ bản chỉ việc sách vali về ở.,3.5 m,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Heritage West Lake']","
0986 149 ***) 5 SNG Soho Heritage Tây Hồ 2008(85m²), 2105(88m²), 1006(45m²) giá 66 tr/m² full VAT.- Tầng 20 - căn 08(2008): Diện tích 85,15m² View Hồ Tây, Lạc Long Quân duy nhất đẹp nhất Soho Heritage Westlake Tây Hồ - Ban công Đông Nam, 2PN + (2WC).- Tầng 21 - căn 05(2105): Diện tích 88,1m² View Lotte, Sông Hồng, khu biệt thự Vườn Đào, Soho Heritage Westlake Tây Hồ - Ban công Đông Bắc, 2PN + (2WC).- Tầng 10 - căn 06(1006): Diện tích 45,22m² View Lotte, Sông Hồng, khu biệt thự Vườn Đào, Soho Heritage Westlake Tây Hồ - Ban công Đông Bắc, studio, vô cùng đẹp.Liên hệ để được giá tốt ngay 0986 149 *** - Anh Trung.            ",85 m²,66 triệu/m²,,05/12/2022,12/12/2022,Tin thường,36039569,batdongsan_com_vn_36039569,,,,2 phòng,2 phòng,,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Phú Viên']","
Bán nhà ~ Bồ Đề ~ Long Biên ~ Hà Nội.+ 30m² giá 2 tỷ (thương lượng).+ Nằm ở vị trí trung tâm quận Long Biên, sầm uất, phát triển.+ Cách cầu Chương Dương 500m, gần 2 bệnh viện Quốc Tế lớn Bắc Hà, Tâm Anh. 200 ra mặt phố Nguyễn Văn Cừ.+ Xây dựng khung cột bê tông kiên cố, chắn chắn. Chủ để lại toàn bộ nội thất chủ mới chỉ việc xách vali về ở.+ Khu dân trí cao, an ninh tốt, tiện ích khỏi bàn. Căn nhà đang cực hot vì vị trí quá đẹp giá lại vô cùng tốt, chủ mua đầu tư hay ở đều sinh lãi mạnh.+ Nhà 2 tầng, chủ đã xin giấy phép xây dựng 4 tầng tặng lại cho khách mua.- Sổ đỏ chính chủ, pháp lý sạch sẽ. Sẵn sàng giao dịch.LH 0942 658 *** ",30 m²,2 tỷ,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,35726870,batdongsan_com_vn_35726870,,,2 tầng,3 phòng,2 phòng,Đầy đủ.,,
"['Hà Nội', 'Sơn Tây', 'Xã Xuân Sơn']","
Nhỉnh tỷ sở hữu ngay lô góc sổ đỏ Hà Nội;* Diện tích: 299,9m² (60m² đất ở sổ đỏ HN).* Lô góc 2 mặt tiền 13x40m.* Vị trí nằm ngay trên đường trục chính gần trục đường quy hoạch mở rộng 30m.Quanh dân cư đông đúc. Thích hợp đầu tư làm nhà vườn.Giá chỉ nhỉnh tỷ. LH ngay.            ",299.9 m²,1.2 tỷ,,05/12/2022,15/12/2022,Tin thường,35472276,batdongsan_com_vn_35472276,,,,,,,13 m,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Phú Diễn']","
Chính chủ cần bán gấp nhà mặt đường Phú Diễn 100m² mặt tiền 5,5m giá 15.9 tỷ.Vị trí nhà gần đường Cầu Diễn, gần Trường Đại Học Tài Nguyên Môi Trường...Vị trí nhà phù hợp kinh doanh đa dạng hình, nhà hàng, cửa hàng trưng bày giới thiệu sản phẩm...Khu vực rất sầm uất.Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hoàng để xem nhà.            ",100 m²,15.9 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,36039566,batdongsan_com_vn_36039566,,,4 tầng,4 phòng,4 phòng,Đầy đủ,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Trương Công Giai']","
+ Nhà chủ xây để ở nên xây rất tâm huyết với ngôi nhà, lại thoáng trước và sau các phòng đều có cửa sổ thoáng sáng.+ Chủ nhà Chị Hoài kinh doanh thành đạt, nay đã mua được nhà to hơn ở Quận Thanh Xuân cho gần Công Ty làm việc, nay không có nhu cầu sử dụng cần bán.+ Vị trí hiếm nhà bán ở Phố Trương Công Giai, ngõ thông thoáng, giao thông đi di chuyển vô cùng thuận tiện, gần các Trường Học và Trung Tâm Thương Mại xung quanh, hàng xóm thân thiện, an ninh tốt.+ Nhà thiết kế hiện đại theo phong cách Châu Âu, công năng đầy đủ, khách về vừa ở hoặc kinh kinh doanh rất hợp lý.+ Sổ đỏ vuông đẹp, sẵn giao dịch.+ Giá: 11.2 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp.            ",52 m²,11.2 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36039564,batdongsan_com_vn_36039564,,,,,,Đầy đủ,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', 'Dự án Royal City']","
Chính chủ bán CH Royal City - 2 ngủ hoa hậu - 109m² - giá bán: 4,9 tỷ - LH: 0903 409 ***Cửa Đông Nam, ban công Tây Bắc.Thiết kế gồm: 2 ngủ sáng, 2 nhà vệ sinh, phòng khách, bếp.Tầng trung 1x, view ngắm thành phố.Nhà vuông đẹp, đầy đủ nội thất tiện nghi.Giá bán: 4,9 tỷ.LH: 0903 409 ***Mr. Thành) để được xem nhà ngay hôm nay!Thanks!            ",109 m²,4.9 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36038456,batdongsan_com_vn_36038456,,Đông - Nam,,2 phòng,2 phòng,Đầy đủ,,Tây - Bắc
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', '234', 'Green Stars']","
Tòa chung cư Green Star, 234 đường Phạm Văn Đồng, là khu chung cư cao cấp dành cho người có thu nhập cao, tiện ích ngập tràn.Vị trí lô góc, thoáng 2 mặt view cực đẹp và sang chảnh.Thiết kế: Phòng khách, phòng ăn, 3 phòng ngủ, 2 WC.Chủ tặng lại toàn bộ thiết bị nội thất gỗ tự nhiên chắc chắn, mỹ quan!Sổ đỏ sẵn giao dịch ngay.Chủ cần bán nhanh vì đã đặt cọc biệt thự biệt lập khu ngoại ô thành phố.Sổ đỏ chính chủ.Liên hệ Mr Vương 0982 678 *** ",96 m²,3.8 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35873034,batdongsan_com_vn_35873034,,,,3 phòng,2 phòng,,,
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Dự án Làng Việt Kiều Châu Âu Euroland']","
Cần bán căn hộ 3 phòng ngủ, DT 154m², cửa Đông Bắc, ban công Tây Nam.Nội thất tốt: Giường, tủ, tủ bếp, nóng lạnh, bàn ghế...Sổ đỏ chính chủ.Giá: 3.9 tỷ. Giá thương lượng.Liên hệ nhận thông tin chi tiết: 0961 015 *** ",160 m²,3.9 tỷ,,05/12/2022,12/12/2022,Tin thường,35913661,batdongsan_com_vn_35913661,,Đông - Bắc,,3 phòng,2 phòng,,,Tây - Nam
