address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Nội thất,Hướng nhà,Hướng ban công,Mặt tiền
"['Hà Nội', 'Đan Phượng', 'Xã Tân Lập', 'Đường Quốc lộ 32', 'Dự án xpHOMES']","
Giảm giá bán nhanh căn chung cư tân Tây Đô tòa HHA.Diện tích: 64m², 2 ngủ, 2wc, phòng khách, bếp.Nội thất để lại đầy đủ đẹp: Tủ bếp trên dưới, bếp từ hút, sàn gỗ, điều hòa, nóng lạnh, giường tủ, máy giặt, tủ lạnh, tivi, bàn ăn, sofa,... Đủ tất tần tật.Giá bán: 1.360 tỷ.LH: 0961 648 *** ",64 m²,1.36 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,05/12/2022,15/12/2022,Tin thường,35689594,batdongsan_com_vn_35689594,,,,,
"['Hà Nội', 'Đan Phượng', 'Xã Tân Lập', 'Đường Quốc lộ 32', 'Dự án Tân Tây Đô']","
Bán chung cư Tân Tây Đô, Đan Phượng, Hà Nội.Diện tích: 55m², 2 ngủ, 2wc, phòng khách, bếp.Nội thất: Tủ bếp trên dưới đẹp, bếp từ, điều hòa, nóng lạnh, giường tủ, bàn ăn, tủ lạnh, máy giặt.Đã có sổ đỏ sẵn sàng giao dịch.Giá bán: 1.170.000,000vnđ.LH: 0961 648 *** ",55 m²,1.17 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,35915087,batdongsan_com_vn_35915087,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Thanh Liệt', 'Đường Kim Giang']","
Nhà đẹp ở ngay thoáng trước sau lô góc.- Ngõ thông thoáng, ba gác đỗ cửa.+ Mô tả.- Tầng 1: Phòng khách, bếp ăn. Wc.- Tầng 2.3.Tổng 2 phòng ngủ.  + wc.- Tầng 4 Phòng thờ, sân phơi.Khu vực nhiều tiện ích không thiếu gì chợ, trường, công viên...Sổ đỏ chính chủ sẵn sang tên.GIÁ: 4 tỷ.Liên hệ K: 0973 814 *** ",40 m²,4 tỷ,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35793914,batdongsan_com_vn_35793914,5 tầng,Đầy đủ,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Khương Trung']","
Nhà 42m², 5 tầng, thoáng trước sau.Tầng 1 phòng khách lớn, vệ sinh, chỗ để xe.Tầng 2, bếp, vệ sinh, phòng khách nhỏ.Tầng 3 và 4 mỗi tầng gồm 2 phòng ngủ.Tầng 5 gồm 2 sân phơi rộng lợp mái tôn có thể cải tạo thêm 1 phòng ngủ.Khu vực tiện ích không thiếu thứ gì gần chợ gần trường.- Sổ đỏ chính chủ giao dịch ngay.Liên hệ: 0973 814 *** ",42 m²,4.5 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35780842,batdongsan_com_vn_35780842,5 tầng,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Thanh Liệt', 'Đường Kim Giang']","
Nhà mới koong đón tết - thang máy - lô góc - ngõ nông - 1 nhà ra ô tô.+ Vị trí trước nhà ngõ ba gác tránh nhau, thông các ngả, đi lại cực kỳ thuận tiện. Tiện ích trường chợ, bãi gửi ô tô sát nhà. Ô Tô cách 5m.+ Thiết kế:- Tầng 1: Phòng khách + bếp + WC.- Tầng 2,3,4: Tổng 3 phòng ngủ đẹp + WC.- Tầng 5: 1 phòng thờ + sân phơi.+ Sổ đỏ phân lô vuông vắn.Giá bán: 5,7 tỷ.Liên hệ: 0973 814 ***Liên hệ 24h cảm ơn đã đọc tin.            ",38 m²,5.7 tỷ,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,35945252,batdongsan_com_vn_35945252,5 tầng,Đầy đủ.,,,
"['Hà Nội', 'Thanh Trì', 'Xã Thanh Liệt', 'Đường Kim Giang']","
Nhà đẹp vài bước chân ra phố, sổ phân lô, hàng xóm KĐT Linh Đàm tiện ích ngập tràn.+ Nhà chủ xây cực chắc chắn mới làm lại nội thất cực đẹp, mua chỉ việc ở ngay đón tết.+ Nhà 4 tầng thiết kế hợp lý, có giếng trời, phòng nào cũng có ánh sáng.+ Tầng 1 để xe, khách, bếp.+ Tầng 2,3 mỗi tầng 2 phòng ngủ vệ sinh giữa.+ Tầng 4 phòng thờ, sân phơi.Khu vực đường sá xung quanh giao thông thuận tiện đường Linh Đàm, Nghiêm Xuân Yêm, Nguyễn Xiển, Đại Lộ Chu Văn An, Vành Đai 3, Phan Trọng Tuệ.+ Sổ đỏ đẹp sang tên ngay.Giá bán: 4 tỷ.Liên hệ: 0973 814 ***Liên hệ 24h trong ngày.            ",40 m²,4 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,35945211,batdongsan_com_vn_35945211,4 tầng,Đầy đủ.,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng']","
Mô tả:- Nhà lô góc, mặt tiền rộng, oto qua nhà, kinh doanh. Chủ làm kinh doanh buôn bán muốn mua nhà to hơn nên cần bán.- Khu vực xung quanh trường Đại học Đại học Ngoại Ngữ ĐHQGHN, ĐH Thương Mại, ĐH Sư phạm HN, Trường múa, trường phổ thông các cấp... Tiện ích không thiếu.- Giao thông thuận tiện đi các ngả, đường Phạm Văn Đồng kết nối với các tuyến phố như: Hoàng Quốc Việt, Phạm Hùng, Xuân Thủy, Hồ Tùng Mậu, Doãn Kế Thiện. đi lại bằng xe buýt, tầu điện trên cao, bến xe cực kì thuận lợi- Tầng 1: Cửa hàng kinh doanh+ Bếp+ VS.- Tầng 2, 3: Tầng 2 phòng ngủ, wc- Tầng 4: Phòng thờ+ Sân phơi.- Sổ nở hậu, cất két.- Liên hệ ĐT/zalo : Mai Phạm 0335 060 *** ",52 m²,9.7 tỷ,,,,01/12/2022,08/12/2022,Tin thường,34775442,batdongsan_com_vn_34775442,4 tầng,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Định Công', '176', 'Sky Central']","
0963 920 ***! Tôi tên Hà có 2 căn hộ mua cho con nhưng giờ cháu không ở. Cần bán gấp.Căn hộ chung cư 176 Định Công Hoàng Mai Hà Nội.- Tầng 1809, DT 66m², 2 phòng ngủ, 2WC, cửa Tây, ban công Đông.- Tầng 1802, DT 92m², 3 phòng ngủ, 2WC, ban công Đông Nam, Đông Bắc(căn góc).Gia đình tôi cần bán gấp với giá rẻ (Sổ đỏ chính chủ).Ai có nhu cầu thực sự liên hệ trực tiếp với tôi qua số 0963 920 *** tôi tên Hà.            ",98 m²,Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,05/12/2022,13/12/2022,Tin thường,35066822,batdongsan_com_vn_35066822,,Đầy đủ nội thất.,Tây,Đông - Nam,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng', 'Dự án Eurowindow Multi Complex']","
Căn hộ chung cư Eurowindow Multicomplex trần duy hưng Trung Hòa, Cầu Giấy nằm trong tòa nhà có vị trí gần cầu vượt Trần Duy Hưng Láng Hạ, một trong những vị trí đẹp nhất khu vực.Tối ưu hóa ánh sáng tự nhiên với hệ thống cửa và vách kính thông minh chống 98% tia cực tím.- Hệ thống 9 thang máy hiện đại tốc độ cao với 2 sảnh chờ phía hai đầu khối nhà.- Hệ thống 4 cầu thang bộ thoát hiểm với hệ thống điều áp và cửa chống cháy đảm bảo an toàn trong các trường hợp khẩn cấp Hệ thống phòng cháy chữa cháy, thông gió, điện, kỹ thuật, hiện đại đạt tiêu chuẩn quốc tế. Nhà mình nằm ở trục có đường thông gió rất thoáng. Không phải căn nào cũng có ạ!Pháp lý: Sổ đỏ chính chủ.            ",100 m²,3.75 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35888798,batdongsan_com_vn_35888798,,Cao cấp.,,,
"['Hà Nội', 'Gia Lâm', 'Xã Đa Tốn', 'Đường Quốc Lộ 5B', 'Dự án Masteri Water Front']","
Cần bán căn hộ 2PN giá rẻ nhất thị trường giá 2,9 tỷ. Liên hệ 0984 159 *** ",55 m²,2.9 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,03/12/2022,10/12/2022,Tin thường,35831837,batdongsan_com_vn_35831837,,,,,
