address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Phố Ngọc Trì', 'Ngõ 318']","
Chính chủ cần bán nhà riêng tại phường Thạch Bàn, Long Biên, Hà Nội.- Địa chỉ: Ngõ 318 Ngọc Trì, Tổ 11 Thạch Bàn, Long Biên, Hà Nội (Đối diện nhà văn hóa tổ 11).- Diện tích: 30m².- Cấu trúc: 4 tầng 1 tum, 3 phòng ngủ, 3 vệ sinh.- Nội thất gồm: Tủ bếp, hút mùi, 2 điều hoà, 2 nóng lạnh.- Gần chợ Đồng Dinh, trạm y tế, trường mầm non, cấp 1,2,3 Thạch Bàn bán kính 500m. Cách siêu thị thị Aeon Mall Long Biên 1km.- Nhà có giấy tờ pháp lý đầy đủ.- Khu đông dân cư, an ninh tốt, đường 2 ôto tránh nhau, ôto đậu trước cổng, giao thông đi lại thuận tiện...Giá bán: 3,08 tỷ (có thương lượng).Liên hệ: Mrs Linh chủ nhà 0973 606 *** hoặc liên hệ zalo sdt 0973 606 *** nếu tôi không nghe máy.Cảm ơn mọi người đã đọc tin.            ",30 m²,3.08 tỷ,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,"Nội thất gồm: Tủ bếp, hút mùi, 2 điều hoà, 2 nóng lạnh.",17/10/2022,15/01/2023,Tin thường,35498601,batdongsan_com_vn_35498601,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Tam Trinh', 'Ngõ 87']","
Chính chủ bán nhà ngõ 87, phố Tam Trinh, quận Hai Bà Trưng, Hà Nội, diện tích 101m². Trên đất có nhà cấp 4 cũ. Nhà căn góc, 2 mặt đường.Nhà ở có lộc: Gia đình chuyển sang biệt thự Vinhomes ko ở đến nên bán.Tiện ích: Hợp xây nhà trọ cho sinh viên thuê. (gần trường Bách Khoa, Kinh Tế Quốc Dân, Xây Dựng), giá dân cho thuê xung quanh 2tr/phòng 12m².Cách 200m ra đường ô tô.Giá bán 9,6 tỷ. Có thương lượng.Có bán tách sổ cho khách hàng thiện chí.Liên hệ chính chủ: 0984 384 *** ",101 m²,9.6 tỷ,1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,03/10/2022,01/01/2023,Tin thường,35355259,batdongsan_com_vn_35355259,,,,
"['Hà Nội', 'Đan Phượng', 'Xã Tân Lập', 'Đường 32', 'Dự án Tân Tây Đô']","
Do công việc phải chuyển công tác nên vợ chồng mình có nhu cầu bán gấp căn hộ tại CT2B - Tân Tây Đô.- Vị trí nằm trên trục đường 32, giao thông thuận tiện. Hưởng nhiều tiện ích của khu: Siêu thị Vinmart, rạp chiếu phim, trường học...- Căn hộ được bố trí hợp lý, không gian hiện đại, rộng rãi phù hợp với sinh hoạt đặc trưng của các gia đình trẻ.- Thiết kế vị trí phòng ngủ + phòng bếp có nhiều ánh sáng. Phòng khách không gian rộng rãi.- Vị trí căn không gần thang máy, tránh ồn ào. Đặc biệt mình thấy nhà này có lộc.- Diện tích thông thủy: 78.1m².- Giá: 1,6 tỷ có thỏa thuận.Liên hệ: 0913 600 ***Không qua trung gian, mong các bạn MG không liên hệ tránh mất thời gian, xin cảm ơn.            ",78.1 m²,1.6 tỷ,,2 phòng,2 phòng,Đã có sổ hồng. Pháp lý rõ ràng.,"+ Giường tủ, bàn ghế ăn, kệ TV, sofa + Bộ 2 điều hòa 2 chiều, thiết bị vệ sinh, 2 nóng lạnh, máy giặt, giàn phơi. + Tủ bếp, bếp từ, lò vi sóng, nồi, chảo bát đĩa, đồ dùng nấu ăn. + Có suất để ô tô.",17/10/2022,15/01/2023,Tin thường,29585343,batdongsan_com_vn_29585343,Bắc,Nam,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Dự án Sunshine Riverside']","
Chính chủ bán căn hộ Sunshine Riverside - 3 ngủ - Căn góc 90m² thông thủy.+ Diện tích: 90m² thông thủy.+ Thiết kế: 3 ngủ + 2WC + 1 logia phòng ngủ.+ Căn Góc 2 mặt thoáng - Ban công chính: Hướng Nam.+ Full đồ rời: TBVS Kohler, Điều hòa âm trần Daikin, TB bếp + tủ bếp Hafele, Sàn gỗ, sofa giường tủ.+ Tầng cao trung.+ Giá: 4,1 tỷ (full đồ rời).+ Sổ đỏ chính chủ - LH xem nhà: 0966 470 *** ",90 m²,4.1 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36038948,batdongsan_com_vn_36038948,Bắc,Nam,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Số 8', 'The Zei Mỹ Đình']","
Quỹ hàng mới ra tháng 12 trực tiếp Chủ Đầu Tư.- Căn 2 ngủ 84m².- Tầng 16.- Ban công Đông Nam.- Ký trực tiếp Chủ đầu tư, nhận nhà ở ngay, làm sổ hồng luôn.- Giá chỉ từ 4.6 tỷ.Dự án The Zei nằm tại Số 8, Lê Đức Thọ, Mỹ Đình II, Nam Từ Liêm, HN.Em Khải phân phối dự án The Zei, trực tiếp Chủ đầu tư.Liên hệ em Khải số 0965 165 ***sđt/zalo).Dự án The Zei có gì?- Vị trí Vàng, ngay ngã tư Lê Đức Thọ, Nguyên Hoàng, Hàm Nghi. Giao điểm Vàng tại trung tâm Mỹ Đình nên rất tiện di chuyển đến các trường điểm, trung tâm thể thao, trung tâm hành chính, trung tâm kinh tế Hà Nội.- Tại đây, quý anh/chị sẽ tận hưởng được cuộc sống trọn vẹn nhất của giới thượng lưu. Giúp nâng cao chất lượng sống của bản thân và toàn bộ gia đình.- Dự án cao 42 tầng nổi + 4 tầng hầm, trong đó: 4 tầng khối để và tầng 42 tích hợp đầy đủ các dịch vụ tiện ích cao cấp nhất (TTTM, rạp chiếu phim, nhà hàng, tiệm cafe, bể bơi 4 mùa, gym, yoga, phòng sinh hoạt cộng đồng, thư viện sách, vườn dạo bộ, vườn nướng, vườn thiên văn, phòng thiền, quầy bar trên tầng mái...- Có 26 căn/mặt sàn, chia ra làm 2 block, mỗi block 13 căn/7 thang máy riêng. Mật độ cư dân vô cùng thấp.- Thiết kế đa dạng từ 2PN - 3PN - Duplex - Penthouse.Chính sách siêu hấp dẫn:- Chiết khấu tới 10%.- Tặng gói nội thất lên tới 800tr.- Ngân hàng htls 0% trong 16 tháng.The Zei - nơi gửi gắm cuộc sống thăng hoa tại ""thành phố thẳng đứng"".Website: https://nha-datxanh.com/chung-cu-the-zei-c28.htmlHotline: 0965 165 ***sđt/zalo).            ",84 m²,4.8 tỷ,,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36038815,batdongsan_com_vn_36038815,Tây - Bắc,Đông - Nam,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Đường Phú Đô']","
Chính chủ bán đất Phú Đô - Nam Từ Liêm.Vị trí: Mặt trục ngõ chính làng bún Phú Đô, mặt ngõ kinh doanh, ô tô qua nhà, ô tô vào nhà.Diện tích: 41m², mặt tiền 3m5, kinh doanh nhộn nhịp.Cùng vị trí xung quanh toàn bán 140 - 150tr/m², riêng nhà mình bán 4.7 tỷ cho lô đất 41m² thửa vuông đẹp, đất thổ cư.Sổ đỏ chính chủ cất két sẵn sàng giao dịch.Giá bán có thương lượng cho khách giao dịch nhanh chóng.Anh chị quan tâm liên hệ 0974 591 *** để biết thêm chi tiết, mua bán chính chủ, miễn quảng cáo trung gian.            ",41 m²,4.7 tỷ,,,,,,05/12/2022,12/12/2022,Tin thường,36038942,batdongsan_com_vn_36038942,,,3.5 m,
"['Hà Nội', 'Ba Đình', 'Phường Cống Vị', 'Đường Đào Tấn']","
+ Ngôi nhà tuyệt vời cho an cư, an dưỡng & làm việc, trung tâm phát triển bậc nhất Quận Ba Đình, buôn bán sầm uất tấp nập - kinh doanh vượng phú - phát tài.+ Phố Đào Tấn, con phố đẹp hàng đầu thủ đô, kinh doanh sầm uất, xanh mát, giao thông thuận tiện, không gian thoáng đãng, sạch sẽ, trong lành, cư dân văn minh trí thức.+ Ngôi nhà tọa lạc trên con phố trung tâm lõi Quận Ba Đình, với diện tích lý tưởng 33m², gần phố, không gian tuyệt vời cho an cư, an dưỡng, làm việc, thông thương các ngả, thoáng đãng, mặt tiền rộng 5m, cùng thiết kế 5 tầng, 4 phòng ngủ, đầy đủ nội thất đẳng cấp, sang trọng, cùng đầy đủ các phòng chức năng khác, tạo cho gia chủ cảm nhận ngôi nhà một không gian rộng rãi, thoải mái, dễ chịu.+ Nội và ngoại thất ngôi nhà được thiết kế ấn tượng, theo xu hướng mới nhất, trần thạch cao, kết hợp cùng hệ thống giàn đèn cách điệu, nội thất đồ gỗ đẹp, tạo cho ngôi nhà một không gian bừng sáng, sang trọng & hiện đại.+ Ngôi nhà có vị trí đắc địa, nơi tập trung các tiện ích hàng đầu về an cư an dưỡng, các trường học, các cao ốc văn phòng, TTTM, nhu cầu lưu trú, dịch vụ văn phòng nóng bỏng nhất thủ đô & rất nhiều các tiện ích khu vực khác mà chỉ khi sở hữu ngôi nhà mới có thể cảm nhận hết được.+ Với vị trí như thế, gia chủ khi sở hữu ngôi nhà sẽ rất linh hoạt cho việc sử dụng & khai thác giá trị ngôi nhà.+ Giao thông thuận tiện, hạ tầng giao thông hoàn thiện đồng bộ, quá tuyệt Vời Cho Một Cuộc Sống Đủ Đầy Vương Giả.+ Sổ đỏ đẹp, chủ thiện chí thương lượng.+ Liên hệ ngay: Dư Bổng để xem & mua nhà, xin cảm ơn mọi người đã lan tỏa & chia sẻ thông tin này đến những ai đang có nhu cầu!            ",33 m²,4.4 tỷ,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36038939,batdongsan_com_vn_36038939,,,5 m,3 m
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án The Zei Mỹ Đình']","
Quỹ hàng mới ra tháng 12 trực tiếp chủ đầu tư.- Căn 2 ngủ 92m².- Tầng cao.- Ký trực tiếp chủ đầu tư, nhận nhà ở ngay, làm sổ hồng luôn.- Giá chỉ 4.6 tỷ.Dự án The Zei nằm tại Số 8, Lê Đức Thọ, Mỹ Đình II, Nam Từ Liêm, HN.Em Khải phân phối dự án The Zei, trực tiếp Chủ đầu tư.Liên hệ em Khải số 0965 165 ***sđt/zalo).Dự án The Zei có gì?- Vị trí Vàng, ngay ngã tư Lê Đức Thọ, Nguyên Hoàng, Hàm Nghi. Giao điểm Vàng tại trung tâm Mỹ Đình nên rất tiện di chuyển đến các trường điểm, trung tâm thể thao, trung tâm hành chính, trung tâm kinh tế Hà Nội.- Tại đây, quý anh/chị sẽ tận hưởng được cuộc sống trọn vẹn nhất của giới thượng lưu. Giúp nâng cao chất lượng sống của bản thân và toàn bộ gia đình.- Dự án cao 42 tầng nổi + 4 tầng hầm, trong đó: 4 tầng khối để và tầng 42 tích hợp đầy đủ các dịch vụ tiện ích cao cấp nhất (TTTM, rạp chiếu phim, nhà hàng, tiệm cafe, bể bơi 4 mùa, gym, yoga, phòng sinh hoạt cộng đồng, thư viện sách, vườn dạo bộ, vườn nướng, vườn thiên văn, phòng thiền, quầy bar trên tầng mái...- Có 26 căn/mặt sàn, chia ra làm 2 block, mỗi block 13 căn/7 thang máy riêng. Mật độ cư dân vô cùng thấp.- Thiết kế đa dạng từ 2PN - 3PN - Duplex - Penthouse.Chính sách siêu hấp dẫn:- Chiết khấu tới 10%.- Tặng gói nội thất lên tới 800tr.- Ngân hàng htls 0% trong 16 tháng.The Zei - nơi gửi gắm cuộc sống thăng hoa tại ""thành phố thẳng đứng"".Website: https://nha-datxanh.com/chung-cu-the-zei-c28.htmlHotline: 0965 165 ***SĐT/zalo).            ",92 m²,4.6 tỷ,,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36038845,batdongsan_com_vn_36038845,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ']","
- Phố Láng Hạ thuộc quận Đống Đa, thông với nhiều tuyến phố: Thái Hà, Thái Thịnh, Yên Lãng, Hoàng Cầu...- Vị trí đẹp, rất gần phố, ô tô tránh nhau, kinh doanh đa dạng.- Nhà đẹp, còn mới, 7 tầng thang máy chạy vèo vèo.Diện tích 55m² mặt tiền 4.2m giá 12,5 tỷ.Sổ đỏ chính chủ, vuông vắn sẵn sàng giao dịch.Quan tâm liên hệ: 0985 852 ***Ms Hoàn) để được hỗ trợ.            ",55 m²,12.5 tỷ,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,15/12/2022,Tin thường,36038843,batdongsan_com_vn_36038843,,,4.2 m,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Dự án An Lạc Green Symphony']","
Mở bán Quỹ căn hộ chung cư Moonlight 1 An Lạc Green Symphony, Vân Canh, chọn căn chọn tầng đẹp 8 tầng 9 - 10 - 11, tầng 12 - 15 - 16, tầng 18 - 19 - 20.Liên hệ bán hàng 0965 165 ***Thông tin mở bán đợt 1 căn hộ chung cư Moonlight 1.Tên thương mại: Moonlight 1.Địa chỉ: Khu đô thị An Lạc Green Symphony, Vân Canh, Hoài Đức, Hà Nội.Chủ đầu tư: Công ty CP Đầu tư An Lạc Hà Đô.Đơn vị thi công: Công ty Phục Hưng Holding.Đơn vị phân phối: Đất xanh Miền Bắc.Đất xây dựng công trình: 6.466m.Diện tích xây dựng: 2779.1m.Loại hình: Căn hộ Chung cư.Diện tích trung bình: 66,42m 95,19 m.Quy mô: Tòa tháp cao 21 tầng nổi, 2 tầng hầm.Tổng số căn hộ: 01 tòa căn hộ cao 21 tầng với 494 căn hộ cao cấp. Với 10 thang máy gồm 2 thang chữa cháy.Hình thức sở hữu: Sổ hồng lâu dài.Thiết kế căn hộ: 2 và 3 phòng ngủ. Với 12 căn hộ trên một mặt sàn với 6 thang máy: 2PN: Diện tích 79 81m², 3PN: Diện tích 108 112m².Mật độ xây dựng khối đế: 43,79%.Mật độ xây dựng khối tháp: 41,73%.Số tầng: 21 tầng + 2 tầng hầm.Hoàn thành: Dự kiến quý 4/2024.Tiện ích khép kín: Clubhouse, khu thể thao phòng tập, khu vui chơi trẻ em, trung tâm thương mại, bể bơi 4 mùa, vườn dạo bộ.Cơ cấu quỹ căn.Số lượng căn hộ/sàn: 13 căn/sàn/tháp.Diện tích 66.44m² - 95.19m².Tổng số căn 2 tòa tháp căn hộ 494 căn.Căn hộ 2 phòng ngủ: 286 căn (Tỉ lệ: 58%) với diện tích 66.44m - 79,85m.Căn hộ 2 phòng ngủ + 1: 56 căn (Tỉ lệ 11%) với diện tích 87,28 - 88,09m².Căn hộ 3 phòng ngủ: 152 căn (Tỉ lệ 31%) với diện tích 89.37m² - 95,19m².Số lượng thang máy: 10 thang máy/ 2 tháp bao gồm 2 thang hàng.Độ rộng hành lang dự kiến: 2.35m.Chiều cao trần dự kiến 3.15m 3.3m.Liên kết vùng dự án dự án Moonlight I An Lạc Green Symphony.5 - 10 phút: Di chuyển đến TTTM Aeon Mall Hà Đông, Big C Thăng Long, Vincom Megamall, The Garden.5 - 10 phút: Đi tới toàn bộ tiện ích của các KĐT lận cận như Vinhomes Smart City, Vinhomes Gardenia.2 - 15 phút: Di chuyển tới trường quốc tế ST. Paul American, trường quốc tế Vinschool, trường THPT chuyên Hà Nội Amsterdam, ĐH Thương Mại,8 phút: Tới sân vận động Mỹ Đình.5 - 10 phút: Đi đến Trung tâm hội nghị Quốc gia, Bộ Ngoại giao.10 phút: Tới Keangnam.5 phút: Di chuyển đến Thiên đường Bảo Sơn.40 phút: Đến sân bay Nội Bài.Tiện ích dự án MoonLight 1 An Lạc Green Symphony, Vân Canh, Hoài Đức, các cư dân tương lai sẽ được sở hữu những trải nghiệm đẳng cấp, đa sắc màu thông qua hơn 40 tiện ích dịch vụ vượt trội, cùng 20 + tiện nghi đặc quyền tích hợp trong tòa nhà, sẵn sàng phục vụ những cư dân tinh hoa.Giá bán và chiết khấu lên đến 11% cùng bốc thăm xe SH, Iphone 14, tặng vàng...Phòng kinh doanh chủ đầu tư An Lạc Green Symphony.Địa chỉ dự án: Khu đô thị An Lạc Green Symphony, Vân Canh, Hoài Đức, Hà Nội.Địa chỉ chủ đầu tư: Số 62 Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội.Hotline bán hàng: 0965 165 ***Website: https://nha-datxanh.com/moonlight-i-anlac-green-symphony-c38.html            ",66 m²,2.6 tỷ,,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36038929,batdongsan_com_vn_36038929,,,,
