address,gen_descrip,Diện tích,Mức giá,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh', 'Dự án Vinhomes Thăng Long']","
Chuyển nhượng BTSL trục chính Long Cảnh đường 20m tại Vinhomes Thăng Long.Diện tích đất: 154m².DTXD: 300,6m², sàn XD 79.9m²/sàn.Nhà xây 4 tầng, 5PN, 3SHC, 6WC, bếp và phòng khách.Khu có cư dân về ở full 95%, ra hồ vài bước chân.Nhà vị trí trung tâm lõi dự án, ra shophouse, siêu thị, trường học, câu hỏi sẽ, hồ. Chỉ mấy bước chân.Đã có sổ đỏ chính chủ.Giá chuyển nhượng: 17 tỷ bao phí.* Ngoài ra còn có các căn đã hoàn thiện full đồ rời chỉ cần xách vali về ở.Dãy SH 90m² ô góc xẻ khe giá 1x tỷ, đồ liền tường.BTSL 154m² trục Long Khánh 24 - 25,5 tỷ hoàn thiện đẹp.BTSL Tây Nam 130m² trục Long Phú hoàn thiện đẹp giá 18 tỷ bao phí.BTDL 174,5m² giá 3x tỷ hoàn thiện đẹp, cực thoáng, có thang máy.- Dãy bên trong hồ 173,5m² LCT giá 3x tỷ.- Khu view hồ DT 193.1m² giá 2x tỷ bao phí.- Khu view hồ dãy LCT3 DT 232m² giá 3x tỷ.* Ngoài ra còn các lô BTLK, song lập, đơn lập khu Nam An Khánh, An Khánh, Hoài Đức, Hà Nội giá đầu tư.Song lập DT đất ~383m², đã có sổ, giá 5x tr/m², bao gồm xây thô và đất. (cực rẻ).Liền kề DT đất 240m², HĐMB, giá 5X tr/m² bao gồm xây thô và đất, hướng Nam, hướng Bắc 5xtr tr/m².Ngọc Nữ: 0973 853 *** LH trước 2h khi xem thực tế.            ",154 m²,17 tỷ,13 m,Tây - Bắc,Tây - Bắc,4 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Full đồ liền tường ,05/12/2022,30/12/2022,Tin thường,32498193,batdongsan_com_vn_32498193,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Dự án An Lạc Green Symphony']","
Moonlight I là tòa tháp căn hộ đầu tiên được ra mắt tại vị trí tâm điểm của KĐT An Lạc Green Symphony.Vị trí: Mặt đại lộ Ánh Trăng 58m.Quy mô 2 tòa tháp cao 21 tầng nổi & 2 tầng hầm, gồm 494 căn hộ.Diện tích từ 66,4m² - 95,2m².Loại căn 2PN, 2PN + 1, 3PN.Pháp lý: Sở hữu lâu dài.Tiến độ: Đã thi công đến tầng 4.Tận hưởng chuẩn sống sang - sống xanh tại Moonlight I.Được thiết kế bởi đơn vị thiết kế hàng đầu; MLA (Malaysia), CPG (Singapore),Kiến trúc đậm chất Singapore kết hợp với lối kiến trúc tân cổ điển. Các căn hộ được thiết kế khoa học với đa dạng diện tích, bố trí hài hòa tối ưu mọi công năng.Dự án sở hữu mật độ diện tích cây xanh, mặt nước, hạ tầng kỹ thuật: 48,9, cư dân sẽ có thể thoải mái tận hưởng bầu không khí yên ả, thanh bình.Dự án có tiện ích điểm nhấn là hơn 40 tiện ích dịch vụ - vượt trội, cùng 20 + tiện nghi đặc quyền tích hợp trong tòa nhà: Vườn Ánh Trăng trên mái, vườn nghệ thuật, Fitness ngoài trời, đài phun nước, lối dạo massage.Hotline tư vấn & tham quan dự án: 0917 612 *** ",88 m²,52 triệu/m²,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,05/12/2022,15/12/2022,Tin thường,36038680,batdongsan_com_vn_36038680,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Đường Châu Văn Liêm', 'Số 1', 'Mỹ Đình Pearl']","
Kính chào quý khách.Tập đoàn SSG Group đã chính thức cho ra mắt tòa Pearl 2 dự án Mỹ Đình Pearl.Vị trí: Số 1 Châu Văn Liêm - đường Mễ Trì kéo dài - Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội.Nối tiếp từ sự thành công của tòa Pearl 1 với số lượng căn hộ bán hết 100%, chúng tôi tiếp tục ra mắt tòa Pearl 2, tiếp tục cung cấp tới quý khách hàng những căn hộ cao cấp tiện nghi.Tòa Pearl 2, với nhiều thiết kế cải tiến, ra mắt một loại các căn hộ view công viên hồ 14ha trực tiếp nhất.Với quy mô 38 tầng, 02 tầng hầm và 02 tầng shophouse, căn hộ bắt đầu từ tầng 3 đến tầng 38.Diện tích căn hộ bao gồm:Căn 2 phòng ngủ: 72.6 m².Bàn giao: Full nội thất cao cấp gắn tường.Tiến độ xây dựng: Đã hoàn thiện.Thời gian bàn giao: Bàn giao ngay.Pháp lý dự án: Đã có sổ hồng.Giá bán từ: 48 triệu/m².Thông tin chi tiết vui lòng liên hệ:Phòng kinh doanh chủ đầu tư.Hotline: 0938 332 ***ĐC: Số 1 Châu Văn Liêm, Phú Đô, Nam Từ Liêm, Hà Nội.Website: https://mydinhpearl.com.vn/            ",72.6 m²,Thỏa thuận,,Đông - Bắc,Tây - Nam,,2 phòng,2 phòng,,"Sàn đá, sàn gỗ, trần thạch cao, thiết bị vệ sinh cao cấp, bình nóng lạnh, đầu chờ điều hòa, tủ bếp, thiết bị bếp...",05/12/2022,12/12/2022,Tin thường,18542122,batdongsan_com_vn_18542122,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Tam Trinh', 'Ngõ 227']","
Chính chủ 34m² sổ x 5 tầng ngõ 227 Tam Trinh, cạnh chợ Cá, cách Tam Trinh 20m, rất thuận tiện cho sinh hoạt đi lại và giao thương buôn bán. Sổ đỏ không cầm cố. Giá chỉ 3,2 tỷ.Chủ nhà thiện chí thương lượng.ĐT: 0914 255 *** em Long.            ",34 m²,3.2 tỷ,,Tây - Bắc,,5 tầng,3 phòng,4 phòng,Sổ đỏ,"Gia đình đang ở, đầy đủ",05/12/2022,15/12/2022,Tin thường,35951402,batdongsan_com_vn_35951402,5 m
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Đường Vân Canh', 'Dự án An Lạc Green Symphony']","
Tại Moonlight I, các cư dân sẽ có thể thoải mái tận hưởng bầu không khí yên ả, thanh bình, nơi bạn sẽ muốn quay trở về sau mỗi ngày làm việc căng thẳng.Chú trọng cải thiện môi trường sống, nâng cao giá trị cộng đồng, chung cư Moonlight I dành nhiều diện tích để phát triển mô hình sinh thái, tiện nghi phục vụ cư dân. Vườn dạo, công viên cây xanh, trường học quốc tế, hệ thống trường liên cấp Đoàn Thị Điểm ngay trong KĐT, khu vui chơi trẻ em, khu thể thao ngoài trời, thác tràn - mặt nước nhân tạo, bể bơi 4 mùa... Là những điểm nhấn nổi trội được tích hợp ngay nội khu.Các căn hộ Moonlight I sở hữu diện tích linh hoạt từ 66,4m² - 95,2m² bao gồm 2 đến 3 phòng ngủ đáp ứng đầy đủ nhu cầu của nhiều đối tượng khách hàng. Thiết kế hiện đại mang phong cách Nhật giản dị, tiện dụng nhưng không kém phần sang trọng, tinh tế gần gũi với thiên nhiên môi trường.Thông tin sản phẩm:Vị trí: Mặt đại lộ Ánh Trăng 58m, KĐT Anlac Green Symphony.Quy mô: 2 tòa căn hộ A, B cao 21 tầng nổi và 2 tầng hầm.Phong cách thiết kế: Singapore.Số lượng thang máy: 10 thang, trong đó gồm 2 thang chữa cháy.Hệ thống PCCC: Một trong những toà nhà đầu tiên đạt tiêu chuẩn PCCC mới nhất năm 2021.Pháp lý: Sở hữu lâu dài.Hotline tư vấn & tham quan dự án: 0917 612 *** ",86 m²,52 triệu/m²,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,36038650,batdongsan_com_vn_36038650,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Dự án KĐT Văn Phú']","
Biệt thự đẳng cấp - đẹp rực rỡ - thiết kế độc đáo - full nội thất - an sinh tuyệt đỉnh: Kđt Văn Phú: 200m², 3 tầng, mt 10m, 25.6 tỷ.+ Biệt thự vị trí cực đẹp nằm trong quần thể khu đô thị Văn Phú trước nhà ô tô tải tránh vỉa hè 2 bên, gần công viên, hạ tầng đường to rộng rợp bóng cây xanh. Khách mua về ở thì tuyệt đỉnh.+ Khu vực tiện ích mọi mặt nằm ngay cạnh trường liên cấp Mery cury, gần chợ, TTTM, nhà hàng...+ Biệt thự hoàn thiện đẹp long lanh khách mua chỉ việc về ở, chủ rất tâm huyết, toàn bộ nội thất theo thiết kế phù hợp với cảnh quan, sân vườn xanh mướt. 3 mặt thoáng nên mát mẻ quanh năm ở cực sướng.- Tầng 1: Gara ô tô, sân vườn, phòng khách, bếp.- Tầng 2: 1 Phòng ngủ master khép kín, 2 ngủ nhỏ.- Tầng 3: 2 phòng ngủ, phòng thờ, sân phơi, wc.* Sổ đỏ chính chủ, Pháp lý rõ ràng, giao dịch ngay.* LH: Xem nhà, tư vấn và cafe miễn phí: (Không ba ba sáu, năm năm, hai hai, ba ba).            ",200 m²,25.6 tỷ,10 m,,,3 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất nhập khẩu Châu Âu.,05/12/2022,12/12/2022,Tin thường,35097370,batdongsan_com_vn_35097370,10 m
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', 'Đường Giải Phóng', 'Dự án Imperial Plaza']","
Thông tin căn hộ.Nhà tôi 80m² chia làm 2 ngủ và 2 nhà wc có lô gia, cửa sổ lớn cho các phòng ngủ và phòng khách.- Căn hộ hướng cửa chính Nam, ban công chính Bắc view nội khu.- Tiện ích siêu thị, bể bơi cafe, spa đầy đủ.- Giá bán xin liên hệ 0901 048 *** thương lượng giá bán với tôi.            ",80 m²,Thỏa thuận,,Nam,Bắc,,2 phòng,2 phòng,Hợp đồng mua bán,,05/12/2022,12/12/2022,Tin thường,36038917,batdongsan_com_vn_36038917,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Yên Xá']","
Do có nhu cầu tìm nhà mặt phố để kinh doanh nên gia đình cần bán nhà 4 tầng diện tích 35m² mặt tiền 3,5m tại Yên Xá - Tân Triều - Thanh Trì, vị trí ngay khu tổng cục Tân Triều và đại lộ Chu Văn An thông ra đường Nguyễn Xiển và Vành Đai 3... Liên hệ ngay em Dương SĐT 0326 713 *** xem nhà trực tiếp.Nhà thiết kế 4 tầng:Tầng 1: Phòng khách + nhà bếp.Tầng 2,3,: Mỗi tầng 1 phòng ngủ rộng + WC.Tầng 4: Phòng ngủ + phòng thờ sân phơi.Xung quanh tiện ích đầy đủ từ bệnh viện, Trường mầm non - Tiểu học, Trung học cơ sở, THPT, chợ, TTTM, khu vui chơi, sân tập thể thao...- Sổ đỏ chính chủ pháp lý đầy đủ.- Giá 2,75 tỷ (có thương lượng).Liên hệ trực tiếp SĐT: 0326 713 *** (Gặp em Dương để mua nhà đúng giá).            ",35 m²,2.75 tỷ,3 m,,,4 tầng,3 phòng,4 phòng,Sổ đỏ,Cơ bản,05/12/2022,12/12/2022,Tin thường,36038621,batdongsan_com_vn_36038621,3.5 m
"['Hà Nội', 'Mê Linh', 'Xã Thanh Lâm', 'Đường Vành Đai 4', 'Dự án HUD Me Linh Central']","
Bán biệt thự, liền kề tại KĐT Mê Linh Đại Thịnh quỹ căn đẹp giá ngoại giao, mặt đường Vành Đai 4, sát trung tâm hành chính Huyện Mê Linh, KCN Quang Minh, diện tích 125m - 135m - 250m - 300m.- Chủ đầu tư: Tổng công ty đầu tư phát triển nhà và đô thị - HUD.- Vị trí: Xã Thanh Lâm - Đại Thịnh, Huyện Mê Linh, Thành phố Hà Nội.- Quy mô dự án: 55,383 ha.- Các sản phẩm bao gồm:799 căn Liền kề + Biệt thự và 1.466 Căn hộ nhà ở và chung cư thương mại.Số lượng cực ít quỹ căn đẹp giá tốt nhất KĐT Mê Linh, tiềm năng x2 x3 tài sản cực lớn.- Vành Đai 4 đã được phê duyệt và cắm mốc lộ giới.BĐS đi theo quy hoạch chắc chắn tăng phi mã. Đường mở đến đâu thì giá BĐS tăng đến đó.- Hạ tầng đã xong toàn bộ, pháp lý chuẩn xịn nhất Hà Nội.- Nằm ngay trung tâm hành chính của Mê Linh - đối diện UBND. Cách sân bay Nội Bài 10km, cách khu CN Quang Minh 3km, Ciputra 18km...Đất Thủ Đô đơn giá tốt nhất thị trường. Thời Điểm này đầu tư Ven Đô, trục Vành Đai 4 là thức thời nhất.Liên hệ ngay nhận giá và chính sách vị trí cụ thể.            ",135 m²,8.279 tỷ,24 m,,,,,,Sổ đỏ/ Sổ hồng.,,30/11/2022,08/12/2022,Tin thường,35990565,batdongsan_com_vn_35990565,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Cần tiền chính chủ gửi bán gấp căn hộ 2PN 1VS tòa S2.07 KĐT Vinhomes Ocean Park giá 1.53 tỷ.- DIện tích: 60m², sử dụng 55m².- Thiết kế: 2 phòng ngủ, 1vs.- Nội thất nguyên bản chủ đầu tư: Có 3 điều hòa, hoàn thiện trần, sàn, tường, thiết bị vệ sinh, thiết bị chiếu sáng.- Tầng trung, view thoáng.- Giá bán 1.53 tỷ.Quý khách hàng quan tâm liên hệ em Nhẫn biết thêm thông tin chi tiết.Hotline: 0979 267 ***Zalo, Viber).            ",60 m²,1.53 tỷ,,Đông - Nam,Tây - Bắc,,2 phòng,1 phòng,,Nguyên bản chủ đầu tư.,05/12/2022,12/12/2022,Tin thường,36037616,batdongsan_com_vn_36037616,
