address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Nội thất,Số tầng
"['Hà Nội', 'Long Biên', 'Dự án Le Grand Jardin Sài Đồng']","
Chính chủ em cần bán căn 2 ngủ.NHÀ MỚI THIẾT KẾ - NỘI THẤT SIÊU ĐẸP:- 3 điều hoà.- Máy giặt.- Tủ lạnh side by side SAMSUNG inverter.- Lò nướng, bếp từ, hút mùi, lò vi sóng... V... V.Giá rẻ nhất thị trường.Căn 1201 - Hướng nhìn ra dãy biệt thự vin và hồ harmony siêu đẹp.Diện tích 76m.View Đẹp, thoáng ko bị che chắn.Sổ hồng chính chủ có thể sang tên ngay.EM HẰNG CHÍNH CHỦ: 0987 999 ***nhà đã dọn sạch sẽ các bác chỉ cần xách vali tới ở được luôn ạ).-------------------------------------------------------------------------------- Hơn 50 TIỆN ÍCH đẳng cấp, đáp ứng đầy đủ nhu cầu về một cuộc sống năng động và hiện đại: Bể bơi, khu vui chơi, siêu thị, khu thể dục thể thao, vườn nướng BBQ...- Kết nối dễ dàng khi sở hữu vị trí đắc địa: Chợ dân sinh, trường học các cấp (công lập, quốc tế), siêu thị lớn (Aeon Mall, BigC, Vincom), bệnh viện (Tâm Anh, Đức Giang)...            ",76 m²,3.05 tỷ,Đông - Bắc,Tây - Bắc,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,07/12/2022,Tin thường,35964157,batdongsan_com_vn_35964157,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Tiền Yên']","
Cần bán nhanh ô 45 đấu giá Tiền Yên 91.4 m², hướng Tây Bắc, không lỗi gì, mặt tiền 5.5m.Tiềm năng sinh lời cực kỳ cao: Công viên 3000m² đang làm, đường sắp trải nhựa, hồ điều hòa 2000m² ngay bên cạnh, đường 10m ngay bên cạnh, bán kính xung quanh giá 6x, ở đây 3x lại còn là đất đấu giá, không có cớ gì không thắng khi đầu tư ô này.Giao thông cực kỳ thuận tiện: Gần đường kênh mương Đan Hoài 2 chiều 2 làn đường nhựa, gần đường đê tả sông đáy, gần cả Đại Lộ Thăng Long, tiềm năng sinh lời cực kỳ cao.Gần ủy ban, trường học cấp 1, cấp 2 và trạm y tế, an cư cực kỳ tốt vì điện đường trường trạm đầy đủ và cách rất gần.Anh chị tham khảo sơ đồ ảnh bên dưới.            ",91.4 m²,Thỏa thuận,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35964008,batdongsan_com_vn_35964008,5.5 m,10 m,,
"['Hà Nội', 'Thanh Trì', 'Dự án Legacy Garden']","
Cần bán lại lô góc Shophouse Legaxy Garden mặt đường 30m giá 190tr/m². Giá bao sang tên và phí công chứng. Bạn nào cần liên hệ mình : 0966 199 *** ",90 m²,190 triệu/m²,,,,,,27/11/2022,07/12/2022,Tin thường,35963544,batdongsan_com_vn_35963544,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Heritage West Lake']","
Heritage West Lake.Tọa lạc tại hai phường Xuân La và Phú Thượng thuộc quận Tây Hồ, cạnh Lotte.Heritage Westlake sở hữu vị trí đắc địa ven Hồ Tây lộng gió được coi là tuyến huyết mạch của Tây Hồ một trong những thế đất có phong thuỷ tốt lành cảnh sắc tuyệt vời, vượng khí ngất trời.Không những sở hữu mặt tiền Lạc Long Quân đất vàng Hồ Tây gần trung tâm hành chính quận Tây Hồ.* Dự án thuộc khu Vườn Đào và sát cạnh 2 khu đô thị lớn nhất Hà Nội: Khu đô thị Ciputra và Lotte Mall.Từ Heritage Westlake, dễ dàng tiếp cận đến trung tâm văn hoá, y tế, xã hội của thủ đô: Sân bay Nội Bài, bệnh viện Tim, trường quốc tế UNIS, Đại sứ quán,..--Là dự án đầu tiên được chứng nhận công trình xanh BCA Green Mark.Cấp bởi Bộ Xây Dựng Singapore - Giảm thiểu sử dụng tài nguyên - Giảm thiểu hệ quả môi trường - Môi trường nội khu trong lành - Duy trì, cải thiện môi trường sống.--Diện tích đa dạng từ 94m² - 328m² với loại hình 2PN - 3PN - 4PN - Penthouse - Duplex.8 căn hộ với 8 thang máy dẫn thẳng lên sảnh lobby thang máy riêng cho từng căn hộ giúp đạt sự riêng tư cao cấp nhất.Trần cao 3,1m với logia rộng tràn ngập ánh sáng.100% các phòng đều ngập ánh sáng và khí tươi kể cả phòng nhà kho.Tỷ lệ đỗ xe đỉnh 1: 1 giúp gia chủ thoải mái đỗ xe tại 3 hầm.--Tiến độ thanh toán cực kỳ linh hoạt: Thanh toán 20% cho tới khi bàn giao nhà (dự kiến Q4/2024) - Không cần vay.- Năm 2022: 10% ký thỏa thuận đặt cọc.- Năm 2023: 10% ký hợp đồng.- Q4/2024: 80% nhận nhà.--Nhận booking 100 triệu có hoàn lại!Heritage Westlake - Kiệt tác bên Hồ Tây.Chi tiết liên hệ em Minh Thư 0987 792 *** ",45 m²,2.7 tỷ,Đông - Nam,,,,Hợp đồng mua bán,25/11/2022,02/12/2022,Tin thường,35948556,batdongsan_com_vn_35948556,,,Cơ bản,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Bông', 'Phố Tràng Thi']","
Chính chủ cần bán gấp chung cư mặt tiền cách hồ Hoàn Kiếm 600m. Căn hộ khu phố cổ giá rẻ diện tích sổ hồng 40m². Giá cả thương lượng, có gia lộc cho người mua thiện chí.Gia đình vào Nam nên cần bán căn hộ mặt tiền phố Tràng Thi.Trước dịch Covid, nhà cho công ty du lịch thuê làm Homestay cho khách Tây. Hiện cũng đang cho thuê 6.5 triệu / tháng.Khu dân trí cao, an ninh, không ngập nước.Hơn 3 tỷ có ngay hộ khẩu khu Phố cổ Hoàn Kiếm.Phù hợp cho các bác muốn đầu tư cho thuê căn hộ dịch vụ, homestay, các bác đang làm việc tại trung tâm Hà Nội hoặc các gia đình đang kinh doanh tại Phố cổ.Kết cấu:Khu căn hộ mặt tiền phố Tràng Thi, phường Hàng Bông, cách Hồ Gươm chỉ 600m. Cách khu vực Phường Hàng Đào, phố Lý Thái Tổ có giá đắt nhất Hà Nội hơn 1 tỷ/m² chưa đầy 1km.Diện tích trên sổ là 37m². Tổng diện tích sử dụng hiện gần 40m², chưa cơi nới. Chủ nhà mới có thể cơi nới thêm tùy ý.Khu căn hộ xây kiên cố, còn mới, không giống các nhà tập thể cũ xây vào các thập niên 70 - 80 thế kỷ trước.Công năng:Nhà 2 phòng ngủ, 1 wc, bếp, 1 phòng kho, ban công 2 góc nhìn thẳng xuống phố, đủ tiện ích. Tặng lại toàn bộ nội thất..Vài phút đi bộ ra Hồ Hoàn Kiếm, gần chợ, khu bệnh viện Việt Đức,.., trường học các cấp, Cơ quan nhà nước...Nở hậu, phong thủy tốt, khu nhà cấp cho các bác tiền bối tinh hoa Hà Nội những năm trước.Thích hợp để ở, mua đầu tư cho thuê, hiện có rất nhiều khách hỏi thuê nhưng do gia đình đang làm ăn ở Sài Gòn và mẹ đã già không thời gian trông coi nên cần bán.Pháp lý:Sổ hồng riêng nên hạn sử dụng lâu dài, công chứng trong ngày.Liên hệ:Miễn trung gian gặp chính chủ gia đình trực tiếp xem nhà và thương lượng giá cả.Hỗ trợ xem phong thủy, xem tuổi, xem ngày nhập trạch cho chủ nhà mới.Đt/zalo: Viễn Phương sn 74: 0932 980 *** ",40 m²,Thỏa thuận,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,12/12/2022,Tin thường,35289726,batdongsan_com_vn_35289726,,,Đầy đủ,
"['Hà Nội', 'Ba Đình', 'Phường Điện Biên', 'Đường Ngọc Hà']","
Nhà Ngọc Hà - về nhà đón tết - nhà mới ở luôn - lô góc - nội thất xịn - vị trí đẹp vài bước chân ra thăm Lăng Bác.Diện tích: 33m², 5 tầng, MT 3.7m.Giá chính chủ: 5.7 tỷ (còn thương lượng).Mô tả.+ Nhà 5 tầng xây mới.+ Ngõ trước nhà rộng thoáng, nội thất cơ bản xịn, đẹp.+ Vài bước chân ra Lăng Bác, thể dục Hồ Tây.Thiết kế:+ Tầng 1: Phòng khách, bếp, WC.+ Tầng 2,3,4: Mỗi tầng 1 PN rộng, 1 VS khép kín.+ Tầng 5: 1 phòng thờ và 1 sân phơi.+ Sẵn sổ đỏ đẹp giao dịch ngay.------------------------------------------Mọi thông số chuẩn 100% - quý khách hàng an tâm LH em Tuấn Anh 0833 445 *** ",33 m²,5.7 tỷ,,,3 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,26/11/2022,03/12/2022,Tin thường,35880938,batdongsan_com_vn_35880938,3.7 m,3 m,,5 tầng
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch']","
Tòa văn phòng quận Cầu Giấy - 7 tầng - có hầm - mặt tiền khủng - phân lô, vỉa hè, ô tô tránh - kinh doanh sầm uất.Diện tích: 95m², 7 tầng, MT 9.5m.Giá chính chủ: 38 tỷ (còn thương lượng).Mô tả:+ Vị trí đắc địa, vỉa hè rộng, ngõ thẳng ô bàn cờ.+ Lợi thế mặt tiền cực rộng, toà nhà bề thế vô cùng, k.+ Nhà mới kính koong, sổ đỏ chính chủ, sang tên luôn.------------------------------------------Mọi thông số chuẩn 100% - quý khách hàng an tâm LH em Tuấn Anh 0833 445 *** ",95 m²,38 tỷ,,,,7 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35884758,batdongsan_com_vn_35884758,9.5 m,10 m,Cơ bản,7 tầng
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Dương Khuê']","
Chính chủ nhờ bán đất phố X4 Dương Khuê, Cầu Giấy - phân lô vuông ô bàn cờ, vỉa hè, ô tô tránh, kinh doanh sầm uất - xây dựng văn phòng, khách sạn, nhà ở, biệt thự.Diện tích: 61m², MT 6m, giá 13.5 tỷ.Diện tích: 80m², MT 6m, giá 17.7 tỷ.Diện tích: 136m², MT 24m (Lô góc), giá 33.6 tỷ.Mô tả:+ Vị trí đắc địa thuộc khu phân lô Dương Khuê, Cầu Giấy, đường thông bàn cờ.+ Trung tâm của các trường đại học.+ Trung tâm giao thương, thông ra 4 đường lớn: Phạm Hùng, Lê Đức Thọ, Nguyễn Hoàng, Hồ Tùng Mậu.+ Khu vực phù hợp mọi loại hình đầu tư:+ Sổ đỏ lâu dài, pháp lý sạch, không lỗi phong thủy.--------------------------------------Mọi thông tin chính xác 100% - quý khách hàng an tâm khi LH em Tuấn Anh 0833 445 ***!            ",80 m²,220 triệu/m²,,,,,Sổ đỏ.,23/11/2022,30/11/2022,Tin thường,33938859,batdongsan_com_vn_33938859,6 m,10 m,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Lê Trọng Tấn', 'Dự án Geleximco Lê Trọng Tấn']","
1. B46 LK 75m² khu B giáp VIN giá chỉ còn 7. X tỷ cả nhà và đất.2. D43 nhà vườn 120m² mặt đường lớ. N 16.5m (đường tiêu chuẩn 13.5m) giá chỉ nhỉnh 9 tỷ.3. D6 nhà vườn 120m² không lỗi lầm, đẹp như á hậu giá nhỉnh 10 tỷ, mặt vườn hoa hoa hậu nhỉnh 11 tỷ.4. C2 NV 120m² mặt vườn hoa, mặt sau đường Lê Trọng Tấn, giá bán nhanh chỉ 11. X tỷ (x có như không).5. C9 LK 95m², hướng Đông Nam, sổ đỏ, giá 11 tỷ - C14 LK 100m hướng Tây Bắc, giá 11 tỷ (Vị trí đẹp, cách Aeon Mall Hà Đông chỉ 250m).6. C49 góc xẻ khe vườn hoa, nhà ba mặt thoáng, cách đường Lê Trọng Tấn chỉ 70m, view biệt thự. Giá chỉ nhỉnh nhẹ nhẹ 9 tỷ.7. B8 diện tích 90m², mặt tiền 6m, cặp kè VIN, nhà đẹp không lỗi phong thủy. Giá bán nhanh chỉ 9. X tỷ (Cam kết rẻ nhất dạng căn 90m).8. C16 160m², mặt vườn hoa giá chỉ 15. X tỷ cả nhà (giá thị trường 18ty).Đáp ứng mọi nhu cầu mua của khách hàng.Văn phòng bất động sản Geleximco Đức Thuận Land sẽ giúp chủ nhà bán và cho thuê được nhà nhanh nhất, khách mua và thuê nhà cũng sẽ mất ít thời gian nhất để tìm được nhà ưng ý.Mọi thắc mắc cần tư vấn giải đáp về dự án Geleximco xin mời liên hệ hotline công ty: 0975 159 ***Tôi xin cam kết:- Mọi thông tin tư vấn chuẩn xác, minh bạch, rõ ràng.- Khách mua làm việc trực tiếp chủ nhà, công khai giá cả.- Hỗ trợ chuyên nghiệp mọi thủ tục pháp lý.Vui Lòng LH Mr Thuận 0975 159 *** để có được những thông tin chính xác nhất về Dự án. Đ/C lk C7 - 10 khu C KĐT Geleximco.            ",75 m²,7 tỷ,,,,,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35668542,batdongsan_com_vn_35668542,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Chánh']","
- Chủ nhà đổi mục đích kinh doanh, nên quyết định bán căn nhà xây kiểu tòa văn phòng hiếm nhất mặt phố Nguyễn Chánh, quận Cầu Giấy.- Tòa building nằm tại vị trí tuyệt đẹp, xung quanh là các TTTM, Vincom, Big C,... Phố Nguyễn Chánh cũng rất ít nhà bán, thiết kế xây dựng 9 tầng 1 hầm, trên diện tích 130m², mặt tiền 7.5m, tòa văn phòng cao cấp đầy đủ công năng chủ nhà tự xây vô cùng tâm huyết.- Sổ đẹp chính chủ, pháp lý rõ ràng giao dịch ngay.- Giá 68 tỷ.- Liên hệ tôi Tuấn Anh - Tư vấn miễn phí, đầy đủ thông tin pháp lý, và giúp khách hàng mua được giá tốt nhất.            ",130 m²,68 tỷ,,,,,Sổ đẹp.,25/11/2022,02/12/2022,Tin thường,34424234,batdongsan_com_vn_34424234,7.5 m,,,9 tầng
