address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án An Hưng']","
Bán liền kề tại KĐT An Hưng, Hà Đông, LH 0961 628 ***+ Diện tích 82,5m², MT 5m, xây thô 4 tầng. Giá 11 tỷ.+ Vị trí: Tận hưởng tiện ích khu đô thị rất thuận tiện, gần đường Tố Hữu (100m), KĐT Dương Nội, bệnh viện Quốc tế, siêu thị Aeon Nhật Bản, xung quanh đầy đủ tiện ích như: Siêu thị Đức Thành, gần trường cấp 1 An Hưng, cấp 2 Lê Quý Đôn, cách trung tâm thương mại Metro Hà Đông 1.5km, UBND quận Hà Đông, bệnh viện Hà Đông, Quốc lộ 6: 2km, cách trung tâm Hội nghị Quốc gia: 5km.+ Không gian sống là lá phổi xanh giữa lòng quận Hà Đông, không gian sống chan hòa, khu vui chơi và khu hồ rất mát.+ Rất thuận tiện làm công ty, kinh doanh buôn bán.+ An ninh bảo vệ chia làm 2 vòng, trông coi 24/7. An ninh kho cực tốt.+ Pháp lý: Đã có sổ đỏ, sang tên nhanh gọn.LH e 0961 628 ***Hương).            ",82.5 m²,11 tỷ,5 m,12 m,4 tầng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,32954799,batdongsan_com_vn_32954799,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Phố Trần Bình', 'Dự án The Garden Hills - 99 Trần Bình']","
Bán căn hộ 2 phòng ngủ, 2 vệ sinh, diện tích 84m² chung cư Thông Tấn Xã VN - Nguyễn Xiển.Cửa Tây Bắc, ban công Đông Nam, thoáng mát, sạch sẽ.Bán giá 2.8 tỷ, có thương lượng.Nội thất cơ bản.Sổ đỏ sẵn sàng giao dịch.Liên hệ: 0967 986 *** ",84 m²,2.8 tỷ,,,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36038298,batdongsan_com_vn_36038298,Tây - Bắc,Đông - Nam,2 phòng,2 phòng,Cơ bản
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', 'Dự án KĐT Cổ Nhuế']","
Bán căn hộ chung cư KĐT Nam Cường, phường Cổ Nhuế, quận Bắc Từ Liêm, Hà Nội.Khu đô thị Nam Cường Cổ Nhuế có vị trí kéo dài theo đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội.Giáp giới cụ thể của dự án như sau:- Phía Đông giáp với đường Phạm Văn Đồng.- Phía Tây, Tây Nam giáp khu dân cư phường Cổ Nhuế.- Phía Nam giáp đường quy hoạch.- Phía Bắc giáp đường quy hoạch và khu nhà ở biệt thự.Với vị trí đắc địa như trên, cư dân sinh sống và làm việc tại khu đô thị có thể dễ dàng di chuyển đến các địa điểm như:- 5 phút để đến bến xe Mỹ Đình.- 7 phút để đến trung tâm Hội nghị Quốc Gia.- 8 phút di chuyển để mua sắm tại BigC Thăng Long.- 15 phút để đến Vincom Mega Mall và AEON Mall Hà Đông.Diện tích 103 m². Căn gồm 3 phòng ngủ, 2 wc. Nội thất cơ bản.Giá bán: 3,8 tỷ.Liên hệ: 0969 856 *** ",103 m²,3.8 tỷ,,,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35890163,batdongsan_com_vn_35890163,,,3 phòng,2 phòng,Nội thất cơ bản 
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Tân Mai', 'Dự án Louis City Hoàng Mai']","
Đẳng cấp! Bán BT Louis VI City Hoàng Mai, 267m, 4T, MT 10.5m, giá 43 tỷ!Mô tả:+ Louis City Hoàng Mai là tổ hợp dự án liền kề, biệt thự, shophouse tọa lạc ở vị trí siêu đắc địa tại số 54 Tân Mai, Hoàng Mai vị trí vàng của trung tâm sầm uất và năng động giữa lòng thành phố Hà Nội.+ Dự án liền kề, biệt thự Louis City Hoàng Mai tọa lạc ngã tư giao cắt giữa hai tuyến đường huyết mạch của quận Hoàng Mai là đường Tân Mai và Tam Trinh, thuận tiện di chuyển đến trung tâm quận Hoàng Mai, quận Hai Bà Trưng và các quận khác.+ Cả khu chỉ có 70 căn BT, chủ đầu tư hoàn thiện xây thô. Nhà Mình bán nằm ở vị trí đẹp đắc địa!LH: 0988 332 *** Mr Thế Anh (MTG).            ",267 m²,43 tỷ,10.5 m,13 m,4 tầng,Sổ đỏ/ Sổ hồng,01/12/2022,08/12/2022,Tin thường,35846194,batdongsan_com_vn_35846194,Đông,,8 phòng,6 phòng,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', 'Dự án KĐT Cổ Nhuế']","
Bán căn hộ chung cư KĐT Nam Cường, phường Cổ Nhuế, quận Bắc Từ Liêm, Hà Nội.Khu đô thị Nam Cường Cổ Nhuế có vị trí kéo dài theo đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội.Giáp giới cụ thể của dự án như sau:- Phía Đông giáp với đường Phạm Văn Đồng.- Phía Tây, Tây Nam giáp khu dân cư phường Cổ Nhuế.- Phía Nam giáp đường quy hoạch.- Phía Bắc giáp đường quy hoạch và khu nhà ở biệt thự.Với vị trí đắc địa như trên, cư dân sinh sống và làm việc tại khu đô thị có thể dễ dàng di chuyển đến các địa điểm như:- 5 phút để đến bến xe Mỹ Đình.- 7 phút để đến trung tâm Hội nghị Quốc Gia.- 8 phút di chuyển để mua sắm tại BigC Thăng Long.- 15 phút để đến Vincom Mega Mall và AEON Mall Hà Đông.Tầng trung. Diện tích 86m², gồm 2 phòng ngủ, 2 wc. Full nội thất. Cửa Đông Bắc, ban công Tây Nam.Giá bán: 40 triệu/m², bao hết phí.Liên hệ: 0969 856 *** ",86 m²,40 triệu/m²,,,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35890181,batdongsan_com_vn_35890181,Đông - Bắc,Tây - Nam,2 phòng,2 phòng,Nội thất đầy đủ 
"['Hà Nội', 'Sóc Sơn', 'Xã Quang Tiến', 'Đường 131']","
Đại hạ giá tại khu đấu giá Bắc Hạ Quang Tiến Sóc Sơn vị trí kinh doanh, 100m².Gia đình cần bán lô L23 đấu giá Bắc Hạ, vị trí làn 1, view chợ Bắc Hạ, kinh doanh bất chấp ngày đêm.Đường trước đất 20m cả vỉa hè, đất đấu giá yên tâm về quy hoạch dài hạn.Mặt tiền 5m, chiều sâu 20m, chỉ giới xây dựng lùi 3m phía trước, chiều cao tối đa 14m hoặc 5 tầng 1 tum.Di chuyển thuận tiện qua đường tỉnh lộ 131 nối tới cao tốc Nội Bài Lào Cai, đường Võ Nguyên Giáp, Võ Văn Kiệt trong bán kính 2km.Sổ đỏ cất két, có thương lượng về giá với khách thiện chí.Liên hệ: 0399 786 *** để được tư vấn chi tiết.            ",100 m²,Thỏa thuận,5 m,8 m,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36038274,batdongsan_com_vn_36038274,Bắc,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án The Pride']","
Gia đình cần xuống mặt đất nên cần bán gấp căn hộ 70m². Tầng trung, full nội thất, 2pn - 2vs.Hướng cửa TB ban công TN.Giá 1,9 tỷ.Liên hệ 0971 586 *** ",70 m²,1.9 tỷ,,,,Sổ đỏ,05/12/2022,12/12/2022,Tin thường,35970176,batdongsan_com_vn_35970176,Tây - Bắc,Tây - Nam,2 phòng,2 phòng,Full nội thất (Ảnh thật)
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Mạc Thái Tổ']","
Phố vip Cầu Giấy - một nhà ra phố - phân lô vỉa hè 3 ôtô tránh - 2 mặt phố vào thông thoáng - view trường học - ở kinh doanh đỉnh cao - an sinh tuyệt vời.Diện tích 50m², sổ đỏ vĩnh viễn.Nhà xây 4 tầng kiên cố.Khu vực nhiều tiện ích từ trường học đến khu vui chơi giải trí. Vị trí thuận tiện giao thông các ngả như Trung Kính, Trần Duy Hưng, Mạc Thái Tổ, Mạc Thái Tông, Phạm Hùng, Cầu Giấy...Nhà cán bộ công chức, con cái thành đạt, ở rất có lộc, đất cực lành.Giá 11 tỷ có thương lượng.Liên hệ xem nhà: 0985 510 *** ",50 m²,11 tỷ,,,4 tầng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36038458,batdongsan_com_vn_36038458,,,,,Đầy đủ
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Trần Phú', 'Dự án Hồ Gươm Plaza']","
Hai vợ chồng tôi mua căn hộ được vài năm ăn lên làm ra, nhiều lộc nên đã mua được nhà dưới mặt đất, nay không còn nhu cầu sử dụng nữa, nên cần bán lại để đầu tư cái khác, cụ thể như sau mong tìm được chủ mới may mắn. Chi tiết căn hộ:- Hướng: TN, ban công ĐB.- Thiết kế: 3 ngủ 2 VS, DT: 110m² thông thủy.- Nội thất cơ bản chủ đầu tư.- Phòng khách, bếp, thiết bị vệ sinh tất cả đều mới và sử dụng tốt.- Nhà đã có sổ pháp lý rõ ràng (Lâu dài).- View nhìn xuống mặt đường Vũ Trọng Khánh thoáng mát không bị chắn tòa.- Tầng trung nên không bị ồn ào, bụi bặm, nắng chiếu sau này không có nhu cầu sử dụng nữa cũng rất dễ thanh khoản.Giá: 3,36 tỷ (Giá thật không đăng ảo mất thời gian 2 bên, sẽ ra lộc fix mạnh tay cho khách thiện chí).Liên hệ: 0971 586 ***Miễn quảng cáo, trung gian).            ",110 m²,3.36 tỷ,,,,Sổ đỏ/ Sổ hồng,03/12/2022,10/12/2022,Tin thường,35862915,batdongsan_com_vn_35862915,Tây - Nam,Đông - Bắc,3 phòng,2 phòng,NTCB
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Hoàng Quốc Việt', 'Dự án Chung cư 60 Hoàng Quốc Việt']","
Bán chung cư MHDI 60 Hoàng Quốc Việt, phường Nghĩa Đô, quận Cầu Giấy, Hà Nội.Phía Bắc: Gần hồ điều hòa khu đô thị Tây Hồ Tây.Phía Nam: Tiếp giáp công viên Nghĩa Tân.Phía Đông: Tiếp giáp viện Hàn Lâm Khoa học.Phía Tây: Gần nhiều trường đại học lớn như đại học Điện Lực, Học viện Kỹ thuật Quân sự.Diện tích 70,68m². Căn có 2 phòng ngủ, full nội thất.Giá bán: 3,5 tỷ.Liên hệ: 0969 856 *** ",70.68 m²,3.5 tỷ,,,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36038649,batdongsan_com_vn_36038649,,,2 phòng,,Đầy đủ
