address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Pháp lý,Mặt tiền,Số tầng,Nội thất,Đường vào
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Dự án HH2 Linh Đàm']","
E Dung 0989 636 ***Có các căn hộ HH Linh Đàm rẻ cần bán.Căn 1 ngủ diện tích 45m² giá 930tr.Căn 2 ngủ 1 vệ sinh full đẹp giá 1.3 tỷ.Căn 2 ngủ. 2 vệ sinh full đẹp lung linh 63m² xách quần áo về ở giá 1.43 tỷ.Căn 70m² 2 ngủ 1 vệ sinh giá 1.2tỷ full đồ cơ bản.Căn 3 ngủ 76m² giá 1.56 tỷ.LH e 0989 636 *** ",45 m²,930 triệu,Đông,Nam,1 phòng,05/12/2022,12/12/2022,Tin thường,36037284,batdongsan_com_vn_36037284,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nghiêm Xuân Yêm', 'Dự án Kim Văn Kim Lũ']","
Chính chủ vợ chồng em bán căn góc 97m² tầng cao tòa B Vinaconex khu đô thị Kim Văn Kim Lũ.Thiết kế 3 phòng ngủ, 2 phòng vệ sinh, 2 lô gia.Sổ đỏ chính chủ tên vợ chồng em.Nội thất vợ chồng em làm cẩn thận, ảnh nhà em chụp bên dưới.Giá có mặt bằng chung, em muốn gặp trực tiếp khách, thuận mua vừa bán! Thương lượng thoải mái!Liên hệ em xem nhà mọi lúc: Em Dũng 0982 011 *** ",97 m²,Thỏa thuận,Tây - Bắc,Đông - Nam,3 phòng,05/12/2022,12/12/2022,Tin thường,36038039,batdongsan_com_vn_36038039,2 phòng,Sổ đỏ.,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Tương Mai', 'Đường Trương Định']","
Mặt phố Trương Định - thang máy - lô góc - mặt phố kinh doanh sầm uất 45m² 6T MT: 4m.+ Thiết kế.- Tầng 1: Thông sàn kinh doanh.- Tầng 2: Khách + bếp + wc.- Tầng 3,4,5: 3 ngủ khép kín.- Tầng 6: Thờ + phơi.+ Sổ đỏ sẵn sàng giao dịch.LH: 0974 707 *** ",45 m²,14.5 tỷ,,,,05/12/2022,14/12/2022,Tin thường,35887443,batdongsan_com_vn_35887443,,Sổ đỏ chính chủ.,4 m,6 tầng,Xịn.,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Dự án Sunshine Riverside']","
Chính chủ bán căn hộ 2 ngủ + 1WC - Sunshine Riverside.Diện tích: 67m² thông thủy.Ban công: Đông.Có ban công tại phòng khách, bếp khuất.Giá: 2.7 tỷ.LH sđt/zalo 0966 286 *** Ms. Lý.            ",67 m²,2.7 tỷ,,Đông,2 phòng,05/12/2022,12/12/2022,Tin thường,34773683,batdongsan_com_vn_34773683,1 phòng,Đã có sổ,,,Đầy đủ đồ cơ bản,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Dự án Sunshine Riverside']","
Chính chủ cần bán căn hộ chung cư Sunshine Riverside Tây Hồ.+ Diện tích: 100m² thông thủy, nhà mới tinh chưa ở+ Thiết kế: 3 ngủ + 2WC + 2 ban công thoáng, cửa Bắc, ban công Nam mát mẻ.Giá bán: 4.2 tỷ (đã có sổ đỏ).Nhà mới tinh, được trang bị nội thất cao cấp  CĐT: Đèn chùm, sàn gỗ, cửa gỗ chống cháy, khóa từ, điều hòa âm trần, TBVS Kohler, nhà smart home...Liên hệ xem nhà 0966 286 ***. Ms. Lý.            ",100 m²,4.2 tỷ,Bắc,Nam,3 phòng,05/12/2022,12/12/2022,Tin thường,34791933,batdongsan_com_vn_34791933,2 phòng,Sổ đỏ/ Sổ hồng,,,Đầy đủ nội thất mới ,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Khuất Duy Tiến', 'Dự án Việt Đức Complex']","
Vị trí: Đẹp nhất khu, căn góc thoáng đãng. Gần trường học, nhà để xe 3 hầm, bể bơi 4 mùa - quá thuận tiện với nhu cầu sử dụng tiện ích của cư dân. Gần làng sinh viên, công viên điều hòa Nhân Chính, Chợ Thanh xuân.Nội thất: Cơ bản.Diện tích: 126m².Giấy tờ pháp lý: Sẵn sàng giao dịch.Giá giao dịch siêu ưu đãi: 3.8 tỷ - ra lộc thêm cho khách thiện chí giao dịch nhanh.ĐT: 0985 800 *** ",126 m²,3.8 tỷ,Đông - Nam,Tây - Nam,3 phòng,05/12/2022,12/12/2022,Tin thường,36038034,batdongsan_com_vn_36038034,2 phòng,Sổ đỏ/ Sổ hồng,,,Cơ bản,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Dự án Sunshine Riverside']","
Chủ nhà gửi bán nhanh căn hộ tại chung cư Sunshine Riverside Tây Hồ:- Diện tích 58m² thông thủy gồm 2 ngủ, 1WC, 1 ban công tầng trung đẹp hướng mát.- Căn hộ ngay cạnh vườn treo, các phòng đều có ánh sáng tự nhiên.- Giá bán: 2.5 tỷ (để lại toàn bộ nội thất, sổ đỏ cất két chờ sang tên).Liên hệ xem nhà: 0966 286 *** em Lý.            ",58 m²,2.5 tỷ,Bắc,Nam,2 phòng,05/12/2022,12/12/2022,Tin thường,35430945,batdongsan_com_vn_35430945,1 phòng,Sổ đỏ/ Sổ hồng,,,Đầy đủ nội thất đẹp,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', 'Dự án Green Stars']","
Nhà tôi cần bán căn hộ 2N diện tích 61.4m² thông thủy - tim tường 66,8m².- Nội thật: Full nội thất.- Cửa: Nam ban công bắc view cầu Nhật Tân.- Gía: 2,530 tỶ và để lại toàn bộ nội thất.- Liên hệ e Hà để xem nhà và hỗ trợ thủ tục pháp lý: 0949 527 *** ",66.8 m²,2.53 tỷ,Nam,Bắc,2 phòng,05/12/2022,12/12/2022,Tin thường,36036384,batdongsan_com_vn_36036384,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính']","
Bán căn hộ chung cư tầng trung Phố Trung kính, P. Yên Hòa, Q. Cầu Giấy.- Diện tích 65m².- Thiết kế 2 phòng ngủ, 2 vệ sinh, full đồ nội thất mua chỉ việc xách vali đến ở: Tủ bếp, tivi, tủ lạnh điều hòa, bàn ăn, ghế sofa đầy đủ hết không thiếu thứ gì.Giá chính chủ 3.35 tỷ có TL.Liên hệ gặp trực tiếp chính chủ 0369 123 *** em Khoa (gửi ảnh và video).            ",64 m²,3.35 tỷ,,Đông - Bắc,2 phòng,05/12/2022,12/12/2022,Tin thường,36038028,batdongsan_com_vn_36038028,2 phòng,Sổ đỏ/ Sổ hồng,,,Đầy đủ,
"['Hà Nội', 'Đống Đa', 'Phường Kim Liên', 'Phố Phương Mai']","
Nhà ngay gần ngã tư Phương Mai. Nhà ở tập thể tầng 1 nhà đầy đủ nội thất, rộng 68m². Thông trước thông sau, nhà nở hậu, sổ đỏ chính chủ. Cách mặt đường Lương Đình Của 4m, ô tô đỗ ngay cửa.Giao thông thuận tiện, gần các phố lớn, bệnh viện lớn, gần các trường đại học như Kinh Tế Quốc Dân, Xây Dựng, Bách Khoa,..., gần trường mầm non, cấp 1 đến cấp 3. Chợ, siêu thị, Vincom Phạm Ngọc Thạch ba bước chân là tới.Nhà có 2 phòng ngủ rộng và 01 phòng khách rộng. Nhà bếp và vệ sinh khép kín, đã sửa lại đẹp, chắc chắn. View trước nhà có sân chơi đẹp, thoáng sạch sẽ, dụng cụ thể thao...Giá: Nhỉnh 2 tỷ.Liên hệ: Chị Minh 0329 910 *** ",68 m²,Thỏa thuận,,,2 phòng,05/12/2022,12/12/2022,Tin thường,36038025,batdongsan_com_vn_36038025,,,,,,
