address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Số tầng,Số phòng ngủ,Nội thất,Số toilet
"['Hà Nội', 'Đông Anh', 'Xã Đại Mạch', 'Phố Đại Đồng']","
Chính chủ cần bán 81.6m² tại Mạch Lũng - Đại Mạch - Đông Anh.- Mặt tiền 5m.- Ngõ thông rộng 5m, ô tô vào đất.- Gần chợ, trường học cấp 1, cấp 2 chỉ 500m.- Cách cổng C khu công nghiệp Bắc Thăng Long 800m.Liên hệ: 0373 689 *** để được tư vấn chi tiết.            ",81.6 m²,35 triệu/m²,5 m,5 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35838677,batdongsan_com_vn_35838677,,,,,
"['Hà Nội', 'Đông Anh', 'Xã Nguyên Khê', 'Đường Võ Nguyên Giáp']","
Nhỉnh 2 tỷ sở hữu 58m² ô tô đỗ cửa tại Nguyên Khê Đông Anh.- Tổng diện tích 58m² đất ở 100%.- Mặt tiền 4.68m chiều sâu 12.5m.- Hướng Tây Tứ Trạch (Tây Bắc), đường 3.5m ngõ thông ô tô đỗ cửa.- Vị trí cách đường gom Võ Nguyên Giáp, hồ điều hòa VinTech chỉ 300m.- Tiềm năng lên giá cao khi dự án VinTech đang bước vào giai đoạn san lấp mặt bằng.- Nằm cạnh nút giao giữa các cao tốc, quốc lộ liên tỉnh như: Đường Võ Nguyên Giáp, đường 18, Quốc Lộ 3, đường 2B, đường cao tốc Nội Bài Lào Cai... Tất cả trong bán kính 3km.- Sổ đỏ chính chủ, công chứng trong ngày.* Liên hệ xem đất 0373 689 *** ",58 m²,38 triệu/m²,4.68 m,3.5 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,33612650,batdongsan_com_vn_33612650,Tây - Bắc,,,,
"['Hà Nội', 'Sóc Sơn', 'Xã Quang Tiến', 'Đường 131']","
Cần bán 51.4m² view hồ Bắc Thượng đường 5m giá 950tr.- Tổng diện tích 51.4m² đất ở 100% hướng Tây Nam.- Mặt tiền 5m, hậu 5m, chiều sâu 10m, đường betong 5m oto tránh.- Vị trí view hồ Bắc Thượng, đi bộ ra hồ chỉ 20 bước chân.- Cách tỉnh lộ 131 và cổng A khu CN Nội Bài 800m.- Sổ đỏ chính chủ, công chứng trong ngày.- Lh xem đất ms Hằng 0373 689 *** ",51.4 m²,950 triệu,5 m,5 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35093733,batdongsan_com_vn_35093733,Tây - Nam,,,,
"['Hà Nội', 'Sơn Tây', 'Xã Sơn Đông', 'Đường 21']","
Tôi cần bán lô góc 260m² full thổ cư tại xã Sơn Đông, Sơn Tây, HN.Cách Tỉnh lộ 82: 100m.Cảnh Quốc lộ 21: 500m.Ngay gần trạm y tế xã Sơn Đông, gần ủy ban, trường học, chợ.Gần cụm công nghiệp Sơn Đông.Đường thông ô tô vào thoải mái.Giá cắt lỗ 20% so với giá thị trường.Liên hệ: 0965 782 *** / 0988 368 *** làm việc chính chủ.            ",260 m²,2.4 tỷ,14 m,4 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,33262097,batdongsan_com_vn_33262097,Đông - Nam,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Trường Chinh']","
- Chính chủ bán gấp nhà 3 tầng 38,5m² do chuyển công tác xa.- Nhà nằm ở vị trí trung tâm, xung quanh các trường đại học: Đại học Xây Dựng, Kinh Tế Quốc Dân, Bách Khoa, nhà khu trung tâm, vài bước ra phố lớn, giao thông thuận tiện.- Nhà nằm trong khu dân trí cao, an ninh đảm bảo, ô tô đỗ sát cửa, giao thông thuận tiện. Cách đường Trường Chinh 15m.- Nhà thiết kế với đầy đủ công năng:Tầng 1: Phòng khách, bếp và vs.Tầng 2,3: Mỗi tầng 1 phòng ngủ, và 1 phòng thông chỗ cầu thang và sân phơi.- Giấy tờ đầy đủ sẵn sàng giao dịch.- Liên hệ em Huân: 0906 152 *** để được xem nhà và tư vấn miễn phí.            ",38.5 m²,Thỏa thuận,,,,05/12/2022,12/12/2022,Tin thường,36038001,batdongsan_com_vn_36038001,,3 tầng,2 phòng,,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'đường Võng Thị']","
- Vị trí nhà nằm ở mặt ngõ phố Võng Thị, ngõ rộng thông với Trích Sài, gara ô tô, kinh doanh, cách Hồ Tây chỉ 200m, chủ để lại hết nội thất xịn sò, ô thoáng ô chờ thang máy.Tầng 1: Gara ô tô, bếp, WC.Tầng 2: Phòng khách và 1 ngủ + WC.Tầng 3,4: 4 phòng ngủ + wc.Tầng 5: Phòng thờ và sân phơi.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên hệ A Trà 0986 876 *** ",41 m²,9 tỷ,,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36037991,batdongsan_com_vn_36037991,,5 tầng,,Đầy đủ,
"['Hà Nội', 'Đông Anh', 'Thị trấn Đông Anh', 'Đường Uy Nỗ']","
Cần bán 85.5m² đường thông ô tô rộng 6m tại tổ 22 thị trấn Đông Anh.- Diện tích 85.5m² đất ở tại đô thị.- Mặt tiền 4.75m, chiều dài 18m hướng Đông.- Đường thông ô tô tránh nhau, cách đường Uy Nỗ 40m, trường nghề Việt Hàn, bệnh viện Bắc Thăng Long 400m.- Sổ đỏ cất két, ra lộc nhiều cho khách thiện chí.            ",85.5 m²,54 triệu/m²,4.75 m,6 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35116264,batdongsan_com_vn_35116264,Đông,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai']","
Bán gấp nhà mặt phố Minh Khai, Hai Bà Trưng 193m², mặt tiền 8m, 45.6 tỷ.Mô tả:+ Minh Khai là tuyến phố lớn thuộc quận Hai Bà Trưng, 2 làn đường rộng thênh thang. Hạ tầng đã quy hoạch ổn định.+ Kết nối các quận: Hoàn Kiếm, Hai Bà Trưng, Hoàng Mai, Thanh Xuân.+ Bắt đầu từ Nguyễn Khoái, qua Lạc Trung, Dương Văn Bé, Kim Ngưu, Tam Trinh, Bạch Mai, Trương Định, đến Đại La.+ Nhà bán thuộc phường Minh Khai, quận Hai Bà Trưng, vị trí cực đẹp, rất gần khu Times City, TTTM Chợ Mơ, xung quanh tiện ích vô vàn, chẳng thiếu gì. Vỉa hè cực rộng, ô tô dừng đỗ, kinh doanh tấp nập ngày đêm, bất chấp các ngành nghề, mặt hàng.+ Diện tích: 193m², mặt tiền 8m, giá 45.6 tỷ.+ Phù hợp khách mua xây toà cao tầng: Văn phòng, Phòng khám, Nhà hàng, Khách sạn, Ngân hàng, Showroom, Siêu thị.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.Lh: 0919 622 ***zalo). Thương lượng trực tiếp chính chủ.(Miễn tiếp Môi giới).            ",193 m²,45.6 tỷ,,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35177446,batdongsan_com_vn_35177446,,,,,
"['Hà Nội', 'Sóc Sơn', 'Ấp Bắc Thượng Xã Quang Tiến', 'Đường 131']","
Cần bán lô góc 3 mặt tiền 230m² view hồ Bắc Thượng giá 1xtr/m².- Tổng diện tích 230m², đất ở 100m², đất vườn 130m² (bao lên thổ cư).- Kích thước: Mặt tền 25m, chiều sâu 8.3m.- Hướng mặt hồ Tây Bắc, mặt ngõ Đông Bắc.- Vị trí Ấp Bắc Thượng, có 3 mặt tiền, mặt hướng hồ rộng 25m, mặt ngõ chính dài 8m, mặt thoáng lối đi chung của thửa kế bên dài 8.3m.- Cách cụm công nghiệp Nội Bài, CN2, CN3 1km.            ",230 m²,14 triệu/m²,25 m,3 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35582366,batdongsan_com_vn_35582366,Đông - Bắc,,,,
"['Hà Nội', 'Sóc Sơn', 'Băng Quảng Ninh Xã Hiền Ninh', 'Đường 131']","
Cần bán 204m² lô góc mặt đường Băng Quảng Ninh - Hiền Ninh - Sóc Sơn.- Diện tích 204m², full thổ cư.- Mặt tiền 12m dài 17m.- Đường trước đất 15m.Vị trí mảnh đất đắc địa, giao thông thuận tiện, khu đông đúc dân cư.- Cách đường liên xã 45m.- Cách đường nhựa liên tỉnh Sóc Sơn Hà Nội - Vĩnh Phúc 50m.- Cách đường Võ Nguyên Giáp kéo dài 400m.- Sổ đỏ chính chủ, sẵn sang giao dịch.LH đầu tư 0373 689 *** ",204 m²,23 triệu/m²,12 m,15 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,33550164,batdongsan_com_vn_33550164,Bắc,,,,
