address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Hướng nhà,Pháp lý,Nội thất,Đường vào,Mặt tiền
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Đường Nhật Tảo']","
Bán nhà đẹp Nhật Tảo ô tô vào nhà 170m² 5 tầng mặt tiền 7m 0961 683 *** + Giao thông thuận tiện, gần nhiều trường đại học... Tiện ích tràn ngập.+ Vị trí siêu đẹp, khu vực vip, dân trí cao, làng xóm thân thiện.+ Sổ đỏ cất két sẵn sàng giao dịch 0961 683 ***.            ",170 m²,15.8 tỷ,5 tầng,7 phòng,7 phòng,05/12/2022,12/12/2022,Tin thường,35295615,batdongsan_com_vn_35295615,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', 'Đường Giải Phóng', '360', 'Imperial Plaza']","
Do muốn chuyển sang căn hộ 3 phòng ngủ nên tôi cần bán căn hộ 2 phòng ngủ chung cư Imperial Plaza - 360 Giải Phóng.Thông tin căn hộ như sau:+ Diện tích sử dụng 78m².+ Căn hộ bao gồm 2PN + 2WC.+ Ban công Tây Nam.+ Nội thất đầy đủ.Liên hệ cho tôi theo số 0979 098 *** ",78 m²,3 tỷ,,2 phòng,2 phòng,05/12/2022,15/12/2022,Tin thường,35664406,batdongsan_com_vn_35664406,Tây - Nam,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', 'Đường Giải Phóng', '360', 'Imperial Plaza']","
Cô tôi có căn hộ 1410 tòa P2 dự án Imperial 360 Giải Phóng. Đợt tới cô chú chuyển qua định cư với con gái ở bên Canada nên gia đình muốn để lại căn hộ cho khách có nhu cầu.Gia đình sẽ để lại toàn bộ đồ nội thất khách hàng chỉ cần xách vali đến có thể ở luôn.Dự án ở trung tâm gần bệnh viện Bạch Mai và các trường đại học lớn Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân...Giá cô tôi bán: 2.6 tỷ.Liên hệ xem nhà: 0988 769 *** ",77 m²,2.6 tỷ,,,,05/12/2022,12/12/2022,Tin thường,35664072,batdongsan_com_vn_35664072,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Giáp Bát', 'Đường Giải Phóng', '897', 'Geleximco Southern Star']","
Do đang cần tiền chuyển mục đích đầu tư đất nền nên tôi - chính chủ căn ngoại giao 3PN tại dự án Geleximco 897 Giải Phóng muốn sang nhượng lại cho những ai có nhu cầu.Thông tin căn hộ.- Căn tầng 16 - GSB, ban công Bắc view thoáng.- Diện tích sử dụng: 92.8 m², giá 3.6 tỷ.- Nội thất bàn giao cơ bản từ chủ đầu tư: Sàn gỗ, cửa từ vân tay, full thiết bị vệ sinh,...Người mua sẽ được vào tên trực tiếp hợp đồng mua bán với chủ đầu tư, vì cần tiền gấp nên giá cả có thể thương lượng.Liên hệ trực tiếp: 0979 098 *** ",92 m²,3.6 tỷ,,3 phòng,,05/12/2022,12/12/2022,Tin thường,35629680,batdongsan_com_vn_35629680,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Dự án Sunshine Riverside']","
Chính chủ cần chuyển nhượng nhanh căn hộ tại Sunshine Riverside - Tây Hồ.- Thiết kế: 3pn + 2wc + 1 ban công.- Diện tích: 90m² thông thủy, thiết kế vuông vắn nhà mới đẹp, hợp lý.- Căn hộ đã có sẵn nội thất đẹp, sổ đỏ chính chủ.Giá: 4.1 tỷ bao phí sang tên 0966 286 ***Nội thất cao cấp: Điều hòa âm trần, sàn gỗ, tủ bếp, bếp từ Hafele, TBVS Kohler - Đức, lavabor, gương led.Tiện ích: Bể bơi, gym, siêu thị, cafe, ăn sáng, hiệu thuốc, ngân hàng,..Liên hệ xem nhà 0966 286 *** Em Lý.            ",90 m²,4.1 tỷ,,3 phòng,2 phòng,05/12/2022,12/12/2022,Tin thường,35064206,batdongsan_com_vn_35064206,Nam,Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất đẹp,,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Nguyễn Xiển', '286', 'Eco Green City']","
Gia đình cần bán chung cư Eco Green, 286 Nguyễn Xiển. Diện tích 66.2m².Thiết kế nhà 2 phòng ngủ 2 vệ sinh, phòng khách, phòng bếp.Ban công Đông Nam view nhìn xuống sân quảng trường.Giá bán 2,5 tỷ có thỏa thuận.Liên hệ: 0866 617 *** ",66.2 m²,2.5 tỷ,,2 phòng,2 phòng,05/12/2022,12/12/2022,Tin thường,23054016,batdongsan_com_vn_23054016,Đông - Nam,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Hoàng Quốc Việt', 'Dự án Đông Đô']","
- Cần bán căn hộ chung cư Đông Đô. Ngõ 100 Hoàng Quốc Việt, Nghĩa Tân, Cầu Giấy, HN,- Diện tích 112m², thiết kế 3p ngủ, 1p khách, 2wc. Nội thất đầy đủ.- Sổ đỏ chính chủ, LH 0984 792 ***- Giá 4.2 tỷ.            ",112 m²,4.2 tỷ,,3 phòng,2 phòng,05/12/2022,12/12/2022,Tin thường,35971923,batdongsan_com_vn_35971923,,,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Lê Trọng Tấn', 'Dự án La Casta Văn Phú']","
Chủ đầu tư Hibrand Việt Nam (Phòng bán hàng dự án tại tầng 1 - Tòa A chung cư La Casta Tower - ngã ba phố Văn Khê và phố Phúc La, có hình ảnh kèm theo) bán những căn hộ cuối của chung cư cao cấp La Casta Tower, Văn Phú, Hà Đông, Hà Nội tại vị trí trung tâm, đắc địa còn lại duy nhất của quận Hà Đông, nằm trên 250m mặt tiền phố Văn Khê và phố Phú La, mặt sau hướng vườn hoa nội khu rộng 10.000m², là phần đẹp nhất của khu đô thị Văn Phú rộng 94,3ha. La Casta Tower cách BRT chỉ 50m, cách UBND quận 500m, cách trường chuyên Nguyễn Huệ, Ban Mai, Tiểu học, THCS Phú La 300 m, trường Marie Curie cơ sở Hà Đông 200m; giáp trụ sở UBND và Công an phường Phú La...Đặc biệt, do chỉ cách ga La Khê đường tàu điện trên cao Cát Linh - Hà Đông có 200m nên từ dự án chỉ mất 23 phút đã có mặt tại Cát Linh; 15 phút có mặt tại Ngã tư Sở...La Casta Tower được xây dựng theo công nghệ hiện đại nhất của Hàn Quốc (đúc bê tông cả tòa nhà, các phòng không có cột nên các phòng đều vuông);Chủ đầu tư đang hoàn thiện hoàn thiện ngoại khu để kịp bàn giao cho khách hàng vào 15/7 năm 2022.Các căn hộ có 1 PN, 2 PN và 3PN với diện tích thông thủy từ 47,32m² - 68,44m² - 77,91m² - 84,01m² - 85,55m² - 87,79m² - 100,89m² - 111,76m² - 117,36m².Căn hộ bàn giao nội thất cao cấp, đầy đủ bao gồm: Sàn gỗ và hệ thống cửa thông phòng nhập khẩu; khóa từ thông minh; điều hòa âm trần; thiết bị vệ sinh ToTo; tủ bếp và thiết bị bếp nhập khẩu; tủ quần áo, tủ giày liền tường; hệ thống ánh sáng được bố trí khoa học với các thiết bị cao cấp...Tiến độ thanh toán và chính sách bán hàng của Chủ đầu tư dự án nước ngoài luôn linh hoạt bảo đảm quyền lợi cho khách hàng.Ngân hàng hỗ trợ 70% giá trị căn hộ với lãi xuất 0% và ân hạn nợ gốc đến 31/12/2022.Khách hàng đến Phòng bán hàng của Chủ đầu tư Hibrand Việt Nam tại tầng 1, Tòa A chung cư La Casta (ngã ba phố Văn Khê và phố Phúc La) để được tư vấn mua những căn hộ cuối cùng của dự án và tham quan nhà mẫu tại tầng 4 tòa A.Liên hệ Phòng bán hàng dự án, hotline: Mrs Nguyễn Thị Tú Anh: 0917 681 *** ",111.76 m²,38 triệu/m²,,2 phòng,2 phòng,16/11/2022,16/12/2022,Tin thường,31101108,batdongsan_com_vn_31101108,,,"Sổ đỏ lâu dài; tiến độ thanh toán theo đúng chủ đầu tư nước ngoài; Ngân hàng MB - Chi nhánh Phùng Hưng, Hà Đông, Hà Nội bảo lãnh tài chính và tiến độ dự án theo đúng quy định của pháp luật.","Nội thất cao cấp, đầy đủ bao gồm: Sàn gỗ và hệ thống cửa thông phòng nhập khẩu; khóa từ thông minh; điều hòa âm trần; thiết bị vệ sinh Toto; tủ bếp và thiết bị bếp nhập khẩu; tủ quần áo...",,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Đại Từ', 'Dự án Eco Lake View']","
Toà HH2A toà nhà có 32 tầng.Căn hộ 2 phòng ngủ, 2 vệ sinh, GĐ để lại toàn hộ nội thất.Diện tích: 67 m², nhà đã cải tạo lại toàn bộ 100 triệu, đồ dùng 200 triệu.Vị trí gần hồ Linh Đàm, bệnh viện Thu Cúc, Aeon sắp mở.Giá: 2.55 tỷ có gia lộc.Liên hệ cho tôi 0988 769 *** ",67 m²,2.55 tỷ,,2 phòng,2 phòng,05/12/2022,12/12/2022,Tin thường,35665158,batdongsan_com_vn_35665158,,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Thanh Liệt']","
Cần bán nhà Kim Giang, Thanh Trì diện tích 32m², thiết kế 5 tầng, 4 ngủ nhà đẹp ở ngay, sát ô tô chỉ 3.2 tỷ.Liên hệ: 0973 883 ***inbox/zalo).            ",32 m²,3.2 tỷ,5 tầng,4 phòng,3 phòng,05/12/2022,15/12/2022,Tin thường,36037254,batdongsan_com_vn_36037254,,,Sổ đỏ/ Sổ hồng,,,
