address,gen_descrip,Diện tích,Mức giá,Đường vào,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Hướng ban công
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Quan Nhân']","
Nhà mặt ngõ phố Quan Nhân, Thanh Xuân, ngõ thông tứ tung.Phù hợp mở phòng khám răng hàm mặt, PK chuyên khoa ngoài giờ, nhà thuốc, kinh doanh online...Thiết kế 4 tầng, nhà đã xây được 8 năm nhưng vẫn mới vì chủ giữ gìn.Khu dân cư đông đúc, nhu cầu y tế cực cao.Nhà thông các tuyến phố chính như Nguyễn Trãi, Khuất Duy Tiến, hàng xóm Royal City...Gần các trường ĐH Nhân Văn, chợ thuốc Hapulico ngay sát...            ",62 m²,4.9 tỷ,5 m,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36037634,batdongsan_com_vn_36037634,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Kim Liên', 'Đường Đông Tác']","
Thông số nhà:+ Diện tích 40/45m² (T2).+ 6 tầng.+ Rộng mặt tiền: 4.7 m.Mô tả:- Trung tâm Đống Đa, gần Vicom Phạm Ngọc Thạch, Hồ Phương Mai. Căn nhà có 3 lối vào từ Đông Tác - Lương Đình Của - Phương Mai. Taxi cách nhà chừng 50m. Ngõ tĩnh, an ninh, dân trí tốt.- Diện tích đất: 40m² x 6 tầng x mặt tiền 4.7m.- Thửa vuông nở hậu tí ti. Xây mới hiện đại sang trọng. Thiết kế khá thoáng, giếng trời rộng, WC khép kín trong phòng ngủ.- Căn nhà nằm sân chung rộng rãi gồm 2 nhà hàng xóm. Vị trí tĩnh, để xe thoải mái, sân để gần 2.5m chiều ngang.- Tầng 1: Thông sàn làm chỗ để xe + khu bếp + WC.- Tầng 2: Lửng làm phòng khách.- Tầng 3,4,5: Mỗi sàn 1 phòng ngủ rộng hơn 30m² khép kín WC.- Tầng 6: Phòng thờ + sân phơi.- Gia chủ để lại toàn bộ đồ comple đầy đủ căn nhà cho khách mua. Trị giá hơn 300 triệu (Điều hòa các tầng, Sofa Hùng Túy, Bộ Bàn ăn sang trọng, Giường, Tủ, Tivi..- Hướng: Đông Bắc.- LH: 0977 356 *** Em Hiệp QTLAND để được hỗ trợ xem nhà và tư vấn chân thật nhất bởi các nhà Quan sát, thổ cư học già dơ kinh nghiệm.            ",40 m²,6 tỷ,,Sổ đỏ/ Sổ hồng.,,05/12/2022,15/12/2022,Tin thường,36037628,batdongsan_com_vn_36037628,4.7 m,Đông - Bắc,6 tầng,3 phòng,4 phòng,
"['Hà Nội', 'Đông Anh', 'Xã Đông Hội', 'Đường 5', 'Dự án Eurowindow River Park']","
* Đa dạng lựa chọn.+ Đầy đủ căn 2PN, 3PN đa dạng các diện tích.+ NH hỗ trợ vay 65%, LS 0% trong 18 tháng.+ Bàn giao nội thất hoàn thiện: Trần thạch cao, sàn gỗ nhập khẩu, full thiết bị vệ sinh, thiết bị bếp thương hiệu châu Âu (Maloca.. ) - bếp từ - hút mùi, cửa sổ - cửa ban công Eurowindow cách âm cách nhiệt, cửa gỗ các phòng.* Siêu giải thưởng:+ 01 Giải đặc biệt: Xe ô tô Mazda 3 trị giá 750 triệu đồng.+ 03 Giải nhất: Honda SH 125i trị giá 90 triệu/xe.+ 05 Giải nhì: 1 Smart TV Samsung QLED: 20 triệu đồng/giải.+ 41 giải khuyến khích: Miễn 01 năm phí quản lý dịch vụ.* Siêu tiện ích:+ Cách phố cổ chỉ 15 phút di chuyển.+ Bể bơi 4 mùa, gym, spa, kiot, siêu thị, khu vui chơ trẻ em, vườn dạo bộ, trung tâm thương mại dưới hầm B1, chợ dân sinh cách 5 phút, trường học ngay sát dự án.ĐC: Ngay chân cầu Đông Trù.Liên hệ: Ms. Tú Anh: 0969 283 *** ",63 m²,1.6 tỷ,,Hợp đồng mua bán,,05/12/2022,15/12/2022,Tin thường,35777648,batdongsan_com_vn_35777648,,,,2 phòng,2 phòng,
"['Hà Nội', 'Thanh Trì', 'Xã Thanh Liệt', 'Đường Kim Giang']","
Cần bán lô đất ngay phố Kim Giang, Nguyễn Xiển, Thanh Liệt.+ Vị trí: Mặt ngõ kinh doanh, ô tô, thông tứ tung. Tiện ích KĐT Linh Đàm, The Mannor Central Park, Nguyễn Xiển, Đại Kim.+ Diện tích 120m² mặt tiền 7m, thông số cực đẹp phù hợp để xây dựng tòa nhà kinh doanh 7 tầng thang máy siêu lợi nhuận.+ Hiện đang có sẵn 2 căn nhà 3 tầng kiên cố, ở tốt.+ Giá cực mềm chưa đến 60 triệu/m² - tin được không - liên hệ trực tiếp số điện thoại để xem đất ạ.            ",120 m²,6.98 tỷ,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,36036902,batdongsan_com_vn_36036902,,,3 tầng,6 phòng,4 phòng,
"['Hà Nội', 'Đông Anh', 'Xã Đông Hội', 'Đường 5', 'Dự án Eurowindow River Park']","
Nhận nhà ở ngay, chiết khấu lên đến 14%, Cơ hội trúng xe Mazda 3 trị giá 750 triệu khi mua căn hộ.* Siêu ưu đãi:- Hỗ trợ vay 65%, lãi suất 0%/18 tháng ân hạn gốc lãi.- Tặng voucher 1 năm tập gym và bể bơi + miễn 1 năm phí dịch vụ.- Full nội thất cao cấp liền tường.* Vị trí đắc địa: Kề sông cận phố.- 1 phút tới trung tâm triển lãm quốc gia.- 3 phút tới Vinhomes Cổ Loa.- 5 phút tới TTTM Savico Long Biên.- 15 phút tới sân bay Nội Bài, hồ Hoàn Kiếm.Liên hệ ngay phòng bán hàng CĐT để nhận ưu đãi siêu việt.Ms. Tú Anh 0969 283 *** ",85 m²,2.1 tỷ,,,,05/12/2022,15/12/2022,Tin thường,35839648,batdongsan_com_vn_35839648,,,,3 phòng,2 phòng,
"['Hà Nội', 'Đông Anh', 'Xã Đông Hội', 'Đường 5', 'Dự án Eurowindow River Park']","
Nhận nhà ở ngay, chiết khấu lên đến 14%, cơ hội trúng xe Mazda 3 trị giá 750 triệu khi mua căn hộ.* Siêu ưu đãi:- Hỗ trợ vay 65%, lãi suất 0%/18 tháng ân hạn gốc lãi.- Tặng voucher 1 năm tập gym và bể bơi + miễn 1 năm phí dịch vụ.- Full nội thất cao cấp liền tường.* Vị trí đắc địa: Kề sông cận phố.- 1 phút tới trung tâm triển lãm quốc gia.- 3 phút tới Vinhomes Cổ Loa.- 5 phút tới TTTM Savico Long Biên.- 15 phút tới sân bay nội bài, hồ Hoàn Kiếm.Liên hệ ngay phòng bán hàng CĐT để nhận ưu đãi siêu việt.Ms. Tú Anh 0969 283 *** ",63 m²,1.6 tỷ,,,,05/12/2022,15/12/2022,Tin thường,35829449,batdongsan_com_vn_35829449,,,,2 phòng,2 phòng,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Bờ Sông Sét']","
Bán đất mặt đường lô 35 TT2 - khu Tây Nam Linh Đàm diện tích 90m², mặt tiền 5m, hè rộng, đường trải nhựa.Hiện tại đang là đất trống, rất tiện mua xây theo ý.Đất sổ đỏ chính chủ, đã quy hoạch ổn định, khu dân cư đông đúc, giá bán 9,3 tỷ, liên hệ 0988 821 *** - 0933 283 ***.            ",90 m²,9.3 tỷ,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,36037453,batdongsan_com_vn_36037453,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Giáp Bát', 'Đường Trương Định']","
+ Nhà mặt phố Trương Định, gần Mandarin Garden, Namdo Complex, Trương Định Plaza, bến xe, ga Giáp Bát, kinh doanh sầm uất ngày đêm.+ Nhà mặt tiền rộng, diện tích cực lớn phù hợp xây CCMN hay tổ hợp văn phòng, hiện cho thuê làm cửa hàng tháng đút túi hơn 100 triệu.+ Chủ bán hiện trạng, có sẵn nhà 2 và 4 tầng.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Gọi ngay 0972 369 *** A. Dương, miễn TG & MG làm phiền.            ",500 m²,45 tỷ,10 m,Sổ đỏ/ Sổ hồng.,Đầy đủ.,05/12/2022,15/12/2022,Tin thường,36036234,batdongsan_com_vn_36036234,8.5 m,Đông - Nam,4 tầng,6 phòng,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Nguyễn Phúc Lai']","
- Bán nhà phân lô phố Nguyễn Phúc Lai 12 tỷ, 65m², MT 4.5m.- Nhà cao 4 tầng, sân trước nhà rất thoáng, ngay gần hồ Đống Đa nên không khí rất mát mẻ, ngõ siêu rộng thông tứ phía, ô tô tránh nhau thoải mái.+ Tầng 1: Phòng khách, bếp,+ Tầng 2 + 3: 4 phòng ngủ, 4 WC.+ Tầng 4: Phòng thờ, sân phơi.- Tiện ích:+ Xung quanh là các trường cấp 1, 2, 3, các trường đại học như: Đại học Văn hóa Hà Hội, Học viện Âm nhạc Quốc gia.+ Ngay gần các chợ và siêu thị Fujimart.+ Giao thông thuận tiện di chuyển kết nối với các tuyến đường chính như: Láng Hạ, Hoàng Cầu, Đê La Thành.- Sổ đỏ chính chủ.- Giá: 12 tỷ (có thương lượng).- Cam kết thông tin thật 100%.- Quan tâm liên hệ: 0906 203 *** ",65 m²,12 tỷ,7 m,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,15/12/2022,Tin thường,36036883,batdongsan_com_vn_36036883,4.5 m,,4 tầng,4 phòng,4 phòng,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Bán căn Studio full đồ đẹp 950tr tại Vinhomes Ocean Park.- Giá chỉ 950 tr bao hết phí.- Hướng thoáng mát, view tiện ích nội khu đẹp.- Khoảng tầng 5 - 10.- Đồ nội thất đầu tư full hết.- Mua làm homestay, nghỉ dưỡng và để ở... Dễ bán dễ thanh khoản.- Studio diện tích 31 m² tim tường - 28 m² thông thuỷ.ACE quan tâm, liên hệ em gửi thông tin: 0975 693 *** ",31 m²,950 triệu,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,36037612,batdongsan_com_vn_36037612,,,,,,
