address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Đường vào,Số phòng ngủ,Số toilet,Hướng nhà,Hướng ban công
"['Hà Nội', 'Gia Lâm', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Cần bán biệt thự liền kề Ngọc Trai đảo nhỏ tại Vinhomes Ocean Park - Gia Lâm.- Diện tích 70.8m², xây dựng 66,6m²/sàn.- Hướng Đông Nam.- Mặt tiền 6m, xây 4 tầng 1 tum.- Gần vườn hoa.- Đã có sổ đỏ.- Thuộc quần thể khu khép kín an ninh tuyệt đối an toàn 24/7, hưởng đầy đủ các tiện ích như bể bơi, công viên, sân chơi thể thao...Giá bán 13 tỷ.Liên hệ ngay: 0828 288 *** E Huy để được xem nhà.            ",70.8 m²,13 tỷ,6 m,4 tầng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36035672,batdongsan_com_vn_36035672,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì']","
NHÀ ĐẸP DÂN XÂY MỄ TRÌ 50M RA OTO NGÕ RỘNG 42M X 5 TẦNG , GIÁ CHÀO 4,2 TỶ LH 0929 236 *** - Cần bán gấp căn nhà mễ trì dân xây tâm huyết trung tâm gần chợ , trường học tiện ích xung quang đầy đủ . - Nhà thiết kết rất hợp lý tầng 1 chỗ để xe , Wc bếp ăn , tầng 2 phòng khách rộng . - Tầng 3+4 mỗi tổng 4p ngủ , tầng 5 phòng thờ sân phơi . - Chủ mới về có thể thiết kế thêm phòng cho thuê theo ý của gia chủ - Sổ đẹp vuông nở hậu pháp lý sạch giao dịch ngay - LH 0929 236 *** E Tùng            ",42 m²,4.2 tỷ,,5 tầng,,05/12/2022,12/12/2022,Tin thường,36037551,batdongsan_com_vn_36037551,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án Gamuda Gardens']","
Chính chủ cần bán shophouse Gamuda.- Shophouse ngay The Two.- Diện tích đất 75m².- Diện tích xây 260m² xây 4 tầng.- Nhà đã có sổ đỏ, đang cho thuê kinh doanh.- Chủ mới có thể nhận nhà ngay hoặc nối tiếp hợp đồng cho thuê.- Vị trí đẹp vỉa hè rộng thoáng, đối diện cổng chính siêu thị Vinmart.- Liên hệ: 0976 506 *** Em Tâm để xem nhà.            ",75 m²,Thỏa thuận,5 m,4 tầng,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,36036727,batdongsan_com_vn_36036727,Không nội thất.,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Phố Mai Dịch']","
Bán nhà Mai Dịch, kinh doanh đỉnh, 6.8 tỷ.Vị trí: Khu dân trí văn minh, sầm uất. Mặt ngõ thông, ô tô tránh đỗ, thông, kinh doanh văn phòng, tóc, spa, nail... Gần chợ, trường học, trung tâm tiện ích...Lô góc - ô tô tránh - thông tứ phía - kd đỉnh - phân khúc cực hiếm.Hiện trạng nhà 3 tầng xinh xắn như tây, công năng đủ. Hiện đang cho thuê kinh doanh thời trang 14 triệu/ tháng, mỗi năm tăng thêm 1 triệu. Vị trí kinh doanh.+ Pháp lý: Sổ đỏ chính chủ, A4 vuông vắn.            ",35 m²,6.8 tỷ,,3 tầng,Sổ đỏ,05/12/2022,12/12/2022,Tin thường,35973194,batdongsan_com_vn_35973194,,,,,,
"['Hà Nội', 'Quốc Oai', 'Xã Phú Mãn', 'Đường Phú Mãn']","
Bán cắt lỗ lô đất 153m² Phú Mãn, Quốc Oai, Hà Nội.Đất ở 140m², đất vuông vắn.Cách trực chính Phú Mãn 20m.Cách Quốc lộ 21 600m.Gần sân gofl Phú Mãn.Đường nhựa trước đất 2 ô tô tránh nhau.Lh: 0914 192 *** ",153 m²,12.7 triệu/m²,7.5 m,,Sổ hồng Hà Nội,05/12/2022,12/12/2022,Tin thường,33575871,batdongsan_com_vn_33575871,,6 m,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Đình Thôn']","
Cần bán tòa nhà 6 tầng cho thuê căn hộ dịch vụ phố Đình Thôn, dòng tiền 960tr/năm, gần mặt phố, ô tô, DT 72m² x 6 tầng, mặt tiền 6m giá 10.5 tỷ. Call: 0986 530 ***Mô Tả:+ Ngõ Đình Thôn, cách mặt phố 1 nhà, ngõ thông ra kđt Mỹ đình sông đà, ô tô đỗ cửa, nơi hội tụ của dv và cư dân Hàn Quốc, lúc nào cũng khan phòng cho thuê. Khu vực dịch vụ buôn bán cực phát triển.+ Nhà Thiết kế hiện đại, 15 phòng khép kín full đồ, full khách, doanh thu cho thuê đạt 960 tr /1 năm. Thiết kế mỗi tầng 3 phòng khép kín đầy đủ bếp, tủ lạnh, điều hoà.+ Sổ đỏ chính chủ, có giá lộc nhẹ cho khách hàng thiện chí. Khách hàng mua chỉ cần ngồi chơi xơi nước hàng tháng thu tiền. Thích hợp cho nhà đầu tư cho lãi vốn và dòng tiền ổn định.Liên hệ: 0986 530 *** Em Sắc để xem nhà và gặp chủ đàm phán.            ",72 m²,10.5 tỷ,6 m,6 tầng,,02/12/2022,09/12/2022,Tin thường,35809718,batdongsan_com_vn_35809718,,,10 phòng,10 phòng,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Dự án Sunshine City']","
Sunshine City bán căn góc nguyên bản CĐT.3 ngủ sáng 2 WC 2 logia.Diện tích: 103m² thông thủy.Căn hộ tầng cao hướng mát.Liên hệ xem thực tế căn hộ: 0981 987 *** ",103 m²,50 triệu/m²,,,Sổ đỏ/ Sổ hồng,03/12/2022,10/12/2022,Tin thường,36020365,batdongsan_com_vn_36020365,Nguyên bản CĐT ,,3 phòng,2 phòng,Bắc,Đông - Nam
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Hà', 'Ngõ 117']","
- Nhà mặt hẻm thuộc Ngõ 117 Thái Hà khá rộng và sầm uất.- Diện tích theo sổ 53m².- Xây dựng sẵn 6 tầng chắc chắn dạng chung cư Mini để khai thác cho thuê.- Mặt tiền vừa phải 3.3m.- Chung cư mini, căn hộ dịch vụ xây mới cứng, thiết kế 10 Phòng Khép Kín Full Đồ - Dòng Tiền 50 triệu / 1 tháng, hiện đã cho thuê gần full phòng. + Vị trí vàng Đống Đa, khu vực mỏ vàng trong làng cho thuê phòng và căn hộ, tập trung nhiều văn phòng và các trường đại học danh giá.- Thiết kế: Tầng 1: Để xe + 1 phòng khép kín. Tầng 2 3 4 5: Tầng 2 phòng. Tầng thượng: 1 phòng khép kín và sân thượng.- Đầu tư căn nhà này chính là dòng tiền trú ẩn và nguồn doanh thu đều đặn trong thời kì lạm phát tăng cao.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- Giá cả mong muốn 8.5 tỷ (có thương lượng).- Liên hệ 24/7 để được xem nhà và trao đổi thêm.            ",53 m²,8.5 tỷ,3.3 m,6 tầng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36036887,batdongsan_com_vn_36036887,Đầy đủ,2.6 m,10 phòng,10 phòng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Mạc Thái Tổ', 'Dự án Nam Trung Yên']","
Bán căn hộ chung cư tầng 6 tòa A6D Nam Trung Yên, nằm sau tòa Keangnam, Trung Hòa, Cầu Giấy.Diện tích sổ đỏ: 56,27m², 2 phòng ngủ, 1 vệ sinh. Nhà có sẵn nội thất cơ bản điều hòa, nóng lạnh, tủ bếp, có sàn gỗ. Sổ đỏ chính chủ. Cửa vào Đông Bắc, ban công Tây Nam.Giá bán: 34tr/m² (bao phí sang tên cho khách).LH: 0981 134 *** em Thủy.            ",56.5 m²,34 triệu/m²,,,Sổ đỏ chính chủ.,05/12/2022,12/12/2022,Tin thường,36036977,batdongsan_com_vn_36036977,"Có sẵn nội thất cơ bản điều hòa, nóng lạnh, tủ bếp, có sàn gỗ.",,2 phòng,1 phòng,Đông - Bắc,Tây - Nam
"['Hà Nội', 'Hoàng Mai', 'Phường Thịnh Liệt', 'Đường Trương Định']","
Siêu phẩm lô góc, Trương Định Giáp Nhị 70m², 5 tầng MT 4.5m - ô tô tránh - kinh doanh (11 tỷ).Nhà mặt phố - ô tô tránh - vỉa hè - kinh doanh - gara ô tô.Liên hệ: Em Trọng 0966 396 *** xem nhà miễn phí - dinh nhà đón tết 2023.1. Mô tả:* Tầng 1 Kinh doanh hoặc gara ô tô.* Tầng 2 Phòng khách bếp.* Tầng 3.4: Tổng 4 ngủ 2 vệ sinh.* Tầng 5: Phòng thờ, sân phơi.* Tòa nhà thiết kế hiện đại, thang máy, đã hoàn thiện đẹp.2. Tiện ích:+ Vị trí đắc địa, phù hợp vừa ở vừa kinh doanh, cho thuê giá cao. Gần chung cư Nam Đô, gần Giải Phóng.+ Cách bến xe Giáp Bát 300m, gần ngã tư Tân Mai Kim Đồng.+ Gần Hồ Đền Lừ, trường học Tân Mai.+ Khu dân trí cao, đang dần hoàn thiện hạ tầng. Trong một vài năm tới đẹp lung linh.+ Sổ đỏ đẹp sẵn sàng giao dịch.Anh/chị vui lòng liên hệ em Trọng qua số điện thoại và Zalo: 0966 396 *** để được xem nhà miễn phí.            ",70 m²,11 tỷ,4.5 m,5 tầng,Sổ đỏ.,05/12/2022,15/12/2022,Tin thường,35191825,batdongsan_com_vn_35191825,Nội thất cơ bản.,10 m,4 phòng,4 phòng,,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Thôn Cánh Chủ', 'Đường 419']","
Chính chủ bán lô góc 78,2m² thôn Cánh Chủ, Bình Yên.Lô góc 2 mặt đường rộng thông thoáng:Mặt tiền 6,24m hậu 6,24m vuông vắn.Ngay trục chính Cánh Chủ.Đối diện tái định cư Bình Yên cách 500m.Đường ô tô tránh vào tận đất thông thoáng.Giá cần tiền bán vội.Phù hợp xây để an cư lập nghiệp hoặc có thể xây nhà trọ cho thuê.Đầu tư sinh lời đón sóng sinh viên về học tập tại Hoà Lạc.Lh: 0914 192 *** ",78.2 m²,1.45 tỷ,6.24 m,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,34742562,batdongsan_com_vn_34742562,,5 m,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng']","
Bán nhà MP Trần Duy Hưng, quận Cầu Giấy:- DT 70m² x 5 tầng, MT 5m. Hai mặt thoáng, phía sau là mặt ngõ.- Tầng 1 thông, tầng 2 - 5 là 2 phòng.- Là mặt phố đẹp nhất quận Cầu Giấy. Kinh doanh buôn bán sầm uất tất cả các mặt hàng.- Hiện đang cho thuê năm đầu 60tr/th, 2 năm sau 65tr/th, 2 năm sau nữa 72tr/th. Ưu tiên khách hàng mua nối tiếp HĐ thuê.- Hướng Tây Bắc.- Giá 42 tỷ có thương lượng.- Liên hệ 0989 863 *** Linh.            ",70 m²,42 tỷ,5 m,5 tầng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35533007,batdongsan_com_vn_35533007,Đầy đủ.,40 m,6 phòng,7 phòng,Tây - Bắc,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Chủ nhà cần tiền bán gấp căn Shophouse/ Biệt thự Hải Âu 03 Vinhomes Gia Lâm.- Diện tích: 150m².- Xây 3.5 tầng.- Mặt tiền 8,3m.- Hướng Đông Nam.- Vị trí siêu đẹp, đắc địa: Gần ngay Vincom, biển hồ, chợ đêm thuận tiện kinh doanh, nhà hàng.- Sổ đỏ Vĩnh viễn. Giá 22 tỷ.Liên hệ ngay: 0911 781 *** ",150 m²,22 tỷ,8.3 m,,,01/12/2022,09/12/2022,Tin thường,36002849,batdongsan_com_vn_36002849,,,,,Đông - Nam,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy', 'Ngõ Đa Lộc']","
Bán nhà 4 tầng Ngõ Đa Lộc, Xuân Thủy, Cầu Giấy, Hà Nội. Sổ đỏ chính chủ.Gần trường học viện Báo Chí Tuyên Truyền, đại học Sư Phạm, Quốc Gia.2 phút ra đầu đường Xuân Thủy, gần công viên Cầu Giấy, FPT.Nhiều trường học trong quận: NGuyễn Tất Thành, Trương Công Giai.Mong muốn bán trong tháng 11,12/2022.            ",36.5 m²,4.1 tỷ,5.5 m,4 tầng,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,36037544,batdongsan_com_vn_36037544,,3 m,4 phòng,3 phòng,Đông - Bắc,
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'đường Tứ Hiệp', 'Dự án Tecco Garden']","
Căn hộ nằm ở tầng trung, thiết kế 4 phòng ngủ + 3 vệ sinh + 2 logia, phòng khách rộng 62m, có tận 2PN có vệ sinh bên trong, các phòng đều tiếp xúc với ánh sáng, khu bếp riêng biệt một khu không ảnh hưởng tới phòng khách.Hiện tại thị trường giá nhà tại Hà Nội đang ở mức trung bình 50tr/m², thì giá căn hộ tại Tecco Garden sẵn sổ đỏ lại nhận nhà ở ngay như này là có 1 - 0 - 2.. Khách hàng không chỉ mua để ở mà còn là sản phẩm đầu tư an toàn, sinh lời luôn.Với vị trí trung tâm của Thanh Trì, từ dự án ra đường Ngọc Hồi chỉ 100m, di chuyển tới pháp Vân Cầu Giẽ, bến xe nước ngầm chỉ 4km Chợ dân sinh chỉ 350m và trường học công cấp 1 - 2 - 3 án kính chỉ 1km.Nằm trong quần thể KĐT Tứ Hiệp, dự án bao gồm 4 block cao 25 tầng: - 2 tầng khối đế thương mại thông sàn - 1 tầng hầm full diện tích 4 tòa - Bố trí 8 căn/sàn/4 tháng máy và 2 thang bộ. Mật độ quá tốt.Dự án phù hợp với các gia đình đa thế hệ, gia đình đông con, thích không gian rộng hoặc làm văn phòng đều rất hợp lý.Quý khách hàng quan tâm căn hộ thực tế liên hệ em Hương để được trải nghiệm ạ.Hotline: 0968 612 *** để xem căn hộ thực tế.            ",135 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,01/12/2022,08/12/2022,Tin thường,35940270,batdongsan_com_vn_35940270,Cơ bản,,4 phòng,3 phòng,,Đông - Nam
"['Hà Nội', 'Đông Anh', 'Xã Mai Lâm']","
Bán đất đấu giá khu X1 Lê Xá, Xã Mai Lâm Diện tích 80m² (5x15) đường nhựa kinh doanh tốt. Giá 68tr/1m².Liên hệ Mr Phương 0983 589 ***Địa chỉ văn phòng: Số 171 và 177 đường Đông Hội, xã Đông Hội, huyện Đông Anh.            ",80 m²,68 triệu/m²,5 m,,,05/12/2022,12/12/2022,Tin thường,35950289,batdongsan_com_vn_35950289,,,,,,
"['Hà Nội', 'Đông Anh', 'Xã Dục Tú']","
Bán đất đấu giá Thôn Dục Tú 1 đường nhựa rộng 7m vỉa hè rộng nhìn ra đường cầu tứ liên. diện tích 90m² (6x15) giá 46tr/1m²  Liên hệ Mr Phương 0983 589 ***Địa chỉ văn phòng: Số 171 và 177 đường Đông Hội, xã Đông Hội, huyện Đông Anh.            ",90 m²,46 triệu/m²,6 m,,,05/12/2022,12/12/2022,Tin thường,35950280,batdongsan_com_vn_35950280,,,,,,
"['Hà Nội', 'Đông Anh', 'Xã Xuân Canh']","
Bán đất giãn dân thôn Lực Canh diện tích 60m² (4x15) đất sát vin cổ loa giá 65tr/1m².Liên hệ Mr Phương 0983 589 ***Địa chỉ văn phòng: Số 171 và 177 đường Đông Hội, xã Đông Hội, huyện Đông Anh.            ",60 m²,65 triệu/m²,4 m,,,05/12/2022,12/12/2022,Tin thường,35950300,batdongsan_com_vn_35950300,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Heritage West Lake']","
Ra mắt căn hộ hạng sang offitecel Soho Heritege Hồ Tây.+ Vị trí ngay đường Lạc Long Quân - Võ Chí Công.+ Phía Bắc cạnh trung tâm thương mại Lotte lớn nhất Hà Nội.+ Diện tích đa dạng từ 45 - 88m².* 100% căn hộ đều có view Hồ Tây - Lotte - Vườn cây.* 100% căn hộ đăng ký kinh doanh vừa ở vừa cho thuê vừa làm văn phòng.* 100% căn hộ được quản lý vận hành bởi khách sạn tiêu chuẩn 5 sao.* 100% các căn hộ được tận hưởng tiện ích tại 7/25 tầng căn hộ riêng biệt dành riêng cho cư dân & cộng đồng tinh hoa.+ Chỉ từ 2,7 tỷ/ căn.+ Vừa làm văn phòng vừa ở, vừa đăng kí kinh doanh.+ Khởi đầu sinh lời cao năm đầu từ 25 USD/ m².+ Chỉ vào tiền 20%/ 2 năm (nhận nhà đóng nốt 80%): Năm 2022 là 10%, năm 2023 là 10%, năm 2024 nhận nhà vào 80%.Liên hệ QLDA xem căn mẫu: 0943 097 ***Trần Tâm 24/7).            ",45 m²,60 triệu/m²,,,,05/12/2022,12/12/2022,Tin thường,36037112,batdongsan_com_vn_36037112,Đầy đủ,,1 phòng,1 phòng,Đông - Bắc,Đông - Bắc
