address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Phố Vũ Tông Phan']","
- Vị trí đẹp, đường trước nhà rộng thoáng, ba gác tránh xe máy thoải mái, khoảng rộng khách đến chơi nhà không lo thiếu chỗ để xe.- Nhà gần hồ, cách phố Vũ Tông Phan 50m.- Gần ô tô đỗ ngày đêm, bãi ô tô, chợ, hồ, khu vui chơi, đi bộ ngắm gió thể dục phới phới.- Nhà đẹp, chắc chắn, thiết kế rất hợp lý để ở luôn: 4 phòng ngủ, phòng bếp, phòng thờ, sân phơi. Tất cả các phòng đều có cửa sổ thoáng mát, ban công giếng trời thoáng sáng.+ Sổ đỏ chính chủ.+ LH ĐT/zalo: Quân 0934 687 *** ",50 m²,5.35 tỷ,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36036846,batdongsan_com_vn_36036846,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Lê Đức Thọ']","
Bán nhà mặt ngõ Lê Đức Thọ, phân lô, ô tô, kinh doanh, ngõ nông rộng 2 mặt thoáng. Dt 50m² - 6 tầng - 8.6 tỷ. Call: 0986 530 ***Mô Tả:- Nhà nằm vị trí rất đẹp, mặt ngõ ô tô 7 chỗ đỗ cửa, cách mặt phố Lê Đức Thọ 10m, trước sau đều là mặt ngõ. Khu phố Lê Đức Thọ trải dài nối dài qua sân Mỹ Đình, Khu vực giao cắt các tuyến phố lớn Nguyễn Hoàng Hàm Nghi Lê Đức Thọ gần bến xe Mỹ Đình, Đại Học Thương Mại, các tòa chung cư, TT Thương Mại lớn.- Nhà thiết kế 6 tầng:+ Tầng 1: Cho thuê + PK + bếp + vệ sinh.+ Tầng 2 + 3 + 4 + 5: Mỗi tầng 2 PN + vệ sinh.+ Tầng 6: P Thờ + Sân phơi.Sổ đỏ chính chủ sẵn sàng giao dịch.- Lh: 0986 530 *** em Sắc để xem nhà và gặp chủ thương lượng(miễn trung gian).            ",50 m²,8.6 tỷ,6 tầng,4 phòng,Sổ đỏ.,,02/12/2022,09/12/2022,Tin thường,35774525,batdongsan_com_vn_35774525,4 phòng,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Trường Chinh']","
- Vị trí trung tâm Q. Thanh Xuân, khu dân trí cao, ngõ cực kỳ sạch sẽ, văn minh.- Thiết kế: 3 tầng, 3 ngủ, 3 Wc, cầu thang giữa. Đầy đủ công năng sử dụng.- Kết cấu bê tông cốt thép chắc chắn.- Sổ đỏ chính chủ.- LH ĐT/zalo: Quân 0934 687 *** ",43 m²,4.5 tỷ,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36036797,batdongsan_com_vn_36036797,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Hà', 'Đường Ngọc Hà']","
Cần bán nhà phường Ngọc Hà, Ba Đình, ngõ rộng, gần phố.- Nhà 4 tầng, diện tích 38 m², mặt tiền rộng 5 m.- Nhà thiết kế vuông vắn, hiện đại, 2 mặt thoáng sáng, nhà mới vào ở ngay.- Ngõ thông với Ngọc Hà, Đội Cấn, Hoàng Hoa Thám, giao thông thuận lợi.- Khu vực yên tĩnh, dân trí cao.- Tiện ích ngập tràn, không thiếu gì.- Sổ đỏ chính chủ, vuông đẹp.- Liên hệ xem nhà: 0847 728 ***Quân).            ",38 m²,3.75 tỷ,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,05/12/2022,12/12/2022,Tin thường,36036828,batdongsan_com_vn_36036828,,5 m,3 m,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City - Park Hill']","
Chủ nhà cần tiền bán gấp căn góc Park Hill 135m² - 4PN. Căn hộ tầng trung, thiết kế hài hòa hợp lý, các phòng đều có ánh sáng tự nhiên, view cực thoáng mát. Nội thất hoàn thiện. Có suất để xe dưới hầm.- Pháp lý: Sổ đỏ chính chủ.- Giá bán: 8,8 tỷ.- LH trực tiếp: 0987 457 ***zalo 24/7).            ",135 m²,8.8 tỷ,,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36035891,batdongsan_com_vn_36035891,2 phòng,,,Nam,Đông - Bắc
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Chính chủ gửi bán căn hộ 2N 1VS 55m² Vinhomes Smart City Nam Từ Liêm Giá bán 2.250 tỷ bao phí sang tênCăn hộ tầng trung, view cực thoángDiện tích 55m² thông thủyCăn hộ đã có sổ đỏCăn hộ đã trang bị đầy đủ nội thấtLiên hệ 0982 496 *** - Ngân bán            ",55 m²,2.25 tỷ,,2 phòng,Sổ đỏ/ Sổ hồng.,,05/12/2022,15/12/2022,Tin thường,36037277,batdongsan_com_vn_36037277,1 phòng,,,,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Trần Phú']","
Nhà thuộc phường Văn Quán, trung tâm quận Hà Đông.Ô tô đỗ cổng - ngõ thông tứ tung - chủ mới chỉ xách vali đến ở.Nhà 4 tầng, sổ đỏ vuông vắn cất két, sẵn sàng giao dịch.Giá: 3,5 tỷ.            ",33 m²,3.5 tỷ,4 tầng,,Sổ đỏ,Đầy đủ,05/12/2022,20/12/2022,Tin thường,36036864,batdongsan_com_vn_36036864,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Nam', 'Đường Triều Khúc', 'Dự án 44 Triều Khúc']","
Căn hộ tầng trung PCC1 - 44 Triều Khúc - 78m² - 2PN - 2VS trung tâm quận Thanh Xuân giá nhỉnh 3 tỷ cạnh các trường đại học lớn tiện ích ngập tràn.Cửa Đông Nam ban công Tây.Giá bán 3,3 tỷ full đồ bao phí.            ",80 m²,3.3 tỷ,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36036774,batdongsan_com_vn_36036774,2 phòng,,,Đông - Nam,Tây
"['Hà Nội', 'Đông Anh', 'Xã Thụy Lâm']","
Chính chủ gửi bán lô 04 đấu giá X7 Hà Lâm, Thụy Lâm, Đông Anh, Hà Nội.Diện tích: 109,40m².Mặt tiền: 5.1m.Đường trước đất 7m vỉa hè 2m.Cách 300m ra đường Thụy Lâm, Cây Xăng và chợ Hà Lâm.Giá 24 triệu/m².Liên Hệ: 0334 415 *** em ba.            ",109.4 m²,24 triệu/m²,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,36036885,batdongsan_com_vn_36036885,,5.1 m,7 m,Bắc,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Dương Lâm', 'Dự án Rainbow Building']","
Cần bán căn hộ toà Rainbow Văn Quán. Diện tích 80m², view thoáng, cửa vào Đông Nam, ban công Tây Bắc. Căn hộ thiết kế 2PN, 2VS, nhà hoàn thiện đẹp hợp lý phòng khách vuông vắn, điều hòa, nóng lạnh, 2 lô gia phơi quần áo,Khu vực vip của Văn Quán, gần nhiều trường học, chợ, siêu thị, ngân hàng...Sổ đỏ chính chủ.Giá bán: Thoả thuận.Vui lòng liên hệ Kiều Thuý 0949 170 *** ",80 m²,Thỏa thuận,,2 phòng,,,05/12/2022,12/12/2022,Tin thường,34018183,batdongsan_com_vn_34018183,2 phòng,,,,
