address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Pháp lý,Mặt tiền,Đường vào
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính', '177', 'Home City - Trung Kính Complex']","
Chính chủ gửi bán gấp căn hộ 2PN tại Home City Trung Kính.DT thông thủy: 70.8m² tòa V4.Nội thất có tủ bếp, vệ sinh và 03 ĐH Daikin. Và thêm các đồ: Giường, tủ, sofa và đồ điện tử.Cửa TB, BC ĐN.Giá bán: 3.1 tỷ bao toàn bộ phí sang tên cho khách thiện chí.Liên hệ xem nhà: 0989 569 *** - Nam.            ",70.8 m²,3.1 tỷ,Tây - Bắc,Đông - Nam,2 phòng,2 phòng,"Nội thất có tủ bếp, vệ sinh và 03 ĐH Daikin.",05/12/2022,12/12/2022,Tin thường,33858529,batdongsan_com_vn_33858529,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Dự án KĐT Tây Hồ Tây - Starlake Hà Nội']","
Cần nhượng lại căn G 113m² ban công hướng Nam và Đông cửa chính hướng Tây tại toà 901 chung cư Starlake Tây Hồ Tây.Giá bán 11 tỷ, nhà nguyên bản nội thất chủ đầu tư.Chủ nhà có làm lại thiết bị vệ sinh mới loại tốt.Khách hàng quan tâm vui lòng liên hệ 0918 886 *** hoặc 0981 607 *** để đi xem nhà.            ",110 m²,11 tỷ,Đông - Nam,Nam,,,,05/12/2022,12/12/2022,Tin thường,35039378,batdongsan_com_vn_35039378,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Kim Đồng', 'Ngõ 24']","
(Ảnh thật) tôi cần bán căn biệt thự mini khu phân lô ngõ 24 Kim Đồng, Tân Mai. Ô tô vào nhà. DT 65m² - 5 tầng thang máy. Thích hợp làm văn phòng, Kinh doanh.Nhà thiết kế gồm:Tầng 1: Gara ô tô, phòng khách, bếp, wc phụ.Tầng 2, 3, 4: Mỗi tầng 2 phòng rộng, wc khép kín.Tầng 5: Phòng thờ, sân phơi 2 bên.- Nội thất cao cấp, chính hãng hoàn toàn, thang máy, sàn nhập khẩu, thiết bị vệ sinh Toto nguyên khối, cửa nhôm lõi thép Việt - Pháp.- Khu Kim Đồng - Tân Mai là khu vực đang phát triển lớn nhất quận Hoàng Mai với dự án đường vành đai 2,5, gần hồ Đền Lừ, chung cư Hòa Phát, khu biệt thự liền kề của Louis City và Apromanco, trung tâm thương mại Aoen Mall chuẩn bị khởi công. Bán kính 4km bao gồm cả các trường ĐH lớn như ĐH Kinh Tế Quốc Dân, ĐH Bách Khoa, ĐH Xây Dựng, bệnh viện Bạch Mai, bệnh viện Tai Mũi Họng TW,...- Sổ đỏ chính chủ, giá 10,2 tỷ (có thương lượng).- Liên hệ: 0888 798 ***chấp nhận trung gian).            ",65 m²,10.2 tỷ,,,5 phòng,5 phòng,,05/12/2022,12/12/2022,Tin thường,35080047,batdongsan_com_vn_35080047,5 tầng,Sổ đỏ.,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Lương', 'Đường Trần Khát Chân', 'Số 1 ngõ 46']","
(Giá đầu tư) chính chủ bán căn nhà cấp 4 số 1 ngõ 46 Đ Trần Khát Chân, ô tô cách nhà chỉ 10m. Thích hợp chia lô xây 3 căn, mặt ngõ đi thông sang Lạc Trung & Minh Khai.- Diện tích đất 132m². Mặt tiền rộng 12m, nở hậu 13m.- Vị trí cực đẹp mặt ngõ rộng thoáng, gần trường THCS Hai Bà Trưng & trung tâm thương mại Sun Grand Lương Yên. Di chuyển đến các tuyến phố chính cực kỳ thuận tiện: Cách Hồ Gươm 2km, Times City 1km, công viên Tuổi Trẻ 2km,...- Gần nhà có đầy đủ các tiện ích như: Bãi đỗ xe ô tô, bệnh viện, trường học, siêu thị,...- Giá bán 9.2 tỷ (70tr/m²) có thương lượng.- Liên hệ: 0888 798 ***chấp nhận trung gian).            ",132 m²,9.2 tỷ,,,1 phòng,1 phòng,,05/12/2022,12/12/2022,Tin thường,35104619,batdongsan_com_vn_35104619,1 tầng,Sổ đỏ/ Sổ hồng,12 m,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Dự án KĐT Tây Hồ Tây - Starlake Hà Nội']","
Chung cư Starlake đang trong thời gian bàn giao nhà, có một số lựa chọn chuyển nhượng cần bán gấp như sau ạ.1. Căn 2 ngủ.- Tầng trung B2 toà 902 giá 6.850 tỷ.- Căn A6 tầng trung giá 7.8 tỷ.- Căn F5 tầng trung giá 12 tỷ.3. Loại 3 ngủ.- Căn G5 toà 901 A tầng trung giá 9.7 tỷ.- Căn E4 toà 903 B tầng trung giá 7.8 tỷ.- Căn G1 toà 901B tầng trung giá 11 tỷ.3. Căn 4 ngủ.Duy nhất loại K154m tầng Trung đông nam giá 15. X tỷ.Khách hàng có nhu cầu vui lòng liên hệ: 0981 607 ***. Hoặc 0918 886 *** ",100 m²,Thỏa thuận,,Đông,,,,05/12/2022,12/12/2022,Tin thường,27625949,batdongsan_com_vn_27625949,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Tân Mai', 'Ngõ 258']","
- Chính chủ bán nhà mặt ngõ phố Tân Mai, gần ủy ban nhân dân phường Tân Mai, ô tô 7 vào nhà, kinh doanh sầm uất, trước nhà 2 ô tô tránh nhau.Diện tích 71m² nhà xây 7 tầng mới có thang máy, thiết kế hiện đại với:+ Tầng 1: Thông sàn gara ô tô.+ Tầng 2: Phòng khách master rộng rãi.+ Tầng 3, 4, 5 mỗi tầng 2 phòng ngủ, nhà tắm lớn.+ Tầng 6: Phòng bếp, Phòng sinh hoạt gia đình.+ Tầng 7 là phòng thờ, sân phơi.- Nội thất đầu tư hiện đại thang máy nhập ngoại, hệ thống cửa gỗ Lim nguyên khối, thiết bị vệ sinh ToTo, vách tắm kính... Cầu thang đá cổ đá trắng, sàn gỗ nhập khẩu Malaysia.- Nhà nằm trên mặt ngõ ô tô tránh nhau, kinh doanh buôn bán sầm uất, gần chợ Tân Mai, sân bóng Tân Mai, trường cấp 1,2 Tân Mai, hồ Đền Lừ..- Sổ đỏ chính chủ, gía 13,5 tỷ (có thương lượng).- Liên hệ: 0888 798 ***chấp nhận trung gian).            ",71 m²,13.5 tỷ,,,6 phòng,6 phòng,,05/12/2022,12/12/2022,Tin thường,35080391,batdongsan_com_vn_35080391,7 tầng,Sổ đỏ/ Sổ hồng.,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', '25', 'Bohemia Residence']","
Hàng độc:Căn góc 3 phòng ngủ to nhất tòa Bohemia - 25 Lê Văn Thiêm.Vị trí trung tâm quận Thanh Xuân.Tiện ích đủ cả: Bể bơi, siêu thị, khu vui chơi trẻ em...Thiết kế cực kỳ đẹp, nội thất như mới.Giá 5,8 tỷ.Gọi điện để biết thêm thông tin.            ",135 m²,5.8 tỷ,,,3 phòng,,Đầy đủ,05/12/2022,12/12/2022,Tin thường,35971311,batdongsan_com_vn_35971311,,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Nguyễn Tuân', 'Dự án Legend Tower 109 Nguyễn Tuân']","
Cực ít.Lâu lắm mới có người bán.Căn góc 3 phòng ngủ toà The Legend - 109 Nguyễn Tuân.Diện tích 86m².Giá 5. X tỷ.Có slot oto.Sổ đỏ sẵn sàng giao dịch.Gọi điện để đi xem nhà.            ",86 m²,Thỏa thuận,,,3 phòng,,Đầy đủ,05/12/2022,12/12/2022,Tin thường,35971267,batdongsan_com_vn_35971267,,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Tây Hồ', 'Phường Tứ Liên', 'Đường Nước Phần Lan']","
Gia đình cần bán nhà 5 tầng x 55m²/tầng. Nhà mới đẹp, đang làm homestay vị trí trung tâm với nhiều tiện ích xung quanh kinh doanh sầm uất.Đường vào ô tô đỗ cửa, 2 xe tránh nhau thoải mái.- Địa chỉ: Đường Nước Phần Lan, phường Tứ Liên, quận Tây Hồ, Hà Nội.- Diện tích: 55m²/tầng x 5 tầng.- Nhà thiết kế gồm: 5PN.+ Tầng 1: Phòng ngủ, gara, sân nhỏ.+ Tầng 2: Phòng khách, phòng ăn, bếp đầy đủ tiện nghi.+ Tầng 3,4: 2 phòng ngủ phía trước, 2 phòng sau rộng và 2WC. Có ban công.+ Tầng 5: Sân phơi + máy giặt + sân vườn.- Sổ đỏ chính chủ.- Tiện ích: Xung quanh tiện ích đầy đủ, khu dân cư an ninh cao, nước sạch đảm bảo.Giá: 12.2 tỷ.Liên hệ chính chủ: Chị Nhung 0335 430 *** ",55 m²,12.2 tỷ,Tây - Nam,,5 phòng,3 phòng,Full đồ nội thất.,22/11/2022,22/12/2022,Tin thường,35358443,batdongsan_com_vn_35358443,5 tầng,,5 m,8 m
"['Hà Nội', 'Hà Đông', 'Phường Biên Giang', 'Đường Yên Phúc']","
Trục chính kinh doanh tại Yên Phúc, Biên Giang cách Quốc lộ 6A chuẩn bị mở rộng chỉ 100m.- Diện tích 64m², MT = hậu = 4m.- Đường trước nhà rộng hơn 5m, ô tô tránh, kinh doanh đỉnh.- Xe buýt chạy qua đất hàng ngày.- Cách QL6 chưa làm 100m (cuối năm mở rộng đường).- Gần trường mầm non Biên Giang, chợ Biên Giang, trường cấp 1, 2 Biên Giang.- Giá đầu tư.- Lh sđt 0836 686 *** hoặc 0339 066 *** để được hỗ trợ.            ",64 m²,Thỏa thuận,,,,,,05/12/2022,12/12/2022,Tin thường,34602468,batdongsan_com_vn_34602468,,Sổ đỏ/ Sổ hồng,4 m,
