address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số toilet,Nội thất,Hướng nhà,Hướng ban công,Số tầng
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Dự án HPC Landmark 105']","
* Liên hệ (zalo) Trần Thảo: 0962 087 *** để được hỗ trợ và tư vấn miễn phí 24/24. Trân trọng.- Hàng siêu vip tại toà chung cư HPC Landmark 105, Hà Đông, Hà Nội với 3,8 tỷ, 158m², 3 ngủ, căn hộ đẹp thoáng mát, gần phố di chuyển siêu tiện.- Khu vực đầy đủ nhu cầu thiết yếu, tiện ích bạt ngàn chẳng thiếu thứ gì, ngay đại siêu thị Aon mail Hà Đông, di chuyển rất gần ra ngã tư Lê Văn Lương thông khắp quận, nhà đẹp nội thất thiết kế cao cấp, chính hãng an toàn, chủ rất tâm huyết và giữ gìn nhà rất mới.- Sổ đỏ cất két, sẵn sàng giao dịch.            ",158 m²,3.8 tỷ,3 phòng,Sổ đỏ,01/12/2022,08/12/2022,Tin thường,35998077,batdongsan_com_vn_35998077,,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Trần Quốc Vượng', '63']","
+ Vị trí trung tâm, xung quanh đầy đủ tiện nghi.+ Diện tích 48m², nhà xây 5 tầng kiên cố, thiết kế mỗi tầng 1 phòng.+ Ngõ trước nhà bagac qua, thông thoáng, sạch sẽ.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.Khách hàng ai có nhu cầu liên hệ: Mr. Hùng 0962 290 *** ",48 m²,3.45 tỷ,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36035556,batdongsan_com_vn_36035556,4 m,4 m,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Trần Thái Tông']","
Chính chủ bán chung cư Trần Thái Tông - Dịch Vọng - Cầu Giấy - 650 triệu/căn. Hoàn thiện ở ngay. Bàn giao đầy đủ nội thất.Liên hệ trực tiếp Chủ Đầu Tư: 0989 339 ***xem nhà miễn phí, nhận chiết khấu cao nhất, thủ tục nhanh gọn).1. Vị trí chung cư Trần Thái Tông.- Nằm ngay trên đường Trần Thái Tông - Phường Dịch Vọng - Cầu Giấy.- Gần đường Nguyễn Phong Sắc, Tôn Thất Thuyết, Phạm Hùng, Cầu Giấy.- Gần bến xe Mỹ Đình, ĐH Quốc Gia Hà Nội, ĐHSP Hà Nội, học viện Báo Chí.- Giao thông vô cùng thuận lợi, nằm trong khu dân trí cao.2. Quy mô - thiết kế.- Chung cư Trần Thái Tông. Mỗi sàn thiết kế 4 căn hộ. Từ 1 - 2 phòng ngủ, có ban công thoáng mát, mặt ngõ đẹp, nhiều ánh sáng, phòng khách rộng, thang máy, thang bộ thoát hiểm.- Tầng 1 để xe máy, nhà cách đường ô tô 40m, bảo vệ 24/7/365, camera an ninh, hệ thống PCCC.Diện tích căn hộ cụ thể:+ Căn 32m²: Gồm 1 phòng ngủ + 1 phòng khách + bếp + wc.+ Căn 43m² - 44m² - 46m² - 50m²: Gồm 2 phòng ngủ + 1 phòng khách + bếp + 1WC.3. Giá bán:Chung cư Trần Thái Tông được bán với mức giá như sau:+ Căn 32m²: Giá bán từ 690 triệu - 820 triệu.+ Căn 43m² - 44m² - 46m²: Giá bán từ 980 triệu - 1140 triệu.4. Mức độ hoàn thiện nội thất:- Nội thất chung cư Trần Thái Tông thất thiết kế theo phong cách Châu Âu cực hiện đại, sang trọng, dễ dàng cho việc trang trí căn hộ. Nội thất khi bàn giao căn hộ gồm có: Tủ bếp, nóng lạnh, hút mùi, bếp từ, thiết bị vệ sinh, sàn đá cao cấp, hệ thống cửa, hệ thống đèn điện chiếu sáng, đầu chờ cáp internet.5. Pháp lý:- Mua chung cư Trần Thái Tông khách hàng không phải mất thêm chi phí nào, ký hợp đồng trực tiếp CĐT với đầy đủ pháp lý: Sổ đỏ PTCC, giấy phép XD, hợp đồng mua bán căn hộ, cam kết tách sổ, mặt bằng căn hộ, danh mục trang thiết bị, nội quy sử dụng.Tư vấn miễn phí 24/7, tuyệt đối giá chuẩn đại diện chủ đầu tư! Hãy liên hệ ngay để được tư vấn:Hotline (CĐT): 0989 339 *** ",30 m²,650 triệu,2 phòng,,05/12/2022,12/12/2022,Tin thường,33975287,batdongsan_com_vn_33975287,,,1 phòng,"Tủ bếp, nóng lạnh, hút mùi, bếp từ, thiết bị vệ sinh, sàn đá cao cấp, hệ thống cửa, hệ thống đèn điện chiếu sáng, đầu chờ cáp internet.",,,
"['Hà Nội', 'Gia Lâm', 'Dự án Vinhomes Ocean Park Gia Lâm']","
* Liền kề Sao Biển.- Hướng Tây Bắc.- Diện tích đất: 90m².- Tổng diện tích xây dựng: 142m².- Xây dựng 3 tầng 1 tum.- Giá 13,9 tỷ.* Liền Kề Ngọc Trai.- Hướng Đông Nam.- Diện tích đất: 70.8m.- Diện tích 1 sàn: 66.6m².- Diện tích xây dựng: 261m.- Xây dựng 4 tầng 1 tum.- Giá 14 tỷ.* Ưu điểm:- Thuộc phân khu Ngọc Trai, phân khu khép kín, vip nhất của dự án.- Hướng Đông Nam mát mẻ.- View vườn hoa, thoáng đẹp.* Liền Kề Hải Âu (Shophouse).- Hướng Đông Nam.- Diện tích đất 100m².- Diện tích 1 sàn: 77m².- Xây dưng 3 tầng 1 tum.- Mặt Đường 30m.- View biển hồ.- Giá 16,9 tỷ.- Liên Hệ ngay Em Dương: 0941 655 *** ",90 m²,13.9 tỷ,4 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36036043,batdongsan_com_vn_36036043,7.4 m,13 m,3 phòng,,Tây - Bắc,Đông - Nam,3 tầng
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Phố Phùng Hưng', 'Dự án KĐT Xa La']","
Chính chủ cần bán gấp CH 2PN tòa CT5 Xa La, nhà đã có sổ, tầng trung. Thông tin căn hộ cụ thể như sau:Địa chỉ: CT5 Xa La.Diện tích: 67m².Hướng cửa: Đông Bắc, ban công Tây Nam.Thiết kế căn hộ: 2 phòng ngủ, 2 vệ sinh.Nội thất gồm: Full toàn nội thất, chỉ mang đi đồ điện tử.Giá: 1.68 tỷ (có thương lượng).Pháp lý: SĐCC.Liên hệ em Thuyết 0983 549 *** hoặc 0844 401 *** để được tư vấn và xem nhà miễn phí ạ.            ",67 m²,1.68 tỷ,2 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36035633,batdongsan_com_vn_36035633,,,2 phòng,Cơ bản,Đông - Bắc,Tây - Nam,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án HPC Landmark 105']","
* Siêu mẫu toạ lạc tại trục đường Tố Hữu, tiện ích xung quanh không thiếu thứ gì, một bước xuống trường chuyên liên cấp Chu Văn An, Trường quốc tế Nhật Bản... Đại siêu thị Aeon Mail Hà Đông, công viên Thiên Văn Học, Bệnh viện Nam Cường.... Tiện ích bạt ngàn, giao thông thì thông các tuyến đường chính như Lê Quang Đạo, Lê Văn Lương, Khuất Duy Tiến..- Nội thất cao cấp chính tay chủ nhà chọn, chau chuốt từng li từng tí, nhà sạch sẽ, mới nguyên. Nhà có lost để ô tô.- Sổ đỏ sẵn sàng giao dịch, chủ thiện chí bán.* Liên hệ: 0962 087 *** ",156 m²,Thỏa thuận,3 phòng,Sổ đỏ,01/12/2022,08/12/2022,Tin thường,36005107,batdongsan_com_vn_36005107,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Phố Vạn Phúc']","
Duy nhất 1 căn 4 tỷ hơn 35m2x5T ô tô 7 chỗ đỗ cửa 16m ra ô tô tránh ngay Ngã tư Vạn Phúc Hà Đông.------------------------------------------------------------------+ Vị trí tuyệt đẹp, độc nhất vô nhị, ô tô 7 chỗ đỗ cửa 35m2x5 tầng, đẹp về ở ngay, 16m ra đường ô tô tránh, 68m ra mặt phố.+ Nhà thiết ké tuyệt đẹp, công năng sử dụng cực hợp lý, Phân khúc tầm tiền cực hiếm, với 4 tỷ hơn giờ không có căn thứ 2 đẹp ở vị trí khu vực thế này.+ Ngay gần các tuyến đường trục chính, giao thông cực thuận tiện: Tố Hữu, Nguyễn Thanh Bình, Vạn Phúc, Đại Mỗ, KĐT Văn Khê, Himlam Vạn Phúc, Lê Trọng Tấn..-------------------------------------------------------------------Chỉ 1 căn duy nhất còn xót lại! Quý khách có nhu cầu thực sự xem nhà mang theo tiền đặt cọc luôn kẻo chậm chân, LH: 0986 990 ***E Hùng 79).            ",35 m²,4.19 tỷ,,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,36035478,batdongsan_com_vn_36035478,,4 m,,Cơ bản,,,5 tầng
"['Hà Nội', 'Gia Lâm', 'Xã Kiêu Kỵ', 'Đường Trung Lương']","
Bán mảnh đất 98m², SĐCC vuông vắn mặt đường có vỉa hè 2m, ô tô tải đỗ cửa. 55 triệu/m².LH 0912 462 *** ",98 m²,55 triệu/m²,,Sổ đỏ/ Sổ hồng,05/12/2022,20/12/2022,Tin thường,34355138,batdongsan_com_vn_34355138,5 m,15 m,,,Đông - Bắc,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
* Liền kề Ngọc Trai.- Hướng Đông Nam.- Diện tích đất: 70.8m².- Diện tích 1 sàn: 66.6m².- Diện tích xây dựng: 261m.- Xây dựng 4 tầng 1 tum.- Giá 14 tỷ.* Ưu điểm:- Thuộc phân khu Ngọc Trai, phân khu khép kín, vip nhất của dự án.- Hướng Đông Nam mát mẻ.- View vườn hoa, thoáng đẹp.* Liền kề Sao Biển.- Hướng Tây Bắc.- Diện tích đất: 90m².- Tổng diện tích xây dựng: 142m².- Xây dựng 3 tầng 1 tum.- Giá 13,9 tỷ.* Liền Kề Hải Âu (Shophouse).- Hướng Đông Nam.- Diện tích đất 100m².- Diện tích 1 sàn: 77m².- Xây dưng 3 tầng 1 tum.- Mặt Đường 30m.- View biển hồ.- Giá 16,9 tỷ.- Liên hệ ngay Em Dương: 0941 655 *** ",90 m²,13.9 tỷ,4 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36035968,batdongsan_com_vn_36035968,7 m,13 m,3 phòng,,Đông - Nam,Đông - Nam,3 tầng
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Đường Ngô Gia Tự']","
#1385: Lô góc 3 mặt thoáng - sát phố - sổ vuông A4 - gần cầu vượt đường 5.- Bán nhà phố Ngô Gia Tự, quận Long Biên, diện tích 33m², mặt tiền 5m, vuông vắn như tờ A4, lô góc 3 mặt thoáng vĩnh viễn, sát mặt phố, gần cầu vượt đường 5.- Nhà 3 tầng cũ xác định bán đất, khách mua chủ nhà sẵn sàng san phẳng tất cả.- Sổ đỏ chính chủ, vuông vắn, sẵn sàng giao dịch.- Giá 2.9 tỷ có thương lượng.- Hotline: BHomes 0899 990 *** ",33 m²,2.9 tỷ,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36035438,batdongsan_com_vn_36035438,5 m,2.5 m,,,,,
