address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Đường vào,Pháp lý,Nội thất
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án An Hưng']","
Liền kề The Terra An Hưng.65m² mặt tiền 6,5m, nhà xây 5 tầng 1 tum 1 lửng.- Gần các trường học từ mầm non, tiểu học, THCS, THPT.- Gần các khu đô thị lớn như KĐT Văn Khê, Văn Phú, The Pride, An Khánh Bắc, Anh Khánh Nam, Xa La.- Bệnh viện quốc tế Nam Cường, hồ điều hòa, trường học liên cấp Quốc tế, trung tâm thương mại, công viên cây xanh.- Cách Aeon Mall 3 phút lái xe, dự kiến khai trương cuối năm 2019.Liên hệ 0973 240 *** Mr Cuong.            ",65 m²,Thỏa thuận,6.5 m,5 tầng,05/12/2022,12/12/2022,Tin thường,21014186,batdongsan_com_vn_21014186,,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Đồng Bát']","
Bán tòa nhà 9 tầng hiện đại mặt phố Đồng Bát nhà 2 mặt thoáng thoáng trước sau, P Mỹ Đình 2, Q Nam Từ Liêm.Diện tích 79m² x 9 tầng, mặt tiền 4m.Nhà thiết kế thang máy thang bộ giữa nhà.+ Tầng 1: Kinh doanh phía trước, để xe phía trong.+ Tầng 2, 3, 4, 5, 6, 7, 8 mỗi tầng 2 phòng ngủ, 2 wc.+ Tầng 9: Tầng tum: Sân phơi.Vị trí nhà nằm trên mặt phố đường thông thoáng ô tô tránh vỉa hè rộng.- Nhà mặt phố Đồng Bát 9 tầng thang máy xịn, kinh doanh tấp nập mọi loại hình, cách mặt phố Nguyễn Hoàng 30m, cách mặt phố Trần Bình 200, bến xe Mỹ Đình 500m, gần chợ, cách Bệnh Viện 19/8 100m.Đầy đủ các tiêu chí, thuận tiện về mọi mặt.Sổ đỏ chính chủ, nở hậu.Pháp lý chuẩn chỉ trong sạch.Giá bán 21 tỷ có TL mạnh.Liên hệ 0975 200 *** E Hạnh.            ",79 m²,21 tỷ,4 m,9 tầng,05/12/2022,12/12/2022,Tin thường,35431415,batdongsan_com_vn_35431415,,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Phạm Hùng', 'Dự án Nam Trung Yên']","
Bán căn hộ chung cư Tầng 3. Tòa B3A Nam Trung Yên, phường Trung Hòa, quận Cầu Giấy, Hà Nội.Diện tích: 88,4m², có 2 phòng ngủ, 1 vệ sinh, ban công rộng, căn góc 2 mặt thoáng. Nhà nguyên bản chưa cải tạo khách mua có thể về sửa chữa cải tao theo ý thích của mình,Vị trí trung tâm đắc địa, gần chợ, trường học các cấp, siêu thị trung tâm mua sắm vv... Xung quanh tòa nhà có khuôn viên thoáng mát, sạch sẽ tiện ích xung quanh tòa nhà.Sổ đỏ chính chủ sẵn sàng giao dịch.Cửa vào Đông Nam, Ban công Tây Bắc.Giá bán: 30 triệu/ m², (2 tỷ 652 triệu). 10 ngày nữa khách thuê trả nhà.Liên hệ xem nhà: 0981 134 *** em Thủy.            ",88.4 m²,30 triệu/m²,,,05/12/2022,12/12/2022,Tin thường,35972363,batdongsan_com_vn_35972363,Đông - Nam,Tây - Bắc,2 phòng,1 phòng,,,
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh', 'Đường Cát Linh']","
Bán nhà phố Cát Linh - phường Đống Đa DT 36 m² x4 tầng mặt tiền 5,5 m giá đầu tư rẻ hơn thị trường 150 triệu.- Chủ nhà trí thức, con cái thành đạt, định cư nước ngoài nhờ mình bán hộ căn nhà mặt ngõ phố Cát Linh, nhà thông các tuyến nhiều nhà to đẹp, Cát Linh, Tôn Đức Thắng, Hàng Bột.- DT 36 m², MT 5,5 m, lô góc 2 mặt tiền kinh doanh sầm uất.- Đc mặt ngõ phố Cát Linh, Đống Đa, Hà Nội.- Sổ đỏ chính chủ, giá 5,5 tỷ, đâu tư có lãi ngay, bác chủ nhà cần bán qua định cư với các con.- Hiện nhà gia đình đang cho thuê, kinh doanh hàng ngày, xe tải vẫn giao hàng lấy hàng cho khách thuê, nhà ngõ thông các ngả, đường nào ôtô cũng tránh nhau được.- 5 phút ra năng chủ tịch Hồ Chí Minh. Văn Miếu Quốc Tử Giám, bệnh viện Xibon.- Mong được hữu duyên, với các bác thiện chí mua nhà để ở đâu tư, e Trường kết nối gặp bác chủ nhà ạ.- Liên hệ e trường để xem nhà gặp trực tiếp chủ nhà: 0977 597 ***zalo) bác mình rất nhẹ nhàng dễ nói chuyện.            ",36 m²,5.5 tỷ,5.5 m,4 tầng,02/12/2022,12/12/2022,Tin thường,36009200,batdongsan_com_vn_36009200,,,4 phòng,3 phòng,4 m,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Hồ Tùng Mậu']","
Bán siêu phẩm mặt phố Hồ Tùng Mậu, đoạn gần trường đại học Thương Mại, Q Cầu Giấy.Diện tích XD 61m² x 5 tầng, mặt tiền 4,6m.Nhà có vị trí kim cương, ngay ngã ba giao Xuân Thuỷ và Phạm Hùng, gần nhiều trường đại học lớn...Nhà xây khung cột BTCT chắc chắn:Tâng 1,2 để thông sàn kinh doanh.Tầng 3,4,5 mỗi tầng 2 phòng, cầu thang giữa.Tầng 6 tum và sân phơi.Nhà hai mặt thoáng vĩnh viễn, mặt trước phố vip, vỉa hè đá bóng, mặt sau ô tô tải đỗ tận cửa.Sổ đỏ chính chủ, vuông vắn.Pháp lý trong sạch chuẩn chỉ.Giá chào bán 22.5 tỷ có Thương Lượng.Liên hệ em Hạnh 0975 200 *** ",61 m²,22.5 tỷ,4.6 m,5 tầng,05/12/2022,12/12/2022,Tin thường,35081991,batdongsan_com_vn_35081991,,,,,,Sổ đỏ chính chủ.,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Lâm', 'Đường Ngọc Lâm', 'Dự án One 18 Ngọc Lâm']","
Nhà Mình có căn hộ full đồ gia đình ở 2 phòng ngủ + 2 vệ sinh tại dự ánNhà ở ngay đã có sổ hồng. Do chuyển công tác nên mình mới có nhu cầu bán căn hộ tại dự án này.+ Giá bán: 2,5 tỷ Thuế phí bên nào bên đó chịu.            ",69 m²,2.5 tỷ,,,05/12/2022,12/12/2022,Tin thường,36036988,batdongsan_com_vn_36036988,,,2 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Bán Shophouse Vinhomes Gardenia Hàm Nghi, Q Nam Từ Liêm.Diện tích 93m x 5 tầng, mặt tiền 6m.+ Vinhomes Gardenia Hàm Nghi không phải nói nhiều nữa 1 dự án cực tâm huyết của CĐT Vingroup đẳng cấp nhất khu vực. An ninh 24/24h bảo vệ tuần tra mọi ngả đường. Dịch vụ Tiện ích 5 sao không thiếu thứ gì.Hiện trạng nhà còn như mới thiết kế cực kì hiện đại.- Tầng 1: Phòng khách + bếp + phòng ăn + wc.- Tầng 2: 1 Phòng khách rộng + 1 Phòng Ngủ khép kín.- Tầng 3: 2 Phòng ngủ khép kín.- Tầng 4: 1 Phòng ngủ khép kín + phòng thờ.- Tầng 5: Sân phơi, 1 phòng không ngăn có thể cải tạo thành phòng ngủ.- Mái trồng rau sạch.+ Chủ tặng lại nội thất ngoại nhập trị giá hơn 5 tỷ.+ Nội thất: Cầu thang và nội thất gỗ óc chó, phòng thờ gỗ Đinh hương. Giường tủ các thể loại chủ tặng lại khách mua hết. Nhà trang bị hệ thế thiết bị wc, thang máy nhập ngoại đắt tiền. Nước nóng năng lượng mặt trời.Sổ đỏ chính chủ vuông vắn trước sau như một.Chủ nhà trẻ tuổi vui tính và cực kỳ thiện chí.Giá chào bán 27.7 tỷ còn thương lượng mạnh.Liên hệ ngay E Hạnh 0975 200 *** để biết thêm thông tin ạ.            ",93 m²,27.7 tỷ,6 m,5 tầng,05/12/2022,12/12/2022,Tin thường,34843706,batdongsan_com_vn_34843706,,,6 phòng,6 phòng,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Huỳnh Văn Nghệ', 'Dự án Le Grand Jardin Sài Đồng']","
Chính sách tốt nhất trong năm dành cho khách hàng mua nhà đón Tết.- Chiết khấu 6%, khi thanh toán sớm.- Tặng ngay 60triệu cho khách hàng đặt cọc sớm nhất.- Hỗ trợ vay tới 70% GTCH.- Miễn gốc lãi 12 tháng.- Miễn phí 18 tháng phí dịch vụ.Căn hộ thiết kế 3PN2VS 107m².- Với ban công rộng lấy ấy sáng tự nhiên cho căn hộ.- Bàn giao nội thất liền tường.- Dự án đã hoàn thiện, đang trong quá trình bàn giao cho cư dân.Với hơn 30 tiện ích nội khu chuẩn 5SAO cho cư dân.Trung tâm giáo dục quận Long Biên.Liên hệ để được tư vấn chính sách tốt nhất từ chủ đầu tư.HOTLINE: 0964 547 *** _ Phòng Kinh Doanh.            ",107 m²,3.7 tỷ,,,05/12/2022,12/12/2022,Tin thường,36036819,batdongsan_com_vn_36036819,,,3 phòng,2 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Lê Văn Lương']","
MS: Lananh365a.- Khu vực phát triển cực mạnh: Hoàng Đạo Thúy, Nguyễn Thị Định, Lê Văn Thiêm, Hoàng Ngân,.., xung quanh là các tòa nhà văn phòng, tòa chung cư, dân cư cực đông.- Nhà cách mặt phố 30m, là dãy 2 sau tòa văn phòng, chung cư.- Ngõ rộng 8m, ô tô tránh, vỉa hè 3m, phía sau tòa nhà chung cư cao cấp.- Xung quanh đang cho thuê quán ăn, rất đông khách tấp nập từ sáng đến tối.- Khách mua xây toà nhà, căn hộ dịch vụ, cửa hàng kinh doanh, cho thuê.Liên hệ em Thư chỉ bán nhà đẹp 0984 789 *** chuyên phân phối nhà phố, tòa building từ 10 đến 1000 tỷ.            ",200 m²,Thỏa thuận,8 m,,05/12/2022,15/12/2022,Tin thường,34813506,batdongsan_com_vn_34813506,,,,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Đường Ngô Quyền']","
+ Anh Nam chủ nhà làm nghề kinh doanh đồ điện tử nay đã mua nhà mặt phố Quang Trung để kinh doanh nên có nhờ em bán giúp căn nhà ở đường Ngô Quyền.+ DT 48m², mặt tiền 4,1m thiết kế 5T, nhà anh chị tự xây tâm huyết cũng được hơn 8 năm, do anh chị ở giữ gìn nên còn khá là mới, chủ mới chỉ việc về ở ko cần sửa chữa.+ Ngõ rộng ô tô đậu cạnh nhà.+ Giá anh chị rao bán là: 4,2 tỷ (có ra lộc cho khách).+ Vì là khu trung tâm của Hà Đông nên tiện ích khỏi bàn.+ Dân trí khu vực miễn chê cả khu toàn giáo sư giảng viên có tiếng.+ LH: Văn Toàn 0962 659 *** để được xem nhà miễn phí.+ Miễn tiếp trung gian và môi giới.            ",48 m²,4.2 tỷ,4.1 m,5 tầng,05/12/2022,12/12/2022,Tin thường,36036985,batdongsan_com_vn_36036985,,,,,,,
