address,gen_descrip,Diện tích,Mức giá,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Nội thất,Hướng ban công,Số toilet,Hướng nhà
"['Hà Nội', 'Thạch Thất', 'Xã Phùng Xá', 'Dự án Thạch Thất Quốc Oai']","
Bán kho xưởng DT 5000m², 10.000m² KCN Thạch Thất Quốc Oai, Hà Nội.- Lô 1: DT 5000m² có nhà xưởng xây dựng 2800m² trạm điện riêng.Đất sử dụng 50 năm trả tiền hàng năm còn 35 năm nữa.Giá bán: 10tr/m² bán cổ phần công ty.- Lô 2: DT 10000m²(1ha) Nhà xưởng 5000m² nhà VP 350m² 2 tầng.Điện ba pha trạm riêng 400kva, đất sổ đỏ 30 năm sử dụng đến năm 2035.Giá bán: 8tr/m² bán cổ phần công ty.Liên hệ Mr Hùng: 0979 929 *** ",5000 m²,10 triệu/m²,10 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,33397967,batdongsan_com_vn_33397967,,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Dự án Sunshine Wonder Villas']","
Biệt thự Sunshine Wonder Villas có thiết kế Địa Trung Hải đặc trưng, hòa quyện với hồ nước cỏ xanh, khu biệt thự mang lại sự thoải mái yên tĩnh, tiện nghi ra sân bay hay di chuyển về trung tâm hành chính Tây Hồ Tây.Chi tiết:- Chủ đầu tư: Sunshine Group, quy mô 10ha, với 238 lô biệt thự.- Vị trí:* Nằm trong lõi công viên cây xanh khu đô thị Ciputra Tây Hồ.* Tiệm cận 2 tuyến đường lớn Võ Chí Công, Nguyễn Văn Huyên.* Thế đất gần sông Hồng, Hồ Tây vượng khí tiện di chuyển ra sân bay.- Thiết kế toàn khu: Chia làm 3 phân khu trong tổng thể dự án.* Phân khu 1 là dãy liền kề ôm đường 30m nói lên đường võ chí công.* Phân khu 2 là khu biệt thự  đơn lập xây 5 tầng nổi 1 tầng hầm view hồ nước cỏ xanh.* Phân khu 3 là khu biệt thự song lập xây 5 tầng nổi 1 tầng hầm, cùng tiểu cảnh quảng trường nối 2 phân khu trên.- Thiết kế sản phẩm: Thiết kế (5 tầng nổi + 1 hầm). Gồm 122 lô song lập diện tích (144-254)m và 20 lô đơn lập (254 - 699)m, diện tích xây dựng 68%, bố trí các tầng hợp lý.* Tầng hầm để 5 xe ô tô (giao thông ngầm), có phòng giúp việc.* Tầng 1 làm phòng khách có bể bơi để tổ chức liên hoan cuối tuần.* Tầng 2 làm phòng bếp, phòng tiếp khách uống trà đạo.* Tầng 3, 4, 5 làm 6 phòng ngủ, di chuyển giữa các tầng bằng thang máy.- Tiện ích khu vực: Tiện ích nổi bật ngay trong khu đô thị Ciputra.* Khu mua sắm Lotte Mail quy mô 7,3ha lớn nhất hà nội.* Trường học đạt quốc tế số 1 hà nội UNIS, Academy.* Bệnh viện quốc tế, công viên ciputra hơn 25 ha với hồ nước cỏ xanh đan xen độc đáo.* Sân golf ngay trong khu đô thị ciputra- Chính sách bán hàng:* Tiến độ thanh toán 30% kí hợp đồng mua bán.* Vay 18 tháng lãi suất 0%, gốc 0%, miễn phí trả nợ trước hạn.- Giá bán 186 triệu/m². Duy nhất trong tháng để hưởng ưu đãi của chủ đầu tư.LH 0986 998 *** em Mạnh - Tư vấn dự án. ",150 m²,27.9 tỷ,40 m,,05/12/2022,12/12/2022,Tin thường,22044083,batdongsan_com_vn_22044083,10 m,5 tầng,5 phòng,Hoàn thiện bên ngoài thô bên trong.,,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Văn Cừ', 'Dự án Berriver Long Biên']","
Tôi cần tiền có việc gấp nên bán lại căn hộ 60m tòa N02. Căn hộ bàn giao nguyên bản CĐT.- Dòng tiền cho thuê ổn định 10 - 12tr/tháng (Nếu muốn đầu tư cho thuê).Liên hệ chi tiết: 0813 868 *** ",60 m²,2.4 tỷ,,Đang chờ sổ,05/12/2022,12/12/2022,Tin thường,35968739,batdongsan_com_vn_35968739,,,2 phòng,,Đông - Bắc,1 phòng,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án Văn Khê']","
Gia đình quyết định đầu tư biệt thự liền kề, cần thanh toán tiền trong tuần, nên mình cắt lỗ 200 triệu và giảm giá cực sâu so với các căn cùng khu vực, để bán nhanh rất gấp trong ngày 3 và 4 tháng 11 CHCC Văn Khê rất rộng có 3PN là căn góc, view nội khu, trên trục đường Tố Hữu, Lê Văn Lương kéo dài, đi lại thuận tiện phù hợp gia đình đang công tác khu vực Hà Đông.* Thiết kế căn hộ: Căn góc, 98 m² nhà có: 3PN, 2WC.Đặc biệt nhà mình trước được mua suất ngoại giao, nên nhà là căn góc, ban công đông nam, rất mát và thoáng, các phòng đều đón ánh sáng trực tiếp, không như các căn thường rất ít ánh sáng, phòng khách cực rộng, thoáng mát và vuông, có logia sân vườn, tạo cảm giác lên thơ và đáng sống sau một ngày làm việc vất vả, rất phù hợp với các bạn trẻ ưu cuộc sống năng động, sáng tạo thích không gian vui nhộn.Nội thất nhà mình có. Sàn gỗ các phòng, trần thạch cao giật cấp, hệ thống đèn led, trang trí, tủ bếp, bếp, sofa, bộ bàn ăn, tivi, kệ tivi, kệ tủ lạnh, tủ giầy, giường tủ quần áo các phòng, rèm, lưới an toàn, thiết bị vệ sinh có vách kính, chủ mới về ơ luôn để chuyển bị đón tết, không mất thời gian sửa chữa, vì nhà mình còn rất mới đang đóng cửa để không.Aruyến đường huyết mạch: Lê Văn Lương, Khuất Duy Tiến, Lê Trọng Tấn, Lê Quang Đạo, Nguyễn Trãi, Tây Mỗ, Lam Từ Liêm, Mỗ Lao, Đại học An Ninh, kiến trúc trên dưới 5Km, có tuyến bus BRT nhanh trước mặt, cách 5Km chạm đến nội thành. Gần trường học quốc tế Nhật Bản, trường cấp 1,2 Lê Quý Đôn, An Hưng, trường cấp 3 chuyên Nguyễn Huệ các khu vui chơi, bệnh viện quốc tế hay TTTM Aeon rộng 13ha, hồ điều hòa Nam Cường,...Giá: 2.19 tỷ. Giá trên mình cần bán gấp cho khách thiện chí. Trung gian, quảng cáo và khách không có nhu cầu không gọi làm phiền.Liên hệ chủ nhà: C. Minh: 0985 740 *** ",98 m²,2.19 tỷ,,,05/12/2022,12/12/2022,Tin thường,36036574,batdongsan_com_vn_36036574,,,3 phòng,"Sàn gỗ, trần thạch cao giật cấp các phòng, tủ bếp, bếp, hút mùi, tủ quần áo, tủ giày, kệ tivi, 4 điều hòa, nóng lạnh, rèm, lưới an toàn...",Đông - Nam,2 phòng,Đông - Bắc
"['Hà Nội', 'Thạch Thất', 'Xã Tiến Xuân']","
- Cần bán 1500m² toàn bộ đất vườn mặt tiền rộng 27m.- Nằm trong quần thể nghỉ dưỡng Thung Sim tại Tiến Xuân sát Khu Du Lịch Sinh Thái Thung Lũng Ngọc Linh.- Nằm sát luôn khu C của Khu Đô Thị Xanh Villa đang xây dựng.- Pháp lý đảm bảo đã có ranh giới rõ ràng không tranh chấp.- Hàng độc hiếm view thoáng nhìn ra khu C Xanh villa.- Đường bê tông rộng 6m.- Nằm trong quần thể nghỉ dưỡng được ví như Đà Lạt Thu Nhỏ giữa Hoà Lạc.- Quý khách lưu thông từ thành phố lên chỉ mất 40p di chuyển.- Được hưởng không khí trong lành mát mẻ yên tĩnh không gian riêng cho gia đình bạn cuối tuần nghỉ dưỡng.- Quý khách quan tâm liên hệ Em Dung 0988 361 *** tư vấn trực tiếp.            ",1500 m²,Thỏa thuận,6 m,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35259972,batdongsan_com_vn_35259972,27 m,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Nguyễn Văn Cừ']","
Cần bán nhà mặt phố Nguyễn Văn Cừ, diện tích 28m², mặt tiền 3.5m.+ Vị trí nhà đẹp nhất Phố Nguyễn Văn Cừ, trung tâm Phố, vỉa hè đá bóng, thích hợp tất cả các loại hình kinh doanh.+ Nhà xây chắc chắn. Cầu thang cuối nên nhà trong rất rộng, chủ tự xây chắc chắn tâm huyết.+ Nhà 4 tầng hiện đang cho thuê.+ Tầng 1 + 2 thông sàn đang cho thuê nhiều năm nay, làm ăn rất tốt.+ Tầng 3 phòng ngủ vs.+ Tầng 4, phòng thờ, sân phơi.+ Khách mua vừa ở vừa kinh doanh hoặc cho thuê tiếp kinh doanh, làm văn phòng thì tuyệt đỉnh.+ Sổ đỏ chính chủ, sẵn giao dịch.            ",28 m²,8.4 tỷ,,Sổ đỏ/ Sổ hồng.,05/12/2022,15/12/2022,Tin thường,36034103,batdongsan_com_vn_36034103,3.5 m,4 tầng,1 phòng,Cơ bản.,Tây - Bắc,2 phòng,Tây - Bắc
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án CT5 Văn Khê']","
Gia đình giảm giá, bán nhanh, CHCC Văn Khê 72m² rất rộng có 2PN, trên trục đường Tố Hữu, Lê Văn Lương kéo dài, đi lại thuận tiện phù hợp gia đình đang công tác khu vực Hà Đông. Nhà mình bán rẻ, nên đang có nhiều khách quan tâm. Vì vậy mình ưu tiên khách thiện chí chốt sớm trong ngày ngày. Vì Mình cần thanh toán tiền mua nhà trong 10 ngày nữa, do đó mình quyết định bán rẻ hơn các căn cùng khu vực, để bán nhanh rất gấp.* Thiết kế căn hộ: Nhà có: 2PN, 1WC.Đặc biệt nhà mình Ban công: Đông Bắc, Cửa: Tây nam, các phòng đều đón ánh sáng trực tiếp, phòng khách rộng, thoáng, cực mát vào mùa hè, đảm bảo tạo cảm giác yên tĩnh, lên thơ và đáng sống sau một ngày làm việc vất vả, phù hợp với các bạn, cần không gian rộng rãi, yên tĩnh, thư giãn sau ngày làm việc căng thẳng.Nội thất nhà có: Sàn gỗ các phòng, trần thạch cao, hệ thống đèn net, tủ bếp, bếp, hút mùi, sofa, giường tủ điều hòa, nóng lạnh, rèm, thiết bị vệ sinh gia chủ mua về hoàn thiện theo ý mình.Vị trí: Dễ dàng kết nối các tuyến đường huyết mạch: Lê Văn Lương, khuất Duy Tiến, Lê Trọng Tấn, Lê Quang Đạo, Nguyễn Trãi, Tây Mỗ, Lam Từ Liêm, Mỗ Lao, Đại học An Ninh, kiến trúc trên dưới 5Km, có tuyến bus BRT nhanh trước mặt, cách 5Km chạm đến nội thành. Gần trường học quốc tế Nhật Bản, trường cấp 1,2 Lê Quý Đôn, An Hưng, trường cấp 3 chuyên Nguyễn Huệ các khu vui chơi, bệnh viện quốc tế hay TTTM Aeon rộng 13ha, hồ điều hòa Nam Cường,...Giá: 1,75 tỷ. Giá trên mình cần bán gấp cho khách thiện chí. Trung gian, quảng cáo và khách không có nhu cầu không gọi làm phiền.Liên hệ chủ nhà: C. Loan: 0336 579 *** ",72 m²,1.75 tỷ,,,05/12/2022,12/12/2022,Tin thường,36036562,batdongsan_com_vn_36036562,,,2 phòng,"Sàn gỗ các phòng, trần thạch cao, hệ thống đèn net, tủ bếp, bếp, hút mùi, điều hòa, nóng lạnh, rèm, thiết bị vệ sinh Gia chủ mua về hoàn thiện theo ý mình.",Đông - Bắc,1 phòng,Tây - Nam
"['Hà Nội', 'Long Biên', 'Dự án Elegant Park Villa Thạch Bàn']","
Là một trong các dự án đẳng cấp và chất lượng top 1 tại Long Biên, Elegant Park Villa là một sản phẩm của CĐT MIK dành riêng cho các cư dân thông thái với số lượng chỉ 86 căn. Nằm giữa 3 hồ, 50% diện tích cho cảnh quan, tiện ích...Bán căn BT dãy cạnh hồ 218m², cạnh cổng chính dự án, view trực diện hồ.- Nhà xây thô 4 tầng, CĐT MIK xây dựng chất lượng tốt, thiết kế hợp lý.- Có sân để xe riêng, vỉa hè cạnh nhà rất rộng.- Diện tích xây dựng 130m², còn lại là sân vườn cực thoáng.- Đã có sổ đỏ, sẵn sàng giao dịch ngay.Liên hệ em để nhận thông tin và xem nhà 24/7: 0988 585 *** ",218 m²,48.5 tỷ,22 m,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,35236484,batdongsan_com_vn_35236484,13 m,4 tầng,8 phòng,,Đông - Nam,6 phòng,Đông - Nam
"['Hà Nội', 'Hà Đông', 'Phường Phú Lương', 'Đường Nhân Trạch']","
Chính chủ cần bán gấp mảnh đất nằm tổ 7 Phường Phú Lương, Hà Đông.Diện tích 33m². Hướng Tây Bắc.Ngõ rộng 4m. Kinh doanh nhỏ.Vị trí nằm gần trường chợ. Rất thuận tiện cho đi lại và sinh hoạt.Liên hệ xem đất. Sđt 0969 255 *** ",33 m²,2.2 tỷ,4 m,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,35429255,batdongsan_com_vn_35429255,3.5 m,,,,,,Tây - Bắc
"['Hà Nội', 'Đống Đa', 'Phường Ngã Tư Sở', 'Đường Tây Sơn']","
Nhà đẹp Tây Sơn Đống Đa Hà Nội.- Diện tích 25m², 5 tầng, mặt tiền 4,2m, 3 phòng ngủ, 3 VS khép kín, ngõ thông tứ tung.- Cách ô tô đỗ chỉ 15m - 20m. Ngõ rộng nhà khung cột bê tông.- Nhà nằm trên phố Tây Sơn quận Đống Đa ngay cạnh Ngã Tư Sở, Nguyễn Trãi, đường Láng, vị trí trung tâm giao thông thuận tiện.- Nhà xây khung cột bê tông chắc chắn.- Gần ĐH Y, ĐH Thủy Lợi, Ngân Hàng, Công Đoàn.- Sổ đỏ riêng biệt.- Giá 2,55 tỷ.Lh chị Thủy xem nhà.            ",25 m²,2.55 tỷ,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35523118,batdongsan_com_vn_35523118,4.2 m,5 tầng,3 phòng,,,3 phòng,
