address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Hướng nhà,Hướng ban công,Số toilet
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Nhàn', 'Đường Võ Thị Sáu']","
Nhà Võ Thị Sáu, Hai Bà Trưng, 45m² x 5 tầng, 3.38 tỷ. LH: 0886 309 ***Nhà xây 5 tầng sang trọng, mỗi tầng 2 phòng ngủ.+ Rất gần các phố trung tâm: Trần Khát Chân, Phố Huế, Lò Đúc, thuận tiện mua bán đi lại, hơn 10 phút lên đến Hồ Gươm.+ An ninh tốt, dân trí cao, chính chủ.Liên hệ: Hồng 0886 309 *** để xem nhà ngay.            ",45 m²,3.38 tỷ,4 m,4 m,5 tầng,4 phòng,Hiện đại,05/12/2022,12/12/2022,Tin thường,27416676,batdongsan_com_vn_27416676,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Đống Mác', 'Phố Lò Đúc']","
Nhà đẹp Lò Đúc, Hai Bà Trưng, cách ô tô 30m, 3.65 tỷ, 5 tầng, 48m².Liên hệ ngay: Mrs Hồng 0886 309 ***+ Do chuyển sang nước ngoài định cư, cần bán căn nhà phố Lò Đúc, rất gần Hồ Gươm và các tuyến phố trung tâm.+ Vị trí gần rất nhiều trường cấp 1,2,3, gần chợ Nguyễn Công Trứ..+ Nhà xây chắc chắn mới 3 năm, thiết kế hợp lý, sàn gỗ đẹp, tầng 2 phòng ngủ rộng rãi.+ Khu vực dân trí, các bác hàng xóm lâu năm thân thiện.Liên hệ: Mrs Hồng 0886 309 *** để đi xem ngay căn nhà đẹp này (Hỗ trợ, miễn phí hoàn toàn cho khách hàng từ quá trình xem nhà, mua bán, làm việc trực tiếp với chủ nhà, thủ tục pháp lý, thủ tục vay vốn).            ",48 m²,3.65 tỷ,4 m,3 m,5 tầng,3 phòng,,05/12/2022,12/12/2022,Tin thường,25683361,batdongsan_com_vn_25683361,Sổ đỏ.,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Dương Văn Bé']","
Bán nhà căn góc 48m², Dương Văn Bé, Hai Bà Trưng, 3.45 tỷ.Do mua nhà cho con gái ở học đại học, nay cháu chuyển trường nên cần bán lại căn nhà Dương Văn Bé 58m², to đẹp, rộng rãi.Nhà ngay gần nhiều trường mầm non, cấp 1, cấp 2 Vĩnh Tuy, gần trường đại học KDCN, chợ Vĩnh Tuy, khu đô thị Times City.Thuận tiện đi ra các phố lớn như Minh Khai, Võ Thị Sáu, Kim Ngưu, Trần Khát Chân,... Chỉ vài phút lên đến Bờ Hồ.Liên hệ: Hồng 0886 309 *** nhà đẹp HBT để xem nhà ngay.            ",48 m²,3.45 tỷ,4 m,3 m,5 tầng,5 phòng,Hiện đại.,05/12/2022,12/12/2022,Tin thường,26976498,batdongsan_com_vn_26976498,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Nhàn', 'Đường Trần Khát Chân']","
Bán nhà đẹp phố Trần Khát Chân, 47m² x 5 tầng, ô tô 30m, 3.55 tỷ.Vị trí đẹp, nhà cách ô tô chỉ 30m, 2 mặt thoáng, khu vực dân trí cao, hàng xóm thân thiện.+ Chủ nhà xây để ở nên cực kì chắc chắn, móng cột khung bê tông cốt thép.+ Thiết kế hợp lý, công năng sử dụng đầy đủ, nhà 4 tầng, tổng có 4 phòng ngủ, phòng nào cũng có ánh sáng tự nhiên chiếu vào.+ Giao cắt nhiều tuyến phố lớn: Phố Huế, Đại Cồ Việt, Võ Thị Sáu, Bạch Mai.+ Giá cả thương lượng trực tiếp chính chủ.Liên hệ: Hồng 0886 309 *** nhà đẹp HBT để xem nhà ngay (miễn phí xem nhà, tư vấn pháp lý, ngân hàng, làm việc trực tiếp chủ nhà).            ",47 m²,3.55 tỷ,4 m,3 m,5 tầng,3 phòng,Hiện đại.,05/12/2022,12/12/2022,Tin thường,27137715,batdongsan_com_vn_27137715,,,,
"['Hà Nội.', 'Hai Bà Trưng', 'Phường Thanh Lương', 'Phố Lạc Trung']","
Bán nhà 2 thoáng 15m ô tô, 46m² x 5 tầng Lạc Trung, Hai Bà Trưng, Hà Nội, 3.4 tỷ.Cần chuyển ra nước ngoài định cư nên cần bán nhà Lạc Trung, Hai Bà Trưng, Hà Nội, xây 5 tầng, 46m².Phố Lạc Trung nhiều tiện ích sinh hoạt, gần nhiều trường học, ngân hàng, chợ Vĩnh Tuy, khu đô thị Times City..Liên hệ: Hồng 0886 309 *** nhà đẹp HBT để xem ngay căn nhà đẹp này (miễn phí xem nhà, tư vấn pháp lý, ngân hàng).            ",46 m²,3.4 tỷ,3 m,3 m,5 tầng,5 phòng,Hiện đại.,05/12/2022,12/12/2022,Tin thường,27004831,batdongsan_com_vn_27004831,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai']","
Ô tô cách 15m, nhà Yên Lạc Hai Bà Trưng, 46m², 3.65 tỷ.Cần bán gấp nhà Yên Lạc ngay gần khu đô thị Times City, nhà 5 tầng mới đẹp, do chuyển khu vực sinh sống.+ Nhà đẹp mới xây được hơn 4 năm, mỗi tầng 1 phòng ngủ, tổng 3 phòng ngủ. Phòng nào cũng thoáng sáng.+ Gia đình rất thiện chí bán. Giá có thương lượng.Vui lòng liên hệ: Hồng 0886 309 *** để đi xem ngay căn nhà này.            ",46 m²,3.65 tỷ,,3 m,5 tầng,3 phòng,Hiện đại.,05/12/2022,12/12/2022,Tin thường,27015045,batdongsan_com_vn_27015045,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Lê Đại Hành', 'Đường Đại Cồ Việt']","
Bán gấp nhà Đại Cồ Việt, Hai Bà Trưng, 46m², 5 tầng, 3.6 tỷ.+ Cần bán gấp do nhu cầu gia đình các con chuyển khu vực công tác.+ Nhà 5 tầng, nhà vẫn còn đẹp chắc chắn, ở được ngay.+ Thiết kế rất hợp lý, mỗi tầng 1 phòng ngủ, tổng 3 phòng ngủ, WC các phòng đầy đủ. Phòng thờ + sân phơi.+ Vị trí vô cùng thuận tiện ra phố: Phố Huế, Lê Thanh Nghị, Trần Đại Nghĩa, Bạch Mai, Trần Khát Chân, ngõ thông các ngả, hàng xóm thân thiện.Vui lòng liên hệ: Hồng 0886 309 ***Hỗ trợ, miễn phí hoàn toàn cho khách hàng từ quá trình xem nhà, mua bán, làm việc trực tiếp với chủ nhà, thủ tục pháp lý, thủ tục vay vốn).            ",46 m²,3.6 tỷ,4 m,3 m,5 tầng,3 phòng,"Hiện đại, đầy đủ công năng.",05/12/2022,12/12/2022,Tin thường,25796670,batdongsan_com_vn_25796670,Sổ đỏ,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án The Pride']","
Chủ nhà chuyển mua căn to nên cần bán nhanh căn 2PN 2VS DT 75m² tòa CT4 BC Đông Nam tầng trung full nt cơ bản.Giá 2tỷ bao hết thuế phí.Sổ đỏ chính chủ sang tên nhanh gọn.Có gia lộc cho kh thiện chí mua nhanh trong tháng 12.Lh xem nhà 0965 850 *** ",75 m²,2 tỷ,,,,2 phòng,,05/12/2022,12/12/2022,Tin thường,34287268,batdongsan_com_vn_34287268,Sổ đỏ/ Sổ hồng,Tây - Bắc,Đông - Nam,2 phòng
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Hà', 'Đường Lê Hồng Phong']","
Bán chung cư L1 Lê Hồng Phong - Đội Cấn - Ba Đình.Liên hệ Trường chủ đầu tư 0971 846 ***Ô tô đỗ gần nhà - căn hộ 1 - 2 phòng ngủ - căn hộ sáng thoáng ký hợp đồng trực tiếp chủ đầu tư.Diện tích: 45m² - 49m² - 50m² - 52m² - 55m².Giá bán: 650 triệu - 765 triệu - 950 triệu - 1 tỷ.Khách hàng không mất thêm bất kỳ chi phí nào khác.Pháp lý đầy đủ và đảm bảo theo quy định của pháp luật.Khách hàng liên hệ trực tiếp chủ đầu tư để mua nhà giá gốc.            ",45 m²,650 triệu,,,,2 phòng,Nội thất cơ bản đầy đủ về ở ngay.,01/12/2022,08/12/2022,Tin thường,33437672,batdongsan_com_vn_33437672,,Tây,Đông - Nam,1 phòng
"['Hà Nội', 'Long Biên', 'Phường Giang Biên', 'Phố Kẻ Tạnh']","
+ Vị trí thửa đất quá đẹp, nằm giữa phố Kẻ tạnh, đường rộng, kinh doanh đa dạng các loại hình dịch vụ.+ Tiện ích bạt ngàn, Gần chợ Quán Tình, Trường học chất lượng cao cấp, gần trung tâm Việt Hưng, cạnh Vinhomes Riverside hưởng mọi tiện ích xung quanh.+ Nhà cũ, chủ xác định bán đất, khách mua đặt cọc chủ sẽ phá nhà cũ bàn giao mặt bằng cho khách.+ Sổ đỏ chính chủ, pháp lý chuẩn.+ Giá chào: 5.3 tỷ (Có thương lượng).+ Khách thiện chí mua sẽ thương lượng trực tiếp với chủ.+ Liên hệ: Mr Thành 0979 999 ***Chuyên nhà đất thổ cư Nhận mua bán ký gửi nhà đất).Miễn phí xem nhà đất - Nguồn nhà đất phong phú - Hỗ trợ 24/24h.            ",60 m²,5.3 tỷ,5.1 m,5 m,,,,05/12/2022,12/12/2022,Tin thường,33858366,batdongsan_com_vn_33858366,Sổ đỏ.,,,
