address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Hướng ban công
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Đằng', 'Đường Đầm Trấu']","
Chính chủ bán nhà riêng Đầm Trấu, trung tâm Q. Hai Bà Trưng - 4 tỷ.- DT 35m² x 4 tầng, mặt tiền rộng.- Nhà nội thất đầy đủ thiết bị điều hòa, nóng lạnh..- Nhà ngõ thông, gần đường ô tô, giao thông trung tâm thuận tiện.Giá bán: 4 tỉ. Miễn trung gian!            ",35 m²,4 tỷ,3.58 m,Tây - Nam,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36034332,batdongsan_com_vn_36034332,,
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa', 'Đường Quyết Thắng']","
- Diện tích 55m² mặt tiền 4.4m.- Đất DV khu B Yên Nghĩa nằm sau bến xe Yên Nghĩa.- Cách đường Tố Hữu, Lê Trọng Tấn chỉ 70m.- Cách trường Đại học Phenika 100m.- Cách công viên âm nhạc, KĐT Đô Nghĩa 600m.- Cách vành đai 4 chuẩn bị khởi công 400m.- Cách Bệnh viện Nhi Trung Ương cơ sở 2 đang thi công 500m.- Từ nơi đây có thể lưu thông đi các hướng với tiện ích ngập tràn rất tuyệt vời để an cư lạc nghiệp.- Mấy tháng gần đây người rao bán rất ít, và giá đất khu vực tăng rất nhanh, là điểm nóng để các Đầu tư xuống tiền.- Lô đất DV vỉa hè thoáng đãng, tiện ích không thiếu gì, chỉ mất 20 phút để di chuyển ra trung tâm Hà Nội.- Đất Yên Nghĩa nằm trong đường giao thông rộng, lưu thông thuận tiện, đông người đi lại.- Đất khu vực này được xem là đất có tiềm năng phát triển kinh tế nhất so với các khu vực lân cận.- Sổ đỏ sẵn sàng giao dịch ngay.Liên hệ Chính chủ: Anh Thái: 0983 779 ***MTG, quảng cáo xin đừng làm phiền).            ",55 m²,5.5 tỷ,4.4 m,,,,,Sổ đỏ,,05/12/2022,12/12/2022,Tin thường,33181878,batdongsan_com_vn_33181878,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'đường Mỹ Đình']","
Siêu phẩm nhà Mỹ Đình, cách một nhà ra ô tô, nhà mới xây 2 - 3 năm ở ngay.Bán nhà Mỹ Đình 34m²*4T chỉ 3,7 tỷ.- Vị trí siêu đẹp, giữa trong trung Mỹ Đình, gần chợ, gần trường học.- Ngõ thông Thông ra sân vận động, bể bơi mỹ đình, cách ô tô tránh dừng đỗ 10m, Ô TÔ gần.+ Giao thông thuận tiện đi sân vận động Mỹ Đình, bến xe Mỹ Đình, các trường cấp 1, 2, 3 Mỹ Đình, bán kính 2km 7 - 8 - 9 trường Cao đẳng, Đại Học.- Nhà thiết kế 4 tầng, một lửng, tổng 4 ngủ.+ Sổ đỏ vuông đẹp, pháp lý rõ ràng minh bạch.+ Kh quan tâm LH em nhé: 0966 898 *** ",34 m²,3.7 tỷ,4 m,Đông,4 tầng,4 phòng,4 phòng,Đã có sổ,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36035187,batdongsan_com_vn_36035187,2 m,
"['Hà Nội.', 'Đông Anh', 'Xã Vân Nội', 'Đường 23']","
Bán đất mặt đường Quốc Lộ 23 thuộc xã Vân Nội, Huyện Đông Anh, diện tích 52,0m², 2 mặt thoáng, giá bán 4,45 tỷ.Lh chính chủ Chị Trinh: 0944 837 ***Không tiếp quảng cáo mạng xin đừng làm phiền).            ",52 m²,4.45 tỷ,,,,,,Sổ đỏ/ Sổ hồng.,,05/12/2022,12/12/2022,Tin thường,31656323,batdongsan_com_vn_31656323,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'đường Nguyễn Hoàng Tôn', 'Dự án The Link 345-CT1']","
ĐKT Ciputra Nam Thăng Long - nơi đáng sống bậc nhất gần Hồ Tây.Không gian sống xanh, yên tĩnh, bể bơi nội khu, cư dân sống đã ổn định.Căn hộ cao cấp tại chung cư The Link 345 bán quỹ căn cuối cùng.- Căn 3PN DT 107m².- Giá bán: 5.55 tỷ / căn/ 3PN, ban công phòng ngủ và logia phòng bếp.Căn hộ cửa hướng Đông Bắc, ban công Tây Nam view khuôn viên cây xanh nội khu.- Bàn giao nội thất cơ bản gồm sàn gỗ, trần thạch cao, cửa các phòng, thiết bị vệ sinh đầy đủ...- Nhà mới tinh nhận nhà ở ngay - Sổ đỏ trao tay.* Tiện ích dự án:- Cổng chào sang trọng, nằm trong khu đô thị quốc tế Ciputra.- Bể bơi ngoài trời, bể bơi trong nhà 4 mùa.- Khu tắm nắng, cafe ngoài trời.- Khu ẩm thực BBQ.- Phòng tập gym, yoga, spa.- Khu vui chơi trẻ em.- Con đường sinh thái EcoPark.- Hệ thống cây xanh 3 lớp tươi mát.- An ninh bảo vệ 24/7.Nhận nhà ở ngay - Sổ đỏ trao tay.Hỗ trợ xem căn hộ thực tế: 0983 084 ***e Mai).            ",107 m²,5.55 tỷ,,Đông - Bắc,,3 phòng,2 phòng,Hợp đồng mua bán,Nội thất cơ bản ,05/12/2022,12/12/2022,Tin thường,30940757,batdongsan_com_vn_30940757,,Tây - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Nam', 'Đường Triều Khúc', 'Dự án PCC1 Triều Khúc']","
Nhà tôi quyết định bán căn hộ ở PCC1 Triều Khúc để chuyển xuống mặt đất cho phù hợp với nhu cầu đi lại của gia đình và học tập của con cái.Nhà tôi để lại full nội thất cao cấp nhập khẩu nước ngoài, như sàn của Đức nội thất tủ gỗ An Cường,...Căn hộ thiêt kế 2pn2vs phù hợp với gia đình có ít thành viên.Nhà tôi đang bán giá là 3 tỷ bao phí sang tên có thương lượng thêm với KH thiện chí giao dịch và làm việc.Ai thực sự có nhu cầu mua nhà và xem nhà thì hãy liên hệ với tôi qua số điện thoại 0336 730 *** ",77 m²,3 tỷ,,Đông - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full đồ.,05/12/2022,12/12/2022,Tin thường,34874758,batdongsan_com_vn_34874758,,Tây - Bắc
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Bằng Liệt', 'Dự án Hà Nội Melody Residences']","
IV: Chích sách bán hàng không dự án nào có.Khách hàng Thanh toán sớm 95%.- Chiết khấu 7% + 3% giáo viên.- Chiết khấu 3% căn ngoại khu.- CS chung: Chiết khấu 24%/năm/số tiền trước hạn = CK 28,8% giá trị căn hộ sau khuyến mại.Khách hàng Thanh toán tiến độ.- Chiết khấu 7% + 3% giáo viên - Chiết khấu 2% căn ngoại khu.Khách hàng vay - chiết khấu 4% + 3% giáo viên.- Chiết khấu 2% căn ngoại khu.I: Tổng quan dự án Hà Nội Melody Residences.Tên dự án: Hanoi Melody Residences.Vị trí: Khu đô thị mới Tây Nam Linh Đàm, Hoàng Mai, Hà Nội.Đơn vị phát triển dự án: Công ty cổ phần Hưng Thịnh Land.Diện tích đất: 34,573 m².Tổng thầu xây dựng: Hưng Thịnh Incons.Quy mô: 04 block, cao 29 tầng. 3 tầng hầm để xe liên thông.Số lượng căn hộ: Hơn 2.000 căn.Diện tích căn hộ đa dạng: Từ 68 145m². Từ 2 đến 3 phòng ngủ.Tiện ích nội khu: Bể bơi, công viên cây xanh, vườn dạo bộ, trường mầm non, khu vui chơi trẻ em, TTTM, Gym - Spa.Khởi công: Quý I/2022.Bàn giao dự kiến: Quý IV/2024.Đơn vị quản lý vận hành: CBRE Việt Nam.Hình thức sở hữu: Sổ hồng lâu dài.            ",79 m²,2.2 tỷ,,Tây - Nam,,2 phòng,2 phòng,Sổ hồng.,Đầy đủ.,05/12/2022,15/12/2022,Tin thường,35948200,batdongsan_com_vn_35948200,,Đông - Bắc
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'Đường Thụy Khuê', '370']","
Mở bán nhà mới xây, vị trí đắc địa, hoàn thiện chi tiết, vật liệu hiện đại.- Địa điểm: Ngõ 370, Đường Thụy Khuê, Hà Nội.- Diện tích: 35m2x5 tầng - mặt tiền 3.8m; Giá bán: 5.75 tỷ.- Hướng: Tây Bắc.Công năng chi tiết:- Tầng 1: Phòng khách + bếp.- Tầng 2,3,4: Mỗi tầng 1 phòng ngủ + 1 vệ sinh.- Tầng 5: Phòng thờ + sân phơi.- Thủ tục pháp lý đầy đủ, minh bạch.- Nhà đẹp, lầu cao, gần hồ Tây lộng gió, gần trường học, bệnh viện, siêu thị, chợ lớn...- Giá bán cực tốt - dùng để ở hoặc đầu tư sinh lời cực cao trong tương lai.            ",35 m²,5.75 tỷ,3.8 m,Tây - Bắc,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,05/12/2022,12/12/2022,Tin thường,36034525,batdongsan_com_vn_36034525,2 m,
"['Hà Nội', 'Thanh Oai', 'Xã Bích Hòa', 'Đường 21B']","
Bán nhà 4 tầng giá rẻ Bích Hòa giáp Phú Lãm Hà Đông. Đại Học Đại Nam 2,5km. Giá 2,030 tỷ. LH: 0989 139 ***+ Vị trí đẹp 1 phút ra Cầu Thạch Bích đường 21B thẳng tắp lên Đại Học Đại Nam 2,5km.+ Diện tích rộng 30m², mặt tiền 5m, hướng Đông Nam, ô tô đỗ sát nhà.+ Nhà xây 4 tầng khung cột chắc chắn, thiết kế theo phong cách Châu Âu đẹp suất xắc.+ Khu dân cư đông đúc gần điểm xe bus, trường học, chợ siêu thị Vinmart đầu ngõ.+ Sổ đỏ chính chủ, pháp lý rõ ràng.+ Giá 2,030 tỷ.+ LH: 0989 139 *** ",30 m²,2.03 tỷ,5 m,Đông - Nam,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hiện đại.,02/12/2022,09/12/2022,Tin thường,36013891,batdongsan_com_vn_36013891,3 m,Đông - Nam
"['Hà Nội', 'Đống Đa', 'Phường Khâm Thiên', 'Phố Khâm Thiên']","
Bán mặt phố số Khâm Thiên (gần số 7) ngay đầu Lê Duẩn, vị trí đẹp, diện tích 45m², mặt tiền 4,8m, lô góc, hè rộng, kinh doanh sầm uất.Trên đất có nhà, nay cần tiền bán, tiện về xây mới theo ý.Giá bán 14,5 tỷ, liên hệ 0988 821 *** - 0933 283 ***.            ",45 m²,14.5 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,35969826,batdongsan_com_vn_35969826,,
