address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số phòng ngủ,Số toilet,Hướng nhà,Hướng ban công,Số tầng,Nội thất
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Đình Thôn']","
Nhà phố Mỹ Đình 35m² lô góc, thoáng, vài bước ra oto nhà đẹp nội thất lung linh chỉ 3.29 tỷ.- Mỹ Đình hàng xóm Marriott, keangnam khu vực phát triển sầm uất, đường thông các ngả, khu đô thị Gold Mark City tiện ích bạt ngàn.- Nhà 35m² Khung cột chắc chắn, chủ tỉ mỉ từng chi tiết, bán đi chủ rất tiếc, hàng xóm thân thiện.- Chủ nhà A Đức kinh doanh buôn bán, bán nhà mua mặt phố tiện kinh doanh.- Pháp lý chuẩn, sẵn giao dịch.- Giá 3.29 tỷ, có thương lượng.- Liên hệ Ms Thúy Vân 0946 475 *** nhiệt tình, tận tâm để xem nhà. Miễn MG TG.            ",35 m²,3.29 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36034750,batdongsan_com_vn_36034750,,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án An Phú Shop Villa']","
Tôi chính chủ bán biệt thự An Phú Shop Villa đường 27m, giá 25 tỷ/200m². Căn biệt thự vị trí đẹp. Anh chị mua về có thể kinh doanh được luôn.LH 0964 753 ***Hoa).            ",200 m²,25 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35960243,batdongsan_com_vn_35960243,9 m,27 m,4 phòng,4 phòng,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'đường Tây Mỗ', 'Dự án Dream Town']","
Gia đình đông người chuyển lên căn to hơn, cần bán nhanh căn 2pn diện tích 86m² toà CT3.Để lại nội thất như hình ảnh.Sổ đỏ lâu dài.Giá bán thương lượng sau khi xem nhà.Sđt chị Minh 0946 732 *** ",86 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,36035768,batdongsan_com_vn_36035768,,,2 phòng,2 phòng,Nam,Bắc,,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường 420']","
Cần tiền trả nợ NH nên bán gấp lô góc 2 mặt tiền, mặt đường thôn.- Cách đường lớn Tỉnh lộ 420 500m, Gần UBND, trường học và chợ.- Cách khu CNC và ĐH FPT 1,5km.- Hướng Đông Nam, đường oto đỗ cửa.- Sổ đỏ cất két, cần công chứng luôn.Liên hệ chính chủ(Miễn trung gian): 0393 646 *** ",61 m²,18 triệu/m²,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,35968184,batdongsan_com_vn_35968184,5 m,5 m,,,Đông - Nam,,,
"['Hà Nội', 'Phúc Thọ', 'Xã Trạch Mỹ Lộc', 'Đường Lạc Trị']","
Chính chủ cần bán đất full thổ cư, nở hậu, trung tâm xã gần UBND, trạm y tế, chợ, giao thông thuận lợi dân trí tốt hàng xóm thân thiện.            ",56 m²,670 triệu,Sổ đỏ/ Sổ hồng,03/12/2022,02/01/2023,Tin thường,36023556,batdongsan_com_vn_36023556,4.6 m,2.5 m,,,Đông - Nam,,,
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh', 'Đường Lê Trọng Tấn', 'Dự án Bảo Sơn Paradise']","
Siêu hót: Biệt thự song lập, diện tích 188m², hướng Nam, cách 2 dãy ra hồ giá nhỉnh 18 tỷ cả nhà. LH ngay e Mai: 0928 036 ***Biệt thự song lập dãy TB, DT 190m², mặt tiền 11m, nhà xây thô giá 19.2 tỷ cả nhà.Biệt thự song lập dãy UB, diện tích 210m², hướng chính Nam, giá 19.X tỷ cả nhà.Biệt thự song lập dãy FB, cách 2 dãy ra hồ, DT 200m², hướng Nam, đã hoàn thiện full đồ xịn sò, giá 23 tỷ cả nhà.Biệt thự song lập dãy JB, DT 186m², chủ nhà đã hoàn thiện full đồ xịn, nội thất còn rất mới, giá liên hệ trực tiếp.Biệt thự đơn lập thiết kế 4 mặt thoáng, dãy UA, DT 368.9m², mặt tiền rộng, cách 2 dãy ra hồ điều hòa, giá bán 3X tỷ cả nhà.Biệt thự đơn lập mặt hồ Bảo Sơn, DT 365m², đã hoàn thiện giá 55 tỷ cả nhà.Khu liền kề:Liền kề L1 DT 130.68m², đất trống được tự xây giá 10.6 tỷ.Liền kề L3 hướng Tây Bắc, đang xây tầng 2, mặt tiền 6.6m giá bán nhỉnh 12.5 tỷ cả nhà.Liền kề L5 mặt vườn hoa duy nhất dự án, DT 130.68m², giá nhỉnh 13 tỷ cả nhà.Shophouse mặt phố Lê Trọng Tấn, DT 130.68m², căn chưa hoàn thiện giá 22 tỷ, căn đã hoàn thiện full đồ giá 25.5 tỷ cả nhà.Liền kề L2, DT 130.68m², đã hoàn thiện full đồ, giá 13.8 tỷ cả nhà.Đô thị Bảo Sơn vị trí đẹp, nằm trên mặt đường Lê Trọng Tấn, tiếp giáp đô thị Geleximco, đại đô thị Smart City, được thừa hưởng đầy đủ tiện ích đô thị lớn như: Hệ thống trường học Vinshool, Hệ thống siêu thị Mega Mall.Pháp lí: Sổ hồng sở hữu lâu dài hoặc hợp đồng mua bán có thể ra sổ nhanh.Cơ hội sinh lời cao, giá BĐS cùng khu vực đều từ 110tr/m² - 140tr/m² cả nhà và đất, giá biệt thự Bảo Sơn đang có mức giá đầu tư hấp dẫn nhất khu vực.Quý khách hàng liên hệ ngay e Mai để tư vấn giá và đi xem nhà:Văn phòng bất động sản An Khánh Land chuyên mua bán biệt thự, biệt thự liền kề, đất thổ cư, đất dịch vụ, đất dự án, khu đô thị.Ô 18 - C7 Khu C Geleximco - Hà Đông - Hà Nội.Maibds An Khánh: 0982 148 *** / 0928 036 ***Cam kết thông tin chuẩn, pháp lý minh bạch rõ ràng.            ",188 m²,18 tỷ,Hợp đồng mua bán,05/12/2022,12/12/2022,Tin thường,35669906,batdongsan_com_vn_35669906,,,5 phòng,4 phòng,Đông - Nam,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Đình Thôn']","
Nhà đẹp đón tết - Đình Thôn Từ Liêm - ô chờ thang máy - 2 thoáng - ngõ nông - 60m², 4T, nhỉnh 6 tỷ.- Vị trí tuyệt đẹp, sát KĐT Sông Đà, tiện ích đẳng cấp, trước nhà ngõ rộng 4m nên cực thoáng sáng.- Nhà chủ tự xây 4T kiên cố cẩn thận, nội thất sang xịn, khách về ở ngay đón Tết đoàn viên.- Sổ đỏ chính chủ, nở hậu, sẵn sàng giao dịch ngay.- Lh ngay em Oanh: 0986 608 *** chuyên nhà đẹp Cầu Giấy, Từ Liêm.            ",60 m²,6.5 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35965041,batdongsan_com_vn_35965041,4 m,4 m,4 phòng,3 phòng,,,4 tầng,Cao cấp.
"['Hà Nội', 'Tây Hồ', 'Phường Nhật Tân', 'Đường Trịnh Công Sơn']","
Cần bán căn nhà mặt phố Trịnh Công Sơn, Tây Hồ, Hà Nội. Diện tích: 85m² x 5 tầng x mặt tiền 7m, view hồ Tây, vỉa hè 4m giá: 40.5 tỷ.Vị trí: Nhà gần công viên nước Hồ Tây, gần Lote Lạc Long Quân giao thông thuận tiện, khu phố kinh doanh sầm uất, văn minh, khu vực có nhiều người nước ngoài sống và làm việc, nhiều khách đến tham quan du lịch.Thiết kế nhà xây hiện đại phù hợp cho các loại hình kinh doanh như: Nhà hàng, khách sạn, spa.Sổ đỏ chính chủ sẵn sang giao dịch.Ai có nhu cầu mua nhà mặt phố view Hồ Tây vui lòng liên hệ: 0982 989 *** - 0974 894 ***.            ",85 m²,40.5 tỷ,Sổ đỏ/ Sổ hồng,28/11/2022,08/12/2022,Tin thường,35367879,batdongsan_com_vn_35367879,7 m,25 m,6 phòng,6 phòng,,,5 tầng,Cao cấp
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Linh Đường']","
Căn chung cư HH Linh Đàm.Diện tích 67m² 2PN 2VS tầng trung 22 view rất thoáng mát.Nhà đầy đủ nội thất rất xịn sò từ sàn gỗ, tủ bếp, bếp từ hút mùi và đồ điện tử...Ngân hàng hỗ trợ vay 70% giá trị căn hộ.Liên hệ em Khải để xem nhà và tư vấn miễn phí 24/24h.            ",67 m²,Thỏa thuận,,05/12/2022,12/12/2022,Tin thường,36034719,batdongsan_com_vn_36034719,,,2 phòng,2 phòng,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', 'Dự án Hapulico Complex']","
Bán căn hộ Toà 17T1 chung cư Hapulico Complex, số 1 Nguyễn Huy Tưởng, 81 Vũ Trọng Phụng, Thanh Xuân.+ Căn hộ 90m² tầng trung, view đẹp. Thiết kế 2 phòng ngủ, 1 phòng khách, 1 bếp, 2 wc và có 1 slot để ô tô ở tầng hầm, phí dịch vụ rẻ.+ Chủ thuê thiết kế hoàn thiện, nội thất sịn. Chủ để lại toàn bộ nội thất nhập khẩu. Khách mua về ở luôn.+ Giá bán 4 tỷ xx có thương lượng.+ Sổ hồng chính chủ. Giao dịch luôn.+ Chung cư có vị trí đẹp, vị trí góc giao nhau giữa 2 đường Nguyễn Huy Tưởng và Vũ Trọng Phụng, đi lại thuận tiện. Khu vực nhiều tiện ích: Siêu thị, nhà hàng, cafe, bể bơi bốn mùa, trường học các cấp... Một nơi lý tưởng để định cư lâu dài.+ Căn hộ tầng trung rất thoáng, phòng nào cũng có cửa sổ rất sáng và thoáng mát. View rất đẹp, khu vực lưu thông thuận tiện, giao thương các phố: Nguyễn Xiển - Khuất Duy Tiền - Nguyễn Trãi - Nhân Hoà - Quan Nhân...+ Liên hệ E. Phúc 0968 940 *** làm việc trực tiếp với chủ nhà.            ",90 m²,4 tỷ,Sổ hồng chính chủ,05/12/2022,12/12/2022,Tin thường,36035772,batdongsan_com_vn_36035772,,,2 phòng,2 phòng,,,,Full nội thất hiện đại. Khách mua xách vali về ở luôn
