address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Số tầng,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Số phòng ngủ,Số toilet,Mặt tiền,Hướng ban công
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Dự án Vinhomes Green Villas']","
Diện tích 232,5 m² (15mx15.5m), vuông vức, cực đẹp. Mặt tiền 15m.- Cửa Đông Bắc.- Thiết kế theo phong cách Địa Trung Hải (mái vòm và sân vườn đẹp, rộng).- Nhà hiện để nguyên bản CĐT.- Nhà đã có sổ đỏ.Liên hệ: 0915 698 *** ",232.5 m²,Thỏa thuận,Đông - Bắc,3 tầng,Sổ đỏ/ Sổ hồng.,Cơ bản.,22/11/2022,29/11/2022,Tin thường,32816529,batdongsan_com_vn_32816529,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Dự án Vinhomes Green Villas']","
Do chuyển đổi nhu cầu sử dụng nên chủ nhà cần bán căn biệt thự đơn lập tại Vinhomes Green Villas, Đại Mỗ.Căn biệt thự có các thông số xây dựng như sau:- Diện tích đất: 283 m².- Xây 3 tầng nổi, 1 tầng mái, 1 trong 98 độc bản thiết kế theo phong cách địa trung hải cực kì đẹp và sang trọng.- Cửa: Đông Nam - Tây Nam.- Vị trí: Ngay gần hồ lớn của dự án. Đường vào 25m.- Căn góc ôm vườn hoa riêng, cây xanh trước nhà.Anh chị quan tâm mua ở hoặc mua đầu tư ở Vinhomes Green Villas vui lòng gọi 0915 698 *** ",283 m²,Thỏa thuận,Đông - Bắc,3 tầng,Sổ đỏ/ Sổ hồng.,Hoàn thiện mặt ngoài.,24/11/2022,01/12/2022,Tin thường,34574470,batdongsan_com_vn_34574470,25 m,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Trần Hữu Dực', 'Dự án Iris Garden']","
Cần bán căn 134m² Iris Garden. Giá: 4.1 tỷ. LH: 0898 567 ***- Căn 3PN + 2 Vệ sinh, nhà mới tinh mới nhận bàn giao. Nội thất chủ đầu tư.- View nội khu. Tầng trung thoáng mát.- Giá chưa bao gồm thuế phí, khách nên qua xem trực tiếp để đánh giá hết vẻ đẹp của căn hộ.- Khách quan tâm LH: 0898 567 ***Xem nhà miễn phí - nhận tìm nhà theo yêu cầu).Tòa CT1A + CT1B + CT2.+ Trục 01 - 02 - 05 - 06: 132m² - 3pn 2wc: 37 căn bán - Lô góc.+ Trục 03 - 04 - 07 - 08: 60.7m² - 2pn 2wc: 42 căn bán - Căn thường.Tòa CT3 + CT4.+ Trục 05 - 06 - 11 - 12: 102.9m² - 3pn 2wc: 39 căn bán - Lô góc.+ Trục 01 - 02 - 03 - 04 - 07 - 08 - 09 - 10: 59.5m²: 58 căn bán - Căn thường.+ Duplex: 260m² - 4pn 4wc: 03 căn bán.Hiện đã hết hàng CĐT. 100% hàng bán ra đều là chuyển nhượng.Vườn hoa Diên Vĩ trang nhã, chung thủy và đầy hi vọng. Khách qua xem LH: 0898 567 *** ",134 m²,4.1 tỷ,,,Sổ đỏ/ Sổ hồng,Đầy đủ ,26/11/2022,03/12/2022,Tin thường,33042779,batdongsan_com_vn_33042779,,3 phòng,2 phòng,,
"['Hà Nội', 'Ba Đình', 'Phường Cống Vị', 'Đường Bưởi']","
- Đường Bưởi, DT 70m² x 6T, MT 6m.- Nhà đẹp từng centimét, thang máy nhập khẩu, thiết kế nội thất tinh tế từ tiểu tiết nhỏ, thiên về công năng và phong cách sống.- Phù hợp để hưởng thụ cuộc sống đích thực cho gia chủ.Thiết kế:+ T1: Gara 2 ô tô, phòng ngủ cho giúp việc, wc.+ T2: Khách, bếp, phòng sinh hoạt chung.+ T3,4: Mỗi tầng 2 ngủ khép kín mỗi phòng 30m².+ T5: Phòng ngủ master thiết kế thông sàn full diện tích.+ T6: Phòng thờ, sân vườn.Sổ đỏ đẹp, pháp lí chuẩn sẵn sàng giao dịch.Giá bán: 22,8 tỷ.LH: 0943 333 ***Tuấn).            ",70 m²,22.8 tỷ,,,Sổ đỏ/ Sổ hồng,,27/11/2022,07/12/2022,Tin thường,35868058,batdongsan_com_vn_35868058,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Thạch Thảo', 'Dự án Vinhomes Green Bay Mễ Trì']","
Chính chủ chuyển đổi nhu cầu bán căn biệt thự song lập Vinhomes Green Bay Mễ Trì.Vị trí ngay đường Mộc Lan, trung tâm gần hồ điều hòa, đài phun nước.Song Lập:- Diện tích 164m² xây 3 tầng 1 tum đã nâng mái + 1 Tầng hầm.- Hướng Đông Nam thoáng mát, mặt tiền 15m. Quay lưng vào hồ.- Nhà xây thô và hoàn thiện mặt ngoài, khuôn viên vườn.- Sổ đỏ chính chủ, thiện chí làm việc.Chủ nhà mua với mục đích về ở nhưng nay chuyển đổi nhu cầu sang căn lớn hơn nên cần bán lại.Giá cả thỏa thuận có đàm phán.Liên hệ: 0915 698 *** ",164 m²,Thỏa thuận,Đông - Nam,4 tầng,Sổ đỏ/ Sổ hồng,Không nội thất,24/11/2022,01/12/2022,Tin thường,33523266,batdongsan_com_vn_33523266,,,,15 m,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Thạch Thảo 4', 'Dự án Vinhomes Green Bay Mễ Trì']","
Chính chủ cần bán căn biệt thự song lập Vinhomes Green Bay - Phân khu Mộc Lan.- Diện tích 200m², thiết kế 4 tầng nổi, 1 tầng hầm. Đầy đủ nội thất nhập khẩu sang xịn, chỉ việc về ở đón Tết.- Căn góc, sân vườn rộng, mặt tiền 17m, đường rộng.- Sổ đỏ chính chủ, thiện chí bán, ra lộ cho khách thiện chí mua.- Giá cả đàm phán trực tiếp.Gần các trường đại học như Thương mại, Quốc gia, Ngoại ngữ cũng như nhiều trường trung học phổ thông, trung học cơ sở và tiểu học trong khu vực.An ninh an toàn nhất trong các khu đô thị, biệt thự tại Hà Nội.Hỗ trợ sang tên sổ đỏ, thủ tục pháp lý miễn phí.Liên hệ xem nhà Việt Anh: 0915 698 *** ",200 m²,Thỏa thuận,Đông,4 tầng,Sổ đỏ/ Sổ hồng.,Đầy đủ,24/11/2022,01/12/2022,Tin thường,35403329,batdongsan_com_vn_35403329,,,,17 m,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Dự án Vinhomes Green Villas']","
Chính chủ chuyển đổi nhu cầu sử dụng nên cần bán căn biệt thự đơn lập Vinhomes Green Villas Tây Mỗ.Vị trí: Dãy GV7.- Căn ngoại giao góc duy nhất có vườn cây vườn hoa riêng và nằm trục chính dự án.- Diện tích lớn 283m², mặt tiền rộng, vị trí đẹp, hướng chính Đông, đường vào 12m.- Nhà xây 4 tầng thô, thiết kế độc bản theo phong cách Địa Trung Hải.- Sổ đỏ chính chủ thiện chí bán, sẵn sàng giao dịch.- Giá cả thương lượng, gia lộc cho khách thiện chí.Tiện ích:- Có công viên riêng (căn góc) trục chính trung tâm sát Vườn Nhật, trung tâm Mega Mall,...- Khu vip an ninh bảo vệ cực an toàn cho chủ nhà, bảo đảm cho các cư dân đẳng cấp, siêu giàu.- Giá rẻ hơn Green Bay, tiện ích nhiều hơn, yên tĩnh hơn, an toàn hơn.- Liên hệ Việt Anh: 0915 698 *** ",283 m²,Thỏa thuận,Đông,4 tầng,Sổ đỏ/ Sổ hồng,"Thô, hoàn thiện mặt ngoài ",23/11/2022,30/11/2022,Tin thường,33353391,batdongsan_com_vn_33353391,,,,,Đông
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Cần tiền bán gấp căn 2PN + 1VS giá 1,55 tỷ tại Vinhomes Ocean Park.+ Diện tích: 60m².+ Thiết kế: 2 phòng ngủ, 1 nhà vệ sinh, phòng khách, bếp, ban công, lô gia...+ Pháp lý: Sổ đỏ chính chủ.+ Giá bán: 1,55 tỷ.+ Anh/chị xem nhà liên hệ: 0985 535 *** để được tư vấn và xem chi tiết căn hộ.+ Tận hưởng tiện ích như khu nghỉ dưỡng: Biển hồ, đường dạo bộ, bãi cát trắng với gần 1000 máy tập thể thao ngoài trời, bể bơi, BBQ... Sau những giờ học tập, làm việc căng thẳng.            ",60 m²,1.55 tỷ,,,Sổ đỏ/ Sổ hồng.,Full nội thất.,26/11/2022,03/12/2022,Tin thường,35093912,batdongsan_com_vn_35093912,,2 phòng,1 phòng,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường 5', 'Dự án Vinhomes Ocean Park Gia Lâm']","
* Chính chủ bán gấp căn 2PN + 1 Căn GÓC giá 1.96 tỷ tại Vin Ocean Park Gia Lâm.+ Diện tích: 70m².+ Giá bán: 1.95 tỷ.+ Pháp lý: Sổ đỏ chính chủ.+ Anh/Chị Quan tâm liên hệ: 0985 535 *** để được xem chi tiết căn hộ.+ Thiết kế căn góc: 2 phòng ngủ được hưởng trọn ánh sáng tự nhiên, 2 nhà vệ sinh, phòng khách, bếp, ban công, lô gia... Tiện ích như 1 khu nghỉ dưỡng: Biển hồ, bể bơi miễn phí, đường dạo bộ, bãi cát trắng với máy tập gym miễn phí, BBQ ngoài bờ biển như thành phố Singapore thu nhỏ.            ",69 m²,1.95 tỷ,,,Sổ đỏ/ Sổ hồng.,,21/11/2022,28/11/2022,Tin thường,34894618,batdongsan_com_vn_34894618,,2 phòng,2 phòng,,
"['Hà Nội', 'Thanh Trì', 'Xã Liên Ninh', 'Đường Liên Xã']","
* Vị trí, đất phân lô, vỉa hè rộng, ôtô tránh, vài bước ra quốc lộ, cách ủy ban nhân dân xã chỉ 200m, khu vực trung tâm phát triển, đường xá khu vực được đầu tư bài bản, kết nối các ngả, đi đâu cũng tiện, khách mua đầu tư giữ tiền giá trị tăng cao.* Pháp lý, sổ đỏ chính chủ, vuông vắn, sẵn sàng giao dịch.* Lh: Tài, 0977 462 ***, để được hỗ trợ.            ",80 m²,3.55 tỷ,,,Sổ đỏ/ Sổ hồng,,22/11/2022,29/11/2022,Tin thường,35922725,batdongsan_com_vn_35922725,15 m,,,5 m,
