address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Mặt tiền,Đường vào,Số phòng ngủ,Số toilet,Hướng nhà,Nội thất,Hướng ban công
"['Hà Nội', 'Thanh Trì', 'Thị trấn Văn Điển', 'Đường Tựu Liệt']","
Công ty cần bán cổ phần nhà máy trên quy mô diện tích đất 2560m², đường lớn vị trí trọng điểm của nội thành Hà Nội.Đất có chức năng sản xuất. Kinh doanh, làm trụ sở cơ quan.Hiện tại mới san gạt toàn bộ để tái thiết lại mới cho phù hợp với nghành nghề doanh nghiệp mới.Đã làm đủ giấy tờ thủ tục cấp phép xây dựng, cải tạo sửa chữa mới có nghiệm thu thẩm duyệt pccc của cơ quan chức năng.Cần bán đi 90% cổ phần, cty vừa xong quyết toán thuế và đại hội cổ đông.Cần bán gấp lấy vốn tập trung vào công ty chính.Liện hệ trực tiếp để tới xem thực tế và mua với giá tốt nhất mr Lâm 0988 180 *** ",2560 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,36035045,batdongsan_com_vn_36035045,,,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu', 'Ngõ 59']","
Bán nhà mặt ngõ 59 Hoàng Cầu ngõ đẹp như Phố đối diện là ủy ban quận Đống Đa.Diện tích 65m² mặt tiền gần 5m nhà xây 6 tầng thiết kế có hốc chờ thang máy, nhà có hầm để rượu, nhà mới xây được vài năm, chủ là công chức nhà nước, nhà xây rất cẩn thận, kết câu khung bê tông chắc chắn, lên vài tầng nữa thoải mái, nhà có 2 mặt thoáng các phòng đều mở cửa sổ ánh sáng thoáng mát, đường hè rộng 15m ngõ rộng kinh doanh buôn bán cực tốt, phù hợp để ở, làm công ty,... Gần chợ, cách Hồ Hoàng Cầu 100m, giao thông thuận tiện đi lại,...Sổ đỏ chính chủ, giá bán 26 tỷ có thương lượng.Liên hệ quân 0988 809 *** gặp chính chủ thương lượng.            ",65 m²,26 tỷ,,05/12/2022,12/12/2022,Tin thường,35718737,batdongsan_com_vn_35718737,6 tầng,,,,,,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Chương Dương Độ', 'Đường Bạch Đằng', 'Ngõ 450']","
- Seri 8 căn xây mới trong ngõ 450 Bạch Đằng.- Hiện tại đã chuẩn bị xong thô 4 căn trong, và đang xuống móng tiếp 4 căn phía ngoài.- Nhà xây lên 5 tầng, ép cọc đầy đủ, cam kết tất cả sắt cột, móng, dầm đi riêng biệt giữa các nhà, tường riêng không chung đụng.- Ngõ vào nhà rộng, xe con, ba bác vào thoải mái.- Mẫu nhà hoàn thiện, ace vui lòng ib trực tiếp.- Ace vào tiền thời điểm này để được giá đẹp nhất, và có thể bàn bạc thay đổi thiết kế theo ý tưởng cá nhân.- Sổ đỏ đã tách, phôi mới, giấy phép xây dựng rõ ràng, cam kết không quy hoạch, không tranh chấp.- Liên hệ sdt/zalo: 0369 276 *** ",30 m²,4.25 tỷ,Đã có sổ,05/12/2022,12/12/2022,Tin thường,35736722,batdongsan_com_vn_35736722,5 tầng,3.5 m,3 m,4 phòng,4 phòng,,,
"['Hà Nội', 'Sóc Sơn', 'Xã Tân Dân', 'Đường 2', 'Xuân Lễ']","
Lô 185m² Xuân Lễ, Xã Tân Dân, Sóc Sơn. Lô góc đẹp ngay ngã tư đang cho thuê mở cửa hàng bia có thể mua đầu tư sinh lời ngay mỗi tháng. 50m là ra đường trục chính liên xã nơi có nhiều cửa hàng buôn bán sầm uất, gần trường học cấp I, II, gần khu công nghiệp sạch.            ",185 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,35929895,batdongsan_com_vn_35929895,,,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Đường Nguyệt Quế', 'Dự án Vinhomes The Harmony']","
Tôi có căn nhà vườn 154m² đã hoàn thiện full nội thất nhà mới ở do GĐ chuyển công tác vào nam cần bán lại cho khách có nhu cầu mua sử dụng được ngay.Giá bán 33 tỷ.Liên hệ: 0924 952 *** Xem nhà.            ",154 m²,33 tỷ,,05/12/2022,12/12/2022,Tin thường,34722537,batdongsan_com_vn_34722537,,,,,,Tây - Nam,Hoàn thiện full nội thất.,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Nguyễn Viết Xuân']","
Căn nhà hiếm có tại khu phân lô đẳng cấp nhất quận Thanh Xuân, bao quanh là các tuyến phố Lê Trọng Tấn, Hoàng Văn Thái, với thông số lý tưởng:+ Diện tích: 59 m² x 5 tầng.+ Mặt tiền: 4.7 m.Nhà xây dựng chắc chắn cùng bộ nội thất vip, phục vụ cho nhiều mục đích khác nhau như: Vừa ở vừa kinh doanh, cho thuê, văn phòng, ở sướng,...Tọa lạc ở vị trí đẹp nhất phố Nguyễn Viết Xuân, ô tô tránh nhau thoải mái, không lo tắc đường. Gần trung tâm thương mại Artemis, bệnh viện, trường học,... Đầy đủ các tiện ích.Sổ đỏ chính chủ, vuông đẹp, sẵn sàng giao dịch.+ Giá bán: 8.8 tỷ (có thương lượng với khách thiện chí).+ Liên hệ: Mr. Hồ Đức 0961 921 ***gọi hoặc inbox Zalo 24/24).Chỉ cần quý anh chị có nhu cầu, em Hồ Đức với nguồn thông tin đa dạng, chất lượng sẽ tìm ra giải pháp hỗ trợ tìm nhà rẻ, đẹp và hợp ý nhất. Vui lòng liên hệ để được hỗ trợ.            ",59 m²,8.8 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,13/12/2022,Tin thường,36035517,batdongsan_com_vn_36035517,5 tầng,4.7 m,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyên Hồng']","
Bán nhà phố Nguyên Hồng, 65m² x 7t thang máy - ở + kd, cực đẹp, giá 26.8 tỷ.- Chủ nhà có tuổi chuyển sang nước ngoài định cư cùng con trai nên cần bán.- Vị trí căn nhà cực đẹp, cách mặt phố Nguyên Hồng và Huỳnh Thúc Kháng chỉ vài bước chân.- Trước nhà rất rộng ô tô tránh nhau, vỉa hè 2 bên. Khu vực văn minh rất trí cực cao.- Rất thích hợp khách mua ở + làm văn phòng cty rất phù hợp.- Diện tích 65m², xây dựng 7 tầng thang máy. Chủ tự tay xây dựng cực kì tâm huyết.- Nội thất do chính tay chủ tự nhập khẩu từ nước ngoài về nay để lại hoàn toàn cho khách mua.- Sổ đỏ vuông đẹp, pháp lí minh bạch, sẵn sàng giao dịch.- Giá 26.8 tỷ (có thương lượng - miễn trung gian).- Liên hệ: 0338 600 ***gặp e Cương để em trực tiếp căn nhà).            ",65 m²,26.8 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35941539,batdongsan_com_vn_35941539,7 tầng,6 m,10 m,5 phòng,7 phòng,,Đầy đủ,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Phạm Hùng', 'Dự án Sunshine Center']","
Tôi cần bán gấp căn hộ 4PN diện tích 168m² nội thất cao cấp CĐT.Do gia đình không có nhu cầu sử dụng vẫn để như lúc bàn giao.Cửa vào TN ban công ĐB.Giá bán từ 7 tỷ.Liên hệ: 0938 122 *** ",168 m²,Thỏa thuận,,05/12/2022,12/12/2022,Tin thường,34868587,batdongsan_com_vn_34868587,,,,4 phòng,,Tây - Nam,,Đông - Bắc
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án Mỹ Đình II']","
Chính chủ cần bán gấp căn 3 ngủ chung cư CT5 - Trần Hữu Dực, Mỹ Đình 2, Nam Từ Liêm, Hà Nội.Diện tích: 93m² thiết kế 3 ngủ 2 vệ sinh.Nội thất cơ bản đầy đủ: Sàn gỗ, bếp, tủ bếp, hút mùi...Nhà hiện tại mới đẹp sẵn sàng vào ở.Pháp lý: Sổ đỏ cất két sẵn sàng giao dịch.Giá bán: 3,3 tỷ.Liên hệ xem nhà 24/7: 0967 999 *** ",93 m²,3.3 tỷ,Sổ đỏ/ Sổ hồng.,01/12/2022,08/12/2022,Tin thường,36006668,batdongsan_com_vn_36006668,,,,3 phòng,2 phòng,Tây - Bắc,"Nội thất cơ bản đầy đủ: Sàn gỗ, bếp, tủ bếp, hút mùi...",Đông - Nam
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Quang Trung']","
LK Văn Phú - mặt đường 24m - nhà đẹp như tranh - kinh doanh vô đối.Mô tả:+ Nhà mình bán nằm trong Khu đô thị mới Văn Phú, đường rộng thênh thang 24m, vỉa hè 2 bên 6m, thông sang đường Lê Trọng Tấn, đối diện khu dự án công viên. Gần Khu đô thị Phú Lương. Khu vực an sinh bủa vây, tiện ích chẳng thiếu thứ gì. An ninh cực kỳ đảm bảo.+ Xung quanh là Khu đô thị Phú Lương, Công viên Văn Phú, Trường THCS và THPT Marie Curie Văn Phú. Khu đô thị mới Văn Phú, với quy mô dân số khoảng 20.000 người, chẳng khác nào một thành phố thu nhỏ trong lòng quận Hà Đông, với sự kết hợp hoàn hảo giữa các khu nhà ở, công viên cây xanh và các công trình xã hội.+ View vườn hoa. Vị trí trung tâm khu đô thị Văn Phú, Hà Đông với Uỷ ban nhân dân Phường và Quận, La Casta, Melinh Plaza, Nhà thi đấu, Bệnh viện Công an thành phố, trường THCS Ban Mai, bước chân ra khỏi nhà là va phải an sinh khu vực.Thiết kế:+ Nhà chủ Quan Chức hoàn thiện đẹp như Tranh khách xem là mê.- Tầng 1: Kinh doanh, Khách, WC.- Tầng 2: Bếp, ngủ, WC.- Tầng 3: 2 ngủ, WC.- Tầng 4: Phòng thờ, sân phơi.- Tầng 5: Tum.Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Diện tích: 96.5m².+ Mặt tiền: 4.5m.+ Giá bán: 12.9 tỷ có thương lượng.+ Liên hệ: Phạm Tuyên ĐT: 0989 012 *** ",96.5 m²,12.9 tỷ,Sđcc phân lô kđy,05/12/2022,12/12/2022,Tin thường,36034855,batdongsan_com_vn_36034855,5 tầng,4.5 m,24 m,6 phòng,6 phòng,,Như tranh,
