address,gen_descrip,Diện tích,Mức giá,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân']","
Bán chung cư mini 9 phòng full đồ 48m² x5T Lạc Long Quân, Tây Hồ, giá 6 tỷ. Cách Hồ Tây vài phút đi bộ.- Vị trí: Đẹp nhất trong làng hoa hậu chung cư mini, khu vực gần Hồ Tây luôn là ưu tiên số 1, chỉ sợ không có phòng cho thuê.- Tầng 1: Để xe và 1 phòng ngủ khép kín.- Tầng 2 + 3 + 4 + 5 mỗi tầng 2 phòng khép kín full đồ.- Mỗi phòng đều trang bị chỗ phơi đồ máy giặt máy sấy.- Sổ đỏ đẹp nở hậu.- Vị trí cách Lotte chỉ vài phút di chuyển gần Hồ Tây, đi ra sân bay chỉ khoảng 20ph di chuyển ra sân bay.- Giá chỉ 6 tỷ VNĐ (có thương lượng cho khách thiện chí).Sổ đỏ đẹp chính chủ, pháp lý chuẩn.* Liên hệ xem nhà anh Thuận 0973 481 ***miễn trung gian).            ",48 m²,6 tỷ,3 m,5 tầng,9 phòng,9 phòng,Sổ đỏ/ Sổ hồng,01/12/2022,08/12/2022,Tin thường,36005413,batdongsan_com_vn_36005413,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', 'Đường Nguyễn Lân']","
Chính chủ nhờ bán căn Nguyễn Lân - hồ Rùa Thanh Xuân, ngõ ô tô tránh, phân lô, dân trí cao. Nhà sát Hồ nên không khí trong lành thoáng.Diện tích 55m² 4 tầng mặt tiền 4m.+ Thiết kế cầu thang giữa, mỗi tầng 2 phòng 1 phụ.Sổ đỏ vuông vắn chính chủ.Giá 9.6 tỷ có thương lượng.Liên hệ trực tiếp 0705 318 *** để xem nhà.            ",55 m²,9.6 tỷ,6 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35545562,batdongsan_com_vn_35545562,4 m,Không nội thất,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', '25 Phố Lê Văn Thiêm', 'Dự án Bohemia Residence']","
Chuyển về sống với ông bà nội tôi cần bán căn hộ 2 phòng ngủ chung cư Bohemia 25 Lê Văn Thiêm.Diện tích sử dụng 85m², 2 phòng ngủ, 2 phòng vệ sinh.Nhà tôi mua từ đầu chủ đầu tư đã hoàn thiện nội thất cao cấp.Cửa chính hướng TB, ban công ĐN.Pháp lý đầy đủ, mua bán công chứng sổ đỏ chính chủ tên tôi.Giá: 3.8 tỷ bao phí.Liên hệ xem nhà: 0898 149 *** - 0338 596 ***.            ",85 m²,3.8 tỷ,,,2 phòng,2 phòng,Sổ đỏ chính chủ.,05/12/2022,12/12/2022,Tin thường,32627086,batdongsan_com_vn_32627086,,Full nội thất.,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Nguyễn Hoàng', 'Dự án Dolphin Plaza']","
Bán căn hộ chung cư cao cấp Dolphin Plaza - Nguyễn Hoàng.Diện tích 74m²: 1 phòng ngủ, 1 vệ sinh, có thể sửa thành 2 ngủ, các nhà xung quanh đều sửa lại rất đẹp và hợp lí.Nhà sửa đẹp full nội thất (tivi, tủ lạnh, giường, tủ, máy giặt, bếp... Không thiếu thứ gì chỉ xách vali vào ở).Khu trung tâm gần bến xe, trường học, bệnh viện, chợ búa,...Sổ đỏ tên chính chủ.Giá bán 2.5 tỷ (có thương lượng cho khách thiện chí).Liên hệ xem nhà: 0898 149 *** - 0338 596 ***.            ",74 m²,2.5 tỷ,,,1 phòng,1 phòng,Sổ đỏ,01/12/2022,08/12/2022,Tin thường,30913883,batdongsan_com_vn_30913883,,,Bắc,Nam
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Nhân Mỹ']","
Bán đất mặt ngõ Mỹ Đình 2, Nam Từ Liêm. Diện tích 67m², mặt tiền 4,5m giá nhỉnh 4 tỷ 5 vào khoảng 70 triệu/m² quá hợp lý cho những NĐT mua để xây chung cư mini tạo ra dòng tiền, cơ hội tăng trưởng giá trong vài năm tới, phố Nhân Mỹ đi đâu cũng tiện. Khu vực đông dân sinh viên ở cực kỳ sầm uất. Cách 10m là đường ô tô sau quy hoạch tiềm năng sau này tăng giá cao.Pháp lý giấy tờ đầy đủ sổ hồng chính chủ đang cất két.Liên hệ ngay để được tư vấn trực tiếp và hỗ trợ miễn phí.            ",67 m²,Thỏa thuận,,,,,,05/12/2022,15/12/2022,Tin thường,36025368,batdongsan_com_vn_36025368,4.5 m,,Đông,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Phố Trần Bình', 'Dự án Dolphin Plaza']","
Chủ nhà gửi bán gấp căn hộ siêu vip tại CC Dolphin Plaza.- Bể bơi dài 3m², sân vườn nướng BBQ, khu vực tổ chức tiệc ngoài trời.- Diện tích 431m² (3 tầng) + 200m sân vườn, nội thất hoàn thiện đầy đủ.- Thiết kế 4 ngủ 3 WC.- Nội thất toàn bộ gỗ thịt tảng cao cấp, thiết bị WC nhập khẩu, đồ điện tử nhập khẩu.- Gia đình sang nước ngoài định cư nên cần bán gấp. Giá có thương lượng cho người thiện chí.- Giá: 28 tỷ.Liên hệ xem nhà: 0898 149 *** - 0338 596 ***.            ",630 m²,28 tỷ,,,4 phòng,3 phòng,Sổ đỏ,01/12/2022,08/12/2022,Tin thường,29062253,batdongsan_com_vn_29062253,,,Nam,Đông
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Lê Trọng Tấn', 'Dự án ParkCity Hà Nội']","
Anh họ gửi bán biệt thự Jardin ParkCity Hà Đông, Hà Nội. Lô đẹp hướng Đông Nam nhìn hồ cảnh quan, công viên xanh mát - vị trí góc. Nhà đã xây xong đang hoàn thiện cảnh quan chuẩn bị bàn giao, khu nhà biệt thự yên tĩnh và vip nhất.* Thông tin biệt thự:- Phân khu Le Jardin ParkCity.- Diện tích 264m²: 5 phòng ngủ + 1 phụ trợ.- S sàn: 375m².- S hầm: 149m² để 2 ôtô.- Mặt tiền 12m, sâu 22m.- Xây 8m x 14.8m = 120m² - 150m².- Lô góc siêu đẹp hiếm.* Le Jardin là phân khu biệt thự đơn lập đẳng cấp nhất và duy nhất của ParkCity Hà Nội. Với hệ thống hồ công viên trung tâm 6ha và đầm sinh thái trong tiểu khu.Hệ thống clubhouse đầy đủ moi tiện ích, trường học quốc tế, chung cư cao cấp, trung tâm thương mại.* Pháp lý: Hợp đồng mua bán.Đã thanh toán 50%, tháng 12 đóng tiếp 45%, đầu năm 2023 giao nhà.Giá bán thỏa thuận, làm việc trực tiếp chủ nhà.Liên hệ xem nhà 0964 687 ***có zalo).            ",264 m²,Thỏa thuận,30 m,,5 phòng,,Hợp đồng mua bán,05/12/2022,12/12/2022,Tin thường,35969356,batdongsan_com_vn_35969356,12 m,Cơ bản,Đông - Nam,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Trãi', 'Dự án Golden Land']","
Gia đình chuyển về quê nên tôi muốn nhượng lại căn hộ thuộc tòa A chung cư Golden Land.Căn hộ có DT 148m², 3 phòng ngủ, 2WC.Căn hộ có ban công rộng 10m².Full nội thất (như ảnh).Hướng cửa vào Tây Bắc, ban công Đông Nam.Gía tôi bán: 5.3 tỷ (có thương lượng).Liên hệ: 0898 149 *** - 0338 596 ***.            ",148 m²,5.3 tỷ,,,3 phòng,2 phòng,Sổ đỏ.,01/12/2022,08/12/2022,Tin thường,32232598,batdongsan_com_vn_32232598,,,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Lê Văn Lương', 'Dự án The Golden Palm Lê Văn Lương']","
Cắt lỗ cần bán gấp căn hộ 02 Tòa B chung cư Golden Palm.Diện tích: 83.2m², 2 phòng ngủ, 2 vệ sinh.Nội thất cơ bản: Sàn gỗ, trần thạch cao, thiết bị vệ sinh, điều hòa, tủ bếp,...Cửa Tây Bắc, ban công Đông Nam.Giá: 3.5 tỷ (phí TL).Kết bạn zalo để em gửi video ạ.Liên hệ xem nhà: 0898 149 *** - 0338 596 ***.            ",83.2 m²,3.5 tỷ,,,2 phòng,2 phòng,,01/12/2022,08/12/2022,Tin thường,28977474,batdongsan_com_vn_28977474,,,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Sóc Sơn', 'Xã Minh Phú', 'Đường 14']","
Bán miếng đất ngàn năm có một tại thôn Phú Nghĩa, xã Minh Phú. Diện tích 200m², kích thước 7mx28.6m; mặt ngõ rộng 5.5m. Cách đường 14 khoảng 30m; cách đường 35 khoảng 1km. Thuận tiện cho sinh hoạt, đi lại; có thể làm nhà xưởng hoặc xây nhà ở. Giấy tờ xã cấp.Giá: 6,5 triệu/ 1m².Liên hệ chính chủ 0904 116 *** ",200 m²,6.5 triệu/m²,5.5 m,,,,,05/12/2022,15/12/2022,Tin thường,32961972,batdongsan_com_vn_32961972,7 m,,Tây - Bắc,
