address,gen_descrip,Diện tích,Mức giá,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Số tầng,Mặt tiền,Đường vào
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Dự án Housinco Premium']","
Tôi cần bán gấp căn hộ 3PN dự án Housinco Premium Nguyễn Xiển.Căn góc tầng trung cực đẹp.Diện tích 100m², thiết kế 3PN.Nhà tôi thiết kế nội thất rất đẹp, mọi đồ đạc trong nhà đều lựa chọn rất tỉ mỉ.Nay cần bán lại với giá 3 tỷ bao phí, có gia lộc cho khách thực sự thiện chí.Vị trí thuận lợi, nằm trên mặt đường Nguyễn Xiển, tiện ích dịch vụ không thiếu thứ gì: Gym, spa, trường học, siêu thị...Gía chỉ 3 tỷ.Liên hệ e Lan 0833 380 *** ",100 m²,3 tỷ,Đông - Bắc,3 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36035148,batdongsan_com_vn_36035148,,,,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Thạch Bàn', 'Dự án Canal Park']","
Căn hộ 100m² - 2PN.Full nội thất: 3 điều hoà, nóng lạnh, giường tủ, ti vi, tủ lạnh, bếp, máy giặt, lọc nước, sofachỉ cần vác vali đến ở.Khu có cây xanh công viên vô cùng thoáng mát, phòng Gym, bể bơi, thư viện đều miễn phí.Giá mong muốn: 2.5 tỷ có thương lượng.            ",100 m²,2.5 tỷ,Tây,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,15/12/2022,Tin thường,36033954,batdongsan_com_vn_36033954,Nam,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', '108', 'King Palace']","
Chính chủ gửi bán căn hộ số 09. Cửa Đông Bắc, ban công Tây Nam tại dự án King Palace 108 Nguyễn Trãi.- Diện tích 87m², căn hộ thiết kế đẹp hài hòa 2PN 2WC, phòng nào cũng có ánh sáng tự nhiên. Gia đình đã làm full đồ. Quý khách hàng chỉ việc xách vali vào ở. Đặc biệt có chỗ để ô tô.Liên hệ: 0916 062 *** - 0975 748 ***.Em xin trân trọng cảm ơn.            ",87 m²,4.4 tỷ,Tây - Nam,2 phòng,,,,05/12/2022,12/12/2022,Tin thường,36035141,batdongsan_com_vn_36035141,Đông - Bắc,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Duy Tân']","
Diện tích 48m² 5 tầng.Giá 12 tỷ.- Ngõ to hơn phố, khu vực Víp Cầu Giấy xung quanh là các toà văn phòng Hạng.Kinh doanh đỉnh cao mọi mặt hàng, vỉa hè đá bóng, cách mặt phố Duy Tân 60m.- Nhà 2 thoáng phía sau nhà có sân chơi rộng 500m² thoáng vĩnh viễn cửa mở phía sau nhà, có ô thoáng có thể lắp được thang máy, ở vô cùng sướng.Thiết kế:- Tầng 1: Kinh doanh + để xe sân sau + WC.- Tầng 2: Phòng khách + bếp + WC.- Tầng 3, 4: Mỗi tầng 2 phòng ngủ + WC.- Tầng 5: Phòng thờ + Sân phơi.Sổ đỏ nét căng giao dịch ngay.            ",48 m²,12 tỷ,,4 phòng,3 phòng,Sổ đỏ,,05/12/2022,12/12/2022,Tin thường,36035137,batdongsan_com_vn_36035137,,5 tầng,,
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Định Công', 'Dự án Sky Central']","
Tôi nghĩ mãi việc có nên bán nhà hay không? Và cuối cùng đã quyết định bán căn 92 m² hướng Bắc - Tây.Diện tích 92 m² thiết kế 3 ngủ + 2 vệ sinh, căn góc 2 mặt thoáng.Nội thất hoàn thiện đầy đủ.Tôi rất muốn giải quyết nhanh trong tháng này.Nhờ anh chị tham vấn hộ, mời gọi đến tôi qua số: 0339 968 *** chính chủ.            ",92 m²,39.5 triệu/m²,Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ nội thất.,05/12/2022,12/12/2022,Tin thường,34439582,batdongsan_com_vn_34439582,Nam,,,
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Nguyễn Văn Lộc']","
Chủ cần bán gấp mảnh đất phân lô vỉa hè, ô tô tránh Mỗ Lao, Hà Đông. DT 48m², cách hồ Mỗ Lao và Làng Việt Kiều Châu Âu chỉ 80m, giá chỉ 6.1 tỷ.+ Vị trí: Trung tâm phường Mỗ Lao, hiện là phường sầm uất và hiện đại nhất quận Hà Đông, là nơi giao thoa của 3 quận Thanh Xuân Hà Đông Nam Từ Liêm. Hưởng trọn tiện ích làng VK Châu Âu.+ Cách mặt phố Nguyễn Văn Lộc chỉ 150m, xung quanh hàng xóm toàn biệt thự với chung cư hiện đại, nơi có vượng khí ngập tràn nhất khu vực.+ Thửa đất phân lô 2 mặt thoáng rất đẹp, cách hồ Mỗ Lao và biệt thự Việt Kiều Châu Âu chỉ 80m, đường ô tô thông thẳng sang khu biệt thự Phùng Khoang, dân cư đông đúc, sầm uất ngày đêm.+ Đường trước nhà 8m, vỉa hè 2 bên, đối diện nhà là khu biệt thự An Lạc. Sau nhà có thêm đường rộng 4m, khách mua về thiết kế tòa 5 tầng vừa ở vừa làm văn phòng thì đẹp nhất phố, thoáng sáng cả 2 mặt.Giá thực sự là quá rẻ với mảnh đất phân lô oto tránh, lại có vỉa hè ở khu vực cực VIP như thế. Khẳng định với quý khách không có mảnh thứ 2.LH e Trung, 0986 272 *** để xem đất ngay. Tư vẫn xem nhà hoàn toàn miễn phí.            ",48 m²,6.1 tỷ,,,,Sổ đỏ/ Sổ hồng,,01/12/2022,08/12/2022,Tin thường,35511670,batdongsan_com_vn_35511670,,,3.6 m,10 m
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Phố Ngụy Như Kon Tum', 'Dự án Chung cư The Legacy']","
Chính chủ gửi bán căn hộ 2 phòng ngủ và 2 vệ sinh, ở chung cư The Legend.Do nhu cầu chuyển chỗ ở nên cần nhượng lại căn hộ này cho người có nhu cầu.- Căn hộ là căn ban công TB có diện tích 72.5m² gồm 2 phòng ngủ, 2 vệ sinh các phòng đều đầy đủ ánh sáng, view thoáng và rất mát.- Tầng trung, không bị ồn, bụi, muỗi, nắng chiếu, không bị chắn view.- Nội thất cơ bản chủ đầu tư có tủ bếp và điều hoà, sàn gỗ, trần thạch cao...- Sổ đỏ chính chủ.- Giá bán 3.6 tỷ.            ",72.5 m²,3.6 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,05/12/2022,15/12/2022,Tin thường,36035125,batdongsan_com_vn_36035125,,,,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường 19/5']","
Chủ chuyển công tác nên mới cần bán gấp nhà DT 35m² Văn Quán, Hà Đông, đối diện UBND Phường Văn Quán, chủ thiện chí tặng toàn bộ nội thất cho khách, giá chào 3.5 tỷ.+ Vị trí: Trung tâm Phường Văn Quán, đối diện nhà văn hóa và UBND Phường Văn Quán, cách hồ đúng 200m, hưởng trọn tiện ích KĐT Văn Quán.+ Hệ thống cơ sở hạ tầng cực kì hiện đại, xung quanh là các trường đại học lớn như: Kiến Trúc, An Ninh, Bưu Chính, Mật Mã... Viện 103, viện K cách nhà vài bước chân.+ Nhà 5 tầng, chủ xây dựng mới được 3 năm, dầm cột chắc chắn, thiết kế hiện đại.Tầng 1: Phòng khách, bếp, wc khách.Tầng 2,3,4: Mỗi tầng 1 ngủ rất rộng rãi.Tầng 5: Phòng thờ, sân phơi. Có thể cải thiện thêm 1 ngủ nếu nhà có nhu cầu.+ Ngõ rộng, thông thoáng, sạch sẽ. Bãi oto cả trăm xe cách nhà đúng 50m. Nhà sát trường mầm non Hoa Mai và trường tiểu học Nguyễn Du, rất thuận lợi cho vợ chồng đón con đi học.+ Sổ đỏ chính chủ, vuông vắn, chủ thiện chí bán.Giá chào 3.5 tỷ cho căn nhà trung tâm Phường Văn Quán thực sự không tìm đâu ra.Lh xem nhà e Trung, 0986 272 ***. Tư vấn và xem nhà miễn phí. Trân trọng.            ",35 m²,3.5 tỷ,,4 phòng,5 phòng,Sổ đỏ,,01/12/2022,08/12/2022,Tin thường,35483301,batdongsan_com_vn_35483301,Đông - Nam,5 tầng,3.6 m,4 m
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án The Terra An Hưng']","
Cần bán căn hộ 01 tòa V3 chung cư The Terra An Hưng.- Tổng diện tích 96m², thiết kế thông thoáng.- Hướng nhà: Đông Nam, ban công Tây Bắc View Hồ.- Nội thất đầy đủ: Giường, tủ, sofa, hệ thống điều hòa âm trần, TB vệ sinh, thiết bị chiếu sáng, sàn gỗ...- Giá bán: 3,6 tỷ. Nhà mới đã có sổ hồng.- Ảnh thật căn hộ.- LH 0939 993 *** để xem nhà trực tiếp.            ",96 m²,3.6 tỷ,Tây - Bắc,4 phòng,2 phòng,Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,35351258,batdongsan_com_vn_35351258,Đông - Nam,,,
"['Hà Nội', 'Đông Anh', 'Xã Tiên Dương', 'Đường Cổ Dương']","
Chính chủ nợ ngân hàng cần bán đất xã Tiên Dương, Đông Anh giá rẻ - LH: 0979 969 ***- Chính chủ em cần bán vài lô đất tại xã Tiên Dương, Đông Anh Hà Nội giá rẻ năm 2022.- Thôn Cổ Dương:1. Lô 1: 40,5m² Cổ Dương - Giá 1.25 tỷ.2. Lô 2: 46,6m² Cổ Dương - Giá 1.60 tỷ.3. Lô 3: 51,8m² Cổ Dương - Giá 1.75 tỷ.4. Lô 4: 57,9m² Cổ Dương - Giá 1.85 tỷ.5. Lô 5: 55,5m² Cổ Dương - Giá 2.40 tỷ.7. Lô 7: 60,0m² Cổ Dương - Giá 2,05 tỷ (Lô Góc 2 mặt tiền).8. Lô 8: 60,0m² Cổ Dương - Giá 2.52 tỷ (Lô Góc 2 mặt tiền).9. Lô 9: 61,9m² Cổ Dương - Giá 2.60 tỷ.- Thôn Tiên Kha:1. Lô 1: 47,3m² Tiên Kha - Giá 2.50 tỷ (Lô góc 2 mặt tiền, sát bìa).2. Lô 2: 49,6m² Tiên Kha - Giá 2.50 tỷ.3. Lô 3: 65,0m² Tiên Kha - Giá 2.50 tỷ (Lô góc 2 mặt tiền, ngõ cụt nông).4. Lô 4: 52,0m² Tiên Kha - Giá 2.20 tỷ.- Thôn Trung Oai:1. Lô 1: 40,9m² Trung Oai - Giá 1.55 tỷ.2. Lô 2: 62,9m² Trung Oai - Giá 1.75 tỷ.3. Lô 3: 42,0m² Trung Oai - Giá 1.39 tỷ.4. Lô 4: 43,8m² Trung Oai - Giá 1.40 tỷ.5. Lô 5: 44,1m² Trung Oai - Giá 1.38 tỷ.5. Lô 6: 71,2m² Trung Oai - Giá 2.50 tỷ.6. Lô 7: 55,4m² Trung Oai - Giá 1.70 tỷ.- Thôn Lễ Pháp:1. Lô 1: 53,9m² Lễ Pháp - Giá 1.60 tỷ.- Vị trí:- Những lô đất trên có vị trí đẹp, thông thoáng thuận tiện cho đi lại, nằm trong vùng lõi của xã Tiên Dương, Đông Anh, nơi có nhiều dự án và đường xá được mở.- Khu vực xã Tiên Dương nằm trong 4 con đường huyết mạch là: Đường Võ Nguyên Giáp, gần đường Quốc lộ 23B, Quốc Lộ 5, đường Quốc Lộ 3 nên giao thông thuận lợi.- Nằm gần trung tâm hành chính Đông Anh và gần dự án lớn như: Công viên Kim Quy, Bệnh viện TH Medical, Bệnh viện CHI, Bệnh viện Medlatec, Thành phố thông minh Hà Nội Smart City, Vin Cổ Loa, sân golf Vân Trì, KĐT Cổ Dương, KĐT Nguyên Khê...- Tiện ích xung quanh đầy đủ.            ",51.8 m²,1.75 tỷ,,,,Sổ đỏ/ Sổ hồng,,05/12/2022,15/12/2022,Tin thường,35609182,batdongsan_com_vn_35609182,Bắc,,4 m,
