address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Hướng ban công,Nội thất,Số tầng,Số toilet,Mặt tiền,Hướng nhà,Đường vào
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', 'Dự án Royal City']","
Giá đáy cho 1 căn 2 phòng ngủ.Bán căn 2 phòng ngủ view bể bơi Royal City thoáng mát và vô cùng yên tĩnh. View này thì không khí rất trong lành, nhà còn miễn phí quản lý, nguyên bản đẹp.Giá bán 4tỷ350.Xem nhà vui lòng gọi em theo số: 0911 961 *** ",89 m²,4.35 tỷ,2 phòng,05/12/2022,12/12/2022,Tin thường,35860781,batdongsan_com_vn_35860781,,,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án The Two Residence - Gamuda Garden']","
Bán căn hộ 2PN The Two Gamuda.Diện tích 79m².View trọn khu đô thị đẹp và yên tĩnh.Giá 3.05 tỷ.LH 0982 486 *** ",79 m²,3.05 tỷ,2 phòng,05/12/2022,12/12/2022,Tin thường,35272142,batdongsan_com_vn_35272142,Sổ đỏ/ Sổ hồng,,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án The Zen Residence']","
Bán căn hộ chung cư 2PN + 1 The Zen thuộc dự án Gamuda.Diện tích: 75m².Thiết kế 2 + 1.Full nội thất đẹp như hình.Tầng đẹp hướng đẹp.Liên hệ: 0982 486 *** ",75 m²,3.2 tỷ,2 phòng,05/12/2022,12/12/2022,Tin thường,25969544,batdongsan_com_vn_25969544,,Đông - Nam,Full nội thất,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Kim Ngưu']","
Bán nhà chính chủ Yên Lạc, Kim Ngưu 45m² x 5T thang máy, nhà mới đẹp, cách đường ô tô 10m, 6.5 tỷ.Nhà cách đường ô tô đúng 10m, ngõ rộng thoáng, nhà xây theo kiến trúc châu Âu, nội thất sang trọng đi ra các tuyến phố như Minh Khai, Kim Ngưu, Thanh Nhàn, Lạc Trung... Vô cùng tiện. Nhà được thiết kế:Tầng 1: Phòng khách, thang máy, wc.Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ, 1 wc.Tầng 5: Tầng thờ, Phòng ăn, sân phơi.Nhà vừa mới hoàn thiện, mới, chủ nhà xây dựng có tâm với nội thất cao cấp, cửa nhôm kính Xingpha, cửa chính, cửa phòng bằng gỗ Lim, tay vịn cầu thang gỗ, thiết kế kiểu phong cách Châu Âu độc đáo.SĐCC, giá 6.5 tỷ có thương lượng.Liên hệ c Tâm 0936 360 *** ",45 m²,6.5 tỷ,3 phòng,05/12/2022,12/12/2022,Tin thường,35761042,batdongsan_com_vn_35761042,,,,5 tầng,4 phòng,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Phố Yên Duyên', 'Dự án Gamuda City']","
Chính chủ đứng bán căn liền kề ST5 liền kề Dahlia Homes Gamuda.Diện tích 90m² thiết kế 3.5 tầng đẹp hiện đại.Vị trí đẹp gần công viên nội khu, vườn dạo bộ...Không gian sống đầy đủ tiện ích.Liên hệ: 0982 486 *** xem nhà.            ",90 m²,16.2 tỷ,,05/12/2022,12/12/2022,Tin thường,26422473,batdongsan_com_vn_26422473,,,,3 tầng,,6 m,Đông - Nam,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Nguyễn Ngọc Nại']","
* Mô tả:- Vị trí toà nhà đẹp đắc địa, nằm trung tâm con phố Nguyễn Ngọc Nại.- Nhà xây mới 8 tầng nổi 1 tum và 1 tầng hầm.Thiết kế hiện đại, mỗi tầng là 1 sàn văn phòng rộng với hệ thống điều hòa âm trần Daikin.Toàn bộ đá ốp mặt tiền và thang máy là đá Marble nhập từ Brazil.Thang máy nhập khẩu chính hãng Mitsubishi 1000kg.Thiết bị vệ sinh American Standard.Thiết bị điện toàn bộ tòa nhà chính hãng Panasonic.Hệ thống phòng cháy hiện đại. TP cấp.Sổ đỏ chính chủ cực đẹp giao dịch ngay.Hiện đang cho thuê 250 triệu / tháng.Giá: 48 tỷ có thương lượng cho KH thiện chí.Liên hệ Mr Điệp: 0981 936 ***chuyên nhà dòng tiền, mặt phố, biệt thự).            ",160 m²,48 tỷ,,05/12/2022,12/12/2022,Tin thường,36035080,batdongsan_com_vn_36035080,,,Đầy đủ,9 tầng,,8 m,,10 m
"['Hà Nội', 'Thạch Thất', 'Xã Yên Bình', 'Đường Yên Bình']","
* Căn: BT 02 là lô góc đẹp nhất khu Làng.Diện tích: 288.1 m². View: Núi, hồ cảnh quan.Mặt tiền: 18m.Pháp lý: Sổ hồng chính chủ sẵn sàng giao dịch trong ngày.- Hướng: Đông Nam.- Giá bán: 5.7 tỷ.1. Vị trí: Nằm cận kề khu công nghệ cao Hòa Lạc, ngay cổng dự án là đường Hồ Chí Minh sắp khởi công. Cách Big C Thăng Long chỉ 35 phút di chuyển.Liên hệ: An Linh: 0389 587 ***.2. Điểm khác biệt:- Bàn giao đầy đủ: Bungalow full nội thất 4 sao, chỉ việc vào ở luôn. Và cảnh quan sân vườn cùng 12 tiện ích khác nhau.- Có đơn vị quản lý vận hành chuyên nghiệp BP - Max: Tiêu chuẩn 4 sao dễ dàng khai thác du lịch, hoặc gia đình về nghỉ ngơi nhân dịp cuối tuần.- Tiện ích đồng bộ cả khu: 19 tiện ích đặc sắc: Sân tập golf, đường chạy bộ dài nhất miền Bắc, hồ cảnh quan 4000m, bể bơi 2 tầng phù hợp cho hoạt động của đa dạng lứa tuổi, nhiều tiềm năng khai thác du lịch.3. Đánh giá thuận lợi:+ Tăng 30% dự kiến khi làng Châu Âu đi vào vận hành, khai thác.+ Tăng 60% dự kiến vào Quý 2/2023 khi Khởi công tuyến Metro số 5. Nối các dự án của Vinhomes: Từ Vinhomes Nguyễn CHí Thanh, Vinhomes Metropolis. Ga Metro Yên Bình. Là cổng làng Châu Âu. Như vậy, sau di chuyển vào Nội Thành chỉ mất 20 phút.+ Tăng 100% dự kiến 2023 - 2026 Khởi công và thi công Tuyến Hồ Chí Minh (Đoạn Cổ Tiết Hòa Lạc). Chạy qua, cổng hồ điều hòa dự án.+ Tăng 2xx% dự kiến 2022 - 2025 Tuyến Metro số 5 đi vào vận hành.4. Chính sách bán hàng:- Sang tên đổi sổ luôn trong ngày.- Đã có quần thể cư dân về xây dựng, ở.Liên hệ: An Linh: 0389 587 ***.            ",228.1 m²,5.7 tỷ,,05/12/2022,15/12/2022,Tin thường,35616134,batdongsan_com_vn_35616134,Sổ đỏ/ Sổ hồng,,,,,18 m,Đông - Nam,9 m
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Dương Đình Nghệ', 'Dự án Yên Hòa']","
Bán căn hộ chung cư CT3 Dương Đình Nghệ 84m² - 2,550 tỷ có thương lượng, thiết kế 2 ngủ, 2WC, nội thất cơ bản, liên hệ xem nhà 0372 857 *** ",84 m²,2.55 tỷ,2 phòng,05/12/2022,12/12/2022,Tin thường,34428595,batdongsan_com_vn_34428595,Sổ đỏ/ Sổ hồng,,Nội thất cơ bản.,,2 phòng,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Duy Tân', 'Dự án Ha Do Park View']","
Bán căn hộ Hà Đô Park View 100m².Thiết kế căn hộ 3 phòng ngủ thoáng mát view công viên.Nội thất đầy đủ nhà đẹp.LH: 0372 857 *** để xem căn duplex.            ",100 m²,4.95 tỷ,3 phòng,05/12/2022,12/12/2022,Tin thường,34930962,batdongsan_com_vn_34930962,Sổ đỏ/ Sổ hồng.,,Nội thất đầy đủ nhà đẹp.,,2 phòng,,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Dự án An Lạc Green Symphony']","
Tầng 8, tầng 9, tầng 10, tầng 11, tầng 12, tầng 16, 15 căn hộ 3 phòng ngủ Tòa A và B chung cư Moonlight 1 An Lạc Green Symphony, Vân Canh, Hoài Đức. Giá bán, chiết khấu, hỗ trợ vay vốn ngân hàng.Hotline bán hàng: 0879 542 ***Thông tin căn hộ 3 phòng ngủ C1 - 08 Tòa A.- Mã căn C1 - 08 tòa A, có 3 phòng ngủ, 2 vệ sinh, 2 lô gia.Diện tích thông thủy 93.08m².Hướng Ban Công Tây Nam Ban Công Đông Nam, cửa Đông Bắc.Hướng Hồ và Đại lộ Ánh Trăng 58m² rất đẹp.Thông tin căn hộ 3 phòng ngủ C1 - 04 Tòa A.- Mã căn C1 - 04 tòa A, có 3 phòng ngủ, 2 vệ sinh, 2 lô gia.Diện tích thông thủy 89.37m².Hướng Ban Công Tây Nam Ban Đông Bắc.Hướng Hồ và Biệt thự rất đẹp.Thông tin căn hộ 3 phòng ngủ C1 - 03 Tòa A.- Mã căn C1 - 03 tòa A, có 3 phòng ngủ, 2 vệ sinh, 2 lô gia.Diện tích thông thủy 95.19m².Hướng ban công Đông Nam Ban Đông Bắc, cửa Tây Bắc.Hướng Biệt thự rất đẹp và nội khu.Thông tin căn hộ 3 phòng ngủ C1 - 09 Tòa A.- Mã căn C1 - 03 tòa A, có 3 phòng ngủ, 2 vệ sinh, 2 lô gia.Diện tích thông thủy 95.12m².Hướng ban công Đông Nam Ban Đông Bắc, cửa Tây Bắc.Hướng Đường 58m.Thông tin căn hộ 3 phòng ngủ C1 - 15 Tòa B.- Mã căn C1 - 15 tòa B, có 3 phòng ngủ, 2 vệ sinh, 2 lô gia.Diện tích thông thủy 93.08m².Hướng Ban Công Đông Bắc Ban Công Đông Nam, cửa Tây Nam.Hướng Hồ và Đại lộ Ánh Trăng 58m² rất đẹp.Thông tin căn hộ 3 phòng ngủ C1 - 04 Tòa A.- Mã căn C1 - 04 tòa A, có 3 phòng ngủ, 2 vệ sinh, 2 lô gia.Diện tích thông thủy 89.37m².Hướng Ban Công Tây Bắc Ban Đông Bắc, cửa Tây Nam.Hướng Hồ và Biệt thự rất đẹp.Thông tin căn hộ 3 phòng ngủ C1 - 20.- Mã căn C1 - 20 tòa B, có 3 phòng ngủ, 2 vệ sinh, 2 lô gia.Diện tích thông thủy 95.19m².Hướng ban công Tây Bắc Tây Nam, cửa Đông Nam.Hướng Biệt thự rất đẹp và nội khu.Thông tin căn hộ 3 phòng ngủ C1 - 14 Tòa A.- Mã căn C1 - 14 tòa A, có 3 phòng ngủ, 2 vệ sinh, 2 lô gia.Diện tích thông thủy 95.12m².Hướng ban công Đông Nam Ban Tây Nam, cửa Tây Bắc.Hướng Đường 58m.Giá bán liên hệ trực tiếp để tư vấn.Hoàn thiện cơ bản: Nội thất bàn giao có sàn gỗ, trần, thiết bị vệ sinh, bàn bếp, bếp, hút mùi, điều hòa, cửa các loại.Xem chi tiết giới thiệu: https://anlacgreen-symphony.com.vn/moonlight-1.htmlPhòng kinh doanh chủ đầu tư An Lạc Green Symphony.Địa chỉ dự án: Khu Đô Thị An Lạc Green Symphony, Vân Canh, Hoài Đức, Hà Nội.Địa chỉ chủ đầu tư: Số 62 Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội.Hotline bán hàng: 0879 542 ***WEBSITE: https://anlacgreen-symphony.com.vn/            ",95 m²,38 triệu/m²,3 phòng,05/12/2022,12/12/2022,Tin thường,36033978,batdongsan_com_vn_36033978,Hợp đồng mua bán,Tây - Nam,Cơ bản,,3 phòng,,Đông - Nam,
