address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Số phòng ngủ,Số toilet,Nội thất,Hướng ban công
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Hoàng Văn Thái']","
Mô tả:Siêu phẩm - dòng tiền 9 tầng thang máy cao nhất phố.- Vị trí: Mặt phố khu phân lô quân đội với vỉa hè, kinh doanh sầm uất.- Thiết kế: Hoành tráng, thông sàn đồng bộ. Thích hợp tòa VP, công ty, trường học, phòng khám... Đều ok hết.Hiện trạng: Chủ đã cho thuê full tòa với doanh thu đều 250 triệu/ tháng bất chấp Covid.- Tầng 1: Thông sàn để xe của cả tòa, có bảo vệ riêng trông mất phí.- Tầng 2, 3: Ngân hàng thuê 75 triệu/tháng.- Tầng 4, 5, 6, 7, 8, 9: Thông sàn cho các công ty, doanh nghiệp thuê: 175 triệu/tháng.Cùng với dịch vụ điện, nước kinh doanh, trông xe hàng tháng - Tòa nhà luôn đảm bảo doanh thu Dòng tiền siêu ổn định.- Nằm lừng lững ở góc phố quân đội với tiện ích xung quanh ngập tràn, giao thông thuận lợi, kinh doanh đa ngành.Pháp lý: Sổ đỏ chính chủ, vuông vắn.            ",160 m²,48 tỷ,8 m,15 m,9 tầng,Sổ đỏ,05/12/2022,12/12/2022,Tin thường,36034981,batdongsan_com_vn_36034981,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Đại lộ Thăng Long', 'Dự án Imperia Smart City']","
Bán shop chân đế.Thuộc trung tâm của 20 tòa chung cư (Khoảng 16.000 căn hộ).Ngay chân cầu vượt nối sang khu B Geleximco Lê Trọng Tấn.Gần công viên trung tâm 10.2ha của Vinhomes Smart City.Diện tích 54m².Hiện đang cho thuê năm đầu 45tr/tháng.Hỗ trợ vay ngân hàng 70%.Giá 7, x tỷ (rẻ hơn 25% so với các căn cùng vị trí).Ngoài ra còn rất nhiều căn shop khác phù hợp với nhu cầu của quý khách hàng.Anh chị vui lòng liên hệ để được tư vấn chuyên sâu.            ",54 m²,8 tỷ,,,,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,35947635,batdongsan_com_vn_35947635,,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Lê Trọng Tấn', 'Dự án Evelyne Gardens - ParkCity Hà Nội']","
Cần bán căn liền kề ParkCity 120m², xây 90m² x 3 tầng.Thiết kế 5pn.Nhà hướng Đông Nam.Khu vực được an ninh bảo vệ nghiêm ngặt không khác gì các nguyên thủ.Diện tích xây dựng 270m², 3 tầng, 4 phòng ngủ.Khu tiện ích đẳng cấp quốc tế bao gồm bể bơi trong nhà, bể bơi ngoài trời, nhà thi đấu, phòng Gym, sân tennis... Giao thông thuận tiện, gần xe buýt nhanh BTR, tàu điện trên cao, bệnh viện, trường học.Sổ vuông đẹp, pháp lý chuẩn.Giá: 17,3 tỷ.LH Em Long 0939 993 *** để biết thêm thông tin.            ",120 m²,17.3 tỷ,6 m,13 m,3 tầng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35458025,batdongsan_com_vn_35458025,Đông - Nam,5 phòng,5 phòng,Đồ cơ bản theo chủ đầu tư,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyễn Chí Thanh', 'Dự án M3 - M4 Nguyễn Chí Thanh']","
Bán căn hộ chung cư 122 m², 3 PN, tòa M3M4 Nguyễn Chí Thanh.DT: 122m² gồm 03 phòng ngủ, phòng khách rộng, bếp, 3PN, 2 WC. Căn góc. Cửa chính Tây Nam. Ban công Đông Bắc. Ban công nhìn hồ Thành Công. Thiết kế 3 phòng ngủ đều có ánh sáng.Nhà thiết kế hợp lý, nhà sửa chữa đẹp nội thất đầy đủ. SĐCC.SĐCC. Giá: 4.750 tỷ (thương lượng) Long 0985 672 *** ",122 m²,4.75 tỷ,,,,SĐCC.,05/12/2022,12/12/2022,Tin thường,30162024,batdongsan_com_vn_30162024,Tây - Nam,3 phòng,2 phòng,Nhà sửa chữa cơ bản,Đông - Bắc
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Nguyễn Chánh', 'Dự án A10-A14 Nam Trung Yên']","
Diện tích: 54m², 2 phòng ngủ, 1WC, phòng khách, bếp. Nằm ở vị trí trung tâm, tiện ích xung quanh đầy đủ, đi lại thuận tiện.Sổ đỏ chính chủ.Giá: Nhỉnh 2 tỷ (liên hệ) Long 0985 672 *** ",54 m²,2.15 tỷ,,,,Sổ đỏ chính chủ.,05/12/2022,12/12/2022,Tin thường,35291876,batdongsan_com_vn_35291876,Tây - Bắc,2 phòng,1 phòng,,Đông - Nam
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Mai', 'Phố Bạch Mai']","
* Bán nhà riêng ngõ Bạch Mai. Giá nhỉnh 4 tỷ.- Nhà xây 5 tầng mới. Nội thất cơ bản.- Diện tích sàn sử dụng 32m²/sàn.- 03 phòng ngủ, khách, bếp đầy đủ.* 20m ra mặt phố Bạch Mai, đầy đủ tiện ích, dân trí cao, thân thiện.(Anh/ chị thiện chí, làm nội thất, em tặng gói thiết kế 3D miễn phí, trị giá 20tr).- Sổ đỏ vuông đẹp, sẵn sàng giao dịch.* Liên hệ em Linh 0978 652 *** để được tư vấn - và đi xem nhà 24/7.Em xin chân thành cảm ơn anh/chị đã quan tâm!            ",29 m²,4.2 tỷ,4.5 m,2 m,5 tầng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35971201,batdongsan_com_vn_35971201,,3 phòng,4 phòng,Cơ bản,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Phạm Hùng', 'Dự án Vinhomes West Point']","
- Diện tích căn hộ 186m², tạo không gian sống lý tưởng cho gia đình đa thế hệ, gia đình sống sum vầy, bên cạnh vẫn có không gian riêng tư cho thế hệ trẻ.- Tại mỗi tầng bố trí lô gia rộng lớn, nơi gia chủ có thể kiến tạo các mảnh vườn, chậu cây nhỏ, hay sắp đặt một bộ bàn ghế để thưởng trà, đọc sách những phút vô ưu.- Gồm 5 phòng ngủ, phòng khách, bếp và 2 ban công. Tất cả đều bố trí rộng rãi thoáng mát.- Gia đình nhiều thế hệ muốn có không gian riêng.- Căn hộ được bàn giao thô thỏa sức sáng tạo cho các chủ nhân tương lai.- Hướng ban công: Đông Bắc, cửa vào: Tây Nam.- Hưởng trọn tiện ích cảnh quan, hồ điều hòa, bể bơi...- Mời quý anh chị đến xem thực tế 0383 828 *** ",186 m²,12.8 tỷ,,,,Sổ đỏ/ Sổ hồng.,04/12/2022,11/12/2022,Tin thường,36026559,batdongsan_com_vn_36026559,Tây - Bắc,5 phòng,5 phòng,Không nội thất.,Đông - Nam
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Đại lộ Thăng Long', 'Dự án Imperia Smart City']","
Bán suất ngoại giao duy nhất view hồ giá từ 2.1tỷ/55m² tầng trung đẹp dự án Imperia Smart City.Còn duy nhất căn ngoại giao view công viên hồ điều hòa tầng trung siêu đẹp dự án Imperia Smart City.+ Diện tích: 55m², 2PN + 1WC.+ Hướng ban công Đông Nam.+ Hỗ trợ 0% miễn lãi đến 31/05/2024.+ Giá: Từ 2.1 tỷ.            ",55 m²,Thỏa thuận,,,,,05/12/2022,12/12/2022,Tin thường,35969888,batdongsan_com_vn_35969888,,2 phòng,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Bay Mễ Trì']","
Cần bán lại căn Duplex 2 tầng diện tích 185m² nhà tôi vẫn để thô khách mua về tự thiết kế theo ý mình ban công TN view cực đẹp.- Căn hộ thiết kế thành 4PN, 3WC với 2 tầng cực đẹp.- Cửa vào ĐB ban công TN.- Thiết kế mỗi tầng cao 3.4m thô tạo lên không gian cực thoải mái.- Mời anh chị lên xem nhà thực tế.            ",185 m²,12.8 tỷ,,,,Sổ đỏ/ Sổ hồng,04/12/2022,11/12/2022,Tin thường,36026582,batdongsan_com_vn_36026582,Tây - Nam,4 phòng,4 phòng,Không nội thất.,Đông - Bắc
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Dự án Mỹ Đình Pearl']","
- Diện tích căn hộ 186m², tạo không gian sống lý tưởng cho gia đình đa thế hệ, gia đình sống sum vầy, bên cạnh vẫn có không gian riêng tư cho thế hệ trẻ.- Tại mỗi tầng bố trí lô gia rộng lớn, nơi gia chủ có thể kiến tạo các mảnh vườn, chậu cây nhỏ, hay sắp đặt một bộ bàn ghế để thưởng trà, đọc sách những phút vô ưu.- Gồm 5 phòng ngủ, phòng khách, bếp và 2 ban công. Tất cả đều bố trí rộng rãi thoáng mát.- Gia đình nhiều thế hệ muốn có không gian riêng.- Căn hộ được bàn giao thô thỏa sức sáng tạo cho các chủ nhân tương lai.- Hướng ban công: Đông Bắc, cửa vào: Tây Nam.- Hưởng trọn tiện ích cảnh quan, hồ điều hòa, bể bơi...- Mời quý anh chị đến xem thực tế 0383 828 *** ",186 m²,Thỏa thuận,,,,Sổ đỏ/ Sổ hồng,04/12/2022,11/12/2022,Tin thường,36026638,batdongsan_com_vn_36026638,Tây - Nam,4 phòng,4 phòng,Không nội thất,Đông - Bắc
