address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Nội thất,Đường vào
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Duy Tân', 'Dự án Dreamland Bonanza']","
Chính chủ gửi bán căn hộ 97m² 3 phòng ngủ rất đẹp tại dự án Bonanza Duy Tân.- DIện tích: 97m².- Thiết kế 3 phòng ngủ 2WC.- Căn góc 2 mặt thoáng, cả 3 phòng ngủ đều view đẹp, ban công nhìn ra phía Phạm Hùng, tầng trung đẹp.- Nội thất gần như mới tinh vì ít ở, gon gàng, hiện đại để lại toàn bộ cả TV, tủ lạnh 2 cánh, máy rửa bát, máy giặt sấy, lò nướng,...- Giá bán: 4,8 tỷ.Liên hệ: 0858 601 *** ",97 m²,49.4 triệu/m²,Tây - Bắc,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35470716,batdongsan_com_vn_35470716,,,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Văn Cừ']","
Bán nhà mặt ngõ kinh doanh gần mặt đường Nguyễn Văn Cừ.Diện tích 63.5m² * 6 tầng, mặt tiền 6m.Pháp lý đầy đủ: Sổ đỏ chính chủ.Gần trường, chợ an ninh dân trí cao. Nội thất tiện nghi, hiện đại, sang trọng không gian phòng ở thoáng mát.Giá bán 13,6 tỷ có thương lượng.Liên hệ Mrs Hương 0906 200 ***Kết bạn zalo để thông tin kĩ hơn.            ",63.5 m²,13.6 tỷ,,,,,Sổ đỏ.,10/10/2022,08/01/2023,Tin thường,35431849,batdongsan_com_vn_35431849,6 m,6 tầng,"Nội thất tiện nghi, hiện đại, sang trọng.",
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Văn Cừ']","
Bán nhà sát mặt đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội.Cách cầu Chương Dương 100m. Nhà ngõ to, sân cổng riêng, đường trước nhà 5m, ô tô vào nhà. Có thang máy, đầy đủ công năng.Vị trí đẹp nhất phường Bồ Đề.Diện tích 48m² * 5 tầng, mặt tiền 4m, sổ đỏ chính chủ pháp lí sạch. Gần trường, chợ khu an ninh dân trí cao.Giá bán 8,6 tỷ có thương lượng.Liên hệ Mrs Hương 0906 200 ***Kết bạn zalo để thông tin kĩ hơn.            ",48 m²,8.6 tỷ,,,,,Sổ đỏ.,10/10/2022,08/01/2023,Tin thường,35431965,batdongsan_com_vn_35431965,4 m,5 tầng,,5 m
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Nhàn', 'Phố Lạc Trung']","
Chính chủ gửi bán căn nhà mặt ngõ ô tô tránh có vỉa hè.Nhà đẹp, diện tích rộng 45m² xây 3 tầng.Giá cực rẻ chỉ 4 tỷ.Miễn TG, MG.            ",45 m²,4 tỷ,,,2 phòng,2 phòng,Đang chờ sổ,05/12/2022,12/12/2022,Tin thường,33712433,batdongsan_com_vn_33712433,4 m,3 tầng,,
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Bán căn góc Shophouse siêu vip khu đô thị Vinhomes Gardenia diện tích 250m², 2 mặt tiền rộng hơn 20m, đang cho thuê 180tr/tháng.Hướng nhìn ra đường Hàm Nghi.Liên hệ xem nhà: 0989 182 *** ",250 m²,Thỏa thuận,Tây - Nam,,,,Sổ đỏ/ Sổ hồng.,02/12/2022,09/12/2022,Tin thường,35702616,batdongsan_com_vn_35702616,20 m,,,30 m
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Chính chủ bán căn liền kề dãy 145m² đến 152m² Vinhomes Gardenia, Hàm Nghi, Nam Từ Liêm, Hà Nội.Giá từ 35 tỷ đến 45 tỷ.Liên hệ xem nhà trực tiếp: 0989 182 *** ",152 m²,45 tỷ,Tây - Bắc,Tây - Bắc,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,02/12/2022,09/12/2022,Tin thường,35358189,batdongsan_com_vn_35358189,8 m,4 tầng,Gỗ óc chó.,12 m
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Phố Trần Bình', 'Dự án The Garden Hills - 99 Trần Bình']","
Chính chủ gửi bán gấp căn hộ tầng trung ban công Đông Nam full nội thất tại dự án The Garden Hills.- Diện tích: 70m².- Thiết kế 2 phòng ngủ, 2WC.- Nội thất để lại toàn bộ đồ nhập khẩu xịn.- Căn hộ đã có sổ đỏ, sẵn sàng giao dịch, giảm giá cho người mua thiện chí.- Giá bán: 2.9tỷ.- Liên hệ: 0942 666 *** ",70 m²,2.9 tỷ,,Đông - Nam,2 phòng,2 phòng,Sổ đỏ.,02/12/2022,09/12/2022,Tin thường,35928780,batdongsan_com_vn_35928780,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Kim Chung', 'Đường Lai Xá']","
- Diện tích 33m² x 5 tầng, được thiết kế theo tiêu chuẩn Châu Âu hiện đại.- Mặt tiền: 3.6 m.- Hướng: Nam.- Đường trước nhà 2,3m.- Tầng 1: Phòng khách, bếp, WC.- Tầng 2,3,4: Mỗi 1 ngủ, WC.- Tầng 5: Phòng thờ, sân phơi.- Ngõ rộng thông thoáng. Ô tô đỗ cổng.+ Nội thất.+ Vị trí đắc địa, giao thông thông thoáng, gần các khu đô thị cao cấp, đi các hướng Hà Đông, Cầu Giấy, Mỹ Đình, bán kính 4 km, gần các trường mầm non cấp 1,2,3 bán kính 400m, cách đại học Công Nghiệp 1km. Đối diện trường ĐH Thành Đô. Gần chợ, siêu thị, ngân hàng.- Giá bán: 2.5 tỷ (bao phí sang tên). Có thương lượng.- Hỗ trợ vay vốn ngân hàng lên đến 50% tổng giá trị căn nhà, với gói lãi suất thấp.            ",33 m²,2.5 tỷ,Nam,Nam,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,13/12/2022,Tin thường,35850616,batdongsan_com_vn_35850616,3.6 m,5 tầng,Cơ bản.,2.3 m
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Trần Quốc Hoàn', 'Ngõ 215']","
Bán nhà phân lô khu TT đại học Sư Phạm, ngõ 215 phố Trần Quốc Hoàn (cổng sau ĐHSP), phường Dịch Vọng Hậu, quận Cầu Giấy, diện tích 45 m² xây 4 tầng mặt tiền 4 m thoáng sau, Tầng 1 để xe phòng khách bếp phòng ăn + vs, mỗi tầng 2 phòng ngủ + 1 vs, tầng 4 phòng thờ sân phơi, ngõ thông thoáng kinh doanh bán hàng tốt vào nhà cầu thang giữa giá 11 tỷ, hướng Đông tứ trạch, SĐCC. MTG, môi giới.Liên hệ chủ nhà Anh Toàn 0981 720 *** ",45 m²,11 tỷ,Nam,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35554459,batdongsan_com_vn_35554459,4 m,4 tầng,Nội thất cơ bản.,5 m
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Tố Hữu', 'Dự án Roman Plaza']","
- Gia đình tôi bán căn hộ ở Roman Plaza để chuyển đến khu vực Mỹ Đình cho thuận tiện đi lại trong công việc và cho con cái đi học.- Căn hộ thiết kế 2PN 2VS diện tích 70m² ban công cực thoáng mát và không bị chắn view.- Hiện tại căn hộ đang để đồ cơ bản của chủ đầu tư chỉ bàn giao trần sàn điều hòa âm trần và thiết bị vệ sinh, về gia chủ có thể tự thiết kế theo ý thích của gia đình.- Căn hộ chúng tôi đang muốn bán là 2,8 tỷ có thương lượng thêm.Liên hệ: 0858 601 ***Miễn TG, MG).            ",70 m²,2.65 tỷ,Đông - Bắc,Tây - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,34863697,batdongsan_com_vn_34863697,,,Cơ bản,
