address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Hướng ban công,Đường vào,Hướng nhà,Mặt tiền
"['Hà Nội', 'Hoàn Kiếm', 'Phường Cửa Nam', 'Phố Hai Bà Trưng']","
- Bán gấp siêu phẩm mặt phố Hai Bà Trưng.- Diện tích sổ đỏ 250m² mặt tiền 10m.- Nhà duy nhất phố Hai Bà Trưng đang rao bán.Chi tiết lh: 0913 191 *** Đình Quân.Miễn trung gian và quảng cáo.            ",250 m²,165 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,35444090,batdongsan_com_vn_35444090,,,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Dự án KĐT Tây Hồ Tây - Starlake Hà Nội']","
Bán nhà mặt phố đường đôi 40m nằm trong khu đô thị Tây Hồ Tây, quận Tây Hồ.- Diện tích 157m² mặt tiền 10m.- Hiện trạng là tòa nhà 6 tầng cho thuê.- Vị trí nằm trên mặt phố 40m² thông từ Võ Chí Công sang Phạm Văn Đồng.Giá bán 75 tỷ.Chi tiết LH: 0913 191 *** Đình Quân.            ",157 m²,75 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,33298071,batdongsan_com_vn_33298071,,,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Quốc Tử Giám', 'Phố Hồ Giám']","
- Nhà mới phố Hồ Giám lô góc 3 mặt thoáng nên phòng nào cũng tràn ngập ánh sáng, gió trời.- Mặt phố, khu trung tâm quận Đống Đa, trước nhà ô tô đỗ cửa, trước nhà để 10 xe máy, tầng 1 có thể kinh doanh nhiều loại hình.- Thiết kế tổng thể 5 tầng 1 lửng, tầng 1 kinh doanh, gác lửng Bếp + phòng ăn, tầng 2,3,4: 3PN, tầng 5 sân phơi, có ban công đầy đủ tiện nghi cho sinh hoạt gia đình.- Nội thất cầu thang gỗ, vách kính cường lực, bếp từ, hút mùi, thiết bị vệ sinh nhập khẩu, bình nước nóng Ariston, đường chờ điều hòa...- Khu vực xung quanh hàng xóm thân thiện, an ninh, dân trí cao, tiện ích điện đường trường trạm đầy đủ.- Sổ đỏ vuông đẹp.- Giá 4.25 tỷ.Liên hệ 0933 645 *** ",22 m²,4.25 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,35938200,batdongsan_com_vn_35938200,5 tầng,3 phòng,3 phòng,Cơ bản,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai', 'Dự án Hinode City']","
Gia đình tôi có mua căn hộ 2PN + 2WC ban công Đông Nam tại chung cư Hinode City Minh Khai.Tầng trung.Diện tích: 76m².Nội thất cao cấp mới tinh: Điều hòa âm trần, nóng lạnh, tủ bếp, tủ âm tường, sofa, TV, giường, tủ...Giá 4.1 tỷ.Hỗ trợ bao phí sang tên.Vì không có nhu cầu sử dụng đến nên mong muốn nhượng lại cho ai có nhu cầu.Ai quan tâm vui lòng liên hệ qua số: 0965 114 *** ",76 m²,4.1 tỷ,,05/12/2022,12/12/2022,Tin thường,36034892,batdongsan_com_vn_36034892,,2 phòng,2 phòng,"Nội thất cao cấp mới tinh: Điều hòa âm trần, nóng lạnh, tủ bếp, tủ âm tường, sofa, TV, giường, tủ... ",Bắc,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Phố Chùa Láng', 'Ngõ 82 - 80']","
Chính chủ cần bán căn nhà ngõ 82 - 80 phố Chùa Láng - Đống Đa.Diện tích 205 m², 3 tầng, nhà 2 mặt thoáng.Gần nhiều trường ĐH lớn ở Hà Nội.Ngõ rộng ô tô vào nhà thuận tiện xây tòa nhà căn hộ, văn phòng.Nhà 3 tầng cũ chủ xác định bán đất.Giá bán 22,5 tỷ có bớt cho người mua.Liên hệ chủ nhà Anh Toàn 0981 720 *** ",205 m²,22.5 tỷ,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,35271768,batdongsan_com_vn_35271768,3 tầng,4 phòng,4 phòng,Có nội thất.,Đông,3.5 m,Nam,
"['Hà Nội', 'Thanh Xuân', 'Phường Hạ Đình', 'Đường Nguyễn Xiển']","
Bán biệt thự liền kề khu đô thị mới Hạ Đình khu vực quy hoạch ổn định xung quanh là các toà văn phòng, chung cư cao cấp mặt ngõ to rộng, nhà lô góc mới hoàn thiện thiết kế theo kiểu mẫu làm Văn phòng.Hiện nhà mới hoàn thiện đầy đủ giấy phép xây dựng, Hoàn công, GCN Phòng Cháy chữa cháy...Xem nhà LH: 0342 042 *** ",165 m²,39 tỷ,Đã có sổ đỏ,05/12/2022,12/12/2022,Tin thường,36034395,batdongsan_com_vn_36034395,6 tầng,10 phòng,5 phòng,Cơ bản,,15 m,,15 m
"['Hà Nội.', 'Hoàn Kiếm', 'Phường Trần Hưng Đạo', 'Phố Lý Thường Kiệt']","
Bán gấp 1 sàn văn phòng mặt phố Lý Thường Kiệt Quận Hoàn Kiếm Tp Hà Nội.- Diện tích 716m².- Nằm trong tòa nhà văn phòng đẹp nhất Lý Thường Kiệt.- Phù hợp khách mua đặt trụ sở công ty trung tâm thủ đô Hà Nội.Chi tiết lh: 0913 191 *** A Quân.            ",716 m²,45 tỷ,,05/12/2022,15/12/2022,Tin thường,33735144,batdongsan_com_vn_33735144,,,,,,,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Lý Thái Tổ', 'Phố Hàng Tre']","
Gia đình cần bán gấp nhà mặt phố Hàng Tre phố cổ Quận Hoàn Kiếm, Tp Hà Nội.- Diện tích sổ đỏ 87m².- Hiện trang nhà 5 tầng có thang máy.- Nằm vị trí rất đẹp đặc biệt 1 chủ 1 sổ rất dễ giao dịch với nhà phố cổ.Chi tiết lh: 0913 191 *** A Quân/ 0915 169 *** Chị Bình.Miễn trung gian và quảng cáo!            ",87 m²,55 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,35297640,batdongsan_com_vn_35297640,,,,,,,,
"['Hà Nội.', 'Hoàn Kiếm', 'Phường Trần Hưng Đạo', 'Đường Trần Hưng Đạo']","
Bán gấp tòa nhà văn phòng mặt phố Trần Hưng Đạo Quận Hoàn Kiếm.- Diện tích gần 400m² sổ đỏ.- Mặt tiền 13m.- Hiện trạng đang là tòa nhà văn phòng xây mới 13 tầng.- Nằm vị trí đẹp trung 1 trong những con phố víp nhất quận hoàn kiếm.Chi tiết lh: 0913 191 *** / 0915 169 *** đình quân.Miễn trung gian và quảng cáo!            ",400 m²,Thỏa thuận,Có sổ.,05/12/2022,12/12/2022,Tin thường,29667145,batdongsan_com_vn_29667145,13 tầng,,,,,,,14 m
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Lê Trọng Tấn']","
* Mô tả:- Vị trí toà nhà đẹp đắc địa, nằm trung tâm con phố Lê Trọng Tấn.- Nhà xây mới 8 tầng nổi 1 tum và 1 tầng hầm.Thiết kế hiện đại, mỗi tầng là 1 sàn văn phòng rộng với hệ thống điều hòa âm trần Daikin.Toàn bộ đá ốp mặt tiền và thang máy là đá Marble nhập từ Brazil.Thang máy nhập khẩu chính hãng Mitsubishi 1000kg.Thiết bị vệ sinh American Standard.Thiết bị điện toàn bộ tòa nhà chính hãng Panasonic.Hệ thống phòng cháy hiện đại, TP cấp.Sổ đỏ chính chủ cực đẹp giao dịch ngay.Hiện đang cho thuê 250 triệu / tháng.Giá: 48 tỷ có thương lượng cho KH thiện chí.Liên hệ Mr Điệp: 0981 936 ***chuyên nhà dòng tiền, mặt phố, biệt thự).            ",160 m²,48 tỷ,,05/12/2022,13/12/2022,Tin thường,36034878,batdongsan_com_vn_36034878,9 tầng,,,,,20 m,,8 m
