address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Nội thất,Số toilet,Pháp lý,Hướng nhà
"['Hà Nội', 'Gia Lâm', 'Thị trấn Trâu Quỳ', 'Đường Nguyễn Mậu Tài', 'Dự án Highway 5 Residences Gia Lâm']","
Cần bán lô liền kề shophouse trung tâm hành chính Gia Lâm.Gần công viên trung tâm, hồ điều hòa sinh thái rộng 29ha.Diện tích: 75m² - xây dựng hoàn thiện 5 tầng.Mặt tiền 5mx15m - Đường trước nhà rộng 12m, vỉa hè 6m.Tiềm năng tăng giá cực kỳ hấp dẫn:+ Năm 2023 Gia Lâm chính thức lên quận.+ Kết nối cực kỳ thuận tiện: Nằm giữa đường quốc lộ 5A và 5B.+ Chỉ cách Vinhomes Ocean Park 500m.+ Cách Bệnh viện đa khoa Gia Lâm 200m.+ Cách ủy ban nhân dân Gia Lâm 500m.Đặc biệt với mức giá khởi điểm vô cùng hấp dẫn chỉ từ 120 triệu/m² trong khi giá khu vực lân cận từ 180 - 220 triệu/m².Đảm bảo tăng giá tối thiểu 30% ngay khi nhận bàn giao nhà. (Nhận nhà quý I/2023).Sổ đỏ lâu dài trao tay: Hiện tại đã có số đỏ từng lô.Với KH mua thời điểm này sẽ được hưởng chính sách vô cùng ưu đãi:+ Tặng chuyến du lịch Châu Âu trị giá 120 triệu đồng.+ Hỗ trợ vay vốn ngân hàng 60% với lãi suất 0% 18 tháng từ NH BIDV.Liên hệ xem thực tế dự án: Ms Linh: 0944 176 *** - Quản lý kinh doanh CĐT.            ",75 m²,11.5 tỷ,5 m,12 m,5 tầng,05/12/2022,12/12/2022,Tin thường,35797003,batdongsan_com_vn_35797003,,,,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Huỳnh Văn Nghệ', 'Dự án Le Grand Jardin Sài Đồng']","
Bán căn góc 2PN cực kỳ thông thoáng view công viên.Giá chỉ 2,4 tỷ (gồm VAT + nội thất cơ bản).Bàn giao nội thất cơ bản: Sàn gỗ, trần thạch cao, thiết bị vệ sinh...Đầy đủ tiện ích sống cao cấp: Bể bơi, công viên, khu dạo bộ, siêu thị, trường học...-----------------------Chính sách bán hàng khủng:Về ở ngay chỉ cần thanh toán 25% GTCH.Suất quà trị giá 3 chỉ vàng AJC 999.Miễn phí 18 tháng phí dịch vụ quản lý.Chiết khấu ngay 5% GTCH (chưa gồm VAT và KPBT) khi thanh toán sớm 95%.HTLS 0% cho các khoản vay lên tới 70% GTCH trong 15 tháng.Ân hạn nợ gốc và miễn phí trả nợ trước hạn.-----------------------Hãy trở thành chủ nhân ngay hôm nay của Le Grand Jardin Dự án đáng sống nhất năm 2022.-----------------------Le Grand Jardin.Sống chất lượng - vượng phú quý.Hotline: 0944 176 *** Ms Linh.            ",66 m²,2.4 tỷ,,,,05/12/2022,12/12/2022,Tin thường,35559250,batdongsan_com_vn_35559250,2 phòng,,,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Huỳnh Văn Nghệ', 'Dự án Le Grand Jardin Sài Đồng']","
Bán gấp căn hộ 2PN đẹp nhất dự án Le Grand Jardin - Sài Đồng.Diện tích: 77m² thông thủy.Thiết kế 2PN cực kỳ thông thoáng - phòng khách rộng dãi, vuông vắn.Giá chỉ: 2,9 tỷ (gồm Vat + nội thất + Kinh phí bảo trì).Nội thất nguyên bản CĐT: Sàn gỗ, trần thạch cao, thiết bị vệ sinh toto...Chính sách vô cùng hấp dẫn: Tặng ngay 2 chỉ vàng SJC9999.Miễn phí 18 tháng phí dịch vụ.Hỗ trợ 70% lãi suất 0% 15 tháng.Nhận nhà ở ngay.Liên hệ: 0944 176 *** Ms Linh phòng KD CĐT xem nhà thực tế.            ",77 m²,2.9 tỷ,,,,05/12/2022,12/12/2022,Tin thường,35641469,batdongsan_com_vn_35641469,2 phòng,"Full nội thất cao cấp liền tường Nội thất nguyên bản CĐT: Sàn gỗ, trần thạch cao, thiết bị vệ sinh toto...",,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Huỳnh Văn Nghệ', 'Dự án Le Grand Jardin Sài Đồng']","
Bán gấp căn hộ 2PN đẹp nhất dự án Le Grand Jardin - Sài Đồng.Diện tích: 77m² thông thủy.Thiết kế 2PN cực kỳ thông thoáng - phòng khách rộng dãi, vuông vắn.Giá chỉ: 2,9 tỷ (gồm Vat + nội thất + Kinh phí bảo trì).Nội thất nguyên bản CĐT: Sàn gỗ, trần thạch cao, thiết bị vệ sinh toto...Chính sách vô cùng hấp dẫn: Tặng ngay 2 chỉ vàng SJC9999.Miễn phí 18 tháng phí dịch vụ.Hỗ trợ 70% lãi suất 0% 15 tháng.Nhận nhà ở ngay.Liên hệ: 0944 176 *** Ms Linh phòng KD CĐT xem nhà thực tế.            ",77 m²,2.9 tỷ,,,,05/12/2022,12/12/2022,Tin thường,35639740,batdongsan_com_vn_35639740,2 phòng,"Nội thất cơ bản chủ đầu tư: Sàn gỗ, trần thạch cao, thiết bị vệ sinh.",2 phòng,,
"['Hà Nội', 'Thanh Xuân', 'Phường Kim Giang', 'Đường Kim Giang']","
Gần phố - nhà đẹp - ô tô đỗ cửa - tiện ích đầy đủ - giá cực kỳ hợp lý.Mô tả:- Vị trí: Nhà nằm trên con ngõ rộng đẹp của đường Kim Giang, 3 bước chân ra Khu đô thị mới, giao thông thuận tiện. Khu vực tiện ích ngập tràn, gần trường học các cấp, gần chợ, gần TTTM.- Thiết kế:+ Nhà 4 tầng xây khung cột cực kỳ chắc chắn, thiết kế hợp lý.+ Tầng 1: Phòng khách, bếp, khu để xe, Wc.+ Tầng 2,3: Mỗi tầng 2 phòng, Wc.+ Tầng 4: Phòng thờ, sân phơi trước sau rộng.Pháp lý:- Sổ đỏ chính chủ, vuông vắn không lỗi phong thủy.Giá: 3.85 tỷ (Có thương lượng).            ",41.3 m²,3.85 tỷ,3.3 m,3 m,4 tầng,02/12/2022,09/12/2022,Tin thường,36012799,batdongsan_com_vn_36012799,4 phòng,,3 phòng,Sổ đỏ chính chủ.,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Đồng Tâm', 'Đường Giải Phóng']","
Cần bán lô nhà đất sót lại Giải Phóng TT Hai Bà Trưng gần ô tô 100m gặp đâu trúng đó.- Vị trí ngay sau trường ĐH Xây Dựng nên mặt trước thoáng vĩnh viễn. Đường trước nhà 3 gác tránh xe máy, mặt sau xe ba gác phi.Giao thông đi lại tấp nập, gần 2 bến xe chính của Hà Nội (bến xe Giáp Bát, Nước Ngầm).Vành đai ba ngay gần.Đối diện là hồ Linh Đàm mát mẻ quanh năm.Trục đường chính đi thông các ngả, bệnh viện Bạch Mai, bệnh viện tai mũi họng, đi đâu cũng tiện, không phải nghĩ ngợi gì.- Nhà xây 3 tầng đã lâu vẫn sử dụng được. Sơn sửa về ở vô tư.            ",55 m²,3.75 tỷ,,,3 tầng,05/12/2022,12/12/2022,Tin thường,36028059,batdongsan_com_vn_36028059,3 phòng,,4 phòng,Sổ đỏ/ Sổ hồng.,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', '649']","
Chính chủ cần bán liền kề 649 Phạm văn Đồng:- Căn A3 diện tích 54m² DT sàn sử dụng 262.5m², mặt tiền 6m.Mô tả khu dự án nhà thấp tầng 649 Phạm Văn Đồng:Công ty tôi mua mảnh đất này và xây dựng được 10 lô theo thiết kế quy hoạch bàn giao cho khách hàng: Xây thô hoàn thiện mặt ngoài.- Vị trí không thể đẹp hơn, nhà một bước ra mặt phố Phạm Văn Đồng với phối cảnh và hệ thống sân vườn khuôn viên thoáng mát, hệ thống đường điện riêng...- Liên kết vùng: Đối diện Bộ công an; cách KĐT thành phố Giao lưu 100m; Cách bến xe Mỹ Đình 5 phút di chuyển, gần 31 trường tiểu học, Cấp 2, cấp 3, Đại học, trường quốc tế trong bán kính 3km.- Hiện trạng nhà xây thô hoàn thiện mặt ngoài.Thiết kế: Gồm 1 phòng khách, 5 phòng ngủ, 1 phòng thờ, sân phơi; 5 wc.+ Tầng 1: Gara, bếp, phòng khách, wc.+ Tầng 2: Phòng tiếp khách, 1 phòng ngủ, 1wc.+ Tầng: 3, 4: Mỗi tầng 2 phòng ngủ, 2 wc.+ Tầng 5: Phòng ngủ, phòng thờ, sân phơi.* Móng nhà có thể lên thêm tầng.- Sổ đỏ chính chủ!Giá bán chỉ 10.X tỷ.Liên hệ xem nhà: 0979 343 ***Em Hoàn).            ",54 m²,Thỏa thuận,6 m,,5 tầng,05/12/2022,12/12/2022,Tin thường,35929459,batdongsan_com_vn_35929459,7 phòng,Không nội thất,5 phòng,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Mai', 'Phố Bạch Mai', 'Ngõ Chùa Liên Phái']","
Trung tâm Hai Bà Trưng - phố Bạch Mai - nhà đẹp ở ngay!Ngõ Chùa Liên Phái 50m² 4 tầng MT 4.5m giá chỉ 4.8 tỷ.+ Hướng Tây tứ trạch.+ Ngõ Chùa Liên Phái mới mở rộng cực đẹp, vị trí trung tâm, vài phút lên phố Cổ, tiện ích không thiếu thứ gì.+ Nhà thiết kế hiện đại, có sân để xe riêng biệt, thiết kế:+ 4 tầng 4 phòng ngủ.            ",50 m²,4.8 tỷ,4.5 m,3 m,4 tầng,05/12/2022,15/12/2022,Tin thường,34932161,batdongsan_com_vn_34932161,4 phòng,,4 phòng,Sổ đỏ/ Sổ hồng.,
"['Hà Nội', 'Đống Đa', 'Đường Nguyễn Lương Bằng', '73']","
Khu vực trung tâm nhà về ở ngay dẫn là chốt.73 Nguyễn Lương Bằng 37m² 3 tầng MT 4.2m giá 3.8 tỷ Đống Đa.- Vị trí: Khu vực trung tâm quận Đống Đa. Xung quanh tiện ích ngập tràn. Trước nhà siêu thoáng. Ba gác đỗ tận cửa.- Thiết kế: 3 tầng 2 ngủ 3wc đầy đủ công năng sử dụng.Sổ đỏ chính chủ.            ",37 m²,3.8 tỷ,4.2 m,3 m,,05/12/2022,15/12/2022,Tin thường,33926676,batdongsan_com_vn_33926676,2 phòng,,3 phòng,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', 'Đường Trường Chinh']","
- Nhà mặt phố Trường Chinh. Chủ tự xây tâm huyết mới được vài năm còn như mới, chủ mới mua về chỉ việc ở ngay.- Chủ nhà là người quen gửi bán tuyệt đối không tiếp người lạ gõ cửa làm phiền.Thiết kế:- Tầng 1: Kinh doanh + để xe.- Tầng 2: Khách + bếp + wc.- Tầng 3,4: tổng 4 ngủ + wc.- Tầng 5: Phòng thờ + sân phơi + wc.- Tầng 6: Tiểu cảnh.+ Sổ đỏ cất két giao dịch ngay.            ",53 m²,21.3 tỷ,,,6 tầng,05/12/2022,12/12/2022,Tin thường,35684663,batdongsan_com_vn_35684663,5 phòng,,6 phòng,Sổ đỏ/ Sổ hồng,
